prices,highs
0.3571,14.8
12.6604,15.8
15.3402,16.36
14.431,14.8435
13.66,14.8958
13.976,15.8414
15.5346,16.3799
15.9389,15.948
14.3853,14.5988
14.4429,14.9777
14.3272,14.67
14.3196,14.5697
14.3364,14.3722
12.5112,13.441
12.7314,13.9
13.7599,13.8
12.9815,13.6152
13.3363,14.6
13.8882,14.6
14.4859,15.0797
14.1067,14.639
14.4742,14.6715
14.3756,14.845
14.2751,14.4
13.9059,14.064
13.7216,13.7817
13.5101,13.8846
13.7996,13.8081
13.4901,13.5715
13.2011,13.2651
12.9458,13.3596
13.2636,13.7187
12.9959,13.0814
12.7012,13.244
12.9892,13.2082
12.7497,12.9867
12.8935,13.3
13.1773,13.3512
13.1679,13.5446
13.4433,13.6327
13.5202,13.6047
13.4893,13.783
13.2941,13.572
13.0654,13.1552
12.6884,12.8228
12.7152,12.8722
12.7824,13.2097
13.1325,13.19
12.9235,12.9383
12.8858,12.8966
12.6987,12.7646
12.4914,12.77
12.5679,12.6854
12.583,12.72
12.5337,12.5337
12.164,12.7441
12.7202,12.95
12.5164,12.7656
12.7029,12.7394
12.3845,12.5267
12.4371,13.05
12.8931,13.4431
13.428,13.7
13.0963,13.55
13.1418,13.6808
13.4579,13.7669
13.3733,13.6039
13.1982,13.2677
12.9956,13.0985
12.9061,13.2501
13.17,14.4949
13.9848,16.6416
16.3283,16.7
16.0956,16.8342
16.2265,16.54
16.5355,17.25
17.0854,17.1888
16.3456,16.448
16.0259,16.36
16.2894,16.3775
15.5555,15.657
15.4335,16.0619
15.6701,15.8224
15.2857,15.4049
14.9632,15.1946
15.1097,15.3
15.2029,15.3321
15.246,15.2675
14.9386,15.6541
15.6022,15.67
15.3895,15.9554
15.4062,15.5711
15.0393,16.47
16.0537,16.1049
15.3642,15.5781
15.5639,15.744
15.4651,15.623
14.7644,14.7664
13.5381,13.8
13.5392,13.5661
13.223,13.4064
13.216,13.52
13.3769,13.3997
13.1585,13.3
13.1437,13.2407
13.0934,13.4449
13.3036,13.3451
13.1316,13.2428
13.131,13.2988
13.2705,13.28
13.1942,13.3249
13.184,13.23
13.112,13.1404
13.0609,13.4192
13.264,13.4799
13.264,13.3024
12.8849,13.0576
12.789,12.942
12.7779,12.81
12.7586,12.96
12.9072,12.9296
12.9024,13.1574
13.1478,13.7999
13.497,13.8443
13.527,13.75
13.6659,14.0319
13.8413,13.8431
13.5894,13.6327
13.3916,13.4393
13.3878,13.5081
13.403,13.4232
13.2813,13.322
13.2646,13.386
13.2736,13.3728
13.1861,13.3151
13.1349,13.2612
13.1146,13.2867
13.1452,13.3732
13.3166,13.46
13.29,13.47
13.2559,13.535
13.5014,13.5449
13.3638,13.43
13.216,13.2677
13.032,13.2794
13.1476,13.2363
13.0698,13.2491
13.1315,13.2995
13.2408,13.2473
12.9832,13.1083
13.1081,13.3188
13.1997,13.3
13.1305,13.18
13.0038,13.2088
13.0826,13.1974
13.1315,13.1922
13.1026,13.21
13.0811,13.1772
13.1009,13.1073
