prices,highs
0.006,0.3288
0.3123,0.32244
0.29308,0.309
0.28905,0.2988
0.2914,0.34736
0.34429,0.34999
0.34367,0.34888
0.3284,0.334
0.32992,0.33456
0.32671,0.328
0.32299,0.32558
0.31097,0.31571
0.30966,0.32462
0.32085,0.333
0.32279,0.3305
0.31406,0.32207
0.32022,0.325
0.31409,0.3198
0.31169,0.3193
0.3193,0.32345
0.31798,0.326
0.31831,0.3333
0.32735,0.343
0.33976,0.34888
0.33294,0.339
0.33775,0.342
0.33672,0.342
0.33284,0.33289
0.32274,0.32999
0.3173,0.3245
0.31797,0.32647
0.32526,0.3375
0.33073,0.345
0.34312,0.3755
0.36197,0.36611
0.35399,0.3615
0.35551,0.35587
0.3523,0.3631
0.36198,0.37475
0.36402,0.3672
0.35519,0.3629
0.36118,0.36752
0.36625,0.36899
0.35673,0.36477
0.35888,0.35888
0.34622,0.353
0.3512,0.35705
0.35476,0.368
0.36584,0.3765
0.36508,0.37278
0.36612,0.38819
0.38326,0.38785
0.37555,0.38527
0.37771,0.3885
0.38144,0.39519
0.39406,0.4055
0.40222,0.44
0.43458,0.445
0.42942,0.43405
0.42567,0.427
0.41782,0.41789
0.41438,0.41455
0.40425,0.431
0.42539,0.44869
0.43926,0.4416
0.4218,0.43658
0.43489,0.44995
0.445,0.454
0.44029,0.44052
0.42856,0.44086
0.42972,0.44495
0.43974,0.443
0.4408,0.45183
0.43811,0.444
0.42321,0.42649
0.41936,0.4278
0.42475,0.42877
0.41423,0.421
0.41864,0.42611
0.41924,0.4208
0.4171,0.4187
0.40816,0.41131
0.40416,0.4162
0.41238,0.41536
0.40706,0.40727
0.39741,0.39876
0.3955,0.4032
0.39222,0.4181
0.40627,0.41986
0.40959,0.41693
0.41058,0.41342
0.41046,0.4199
0.41277,0.43141
0.42462,0.42975
0.42655,0.4315
0.42639,0.42639
0.42448,0.4255
0.42418,0.435
0.42652,0.43045
0.42287,0.424
0.41905,0.42419
0.41533,0.43115
0.4311,0.43459
0.432,0.444
0.44198,0.44444
0.43595,0.44043
0.43719,0.4444
0.44333,0.46366
0.45244,0.45292
0.44985,0.45236
0.44711,0.45721
0.45051,0.45698
0.45092,0.45374
0.43726,0.44019
0.4349,0.4397
0.43181,0.43888
0.43227,0.43584
0.42773,0.434
0.43229,0.43348
0.4206,0.4295
0.425,0.42994
0.42796,0.42942
0.42322,0.4269
0.41122,0.433
0.43,0.44
0.43214,0.44121
0.43813,0.4415
0.43485,0.43893
0.43215,0.43702
0.42626,0.43259
0.4289,0.43047
0.42128,0.42614
0.42327,0.42354
0.41567,0.42094
0.41672,0.425
0.423,0.43
0.4252,0.42664
0.42291,0.42529
0.41595,0.419
0.41876,0.42842
0.42623,0.4289
0.42257,0.42361
0.40972,0.41411
0.39414,0.395
0.38758,0.39285
0.38222,0.38547
0.38339,0.3906
0.38209,0.38853
0.38459,0.385
0.3715,0.375
0.37009,0.37739
0.366,0.37986
0.37535,0.38498
0.37777,0.38153
0.37094,0.371
0.36246,0.36509
0.35995,0.36094
0.35968,0.35983
0.35657,0.3595
0.35345,0.35365
0.34129,0.35175
0.34978,0.35258
0.33305,0.34275
0.34145,0.34224
0.33676,0.34721
0.34508,0.349
0.34393,0.35188
0.34496,0.3471
0.34226,0.3467
0.34094,0.3502
0.3422,0.348
0.34284,0.34932
0.34545,0.35426
0.35416,0.35669
0.34794,0.35244
0.3431,0.35451
0.35061,0.35214
0.34696,0.35431
0.35282,0.35396
0.34973,0.35366
0.34833,0.3488
0.34383,0.34684
0.34497,0.34847
0.347,0.36791
0.36616,0.376
0.36421,0.37489
0.37043,0.37504
0.36629,0.36837
0.3654,0.37254
0.36947,0.37172
0.36531,0.36789
0.35444,0.35999
0.35352,0.35892
0.35819,0.35853
0.35414,0.36143
0.35531,0.35658
0.34584,0.34893
0.34467,0.35262
0.35201,0.35858
0.34846,0.35159
0.34609,0.34861
0.3467,0.34942
0.34798,0.35074
