prices,highs
1.0,100.0
8.5077,8.5895
7.4817,7.6
6.8038,7.53
7.1806,8.25
7.9038,7.9102
7.7518,7.8
7.5213,8.2397
8.0515,8.456
8.0781,8.335
8.1514,8.2274
7.8506,7.9194
7.6331,7.8688
7.6747,7.8604
7.7751,7.9205
7.8262,7.8521
7.7301,7.7617
7.4535,7.5156
7.4365,7.437
7.0415,7.3116
7.2694,7.2925
7.0076,7.39
7.19,7.3423
7.3219,7.3751
7.0431,7.1738
7.0914,7.3573
7.3357,7.61
7.5161,7.748
7.604,7.649
7.5,7.5567
7.5441,7.6184
7.5046,7.67
7.5404,7.6308
7.4455,7.5241
7.4666,7.5014
7.489,7.5033
7.2374,7.35
7.3023,7.4292
7.3065,7.3446
7.2726,7.2726
7.155,7.1665
7.0714,7.193
7.1809,7.27
7.2668,7.4099
7.2884,7.446
7.3902,7.45
7.3844,7.4369
7.3691,7.3691
7.285,7.6899
7.633,7.7
7.5847,7.6967
7.5751,7.6443
7.5137,7.6326
7.604,7.62
7.467,7.5131
7.4278,7.4772
7.1978,7.26
7.2351,7.2521
7.2039,7.204
7.075,7.2069
7.1813,7.33
7.3039,7.3999
7.2668,7.5099
7.4893,7.526
7.3758,7.4474
7.4187,7.47
7.3441,7.5821
7.4885,7.5146
7.4425,7.4585
7.417,7.4867
7.473,7.5358
7.498,7.7
7.5851,7.6197
7.5103,7.5151
7.4085,7.5
7.4784,7.4941
7.4191,7.476
7.377,7.4393
7.4226,7.4905
7.4852,7.5485
7.5073,7.5393
7.4774,7.586
7.5857,8.55
8.2348,8.4
8.1103,8.2297
8.1402,8.8869
8.6955,8.9
8.7194,9.3
9.2,9.3152
8.8028,8.965
8.6958,8.804
8.7714,9.0324
8.8057,9.2
9.0826,9.2363
8.9265,9.0156
8.9571,9.233
9.103,9.568
9.4321,9.6
9.4438,9.4722
9.4418,9.8502
9.784,9.99
9.9263,10.086
9.7083,10.1888
10.0811,10.33
10.0916,10.2999
9.7949,9.95
9.807,9.8343
9.652,9.6937
9.4681,9.5858
9.5708,9.75
9.4456,9.6319
9.592,9.5986
9.1134,9.2811
9.1938,9.4969
9.4246,9.7099
9.6685,9.8524
9.6098,9.7809
9.6754,9.8871
9.7707,9.86
9.7808,9.9152
9.6382,9.7038
9.5973,9.6495
9.3946,9.5087
9.4639,9.5
9.3949,9.4299
9.359,9.4501
9.371,9.6566
9.5852,9.6699
9.5751,9.705
9.667,9.718
9.6063,9.6063
9.5,9.908
9.8498,9.8769
9.8748,9.968
9.6981,9.7696
9.692,9.728
9.5338,9.674
9.656,9.7356
9.7152,9.7538
9.639,9.6461
9.4199,9.6533
9.6042,9.6409
9.5951,9.6412
9.5298,9.568
9.3634,9.3867
9.2215,9.306
9.2919,9.352
9.2698,9.3358
9.32,9.3231
9.2556,9.2599
9.1752,9.2381
9.1776,9.3068
9.2897,9.2897
9.1452,9.2381
9.2254,9.2762
9.2178,9.2898
9.2324,9.4369
9.3049,9.3392
9.2865,9.48
9.4284,9.4687
9.2047,9.2737
8.9217,8.9728
8.7654,8.852
8.8,8.8083
8.5886,8.7221
8.7032,8.8363
8.8246,8.8322
8.7833,8.8899
8.7065,8.7699
8.7357,8.8194
8.7771,8.8927
8.8488,8.89
8.785,8.9446
8.9378,9.2468
9.1921,9.2863
9.167,9.219
9.1137,9.133
9.1094,9.1675
8.9481,8.9539
8.9028,8.9095
8.8243,8.9275
8.808,8.9873
8.796,9.08
8.9758,9.1247
8.9357,8.9485
8.9242,8.9382
8.8628,8.8732
8.843,9.1101
9.055,9.22
9.1072,9.1147
9.0429,9.2579
9.1911,9.4595
9.3933,9.5068
9.2877,9.3311
9.1614,9.2808
9.1543,9.2756
9.2301,9.3199
9.2138,9.376
9.2291,9.5606
9.3843,9.6387
9.4676,9.4934
9.3105,9.3203
9.2679,9.2907
9.2355,9.3
9.29,9.2974
9.115,9.2648
9.1931,9.2816
9.1862,9.2399
9.1382,9.1977
9.1106,9.1216
9.0882,9.1995
9.1902,9.2041
8.8621,8.878
8.8608,8.8969
8.7711,8.7883
8.7015,8.8264
8.749,8.7857
8.6761,8.7
8.1622,8.219
8.1916,8.2673
8.1817,8.22
8.2155,8.2397
8.1594,8.169
8.0051,8.15
8.11,8.1517
8.1273,8.1298
8.038,8.1
8.0495,8.1796
8.1533,8.2536
8.1488,8.265
8.1896,8.2519
8.1997,8.4
8.337,8.4299
8.3613,8.364
8.32,8.339
8.3269,8.448
8.3584,8.3888
8.3131,8.3331
8.3014,8.3095
8.1827,8.1828
