prices,highs
0.5,1.6
1.3251,1.356
1.304,1.3313
1.289,1.346
1.3274,1.43
1.43,1.4918
1.4187,1.4748
1.4672,1.47
1.3795,1.398
1.3218,1.4008
1.3792,1.433
1.4198,1.43
1.3978,1.4154
1.4,1.4008
1.3654,1.394
1.3927,1.4284
1.4178,1.4937
1.4839,1.5675
1.5243,1.5491
1.4794,1.5078
1.5054,1.51
1.4906,1.4906
1.4906,1.4906
1.3719,1.3861
1.3778,1.3782
1.3256,1.3344
1.2729,1.3041
1.2943,1.3207
1.3047,1.3047
1.24,1.2585
1.2344,1.2529
1.2443,1.2864
1.2726,1.2985
1.2938,1.3079
1.2888,1.315
1.2784,1.281
1.2596,1.2689
1.2466,1.2661
1.2178,1.2368
1.2333,1.2543
1.234,1.2368
1.2103,1.2301
1.2215,1.25
1.2387,1.2679
1.2409,1.256
1.2533,1.2763
1.2634,1.271
1.239,1.2703
1.2544,1.2834
1.2673,1.2733
1.2355,1.2467
1.2284,1.2289
1.1891,1.2094
1.1991,1.215
1.2011,1.222
1.2194,1.2312
1.2179,1.2369
1.2221,1.2345
1.2344,1.2363
1.229,1.2318
1.2223,1.2273
1.215,1.2307
1.2247,1.251
1.2506,1.2734
1.2631,1.316
1.3055,1.3114
1.2962,1.2997
1.2892,1.3047
1.293,1.3033
1.2918,1.344
1.3415,1.3499
1.3056,1.3183
1.3028,1.309
1.2793,1.2934
1.2928,1.2969
1.285,1.2899
1.285,1.2938
1.2698,1.27
1.2616,1.2824
1.2786,1.293
1.2818,1.3194
1.3161,1.3259
1.2899,1.2937
1.2773,1.2913
1.2878,1.295
1.2829,1.2849
1.2541,1.2659
1.2644,1.2672
1.2579,1.267
1.2643,1.2772
1.273,1.2754
1.2668,1.2754
1.2605,1.2654
1.2424,1.2518
1.2374,1.2448
1.2036,1.2099
1.2054,1.2279
1.2,1.2042
1.1783,1.1981
1.1899,1.1964
1.1521,1.1678
1.1425,1.1557
1.14,1.1526
1.1506,1.1669
1.1658,1.1658
1.1366,1.1481
1.1385,1.145
1.1419,1.1424
1.1285,1.1381
1.1341,1.1468
1.1467,1.158
1.152,1.158
1.1416,1.1505
1.149,1.152
1.1316,1.1369
1.1285,1.1556
1.1512,1.1665
1.1527,1.1561
1.1447,1.1785
1.1603,1.1749
1.1727,1.1844
1.1584,1.1631
1.1515,1.1815
1.1797,1.2144
1.2083,1.2155
1.1987,1.2029
1.1876,1.1943
1.1931,1.224
1.2202,1.2418
1.2338,1.2468
1.227,1.2339
1.2255,1.2308
1.2286,1.2493
1.2393,1.25
1.2348,1.2638
1.2536,1.2614
1.2583,1.2767
1.2645,1.2688
1.2533,1.2597
1.2468,1.2498
1.2425,1.2472
1.2384,1.2419
1.2378,1.2469
1.2039,1.2176
1.2158,1.2181
1.1978,1.215
1.2076,1.2247
1.2203,1.2287
1.2267,1.2278
1.2146,1.2243
1.22,1.2272
1.2243,1.2337
1.2257,1.26
1.2373,1.3136
1.3043,1.345
1.3062,1.3116
1.292,1.3067
1.3001,1.3046
1.2977,1.37
1.3515,1.375
1.3688,1.43
1.3803,1.4
1.3892,1.3949
1.3692,1.398
1.3819,1.3963
1.3792,1.3798
1.351,1.36
1.3503,1.3599
1.333,1.3439
1.3318,1.3341
1.323,1.3427
1.3356,1.3555
1.3449,1.3945
1.379,1.3903
1.3866,1.39
1.357,1.3899
1.3795,1.3845
1.3803,1.4211
1.4078,1.4161
1.3991,1.445
1.4243,1.4249
1.4203,1.433
1.3992,1.4035
1.382,1.3869
1.3568,1.3644
1.3518,1.371
1.3489,1.3635
1.3478,1.3616
1.357,1.3822
1.3729,1.4125
1.3874,1.3999
1.3833,1.3874
1.3701,1.3752
1.3751,1.3834
1.382,1.3825
1.3801,1.3898
1.3833,1.389
1.3746,1.4078
1.3954,1.4067
1.4015,1.408
1.3897,1.4028
1.3777,1.3838
1.3806,1.391
1.3703,1.3748
1.3574,1.3681
1.3587,1.3603
1.341,1.3431
1.3397,1.3434
1.335,1.3372
1.3283,1.3398
1.3315,1.3462
1.341,1.3444
1.334,1.3448
1.344,1.344
1.3344,1.3359
1.3123,1.322
1.2915,1.2942
1.2689,1.2766
1.2752,1.2821
1.2781,1.2838
1.2685,1.2986
1.2858,1.2984
1.296,1.3026
1.2937,1.2987
1.293,1.2985
1.2725,1.2793
1.2705,1.2776
1.2689,1.2769
1.2746,1.2749
1.2426,1.2528
1.2515,1.2704
1.2693,1.2697
1.2645,1.2782
1.2701,1.2903
1.2813,1.2847
1.275,1.2814
1.2801,1.2801
1.2619,1.2623
1.2169,1.2236
1.1714,1.1883
1.1848,1.212
1.1914,1.2092
1.1881,1.189
1.1769,1.1817
1.1512,1.1649
1.1633,1.1638
1.151,1.1985
1.1879,1.2042
1.2017,1.202
1.194,1.2079
1.1714,1.2077
1.2015,1.2079
1.1971,1.1981
1.1867,1.188
1.1814,1.1999
1.1962,1.2195
1.217,1.2279
1.2104,1.2214
1.2182,1.2239
1.2046,1.2092
1.1986,1.2019
1.1892,1.2024
1.1844,1.1886
1.1724,1.1859
1.1763,1.1819
1.1577,1.175
1.1654,1.1948
1.1836,1.1939
1.1702,1.1728
1.1229,1.1494
1.1418,1.1716
1.1538,1.1629
1.1527,1.1784
1.1649,1.1699
1.161,1.1681
1.159,1.165
1.1525,1.1576
1.1524,1.1726
1.1705,1.1899
1.18,1.1909
1.1739,1.185
1.1817,1.1908
1.1898,1.199
1.1863,1.2188
1.2072,1.2173
1.2173,1.223
1.1993,1.2216
1.2184,1.2415
1.2324,1.2666
1.248,1.2687
1.2455,1.2455
1.2364,1.2431
1.2375,1.2533
1.2516,1.2608
1.2608,1.2608
1.2409,1.2441
1.2345,1.2695
1.2614,1.267
1.2527,1.2905
1.277,1.2838
1.2747,1.2794
1.2667,1.28
1.2692,1.2732
1.2644,1.27
1.268,1.269
1.2641,1.2878
1.2777,1.2791
1.2766,1.2771
1.2711,1.28
1.2705,1.2763
1.2546,1.2574
1.2313,1.2377
1.2293,1.2349
1.2185,1.2296
1.224,1.2285
1.2251,1.2641
1.2499,1.2591
1.243,1.2501
1.2497,1.2502
1.2449,1.2513
1.2419,1.2444
1.2234,1.2306
1.2268,1.2289
1.2219,1.2312
1.2306,1.2308
1.2217,1.224
1.2091,1.2199
1.2195,1.2199
1.2,1.205
1.2007,1.21
1.1934,1.1952
1.1935,1.2027
1.2019,1.2058
1.1915,1.204
1.2016,1.2079
1.2027,1.2167
1.2093,1.2175
1.2097,1.2139
1.2069,1.2127
1.2002,1.2118
1.2031,1.214
1.196,1.2046
1.1977,1.209
1.205,1.2152
1.2151,1.2386
1.2303,1.2411
1.2375,1.2425
1.2391,1.2469
1.2301,1.2359
1.2271,1.2289
1.2187,1.2196
1.2039,1.2052
1.1984,1.2054
1.1937,1.2025
1.2025,1.2046
1.203,1.2033
1.1881,1.2018
1.1972,1.204
1.2014,1.2062
1.1986,1.2023
1.1998,1.2016
1.1901,1.1937
1.1905,1.1954
1.1909,1.1912
1.1905,1.1934
1.1831,1.1916
1.19,1.2028
1.2,1.2012
1.1969,1.197
1.186,1.1931
1.1902,1.1967
1.1961,1.2032
1.2023,1.2024
1.1997,1.21
1.2099,1.2099
1.2055,1.2084
1.2048,1.2089
1.1962,1.2016
1.1975,1.199
1.191,1.1954
1.1905,1.1913
1.1894,1.1909
1.1866,1.1929
1.1891,1.1896
1.1876,1.1878
1.1861,1.1908
1.1702,1.1739
1.1604,1.1641
1.1613,1.1666
1.1585,1.1637
1.1627,1.1629
1.1614,1.1685
1.1618,1.1775
1.1704,1.1757
1.1736,1.181
1.1726,1.1729
1.1683,1.1751
1.1735,1.1764
1.1681,1.1681
1.1627,1.1679
1.1632,1.1637
1.1605,1.1669
1.1593,1.1619
1.1562,1.1639
1.1632,1.1704
1.1653,1.1685
1.16,1.1622
1.152,1.1591
1.1564,1.1657
1.1653,1.1653
1.1595,1.173
1.1708,1.1842
1.1724,1.1786
1.176,1.1903
1.1885,1.2
1.1897,1.1913
1.1815,1.1931
1.1927,1.1927
1.1727,1.1771
1.1737,1.183
1.1786,1.1849
1.1771,1.1833
1.183,1.1838
1.1795,1.1802
1.1744,1.1798
1.1679,1.1755
1.1719,1.1752
1.175,1.1759
1.1721,1.1725
1.1705,1.172
1.1653,1.176
1.1734,1.186
1.1807,1.207
1.2043,1.234
1.2295,1.2381
1.2359,1.2368
1.2272,1.2291
1.2191,1.2268
1.2259,1.2374
1.2331,1.2539
1.2423,1.2477
1.2421,1.2542
1.2497,1.259
1.2449,1.2459
1.2398,1.2419
1.2394,1.2434
1.2286,1.241
1.2397,1.2441
1.2413,1.2434
1.2355,1.2355
1.2334,1.2387
1.2367,1.2367
1.2296,1.2331
1.2261,1.232
1.2317,1.237
1.2239,1.2335
1.2309,1.2344
1.2249,1.2278
1.2267,1.241
1.2368,1.2413
1.2158,1.2173
1.2154,1.2189
1.217,1.2219
1.2185,1.2191
1.2162,1.2193
1.2003,1.2026
1.1874,1.1878
1.1645,1.1696
1.1663,1.172
1.1707,1.1724
1.1686,1.1753
1.1738,1.1829
1.1763,1.1793
1.167,1.174
1.1723,1.1723
1.1685,1.1706
1.1695,1.1958
1.1786,1.193
1.1765,1.2011
1.1879,1.2012
1.1962,1.2102
1.1927,1.2026
1.1919,1.199
1.1905,1.1927
1.1879,1.1937
1.1907,1.1969
1.1968,1.1978
1.1891,1.1984
1.1935,1.1969
1.1858,1.1877
1.1856,1.195
1.1941,1.1975
1.1949,1.2015
1.1951,1.2034
1.2019,1.2177
1.2061,1.2476
1.246,1.2937
1.2793,1.3297
1.314,1.3244
1.3189,1.3274
1.3042,1.3525
1.3471,1.36
1.323,1.3392
1.3346,1.3403
1.3319,1.345
1.3433,1.37
1.3484,1.377
1.3642,1.3737
1.3677,1.3726
1.3597,1.377
1.3697,1.3767
1.3594,1.3692
1.3689,1.4887
1.4734,1.591
1.5459,1.5669
1.5198,1.5368
1.5208,1.5418
1.5269,1.59
1.5604,1.5625
1.536,1.5408
1.5229,1.5498
1.5422,1.5579
1.5512,1.5743
1.5442,1.5765
1.5708,1.59
1.5187,1.5484
1.5401,1.5523
1.5331,1.5362
1.4683,1.4912
1.49,1.6485
1.6175,1.6886
1.6389,1.6992
1.6879,1.745
1.6778,1.6861
1.6853,1.695
1.6864,1.7184
1.6982,1.72
1.6436,1.6654
1.6445,1.67
1.6603,1.6794
1.6377,1.6452
1.6401,1.6694
1.659,1.6652
1.645,1.6877
1.6725,1.6822
1.6621,1.6827
1.6719,1.6737
1.6578,1.6747
1.6556,1.6796
1.6782,1.724
1.6765,1.7045
1.6858,1.7438
1.7308,1.744
1.7022,1.7022
1.6376,1.6668
1.6613,1.6662
1.629,1.6426
1.6353,1.6488
1.6295,1.6555
1.6486,1.66
1.6531,1.6544
1.6319,1.632
1.606,1.6155
1.6085,1.6224
1.616,1.6357
1.6245,1.6437
1.6286,1.6372
1.6267,1.659
1.6399,1.644
1.6342,1.6359
1.6094,1.615
1.6145,1.619
1.6141,1.6243
1.6194,1.6241
1.5996,1.6182
1.6151,1.6404
1.6351,1.6543
1.6531,1.6601
1.6362,1.6876
1.6873,1.6881
1.6448,1.6676
1.6596,1.6959
1.69,1.7228
1.7073,1.713
1.6957,1.6993
1.6368,1.6552
1.6406,1.6536
1.6471,1.65
1.6318,1.6377
1.6291,1.6419
1.6407,1.6445
1.6377,1.6632
1.6235,1.6392
1.6366,1.639
1.6211,1.6236
1.6213,1.6235
1.6057,1.6175
1.613,1.6282
1.6087,1.6233
1.6205,1.6215
1.5995,1.6305
1.6218,1.6247
1.6182,1.6468
1.6452,1.6558
1.6358,1.6474
1.6351,1.6376
1.6336,1.6444
1.6352,1.636
1.6093,1.6145
1.6066,1.6349
1.6329,1.6625
1.6478,1.6858
1.6707,1.7071
1.7031,1.8
1.7839,1.8098
1.7901,1.7999
1.7673,1.7769
1.7597,1.7861
1.7746,1.7836
1.7672,1.82
1.7919,1.7925
1.7658,1.7835
1.7784,1.7848
1.7576,1.7647
1.7287,1.7435
1.7266,1.7463
1.6467,1.6675
1.6494,1.6608
1.6589,1.682
1.6819,1.6822
1.6581,1.6645
1.6531,1.6785
1.6726,1.6811
1.6734,1.6966
1.6767,1.6799
1.6725,1.6896
1.6674,1.6674
1.6608,1.6718
1.6632,1.6645
1.6408,1.6548
1.6366,1.64
1.5336,1.5484
1.5433,1.5598
1.5528,1.5623
1.5491,1.558
1.5533,1.5723
1.5696,1.6036
1.589,1.5957
1.565,1.576
1.5667,1.5699
1.5499,1.56
1.5546,1.5594
1.5464,1.556
1.5387,1.5428
1.5315,1.5375
1.5147,1.5159
1.4886,1.5244
1.5226,1.54
1.5295,1.5299
1.4983,1.5238
1.5224,1.5342
1.5199,1.5267
1.5175,1.5342
1.5198,1.5229
1.5055,1.5227
1.5009,1.5137
1.5013,1.5083
1.4864,1.4918
1.4769,1.545
1.529,1.5302
1.512,1.5209
1.5023,1.5084
1.4506,1.4678
1.442,1.4548
1.4316,1.4413
1.4228,1.4357
1.4223,1.445
1.4318,1.4371
1.4305,1.4509
1.439,1.4494
1.4419,1.466
1.4527,1.4585
1.4373,1.4446
1.444,1.4562
1.4536,1.4603
1.4409,1.4443
1.4228,1.4313
1.4239,1.4567
1.454,1.4672
1.4371,1.4521
1.4442,1.4574
1.4399,1.4442
1.4331,1.4521
1.4496,1.465
1.4374,1.4456
1.4332,1.4675
