prices,highs
0.4729,2.3645
0.6042,0.62
0.6092,0.6169
0.6072,0.6341
0.6214,0.6227
0.598,0.6098
0.6074,0.65
0.6387,0.6388
0.6245,0.6245
0.6147,0.6219
0.6164,0.6288
0.6171,0.624
0.6171,0.6232
0.6149,0.6312
0.6282,0.632
0.6216,0.6259
0.6117,0.6264
0.6116,0.6192
0.6037,0.6113
0.5992,0.5992
0.5818,0.6
0.5963,0.6156
0.6126,0.6371
0.6188,0.62
0.6072,0.6077
0.5981,0.605
0.595,0.5974
0.5923,0.5955
0.5919,0.6027
0.5923,0.5976
0.5871,0.595
0.577,0.577
0.5727,0.5841
0.5794,0.587
0.5784,0.5807
0.5758,0.5812
0.578,0.5825
0.5818,0.5903
0.5871,0.6
0.588,0.5904
0.5855,0.5856
0.5455,0.5456
0.5373,0.5399
0.5317,0.538
0.5351,0.5378
0.5312,0.5371
0.5306,0.5365
0.5219,0.5255
0.5206,0.5255
0.52,0.527
0.5264,0.5266
0.5241,0.5339
0.5167,0.5168
0.5056,0.5058
0.5014,0.5029
0.5004,0.5041
0.4989,0.5031
0.493,0.5
0.4981,0.5025
0.4921,0.5
0.4947,0.5054
0.4979,0.506
0.5005,0.5058
0.502,0.505
0.5037,0.5037
0.4813,0.4892
0.4862,0.4977
0.4954,0.4955
0.485,0.488
0.4849,0.4894
0.4808,0.4819
0.4743,0.479
0.4765,0.4879
0.4841,0.4997
0.4769,0.4836
0.4769,0.4858
0.4798,0.49
0.4873,0.5203
0.5053,0.5322
0.5153,0.5209
0.5056,0.52
0.5089,0.5126
0.507,0.5112
0.5096,0.5148
0.5131,0.5139
0.5078,0.5112
0.5101,0.524
0.5168,0.5222
0.5212,0.5335
0.5291,0.532
0.5216,0.5276
0.5256,0.543
0.5396,0.541
0.5326,0.5338
0.5284,0.5375
0.5324,0.533
0.5333,0.5416
0.5403,0.541
0.5331,0.5382
0.5347,0.5351
0.5236,0.5271
0.509,0.5248
0.5249,0.5368
0.5292,0.533
0.5313,0.5494
0.5375,0.5428
0.54,0.5416
0.534,0.5371
0.534,0.5356
0.5318,0.5377
0.5374,0.5438
0.5408,0.5561
0.5501,0.5915
0.5728,0.5835
0.5738,0.5788
0.5648,0.5684
0.5647,0.5673
0.5566,0.559
0.5316,0.5359
0.5275,0.5459
0.5402,0.5435
0.536,0.536
0.5346,0.5415
0.5264,0.5283
0.5274,0.5352
0.5318,0.5332
0.5324,0.5329
0.5277,0.5325
0.5253,0.5298
0.5292,0.5416
0.5363,0.5388
0.5354,0.5411
0.5376,0.5418
0.5406,0.5435
0.5383,0.5562
0.5551,0.5616
0.5556,0.5643
0.5452,0.548
0.5475,0.5489
0.5411,0.5448
0.5401,0.5437
0.542,0.5488
0.5437,0.5439
0.5415,0.544
0.5395,0.5406
0.5359,0.5438
0.5412,0.5464
0.5427,0.56
0.5466,0.5502
0.544,0.5509
0.548,0.5576
0.5542,0.5555
0.5343,0.5413
0.5367,0.5377
0.5388,0.5434
0.5394,0.5472
0.5469,0.5476
0.5439,0.5447
0.5445,0.5545
0.549,0.5505
0.5496,0.5599
0.5414,0.5425
0.5391,0.5413
0.5371,0.5384
0.5378,0.5387
0.5381,0.54
0.5362,0.5376
0.5328,0.536
0.5329,0.5371
0.5314,0.5316
0.5303,0.5306
0.5255,0.5272
0.522,0.5239
0.5096,0.5211
0.5136,0.5212
0.5169,0.5193
0.519,0.5211
0.5207,0.5232
0.521,0.5253
0.5252,0.5292
0.5269,0.5292
0.5284,0.5287
0.5241,0.5268
0.5242,0.5324
0.5303,0.5303
0.5159,0.5214
0.5157,0.5173
0.5145,0.516
0.5148,0.5194
0.5144,0.5148
0.5137,0.518
0.5175,0.5206
0.5196,0.5235
0.5169,0.5177
0.5134,0.5151
0.5117,0.5127
0.5049,0.5092
0.5087,0.5127
0.511,0.5114
0.4993,0.51
0.5065,0.5086
0.5074,0.5074
0.5063,0.5085
0.5083,0.5091
0.5069,0.5095
0.5091,0.512
0.5076,0.5142
0.5137,0.5153
0.5129,0.5137
0.5037,0.5092
0.5091,0.5115
0.5077,0.5216
0.5168,0.5199
0.5189,0.5245
0.5198,0.5207
0.5178,0.5194
0.5172,0.5183
0.5163,0.518
0.516,0.5221
0.5203,0.5204
0.516,0.5194
0.5181,0.5183
0.5184,0.5195
0.5159,0.5211
0.5197,0.5211
0.5192,0.5231
0.5204,0.5257
0.5228,0.5236
0.5208,0.524
0.5206,0.5234
0.5232,0.5344
0.5303,0.5305
0.522,0.5238
0.52,0.5219
0.515,0.5168
0.5112,0.5153
0.5116,0.5116
0.5105,0.5113
0.5104,0.5108
0.5099,0.51
0.509,0.5108
0.5095,0.5136
0.512,0.5132
0.5085,0.5109
0.5042,0.5136
0.5089,0.5108
0.505,0.5101
0.5084,0.5097
0.5041,0.505
0.5039,0.5121
0.5078,0.5083
0.4874,0.5035
0.495,0.4965
0.4938,0.4945
0.49,0.493
0.4905,0.4908
0.4891,0.4913
0.4754,0.4777
0.4769,0.4771
0.4755,0.4808
0.4794,0.482
0.48,0.4844
0.4815,0.4843
0.4831,0.4858
0.4762,0.4813
0.4779,0.4781
0.4748,0.4758
0.4741,0.475
