prices,highs
20.18,29.88
12.926,14.031
12.475,12.8
11.944,12.0
10.576,11.3
10.799,10.816
8.895,9.3
8.348,8.45
8.011,9.489
8.848,9.2
8.389,9.084
9.0,9.5
9.422,9.848
9.548,10.491
10.084,10.899
10.524,11.24
11.106,11.3
10.284,10.284
9.599,10.322
9.588,9.588
9.05,9.05
8.802,8.808
8.716,9.199
9.04,9.04
8.701,8.8
7.842,8.513
8.301,8.576
8.373,8.492
8.121,8.607
8.337,8.595
8.298,8.4
8.143,8.238
7.851,8.05
7.915,7.989
7.932,7.987
7.775,8.08
7.81,8.0
7.803,7.873
7.61,7.789
7.633,7.648
7.302,7.44
7.099,7.215
6.927,7.34
7.108,7.503
6.988,7.471
6.771,6.92
6.9,7.239
6.701,6.797
6.69,6.9
6.9,6.9
6.641,6.702
6.495,6.58
6.351,6.351
6.067,6.12
6.089,6.213
5.999,6.129
5.774,6.999
6.578,7.25
6.549,6.832
6.421,6.483
6.16,6.306
6.25,6.35
6.169,6.25
6.152,7.4
6.675,6.8
6.562,7.29
7.111,7.34
6.919,6.973
6.679,7.09
6.8,6.898
6.716,6.745
6.625,7.405
7.105,7.365
7.057,7.4
7.25,7.34
7.169,7.958
7.698,7.725
7.362,7.779
7.62,7.691
6.987,7.05
6.785,7.005
6.899,6.9
6.555,6.555
6.34,6.501
6.405,6.5
6.082,6.304
5.941,6.32
5.909,6.17
6.08,6.25
6.164,6.164
5.858,6.268
6.1,6.27
5.998,6.167
5.909,6.1
5.914,6.073
5.863,5.956
5.926,5.926
5.734,5.965
5.71,5.859
5.673,5.793
5.701,5.92
5.79,5.915
5.871,5.9
5.824,5.861
5.716,5.763
5.62,5.69
5.397,5.498
5.29,5.449
5.425,5.449
5.388,5.42
5.289,5.375
5.319,5.388
5.331,5.359
5.016,5.104
5.088,5.119
5.018,5.018
5.004,5.19
5.122,5.204
5.101,5.101
4.937,5.132
4.768,4.885
4.761,4.899
4.771,4.822
4.691,4.853
4.594,5.199
4.45,4.6
4.6,4.781
4.701,4.796
4.647,4.7
4.668,4.686
4.584,4.67
4.67,4.67
4.578,4.664
4.52,4.969
4.901,4.985
4.743,4.847
4.688,4.738
4.738,4.932
4.84,4.85
4.71,4.79
4.649,4.889
4.696,4.79
4.609,4.667
4.52,4.651
4.352,4.65
4.425,4.587
4.498,4.598
4.512,4.65
4.53,4.689
4.671,4.75
4.632,4.75
4.689,4.787
4.617,4.7
4.576,4.576
4.506,4.696
4.57,4.641
4.511,4.648
4.646,4.648
4.54,4.646
4.52,4.55
4.444,4.498
4.375,4.479
4.363,4.402
4.29,4.418
4.213,4.398
4.273,4.359
4.327,4.368
4.366,4.622
4.621,4.622
4.44,4.59
4.431,4.511
4.42,4.449
4.4,4.535
4.514,4.535
4.431,4.462
4.314,4.385
4.336,4.336
4.211,4.338
4.225,4.277
4.25,4.32
4.297,4.298
4.282,4.357
4.201,4.24
4.185,4.25
4.224,4.245
4.169,4.242
4.151,4.26
4.241,4.266
4.185,4.24
4.155,4.22
4.199,4.199
4.178,4.245
4.15,4.237
4.17,4.33
4.295,4.3
4.173,4.233
4.189,4.221
4.2,4.283
4.171,4.295
4.157,4.195
4.009,4.044
3.957,3.974
3.953,3.994
3.976,4.12
4.036,4.047
3.935,3.956
3.882,4.0
3.951,4.12
3.989,4.05
3.964,3.994
3.845,3.9
3.865,4.09
3.897,3.899
3.8,3.849
3.785,3.841
3.764,3.82
3.754,4.0
3.922,4.6
4.28,4.4
4.099,4.169
4.016,4.201
4.043,4.192
4.069,4.119
3.952,4.099
4.077,4.257
4.101,4.138
3.958,4.2
4.086,4.122
3.979,4.036
3.975,4.123
3.952,4.118
4.069,4.072
3.959,4.033
4.032,4.05
4.049,4.049
3.936,3.936
3.713,3.8
3.736,3.835
3.795,3.818
3.752,3.833
3.665,3.811
3.765,3.829
3.785,3.82
3.765,3.91
3.81,3.818
3.795,3.87
3.761,3.89
3.832,3.855
3.784,3.87
3.792,3.839
3.815,3.816
3.788,3.885
3.885,3.9
3.813,3.85
3.826,3.85
3.793,3.815
3.8,3.802
3.796,3.849
3.751,3.8
3.793,3.827
3.817,3.85
3.849,3.85
3.746,3.748
3.716,3.729
3.7,3.764
3.764,3.779
3.714,3.77
3.677,3.772
3.703,3.74
3.665,3.77
3.63,3.671
3.658,3.68
3.633,3.722
3.655,3.683
3.627,3.69
3.649,3.657
3.56,3.59
3.518,3.549
3.493,3.519
3.399,3.549
3.517,3.535
3.499,3.535
3.486,3.486
3.336,3.383
3.144,3.186
3.08,3.104
3.006,3.132
3.017,3.183
3.052,3.121
2.95,3.306
3.106,3.222
3.115,3.2
3.074,3.194
3.095,3.113
3.013,3.108
3.06,3.06
2.977,2.977
2.9,2.954
2.849,2.849
2.776,2.862
2.861,2.889
2.878,2.884
2.779,2.913
2.91,2.975
2.969,3.138
3.107,3.144
3.068,3.14
3.049,3.123
3.072,3.092
3.084,3.108
3.107,3.124
3.115,3.115
3.106,3.157
3.142,3.176
3.157,3.167
3.047,3.077
2.991,3.016
2.995,3.052
3.019,3.117
3.04,3.041
2.909,2.935
2.919,2.944
2.901,3.097
3.06,3.078
3.063,3.112
3.08,3.081
3.003,3.044
2.989,3.038
3.025,3.083
2.999,3.0
2.999,2.999
2.81,2.845
2.845,2.878
2.823,2.9
2.882,2.962
2.911,2.912
2.808,2.961
2.888,2.896
2.838,2.892
2.85,3.39
3.221,3.391
3.295,3.299
3.179,3.259
3.18,3.253
3.162,3.166
3.067,3.12
3.074,3.156
3.08,3.155
3.109,3.28
3.197,3.325
3.289,3.807
3.761,5.663
5.001,5.042
4.392,5.962
5.203,5.203
4.796,5.25
4.802,5.075
4.813,5.2
4.812,5.444
5.145,5.235
5.234,5.81
5.549,5.598
5.261,5.502
5.138,5.223
5.198,5.399
5.161,5.161
5.009,5.2
5.18,5.35
5.149,5.25
5.135,5.147
5.014,5.055
4.773,4.916
4.651,4.715
4.538,4.597
4.371,5.3
4.864,4.864
4.53,4.644
4.586,4.594
4.5,4.688
4.658,4.869
4.752,4.795
4.783,4.799
4.695,4.729
4.696,4.776
4.574,4.8
4.655,4.744
4.665,4.893
4.66,4.873
4.79,4.821
4.721,4.755
4.668,4.715
4.586,4.719
4.683,4.713
4.674,4.675
4.437,4.566
4.51,4.536
4.364,4.455
4.335,4.644
4.639,4.64
4.497,4.543
4.445,4.492
4.479,4.539
4.409,4.471
4.42,4.488
4.401,4.401
4.27,4.319
4.289,4.44
4.341,4.38
4.34,4.454
4.351,4.5
4.491,4.5
4.464,4.628
4.55,4.615
4.472,4.492
4.475,4.488
4.447,4.481
4.467,4.47
4.419,4.475
4.475,4.498
4.496,4.879
4.856,4.9
4.55,4.6
4.527,4.582
4.552,4.6
4.539,4.539
4.498,4.531
4.445,4.498
4.415,4.482
4.455,4.455
4.38,4.455
4.453,4.454
4.394,4.408
4.388,4.422
4.404,4.41
4.29,4.314
4.307,4.359
4.28,4.319
4.3,4.354
4.354,4.4
4.37,4.37
4.293,4.315
4.285,4.44
4.355,4.6
4.367,4.399
4.37,4.378
4.365,4.375
4.336,4.347
4.32,4.323
4.287,4.384
4.336,4.36
4.289,4.333
4.293,4.306
4.26,4.314
4.258,4.3
4.144,4.178
4.112,4.174
