prices,highs
1.2071,2.77
2.164,2.2447
2.1709,2.1947
2.0473,2.08
1.9905,2.0795
2.0147,2.06
1.9806,2.0049
1.9713,1.9977
1.9801,1.9961
1.9479,1.9542
1.9235,1.9249
1.9093,1.9491
1.9408,2.0
1.9722,1.9757
1.923,1.926
1.9215,1.9396
1.9063,1.9165
1.905,1.9063
1.8943,1.9017
1.856,1.8735
1.8691,1.9577
1.9298,1.9837
1.9513,1.9701
1.9471,1.9567
1.949,2.0307
2.0086,2.0548
2.0254,2.0299
1.9957,1.996
1.9591,1.96
1.9273,1.9438
1.9323,1.9556
1.9432,1.9566
1.9549,1.9708
1.9701,1.9735
1.9662,1.9685
1.952,1.9578
1.9507,1.97
1.9612,1.972
1.9546,1.9591
1.9459,1.954
1.9423,2.05
2.0394,2.1284
2.0293,2.0748
2.0739,2.4
2.3962,2.6937
2.5097,2.6072
2.439,2.4442
2.3708,2.3708
2.289,2.3717
2.326,2.4019
2.3817,2.4481
2.3481,2.3655
2.3111,2.5545
2.4751,2.534
2.4285,2.484
2.4817,2.6244
2.5415,2.596
2.51,2.51
2.4092,2.4499
2.422,2.431
2.3988,2.3989
2.3671,2.4743
2.4743,2.4852
2.3612,2.3798
2.3737,2.43
2.4102,2.4461
2.413,2.523
2.4713,2.4752
2.4349,2.4354
2.369,2.3738
2.337,2.35
2.3398,2.3409
2.3059,2.3173
2.3154,2.3212
2.3049,2.3099
2.2547,2.3212
2.2781,2.2849
2.253,2.2533
2.1996,2.2
2.128,2.2136
2.2152,2.24
2.2331,2.2599
2.2487,2.2803
2.2526,2.2629
2.2297,2.2343
2.1917,2.1949
2.1688,2.1851
2.146,2.1513
2.1298,2.1859
2.1719,2.2639
2.1979,2.2696
2.265,2.2659
2.222,2.2267
2.1878,2.2884
2.2333,2.2499
2.2361,2.2567
2.2554,2.2595
2.2238,2.25
2.2448,2.2836
2.2352,2.2352
2.2,2.2147
2.161,2.1648
2.1408,2.1622
2.1569,2.1569
2.1225,2.129
1.9382,1.9868
1.946,2.0642
2.0634,2.0673
2.052,2.0818
2.0724,2.0909
2.0534,2.0634
2.0408,2.0599
2.0321,2.0641
2.0633,2.0912
2.0906,2.1473
2.1256,2.13
2.1293,2.1664
2.1568,2.1568
2.1344,2.139
2.0944,2.118
2.1012,2.1057
2.0842,2.0916
2.0454,2.068
2.0604,2.0789
2.0439,2.0661
2.066,2.0951
2.0937,2.0959
2.0842,2.092
2.0914,2.1809
2.1265,2.1314
2.094,2.1155
2.115,2.1585
2.1475,2.2048
2.1979,2.25
2.1812,2.1916
2.1832,2.1847
2.1433,2.1463
2.1245,2.187
2.1862,2.19
2.1131,2.1427
2.1318,2.1526
2.1419,2.193
2.192,2.1945
2.1624,2.173
2.1687,2.23
2.2022,2.2071
2.1882,2.25
2.2185,2.25
2.2326,2.2597
2.2496,2.2576
2.2227,2.2289
2.2159,2.2281
2.2245,2.2382
2.2292,2.2386
2.2364,2.2425
2.2269,2.2433
2.2184,2.237
2.2172,2.2581
2.2532,2.2721
2.2312,2.2442
2.2164,2.2305
2.228,2.2455
2.2457,2.2483
2.2143,2.233
2.2194,2.232
2.22,2.2277
2.1892,2.191
2.1845,2.1963
2.1896,2.1945
2.167,2.167
2.1608,2.1614
2.1343,2.1449
2.1391,2.1434
2.1084,2.122
2.1197,2.1427
2.122,2.15
2.1099,2.1285
2.1283,2.135
2.1209,2.1312
2.1105,2.1261
2.1237,2.1365
2.1294,2.1398
2.1304,2.131
2.1248,2.1542
2.1536,2.1787
2.1772,2.196
2.1958,2.196
2.1709,2.1846
2.1769,2.2052
2.2016,2.26
2.2156,2.225
2.1813,2.2112
2.1997,2.2458
2.2441,2.2699
2.2665,2.29
2.2644,2.265
2.2462,2.2606
2.2342,2.2608
2.2018,2.2212
2.1847,2.1999
2.1999,2.2089
2.1921,2.215
2.2144,2.2174
2.2077,2.2224
2.2172,2.2897
2.2733,2.2859
2.2405,2.2473
2.2151,2.2422
2.2357,2.2938
2.2809,2.3359
2.3067,2.3197
2.2338,2.2473
2.2338,2.2605
2.2596,2.2623
2.2518,2.2568
2.18,2.2077
2.2076,2.2128
2.2087,2.2089
2.1805,2.229
2.1714,2.1834
2.1598,2.1797
2.1656,2.186
2.1717,2.1933
2.1823,2.19
2.1695,2.2003
2.1848,2.2033
2.2023,2.2047
2.1915,2.1932
2.1605,2.2026
2.1975,2.2
2.1594,2.1989
2.1887,2.2821
2.2335,2.2772
2.2515,2.263
2.2425,2.2519
2.2307,2.3
2.2986,2.3071
2.2764,2.2865
2.2593,2.2802
2.2776,2.3
2.2818,2.2988
2.2685,2.2751
2.2463,2.2601
2.2341,2.2392
2.2077,2.2173
2.1792,2.1991
2.1977,2.1991
2.1897,2.216
2.2088,2.2113
2.192,2.2323
2.2304,2.313
2.2759,2.2763
2.2502,2.2646
2.2601,2.2723
2.2558,2.2637
2.2588,2.3109
2.3104,2.35
2.3203,2.3402
2.3048,2.3145
2.3056,2.3056
2.2768,2.2864
2.2448,2.2454
2.1795,2.2048
2.1864,2.204
2.1942,2.2043
2.183,2.2069
2.199,2.2095
2.1864,2.2168
2.1536,2.2
2.1874,2.1938
2.1485,2.1573
2.1566,2.1762
2.1753,2.1797
2.1661,2.1668
2.1565,2.1636
2.1578,2.1762
2.1737,2.1939
2.1908,2.2093
2.2036,2.2425
2.2283,2.2396
2.231,2.24
2.2225,2.2392
2.2098,2.2178
2.2179,2.2317
2.225,2.2322
2.2085,2.2289
2.2272,2.2326
2.2123,2.219
2.2014,2.2055
2.1853,2.1943
2.175,2.1863
2.1339,2.1623
2.1328,2.1631
2.1488,2.162
2.1574,2.1661
2.1572,2.1715
2.161,2.1655
2.1619,2.1625
2.142,2.1486
2.146,2.1629
2.1623,2.1745
2.1706,2.1745
2.154,2.1637
2.1637,2.1689
2.1463,2.147
2.1399,2.145
2.0977,2.1055
2.099,2.11
2.101,2.1044
2.0983,2.1049
2.0988,2.12
2.1184,2.1219
2.1015,2.1037
2.0768,2.0983
2.0852,2.0902
2.0356,2.0676
2.0552,2.0637
2.027,2.0768
2.0677,2.0723
2.063,2.063
2.0266,2.0342
2.0114,2.0638
2.0518,2.07
2.0671,2.0762
2.0652,2.0824
2.0777,2.1128
2.0938,2.0971
2.07,2.0737
1.9911,2.0175
1.9789,1.9986
1.9474,1.9827
1.9565,1.9905
1.9879,2.0046
1.9839,1.9888
1.9,1.9344
1.9315,1.9372
1.9114,1.9261
1.9195,1.9327
1.9231,1.9551
1.9545,1.9551
1.9453,1.9496
1.9397,1.9525
1.9303,1.9497
1.9423,1.9765
1.9754,1.9855
1.9391,1.9415
1.9058,1.9319
1.9319,1.9594
1.9586,1.972
1.969,1.9883
1.9688,1.9856
1.9821,1.9926
1.9838,2.0459
2.0443,2.0818
2.03,2.031
1.9989,2.035
2.0258,2.044
2.0426,2.0431
2.0125,2.0254
2.0,2.0102
1.9976,2.0014
1.9747,1.9747
1.9378,1.9481
1.8937,1.9292
1.9239,1.9375
1.9326,1.9346
1.9095,1.9183
1.8659,1.8778
1.83,1.8857
1.8578,1.9001
1.8845,1.8886
1.8529,1.8726
1.8528,1.8574
1.8497,1.8754
1.8238,1.8577
1.8573,1.872
1.8663,1.8824
1.8795,1.8808
1.8641,1.8754
1.8462,1.8545
1.8076,1.8161
1.8023,1.8403
1.8312,1.8443
1.8269,1.8566
1.8518,1.8575
1.8305,1.84
1.798,1.8248
1.8183,1.8326
1.8322,1.8599
1.852,1.8635
1.843,1.8746
1.8712,1.8753
1.8667,1.8792
1.8782,1.8881
1.8698,1.8964
1.8948,1.9262
1.9052,1.9262
1.9134,1.9164
1.8681,1.9047
1.9021,1.9033
1.8971,1.9487
1.935,1.9478
1.9383,1.9627
1.9609,1.9631
1.9365,1.9383
1.9269,1.928
1.902,1.9023
1.8634,1.8942
1.8916,1.8949
1.8822,1.8901
1.883,1.8842
1.841,1.8518
1.8213,1.8406
1.8358,1.8502
1.8153,1.819
1.8025,1.8064
1.7774,1.7985
1.7757,1.7977
1.7918,1.8065
1.7902,1.7911
1.7891,1.8
1.7785,1.8
1.7508,1.7509
1.7056,1.7324
1.6996,1.7044
1.6872,1.7001
1.6687,1.6826
1.6669,1.6712
1.6425,1.6567
1.6559,1.656
1.6034,1.6477
1.6467,1.6467
1.6229,1.6914
1.6839,1.7196
1.7068,1.7168
1.7096,1.7096
1.6789,1.7263
1.7182,1.7302
1.7227,1.7385
1.7318,1.7488
1.7321,1.7454
1.7258,1.7314
1.6915,1.6978
1.6887,1.6932
1.6468,1.6499
1.6366,1.6692
1.6683,1.6683
1.6273,1.6514
1.6471,1.666
1.6224,1.6323
1.6024,1.6098
1.594,1.6227
1.618,1.6669
