prices,highs
1.5,1.799
1.3,1.65
1.5457,1.5525
1.5458,1.681
1.6809,1.6809
1.6011,1.6379
1.602,1.6366
1.601,1.6479
1.6479,1.676
1.6288,1.6288
1.6,1.6
1.5805,1.61
1.6098,1.6148
1.6148,1.631
1.6108,1.627
1.5868,1.6028
1.6028,1.6028
1.5948,1.598
1.5711,1.5868
1.5789,1.5868
1.5553,1.577
1.571,1.5948
1.5789,1.5789
1.5389,1.5389
1.58,1.6188
1.6184,1.6188
1.5705,1.602
1.59,1.59
1.5705,1.5705
1.59,1.595
1.588,1.588
1.5864,1.5864
1.5864,1.6184
1.6183,1.6266
1.6103,1.6103
1.6023,1.7
1.689,1.7885
1.7191,1.7191
1.7099,1.799
1.7616,1.799
1.799,1.799
1.79,1.7989
1.7634,1.7634
1.7196,1.737
1.737,1.8
1.7901,1.9
1.8719,1.946
1.8025,1.8999
1.8,1.82
1.8891,1.99
1.882,1.9498
1.8789,1.9486
1.8616,1.988
1.9448,1.9448
1.8763,1.94
1.935,1.935
1.8998,1.8999
1.87,1.8998
1.8211,1.8799
1.8369,1.929
1.899,1.93
1.9249,1.9249
1.93,1.95
1.94,1.99
1.895,1.9734
1.91,1.99
1.9779,1.9897
1.9,1.9888
1.9001,1.9899
1.9781,1.9899
1.9255,1.9999
1.998,1.999
1.9889,2.05
1.96,2.0295
2.0294,2.0295
2.0,2.02
2.0197,2.02
2.0182,2.0497
2.03,2.035
2.02,2.0299
2.0299,2.07
2.0599,2.0599
2.0271,2.1
2.0661,2.15
2.145,2.1997
2.11,2.1289
2.0912,2.11
2.1289,2.1302
2.0937,2.1297
2.1279,2.1279
2.06,2.1275
2.0201,2.026
1.9601,1.99
1.99,2.02
2.0189,2.0189
1.9976,2.02
1.9101,1.97
1.94,1.9497
1.92,1.93
1.9,1.9488
1.9487,1.9488
1.9459,1.97
1.9301,2.0101
1.8335,1.92
1.8556,1.894
1.7998,1.825
1.7,1.799
1.7705,1.775
1.7301,1.7723
1.744,1.89
1.83,1.83
1.797,1.797
1.65,1.73
1.67,1.67
1.6022,1.7912
1.751,1.8799
1.801,1.801
1.79,1.88
1.88,1.9
1.9,1.925
1.8901,1.8901
1.9178,1.9179
1.8452,1.9169
1.838,1.8772
1.849,1.849
1.8023,1.8471
1.8008,1.8463
1.8211,1.8461
1.8152,1.8152
1.7304,1.7304
1.648,1.718
1.66,1.6998
1.63,1.67
1.65,1.65
1.62,1.67
1.65,1.7
1.699,1.7
1.6521,1.7
1.6701,1.6999
1.69,1.69
1.656,1.6633
1.6567,1.6567
1.61,1.6401
1.5952,1.6041
1.5305,1.6153
1.51,1.5999
1.569,1.569
1.4908,1.5001
1.48,1.62
1.5676,1.7
1.61,1.61
1.58,1.65
1.6491,1.6689
1.6003,1.6398
1.585,1.6792
1.5887,1.669
1.57,1.62
1.575,1.6389
1.5797,1.5798
1.59,1.62
1.5885,1.5885
1.5879,1.6
1.5878,1.5878
1.5059,1.6
1.47,1.549
1.5,1.6
1.5764,1.577
1.57,1.6
1.6,1.6
1.5995,1.65
1.5899,1.6391
1.6387,1.6389
1.6389,1.639
1.6298,1.6349
1.6004,1.6995
1.6994,1.7381
1.7089,1.7101
1.7039,1.7097
1.705,1.705
1.6674,1.705
1.6484,1.6749
1.6741,1.6999
1.6422,1.6626
1.6342,1.6342
1.625,1.6595
1.6628,1.6628
1.6462,1.6464
1.6628,1.6629
1.6628,1.6893
1.6801,1.7089
1.71,1.7381
1.6857,1.7002
1.6979,1.6979
1.6755,1.6947
1.6946,1.6946
1.6705,1.6929
1.6925,1.6926
1.6688,1.6688
1.6379,1.659
1.6299,1.6299
1.6006,1.6167
1.5898,1.6277
1.5899,1.59
1.5695,1.5727
1.565,1.59
1.58,1.59
1.5898,1.6154
1.6001,1.6181
1.6156,1.6156
1.5976,1.6181
1.5799,1.5799
1.5913,1.5913
1.5707,1.5913
1.5721,1.633
1.602,1.6101
1.6004,1.6294
1.5987,1.6198
1.5991,1.5992
1.5991,1.5991
1.5739,1.5934
1.5794,1.5969
1.5959,1.598
1.5978,1.6794
1.5941,1.5942
1.5737,1.6004
1.5806,1.5837
1.5483,1.575
1.5305,1.568
1.5119,1.5289
1.5005,1.5499
1.5101,1.5286
1.5185,1.549
