prices,highs
4261.48,4313.62
4308.83,4328.69
4330.29,4345.45
4316.62,4349.99
4333.32,4377.85
4360.0,4445.78
4441.1,4470.0
4460.0,4485.39
4436.06,4449.56
4411.0,4459.0
4459.0,4485.39
4470.82,4470.82
4352.33,4354.35
4354.18,4354.84
4289.24,4302.45
4241.91,4335.3
4307.56,4354.84
4346.74,4369.69
4333.55,4359.13
4313.39,4337.38
4285.08,4340.62
4269.36,4269.36
4251.95,4298.64
4244.77,4308.7
4292.39,4292.39
4287.92,4340.62
4313.56,4316.98
4279.46,4304.67
4285.0,4320.71
4265.33,4327.25
4304.15,4371.52
4356.31,4357.37
4320.52,4340.31
4302.97,4318.16
4293.09,4293.09
4259.4,4259.4
4234.54,4283.79
4250.34,4250.34
4171.17,4297.75
4086.28,4136.48
4135.0,4135.0
4015.4,4015.4
3996.92,4131.83
4106.35,4136.48
4108.37,4178.31
4163.49,4184.69
4148.53,4184.0
4180.0,4180.0
4138.5,4156.0
4123.95,4123.95
4077.0,4082.0
3969.12,4033.47
4033.47,4064.84
3999.0,4082.25
4054.0,4082.0
4016.0,4033.0
3945.12,4095.0
4095.0,4100.0
4066.0,4068.31
4036.59,4063.44
4036.19,4049.69
3985.0,4048.99
4013.69,4096.0
4073.47,4103.92
4088.71,4103.92
4075.98,4149.99
4090.0,4141.0
4120.78,4139.98
4120.98,4139.98
4086.09,4086.09
4096.33,4124.69
4111.26,4111.26
4094.62,4094.62
4087.0,4142.16
4117.41,4117.41
4081.4,4156.56
4155.87,4211.08
4155.0,4158.61
4140.0,4142.41
4104.68,4125.44
4106.53,4125.43
4125.0,4125.0
4096.32,4096.32
4100.0,4125.0
4125.0,4150.0
4131.46,4138.07
4129.32,4158.61
4154.56,4185.94
4161.59,4171.62
4140.93,4156.56
4162.59,4169.98
4151.14,4171.62
4069.13,4119.62
4108.28,4114.86
4094.6,4109.26
4079.94,4104.68
4079.26,4104.68
4104.68,4104.68
4011.04,4032.01
3982.96,4055.92
4043.63,4055.92
4036.3,4077.07
4066.0,4088.12
4063.0,4063.0
4023.11,4023.11
4000.0,4023.11
3914.59,4023.11
3967.5,4022.0
4005.99,4029.05
4019.99,4029.06
3997.57,4029.06
3918.8,4042.11
4027.05,4042.11
4025.04,4070.49
4039.1,4041.23
4025.0,4031.87
4016.0,4016.0
3790.0,3890.51
3700.0,3849.98
3822.5,3862.39
3863.0,3868.57
3500.8,3695.62
3619.95,3854.46
3803.0,3803.0
3798.08,3805.76
3794.12,3920.31
3904.56,3904.56
3844.07,3905.56
3866.48,3990.12
3949.01,3964.75
3874.38,3920.99
3829.5,3921.63
3858.23,3952.89
3905.84,3998.99
3944.0,4104.82
4071.22,4101.24
3984.5,4061.54
3960.29,4038.96
3999.96,4046.11
4009.1,4045.0
4040.0,4077.18
4048.1,4100.0
4101.53,4127.99
4083.72,4126.99
4084.54,4115.87
4084.0,4110.0
4064.0,4099.99
4089.45,4098.88
4081.63,4124.0
4123.88,4242.32
4208.11,4228.02
4203.12,4237.99
4205.98,4265.8
4215.68,4230.92
4166.89,4212.29
4174.0,4226.95
4226.94,4259.58
4220.56,4231.0
4166.27,4191.71
4143.37,4168.9
4136.48,4136.48
4105.25,4178.65
4090.0,4152.0
4151.88,4169.99
4147.0,4154.55
4132.0,4195.0
4141.88,4204.55
4146.97,4163.59
4113.58,4148.19
4113.98,4177.64
4132.09,4177.18
4153.97,4173.99
4153.8,4206.88
4200.0,4224.0
4166.0,4250.94
4173.98,4215.74
4211.78,4224.64
4167.69,4184.48
4173.11,4250.9
4235.9,4250.78
4223.06,4250.71
4225.5,4236.0
4188.18,4221.0
4234.0,4250.77
4216.1,4245.0
4208.1,4234.0
4207.0,4330.61
4326.24,4371.68
4316.01,4369.0
4368.0,4370.0
4333.01,4363.71
4346.14,4363.71
4312.69,4362.0
4296.63,4340.0
4294.79,4333.96
4302.72,4335.0
4317.81,4354.35
4332.17,4352.0
4344.56,4344.56
4331.67,4361.28
4361.27,4361.27
4311.69,4345.0
4303.82,4340.0
4321.5,4422.29
4394.36,4453.91
4414.01,4424.99
4409.44,4449.44
4406.35,4420.0
4326.0,4326.0
4286.29,4336.13
4288.99,4365.0
4304.02,4343.18
4280.71,4315.0
4305.5,4315.0
4284.0,4305.75
4245.01,4297.94
4297.94,4297.94
4297.94,4319.67
4307.72,4319.7
4308.82,4319.7
4319.7,4319.7
4318.74,4318.74
4289.12,4317.99
4307.5,4317.99
4288.72,4306.74
4260.41,4295.0
4258.53,4274.0
4274.0,4275.0
4275.0,4275.0
4265.97,4272.99
4255.19,4273.0
4272.0,4351.32
4293.52,4335.06
4345.0,4345.0
4323.06,4330.0
4288.1,4367.0
4332.51,4368.2
4339.0,4383.03
4379.5,4400.0
4379.24,4379.24
4329.19,4370.85
4328.0,4342.19
4314.9,4344.9
4335.11,4342.96
4331.29,4352.34
4323.9,4345.81
4330.0,4330.0
4323.87,4344.99
4340.0,4340.0
4314.11,4333.68
4312.69,4324.36
4312.19,4335.0
4290.01,4339.99
4339.99,4370.92
4369.0,4370.92
4370.42,4386.78
4336.12,4386.79
4386.0,4386.0
4350.0,4371.42
4367.4,4367.4
4310.01,4326.99
4282.2,4317.2
4280.04,4330.36
4295.0,4310.0
4239.36,4252.76
4251.92,4251.92
4223.8,4282.07
4221.04,4297.11
4261.9,4305.0
4252.7,4298.83
4240.0,4317.21
4290.77,4365.4
4309.0,4347.0
4280.0,4347.0
4295.32,4320.9
4291.13,4315.0
4317.2,4341.99
4322.65,4370.45
4324.64,4362.99
4312.69,4361.37
4321.65,4339.8
4312.43,4349.98
4346.76,4399.82
4353.32,4386.69
4353.65,4386.68
4349.44,4386.69
4349.55,4359.99
4359.99,4383.99
4363.48,4383.98
4363.16,4404.05
4356.76,4389.49
4389.44,4404.07
4328.12,4382.99
4352.52,4379.99
4367.4,4368.47
4346.86,4417.61
4368.5,4436.94
4417.07,4625.85
4581.61,4599.96
4545.86,4597.97
4569.65,4584.0
4505.0,4555.55
4533.47,4555.54
4536.64,4555.55
4540.0,4597.0
4563.5,4624.99
4618.92,4618.92
4590.0,4619.6
4564.52,4599.78
4576.23,4619.99
4597.54,4615.55
4586.66,4618.3
4600.0,4625.0
4599.52,4617.0
4590.49,4647.51
4588.0,4632.0
4550.0,4597.0
4566.35,4589.77
4502.17,4538.09
4538.09,4569.0
4537.0,4592.76
4561.06,4588.0
4584.0,4589.67
4549.08,4575.18
4555.0,4598.08
4546.75,4600.0
4590.01,4609.92
4554.07,4574.3
4536.82,4571.87
4547.74,4565.0
4561.69,4579.91
4547.91,4579.85
4555.14,4579.99
4579.99,4605.99
4574.8,4600.0
4596.54,4606.0
4596.54,4609.0
4592.92,4628.12
4600.0,4613.0
4572.99,4603.34
4603.58,4615.0
4572.64,4613.6
4596.52,4678.57
4632.97,4675.0
4674.97,4674.97
4673.87,4685.55
4685.55,4685.55
4657.76,4685.17
4648.82,4685.56
4684.98,4684.98
4683.9,4717.45
4703.02,4745.42
4688.47,4717.42
4685.5,4724.71
4685.03,4700.0
4699.0,4724.89
4689.89,4745.35
4730.05,4766.99
4740.99,4767.0
4767.0,4767.0
4714.73,4734.99
4672.0,4688.96
4664.14,4696.99
4666.66,4713.8
4715.0,4762.99
4731.01,4750.0
4739.33,4778.19
4761.42,4798.46
4775.0,4793.0
4783.0,4839.92
4777.02,4788.0
4748.46,4804.12
4756.46,4803.83
4776.93,4794.97
4792.97,4811.82
4758.67,4815.67
4808.79,4819.67
4819.65,4859.44
4760.01,4857.6
4844.24,4885.55
4796.16,4885.55
4885.55,4932.38
4932.38,4939.19
4839.96,4850.0
4765.01,4814.49
4797.45,4814.44
4493.0,4732.86
4732.85,4780.0
4701.02,4709.4
4628.9,4660.29
4604.01,4654.73
4634.95,4688.66
4669.75,4675.0
4604.97,4637.56
4618.39,4618.39
4433.58,4483.62
4465.12,4508.96
4443.0,4545.76
4554.98,4554.98
4486.06,4509.96
4509.77,4509.96
4351.28,4414.59
4398.49,4492.88
4439.92,4508.5
4508.5,4618.38
4556.71,4609.98
4545.0,4569.95
4568.91,4618.4
4584.78,4714.75
4697.72,4714.76
