prices,highs
0.023,16.79999
3.46,3.46
3.13778,3.265
2.87013,3.2299
3.13635,3.65999
3.54781,3.58999
3.09333,3.10128
2.90215,2.9577
2.61896,3.0468
2.97546,3.48724
3.29793,3.84467
3.66761,3.96
3.5999,3.60403
3.32715,3.45
3.26271,3.548
3.26707,3.43
3.30427,3.42565
3.00262,3.19999
3.19912,3.2
2.99197,3.02769
2.92034,3.1
2.8943,3.07839
3.002,3.067
2.99865,3.06
2.96719,2.98818
2.75492,2.82308
2.73877,2.74546
2.61685,2.69888
2.58194,2.64593
2.61793,2.8
2.73127,2.73902
2.59384,2.71284
2.69132,3.07173
2.72946,2.77497
2.65792,2.71
2.67938,2.789
2.6348,2.683
2.57618,2.67
2.65137,2.68727
2.60869,2.64575
2.59824,2.62476
2.59261,2.59439
2.55,2.63
2.54693,2.55555
2.5413,2.56778
2.54255,2.64
2.56381,2.63623
2.59801,2.60001
2.57098,2.75
2.58787,2.64631
2.60011,2.83468
2.76368,2.76825
2.61,2.62198
2.55231,2.62721
2.56647,2.5899
2.556,2.62903
2.57207,2.6
2.53982,2.54157
2.4525,2.45659
2.2813,2.29741
2.28179,2.33368
2.2628,2.3
2.20521,2.235
2.20802,2.24
2.2,2.27344
2.26884,2.3005
2.29234,2.35876
2.25232,2.3645
2.32965,2.34443
2.31838,2.32959
2.29937,2.32787
2.29952,2.31151
2.24864,2.26151
2.23613,2.23665
2.22096,2.26
2.22365,2.27409
2.25068,2.2545
2.23731,2.25338
2.22298,2.25037
2.23032,2.25
2.23026,2.2575
2.25749,2.29882
2.27995,2.28
2.19203,2.19204
2.09808,2.11141
2.09342,2.09918
2.09585,2.09846
2.05237,2.12448
2.07578,2.07633
2.02907,2.06099
2.01,2.01418
1.95527,2.02
1.96456,1.987
1.94674,1.96771
1.95871,1.95872
1.90271,1.90422
1.875,1.93
1.88389,1.95597
1.91771,1.97668
1.972,1.972
1.84464,1.8758
1.85933,1.87969
1.85873,1.88
1.87899,1.88372
1.85786,1.86099
1.84299,1.87312
1.86562,1.964
1.94729,1.94739
1.90468,1.9388
1.90606,1.92413
1.89343,1.94536
1.93915,1.97668
1.92116,2.01061
1.98015,2.10402
2.06445,2.0667
2.00223,2.07
1.99489,1.99847
1.93966,1.96
1.89819,1.91553
1.88822,1.93
1.91071,1.94238
1.91873,1.93661
1.89673,1.90547
1.8694,1.98853
1.87477,1.90891
1.89395,1.96
1.88375,1.95
1.91017,1.9245
1.89859,1.9251
1.91002,1.93
1.89183,1.89496
1.88149,1.8989
1.89401,1.89633
1.86424,1.87931
1.86935,1.885
1.86347,1.87996
1.85301,1.88666
1.87059,1.8888
1.8711,1.87166
1.86579,1.88927
1.86796,1.92
1.91489,1.98853
1.97162,2.03254
1.9636,1.97959
1.92382,1.96965
1.93737,2.04148
2.03846,2.03989
2.01,2.262
2.20351,2.20494
2.1024,2.13119
2.01978,2.04444
1.98179,2.11562
2.10452,2.10713
2.03717,2.03717
1.99331,2.06654
2.01226,2.059
1.96103,1.96305
1.90916,1.91166
1.85443,1.957
1.94619,1.99622
1.96688,1.96999
1.89179,1.955
1.95152,1.9662
1.93227,1.93398
1.90833,1.92372
1.89891,1.95
1.92952,1.93166
1.905,1.90505
1.88699,1.895
1.89017,1.92774
1.90114,1.90947
1.89651,1.91916
1.91921,1.94487
1.91002,1.91709
1.88509,2.02999
1.93386,1.94881
1.90921,1.91331
1.91199,1.91322
1.88821,1.8974
1.89554,1.9
1.88001,1.8955
1.8853,1.89034
1.88937,1.91135
1.89382,1.90176
1.88187,1.89098
1.83652,1.83973
1.80897,1.83473
1.79639,1.80724
1.78478,1.82121
1.81517,1.82327
1.78504,1.79884
1.76378,1.774
1.73985,1.76168
1.75899,1.76189
1.70503,1.7583
1.70608,1.72717
1.69891,1.85847
1.78831,1.79056
1.76558,1.77329
1.75254,1.76013
1.73737,1.73834
1.71728,1.73168
1.72665,1.7664
1.74848,1.751
1.72979,1.77736
1.76432,1.78205
1.76246,1.77552
1.76791,1.7889
1.77922,1.79808
1.78363,1.79621
1.7669,1.83199
1.80692,2.09
2.02496,2.1
1.9043,1.91215
1.88395,1.93
1.91502,2.24951
2.18669,2.18894
2.05086,2.5
2.43953,2.85
2.55836,2.73309
2.43792,2.5
2.40156,2.55897
2.38866,2.55536
2.39801,2.43205
2.352,2.435
2.36012,2.47
2.36695,2.38162
2.2851,2.34682
2.33227,2.35235
2.29002,2.29988
2.2513,2.27122
2.20853,2.4
2.29571,2.29912
2.181,2.22384
2.1934,2.28879
2.21301,2.28199
2.213,2.22435
2.18366,2.20091
2.15354,2.1666
2.13807,2.17783
2.09,2.22786
2.20595,2.20999
2.14306,2.27559
2.23861,2.3144
2.21465,2.24424
2.18805,2.25551
2.17734,2.18499
2.14697,2.18
