prices,highs
0.2,6.0
4.855,4.922
4.66,5.821
5.812,6.321
5.678,6.089
5.365,5.542
5.275,5.366
4.92,5.335
5.12,5.355
5.2,5.222
4.884,5.059
4.945,5.212
5.027,5.25
5.118,5.31
5.272,5.276
5.105,5.149
5.047,5.25
5.192,5.684
5.622,5.973
5.863,5.889
5.672,5.747
5.611,6.15
6.047,6.23
6.21,6.4
6.108,6.213
6.032,6.099
6.088,6.137
5.878,6.053
5.877,5.894
5.754,5.82
5.585,5.77
5.722,5.95
5.932,6.15
6.084,6.084
5.882,5.97
5.894,6.051
6.012,6.134
6.017,6.201
6.134,6.5
6.42,6.666
6.425,6.65
6.634,6.97
6.882,6.986
6.802,7.25
7.165,7.241
6.954,7.149
7.067,7.355
7.295,8.082
7.727,8.361
7.686,7.947
7.807,8.06
7.738,7.94
7.6,7.734
7.65,7.715
7.419,7.55
7.266,7.67
7.547,7.95
7.614,7.777
7.699,7.845
7.607,7.999
7.848,7.957
7.768,7.968
7.943,8.285
7.914,7.97
7.722,7.932
7.864,7.893
7.714,7.774
7.575,7.791
7.504,7.746
7.644,7.875
7.7,7.75
7.161,7.247
7.051,7.2
7.09,7.223
7.053,7.185
7.007,7.139
7.01,7.1
7.045,7.4
7.259,7.33
7.319,7.346
7.175,7.24
7.218,7.5
7.422,7.731
7.699,7.707
7.499,7.667
7.622,7.713
7.512,7.66
7.61,7.665
7.423,7.567
7.481,7.536
7.343,7.441
7.39,7.41
7.335,7.356
7.352,7.5
7.412,7.569
7.551,7.634
7.541,7.7
7.472,7.509
7.461,7.515
7.408,7.565
7.546,7.558
7.372,7.543
7.51,7.61
7.453,7.763
7.714,7.748
7.588,7.749
7.695,7.85
7.633,7.68
7.623,7.678
7.446,7.512
7.428,7.493
7.408,7.494
7.468,7.557
7.532,7.602
7.596,7.713
7.605,7.737
7.682,7.767
7.628,7.639
7.524,7.567
7.492,7.523
7.413,7.545
7.526,7.541
7.477,7.516
7.462,7.469
7.333,7.369
7.216,7.286
7.224,7.228
7.104,7.214
7.2,7.278
7.257,7.261
7.014,7.109
7.07,7.08
6.988,7.046
6.952,7.031
7.017,7.066
6.979,7.054
6.976,6.977
6.933,7.099
7.041,7.15
7.142,7.15
7.046,7.133
7.122,7.224
7.141,7.222
7.173,7.181
7.099,7.42
7.285,7.338
7.298,7.43
7.3,7.42
7.377,7.43
7.277,7.355
7.281,7.294
7.143,7.222
7.193,7.222
7.161,7.193
7.1,7.215
7.164,7.399
7.389,7.4
7.298,7.5
7.397,7.446
7.353,7.39
7.253,7.281
7.248,7.253
7.187,7.227
7.182,7.26
7.209,7.209
7.11,7.156
7.117,7.381
7.304,7.36
7.132,7.173
7.118,7.159
7.085,7.148
7.097,7.128
7.101,7.15
7.054,7.073
7.04,7.055
7.012,7.025
7.01,7.12
7.093,7.109
7.087,7.154
7.091,7.106
7.092,7.152
7.146,7.2
7.04,7.124
7.107,7.198
7.196,7.245
7.166,7.655
7.578,7.759
7.693,7.99
7.918,8.299
8.245,8.734
8.418,8.539
8.459,8.512
8.213,8.236
8.138,8.34
8.304,8.429
8.329,8.356
8.197,8.273
8.222,8.253
8.176,8.312
8.278,8.439
8.39,8.39
8.133,8.201
8.124,8.197
8.167,8.277
8.18,8.266
8.048,8.119
7.914,7.985
7.901,8.15
8.15,8.276
8.198,8.55
8.477,8.569
8.328,8.349
8.193,8.194
8.108,8.271
8.225,8.24
8.047,8.124
8.033,8.276
8.204,8.21
8.112,8.217
7.994,8.008
7.917,7.975
7.794,7.851
7.743,7.819
7.783,7.847
7.739,7.748
7.637,7.767
7.74,7.793
7.665,7.771
7.713,7.869
7.813,7.843
7.699,7.75
7.663,7.88
7.85,7.95
7.878,7.935
7.926,8.076
7.858,7.937
7.898,7.913
7.823,7.847
7.619,7.631
7.626,7.73
7.653,7.675
7.584,7.637
7.598,7.689
7.688,7.698
7.693,7.696
7.649,7.653
7.594,7.65
7.595,7.667
7.615,7.615
7.498,7.549
7.547,7.563
7.535,7.702
7.597,7.597
7.54,7.543
7.291,7.3
7.299,7.3
7.256,7.286
7.229,7.299
7.286,7.358
7.313,7.316
7.247,7.267
7.18,7.227
7.217,7.273
7.244,7.314
7.196,7.28
7.235,7.26
7.232,7.274
7.264,7.287
7.285,7.436
7.355,7.415
7.379,7.428
7.396,7.464
7.372,7.424
7.325,7.336
7.227,7.414
7.41,7.45
7.447,7.6
7.532,7.595
7.437,7.7
7.633,7.743
7.656,7.764
7.642,7.788
7.766,7.849
7.679,7.684
7.508,7.643
7.636,7.683
7.642,7.673
7.644,7.677
7.653,7.755
7.642,7.682
7.679,7.702
7.645,7.645
7.491,7.523
7.459,7.565
7.509,7.511
7.374,7.505
7.5,7.504
7.438,7.455
7.431,7.49
7.429,7.489
7.441,7.485
7.481,7.782
7.742,7.9
7.859,7.869
7.658,7.748
7.544,7.558
7.523,7.668
7.585,7.632
7.527,7.56
7.449,7.66
7.606,7.757
7.711,7.711
7.584,7.604
7.596,7.612
7.535,7.589
7.583,7.707
7.676,7.726
7.691,7.734
7.64,7.698
7.599,7.687
7.584,7.619
7.421,7.488
7.487,7.493
7.224,7.343
7.342,7.384
7.361,7.453
7.386,7.435
7.336,7.46
7.363,7.399
7.34,7.47
7.455,7.53
7.374,7.426
7.17,7.384
7.292,7.299
7.191,7.199
7.159,7.216
6.934,7.083
7.071,7.25
7.209,7.34
7.255,7.26
7.202,7.234
7.215,7.276
7.27,7.306
7.256,7.302
7.183,7.2
7.159,7.186
7.158,7.439
7.36,7.42
7.253,7.31
7.145,7.189
7.084,7.133
7.061,7.124
7.11,7.12
6.945,7.047
7.009,7.051
6.933,7.135
7.06,7.24
7.21,7.262
6.975,7.427
7.382,7.5
7.457,7.499
7.051,7.103
7.077,7.156
7.128,7.188
7.11,7.214
7.19,7.249
7.234,7.3
7.206,7.245
7.055,7.18
6.929,7.035
7.022,7.063
7.013,7.052
6.988,7.075
7.025,7.136
7.093,7.157
7.15,7.183
7.124,7.179
7.166,7.182
7.055,7.073
7.049,7.17
7.117,7.121
7.03,7.173
7.16,7.258
7.206,7.28
7.132,7.291
7.282,7.523
7.488,7.506
7.465,7.5
7.446,7.456
7.341,7.411
7.358,7.373
7.145,7.256
7.243,7.258
7.121,7.183
7.091,7.145
7.134,7.16
7.111,7.189
7.143,7.212
7.177,7.188
7.058,7.127
7.042,7.09
7.082,7.091
7.067,7.127
7.115,7.117
7.02,7.066
7.06,7.098
6.957,6.961
6.568,6.575
6.381,6.507
6.498,6.506
6.478,6.501
6.496,6.524
6.486,6.495
6.363,6.378
6.271,6.307
6.271,6.289
6.164,6.173
5.963,6.088
6.047,6.112
6.107,6.194
6.185,6.197
6.173,6.177
6.131,6.2
6.201,6.228
6.173,6.245
6.218,6.248
6.24,6.337
6.32,6.322
6.23,6.286
6.284,6.359
6.31,6.35
6.311,6.42
6.364,6.443
6.427,6.451
6.408,6.477
6.447,6.449
6.409,6.411
6.376,6.382
6.321,6.338
6.326,6.329
6.304,6.405
6.392,6.449
6.331,6.354
6.309,6.31
6.259,6.408
6.37,6.401
6.398,6.43
6.404,6.444
6.364,6.445
6.424,6.525
6.467,6.476
6.444,6.449
6.406,6.453
6.402,6.486
6.471,6.512
6.432,6.461
6.398,6.447
6.439,6.46
6.426,6.45
6.416,6.453
6.421,6.425
6.395,6.418
6.414,6.443
6.437,6.459
6.432,6.435
6.318,6.323
6.291,6.379
6.374,6.4
6.373,6.405
6.388,6.42
6.359,6.36
6.262,6.284
6.226,6.236
6.11,6.198
6.136,6.181
6.165,6.192
6.188,6.225
6.158,6.23
6.227,6.283
6.265,6.41
6.399,6.499
6.382,6.386
6.298,6.364
6.359,6.369
6.345,6.35
6.345,6.352
6.271,6.296
6.255,6.267
6.233,6.283
6.225,6.35
6.339,6.416
6.287,6.37
6.344,6.473
6.471,6.5
6.474,6.55
6.496,6.686
6.584,6.65
6.599,6.627
6.563,6.6
6.46,6.528
6.471,6.493
6.39,6.401
6.324,6.368
6.242,6.298
6.266,6.293
6.227,6.292
6.26,6.276
6.237,6.24
6.192,6.243
6.237,6.283
6.24,6.245
6.204,6.275
6.254,6.274
6.248,6.328
6.327,6.342
6.295,6.341
6.339,6.362
6.277,6.321
6.313,6.355
6.346,6.35
6.25,6.326
6.285,6.343
6.326,6.42
6.247,6.308
6.229,6.292
6.273,6.366
6.263,6.292
6.211,6.307
6.262,6.272
5.879,5.91
5.613,5.709
5.696,5.854
5.822,5.864
5.84,5.997
5.993,5.995
5.935,6.094
6.093,6.166
6.129,6.156
6.07,6.109
6.095,6.159
6.009,6.037
5.979,5.989
5.929,6.027
6.022,6.119
6.093,6.161
6.076,6.097
6.031,6.041
5.967,5.983
5.97,6.075
6.001,6.021
5.949,5.955
5.9,5.921
5.797,5.828
5.731,5.77
5.745,5.871
5.849,5.881
5.84,5.852
5.739,5.748
5.596,5.687
5.656,5.79
5.783,5.844
5.841,5.85
5.818,5.861
5.845,5.889
5.887,5.905
5.826,5.84
5.796,5.845
5.769,5.832
