prices,highs
0.05,1.24999
1.23163,1.49
1.32713,1.35618
1.28002,1.32895
1.27616,1.31884
1.27768,1.34603
1.30676,1.345
1.33645,1.39585
1.26925,1.32
1.305,1.34
1.316,1.425
1.34151,1.43
1.37232,1.4737
1.46,1.51
1.46084,1.46216
1.41178,1.41916
1.40967,1.45302
1.44921,1.58099
1.52025,1.64342
1.57892,1.69493
1.69492,1.695
1.52299,1.55213
1.49231,1.53981
1.51289,1.593
1.53687,1.55348
1.40604,1.41877
1.38999,1.428
1.3717,1.39569
1.36482,1.39999
1.38944,1.41
1.36708,1.38526
1.35205,1.35921
1.32611,1.408
1.40518,1.418
1.38502,1.41
1.40653,1.438
1.40742,1.4189
1.38157,1.42304
1.39728,1.5
1.47965,1.50292
1.45006,1.45007
1.41177,1.42
1.40723,1.445
1.41077,1.42566
1.3844,1.3971
1.388,1.428
1.39037,1.40974
1.39897,1.42551
1.41855,1.488
1.46995,1.488
1.45741,1.48499
1.48078,1.51832
1.46839,1.48347
1.45528,1.4655
1.44683,1.48
1.45336,1.4764
1.47156,1.47209
1.43218,1.43317
1.40818,1.42633
1.39584,1.42
1.36081,1.37624
1.239,1.2495
1.20119,1.254
1.24409,1.25463
1.23266,1.25
1.2396,1.24387
1.2171,1.23092
1.21829,1.21829
1.21609,1.22087
1.20511,1.24666
1.23297,1.23318
1.20499,1.223
1.21995,1.24201
1.23044,1.23887
1.22664,1.23856
1.223,1.226
1.21386,1.22
1.2141,1.2399
1.2221,1.2272
1.21291,1.23
1.22041,1.232
1.21039,1.237
1.23142,1.289
1.26178,1.273
1.24922,1.2717
1.26,1.26021
1.22701,1.25394
1.24268,1.2468
1.23741,1.23741
1.22728,1.25
1.24616,1.26999
1.26048,1.30898
1.29801,1.31754
1.28277,1.29231
1.27676,1.28503
1.25683,1.26838
1.24681,1.26389
1.25552,1.26173
1.2362,1.26258
1.24641,1.25344
1.24747,1.253
1.23754,1.24
1.23492,1.25
1.24499,1.2585
1.24559,1.25269
1.24231,1.251
1.24348,1.255
1.25223,1.25857
1.24248,1.25277
1.21638,1.22855
1.22098,1.22408
1.21887,1.2189
1.21165,1.21165
1.1986,1.20604
1.19935,1.2
1.18881,1.19348
1.18401,1.20927
1.20599,1.20994
1.2024,1.21527
1.20299,1.20714
1.16243,1.16271
1.11388,1.1268
1.11448,1.11578
1.09949,1.10905
1.09832,1.12
1.117,1.1223
1.09907,1.14942
1.13699,1.13731
1.12357,1.1384
1.12981,1.17
1.16924,1.19
1.17466,1.19
1.17707,1.19
1.17003,1.19
1.1817,1.24
1.21513,1.2162
1.20282,1.20989
1.19913,1.20498
1.203,1.20727
1.187,1.19743
1.19279,1.27934
1.26129,1.26671
1.25096,1.261
1.2537,1.2648
1.25021,1.29666
1.28272,1.29765
1.27452,1.28
1.2613,1.28428
1.258,1.27857
1.26006,1.27795
1.2679,1.27301
1.255,1.26893
1.2585,1.26497
1.24501,1.25473
1.24718,1.26483
1.2418,1.2832
1.28116,1.28199
1.23399,1.26719
1.2492,1.259
1.226,1.23096
1.20614,1.22898
1.22074,1.24319
1.23458,1.23553
1.22,1.22897
1.22121,1.22144
1.1963,1.19953
1.18758,1.20138
1.18365,1.2045
1.1868,1.21745
1.19606,1.20249
1.19748,1.22
1.20596,1.20999
1.18929,1.22888
1.21957,1.2344
1.2136,1.21747
1.20007,1.20057
1.191,1.19101
1.1651,1.1856
1.18085,1.187
1.17959,1.19299
1.186,1.19884
1.18418,1.18424
1.15507,1.15507
1.14349,1.14489
1.13948,1.15415
1.14811,1.14811
1.13479,1.1368
1.12113,1.12552
1.11937,1.1326
1.12775,1.133
1.12329,1.13723
1.12416,1.14281
1.13756,1.14919
1.12402,1.12516
1.09661,1.0972
1.05568,1.064
1.05059,1.06547
1.0555,1.06
1.0495,1.07065
1.062,1.06699
1.04786,1.0776
1.07278,1.09
1.08159,1.088
1.08201,1.08899
1.0848,1.08976
1.0825,1.08639
1.07064,1.08365
1.06919,1.07103
1.06228,1.088
1.08303,1.08582
1.07516,1.078
1.06678,1.088
1.08119,1.08999
1.06962,1.07938
1.07302,1.07666
1.06776,1.07102
1.06831,1.1139
1.0893,1.12378
1.11204,1.12697
1.11644,1.12145
1.10205,1.1048
1.0805,1.08326
1.05998,1.06438
1.0527,1.06649
1.05824,1.06741
1.05763,1.06595
1.05406,1.06408
1.06194,1.06989
1.04893,1.08999
1.05743,1.05743
0.99124,1.01169
1.0112,1.0112
0.99756,1.00227
0.99197,1.01178
1.00208,1.00527
0.98422,0.99262
0.97524,0.98752
0.98617,1.0
0.99865,1.00638
1.00563,1.018
1.01399,1.02765
1.02001,1.03135
1.02983,1.05247
1.05091,1.05835
1.03157,1.03797
1.01522,1.01693
0.97873,0.98439
0.9809,0.98769
0.9664,0.988
0.9687,0.98711
0.97743,0.9895
0.98895,1.017
1.01229,1.01279
0.98699,1.05
1.0488,1.05054
1.02998,1.03561
1.03454,1.03454
1.02497,1.05
1.04779,1.04779
1.0215,1.0756
1.07503,1.0774
1.04407,1.046
1.0328,1.05395
1.05002,1.07
1.06596,1.07376
1.07318,1.0777
1.07065,1.08447
1.07898,1.07902
1.05189,1.07
1.06899,1.07477
1.06468,1.07295
1.06409,1.0725
1.072,1.083
1.06787,1.07278
1.05472,1.06559
1.06354,1.075
1.06868,1.0775
1.06336,1.1
1.08133,1.08133
1.0709,1.0709
1.06801,1.08621
1.07573,1.08212
1.06384,1.069
1.06452,1.06699
1.05915,1.06526
1.04247,1.05964
1.0553,1.06575
1.04629,1.05504
1.0494,1.16768
1.1559,1.19555
1.18231,1.2
1.17839,1.255
1.25197,1.26803
1.25518,1.26
1.23732,1.25987
1.25714,1.295
1.25859,1.299
1.28838,1.28948
1.24529,1.26279
1.25904,1.25975
1.23078,1.24518
1.20015,1.23467
1.21554,1.23
1.20589,1.2134
1.18403,1.22337
1.21252,1.21713
1.19513,1.19773
1.17832,1.21606
1.17603,1.1824
1.14411,1.152
1.10822,1.13323
1.12329,1.13533
1.13178,1.14599
1.12331,1.14498
1.12249,1.13841
1.13513,1.15495
1.13156,1.14092
1.12696,1.12792
1.06286,1.06486
1.03843,1.039
1.03307,1.04
1.03655,1.04193
1.0161,1.04433
1.01946,1.08
1.04402,1.04404
1.03401,1.03401
0.99639,1.00747
0.99922,1.00599
0.9798,1.00984
1.00119,1.00354
0.99545,1.02141
1.01992,1.03059
1.02406,1.02946
1.02007,1.04654
1.03429,1.04238
1.03257,1.04467
1.03449,1.06142
1.04112,1.04908
1.04503,1.04571
1.02033,1.02989
1.02136,1.03411
1.02285,1.03245
1.02636,1.03434
1.00673,1.07477
1.06847,1.09026
1.07605,1.10612
1.0905,1.1398
1.11473,1.14492
1.14251,1.144
1.12152,1.18099
1.1493,1.15407
1.13995,1.16346
1.15752,1.18099
1.14625,1.17117
1.15551,1.17678
1.17227,1.18888
1.17712,1.1899
1.16801,1.19888
1.18987,1.1986
1.18267,1.19144
1.17678,1.19072
1.18193,1.19798
1.17138,1.17876
1.13173,1.14861
1.11425,1.12549
1.12164,1.13983
1.12416,1.14429
1.12509,1.14335
1.13515,1.14469
1.14068,1.1488
1.13483,1.14492
1.13142,1.14378
1.1256,1.1353
1.12609,1.12609
1.08209,1.08405
1.0784,1.08431
1.08264,1.08422
1.07766,1.09638
1.09107,1.11467
1.10097,1.10793
1.10161,1.11246
1.10918,1.13404
1.12549,1.1467
1.14398,1.15926
1.14261,1.15745
1.15705,1.2648
1.24993,1.299
1.28866,1.31934
1.284,1.315
1.2688,1.28641
1.26294,1.285
1.27483,1.27483
1.25001,1.27618
1.26943,1.27999
1.27002,1.30491
1.28368,1.28368
1.27021,1.28088
1.26386,1.349
1.32437,1.35
1.31806,1.33358
1.31817,1.31817
1.29625,1.3036
1.2978,1.31732
1.31075,1.32985
1.297,1.3
1.28492,1.30569
1.30071,1.32823
1.31503,1.32912
1.2871,1.29573
1.28619,1.29394
1.27514,1.30037
1.28963,1.29813
1.28839,1.31
1.2947,1.30085
1.27597,1.27807
1.26959,1.27873
1.27798,1.28179
1.26399,1.27713
1.2761,1.2761
1.26599,1.26874
1.23502,1.24189
1.21776,1.22757
1.20878,1.22597
1.22455,1.22473
1.21076,1.21521
1.19816,1.20799
1.19334,1.19917
1.19809,1.20636
1.20413,1.20433
1.18922,1.205
1.19519,1.19531
1.16963,1.1759
1.17063,1.1765
1.16815,1.17401
1.1549,1.16149
1.15302,1.16409
1.151,1.16005
1.13841,1.14092
1.13925,1.1434
1.14226,1.14376
1.13387,1.14953
1.14326,1.164
1.16126,1.1779
1.15241,1.17335
1.16287,1.168
1.16235,1.202
1.19267,1.19675
1.17548,1.18531
1.17393,1.18385
1.17839,1.17859
1.15138,1.156
1.13999,1.14919
1.1048,1.11706
1.108,1.11531
1.10992,1.10998
1.10028,1.11453
1.11084,1.14382
1.11849,1.12969
1.1144,1.1144
1.10004,1.10126
1.0944,1.11711
1.11127,1.13
1.12469,1.13719
1.11485,1.1869
1.16904,1.18279
1.17597,1.19055
1.18478,1.19932
1.18698,1.25015
1.23999,1.23999
1.20162,1.21995
1.1756,1.20001
1.19322,1.20477
