prices,highs
301.13,302.57
301.61,303.28
302.4,304.44
302.68,307.96
307.95,309.97
308.62,312.0
310.0,310.97
308.3,310.68
308.95,310.51
308.62,309.72
307.77,308.71
306.5,308.76
307.74,312.18
308.0,308.33
308.33,311.53
309.1,309.84
301.6,309.4
304.79,309.4
308.57,310.74
306.74,310.85
302.0,306.2
300.08,305.55
298.73,304.7
300.05,306.47
301.4,302.95
301.8,305.92
304.7,307.0
307.0,309.49
306.24,310.85
304.23,307.72
304.73,311.06
308.88,311.79
307.78,310.29
307.17,309.66
303.22,303.22
298.52,300.99
298.8,301.11
297.5,299.21
295.53,298.25
289.75,295.6
295.46,295.46
291.87,291.87
288.01,294.19
293.74,294.18
293.31,297.15
297.15,298.2
297.19,299.84
298.64,298.64
294.69,297.19
297.17,299.9
293.69,295.56
289.02,292.17
290.16,290.16
287.66,293.17
291.36,292.24
285.97,287.15
281.39,290.85
290.16,290.16
285.5,288.64
283.88,288.64
288.64,290.16
286.19,293.15
294.33,295.0
292.64,293.38
290.6,291.85
289.9,293.25
293.25,294.9
290.91,290.91
289.41,292.42
287.4,290.87
289.94,292.42
292.42,292.42
287.97,288.31
285.39,293.15
292.17,293.15
293.1,295.56
293.02,295.98
292.59,295.96
295.97,296.89
292.59,295.51
295.0,296.92
296.39,296.39
294.25,294.25
295.16,295.16
295.1,297.92
296.46,298.79
296.88,300.53
298.57,298.57
297.87,297.88
297.27,298.3
298.13,299.52
297.68,300.53
299.1,300.9
300.7,300.7
299.0,299.0
299.0,299.85
300.03,304.83
303.91,314.28
314.05,329.49
320.28,325.3
317.48,324.3
317.86,318.27
317.29,325.3
318.99,333.66
331.33,331.33
331.3,346.52
344.38,345.31
334.17,338.34
334.34,338.34
337.95,342.72
332.12,333.63
328.47,332.33
332.27,332.74
324.05,326.8
325.79,325.79
318.25,323.29
321.04,330.41
323.04,325.07
309.96,315.2
310.0,317.68
144.21,309.03
287.0,303.0
302.99,310.24
305.37,305.37
300.35,302.26
301.09,310.24
308.33,313.16
309.4,312.93
311.16,311.24
306.66,310.27
307.08,309.53
305.48,309.85
305.08,320.24
316.24,320.76
313.99,315.25
310.77,314.83
307.03,312.0
310.27,311.99
309.16,313.1
310.61,313.99
312.25,313.99
310.56,314.82
314.8,316.27
315.71,319.78
315.45,324.99
320.73,323.26
316.74,323.29
319.77,323.3
319.06,323.19
319.74,324.51
320.74,324.21
319.74,323.07
319.2,322.0
316.96,318.96
315.04,318.96
317.06,319.32
317.87,319.21
318.39,320.32
318.48,321.29
321.19,322.34
318.57,320.2
314.74,319.47
318.12,318.62
316.74,319.47
315.74,318.45
315.52,318.45
315.08,318.44
315.05,318.44
315.22,319.47
316.46,322.36
319.57,320.53
320.53,321.14
318.54,321.07
320.32,322.0
320.03,321.3
317.02,323.61
322.51,328.04
319.01,325.37
323.8,326.79
320.84,323.98
323.67,323.68
322.0,323.56
322.45,323.79
322.76,325.35
321.23,324.0
320.04,322.29
321.22,326.33
323.72,326.25
323.42,327.81
327.8,328.82
328.81,329.93
328.19,330.44
326.55,331.35
331.34,335.0
331.74,333.31
330.17,334.34
330.29,334.34
332.68,335.41
330.11,333.42
331.69,331.69
329.68,335.33
333.32,334.74
332.89,333.68
332.57,335.33
