prices,highs
1.94,2.218
2.171,2.187
2.171,2.172
2.17,2.172
2.139,2.142
2.141,2.152
2.148,2.149
2.149,2.149
2.147,2.147
2.144,2.153
2.144,2.151
2.142,2.146
2.146,2.151
2.142,2.142
2.14,2.148
2.153,2.157
2.154,2.157
2.161,2.162
2.163,2.163
2.154,2.159
2.154,2.155
2.153,2.154
2.148,2.149
2.146,2.15
2.147,2.147
2.147,2.15
2.141,2.146
2.144,2.144
2.138,2.139
2.139,2.139
2.138,2.139
2.14,2.14
2.14,2.14
2.138,2.14
2.14,2.14
2.14,2.141
2.14,2.14
2.14,2.14
2.14,2.15
2.151,2.151
2.148,2.148
2.149,2.149
2.151,2.157
2.147,2.149
2.149,2.149
2.146,2.148
2.149,2.149
2.149,2.149
2.147,2.148
2.148,2.148
2.141,2.141
2.14,2.142
2.14,2.15
2.152,2.154
2.143,2.145
2.145,2.148
2.146,2.151
2.142,2.158
2.159,2.162
2.156,2.173
2.167,2.177
2.175,2.195
2.189,2.23
2.201,2.236
2.229,2.246
2.228,2.247
2.236,2.238
2.233,2.235
2.237,2.275
2.277,2.303
2.257,2.282
2.276,2.282
2.263,2.272
2.271,2.271
2.26,2.264
2.259,2.259
2.232,2.246
2.244,2.255
2.245,2.248
2.249,2.256
2.249,2.259
2.259,2.26
2.258,2.269
2.249,2.265
2.263,2.271
2.265,2.299
2.25,2.256
2.209,2.227
2.209,2.22
2.216,2.216
2.204,2.204
2.18,2.187
2.184,2.194
2.187,2.187
2.189,2.189
2.186,2.188
2.186,2.186
2.188,2.191
2.187,2.189
2.191,2.193
2.185,2.185
2.154,2.195
2.19,2.199
2.191,2.201
2.2,2.2
2.184,2.184
2.178,2.181
2.167,2.175
2.15,2.15
2.139,2.141
2.139,2.142
2.139,2.142
2.141,2.142
2.141,2.142
2.139,2.141
2.141,2.152
2.158,2.161
2.159,2.162
2.158,2.159
2.163,2.165
2.156,2.158
2.157,2.157
2.154,2.157
2.152,2.154
2.143,2.153
2.154,2.155
2.155,2.155
2.144,2.144
2.142,2.142
2.139,2.14
2.138,2.141
2.141,2.141
2.138,2.138
2.141,2.141
2.142,2.142
2.14,2.14
2.139,2.139
2.14,2.14
2.139,2.139
2.139,2.139
2.141,2.141
2.14,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.139,2.139
2.142,2.143
2.143,2.143
2.141,2.141
2.139,2.142
2.149,2.151
2.152,2.152
2.147,2.147
2.147,2.147
2.141,2.142
2.142,2.154
2.152,2.174
2.176,2.181
2.179,2.181
2.178,2.194
2.162,2.164
2.139,2.142
2.142,2.142
2.14,2.141
2.141,2.142
2.142,2.142
2.143,2.143
2.143,2.145
2.145,2.145
2.144,2.144
2.143,2.143
2.143,2.151
2.149,2.154
2.15,2.153
2.145,2.152
2.148,2.148
2.143,2.156
2.16,2.172
2.148,2.152
2.148,2.155
2.155,2.163
2.147,2.147
2.145,2.148
2.146,2.146
2.146,2.148
2.149,2.15
2.16,2.16
2.148,2.15
2.15,2.161
2.163,2.166
2.165,2.165
2.155,2.157
2.151,2.159
2.155,2.171
2.172,2.176
2.166,2.166
2.159,2.159
2.159,2.159
2.169,2.169
2.165,2.165
2.163,2.165
2.162,2.164
2.164,2.166
2.173,2.174
2.161,2.175
2.172,2.175
2.182,2.182
2.177,2.179
2.176,2.176
2.177,2.188
2.182,2.182
2.181,2.181
2.176,2.178
2.172,2.172
2.173,2.182
2.175,2.182
2.177,2.177
2.177,2.177
2.181,2.186
2.186,2.188
2.191,2.195
2.194,2.194
2.188,2.188
2.194,2.194
2.194,2.201
2.201,2.208
2.21,2.214
2.208,2.212
2.21,2.215
2.21,2.21
2.215,2.219
2.217,2.233
2.231,2.249
2.203,2.211
2.218,2.218
2.213,2.214
2.208,2.208
2.193,2.198
2.198,2.2
2.199,2.199
2.198,2.204
2.204,2.205
2.205,2.205
2.208,2.211
2.204,2.204
2.202,2.204
2.195,2.195
2.185,2.187
2.186,2.191
2.178,2.195
2.191,2.191
2.182,2.182
2.168,2.172
2.155,2.155
2.157,2.157
2.155,2.155
2.156,2.166
2.166,2.166
2.168,2.168
2.17,2.17
2.154,2.163
2.167,2.169
2.171,2.171
2.166,2.166
2.157,2.168
2.167,2.167
2.169,2.169
2.167,2.167
2.165,2.165
2.158,2.161
2.159,2.163
2.164,2.164
2.164,2.164
2.165,2.166
2.167,2.186
2.161,2.162
2.146,2.155
2.148,2.148
2.146,2.146
2.146,2.146
2.146,2.146
2.146,2.146
2.144,2.146
2.144,2.144
2.147,2.148
2.146,2.158
2.157,2.162
2.162,2.162
2.158,2.159
2.159,2.159
2.161,2.161
2.16,2.161
2.151,2.151
2.153,2.153
2.15,2.154
2.155,2.161
2.151,2.159
2.159,2.159
2.156,2.156
2.15,2.16
2.151,2.154
2.154,2.156
2.156,2.156
2.154,2.154
2.153,2.153
2.153,2.153
2.149,2.151
2.141,2.144
2.144,2.145
2.145,2.145
2.145,2.146
2.146,2.146
2.146,2.151
2.148,2.15
2.15,2.15
2.148,2.148
2.147,2.147
2.146,2.146
2.145,2.145
2.143,2.145
2.145,2.152
2.152,2.152
2.151,2.151
2.15,2.151
2.151,2.151
2.145,2.146
2.145,2.146
2.142,2.144
2.142,2.142
2.144,2.144
2.144,2.144
2.142,2.142
2.143,2.143
2.143,2.143
2.144,2.144
2.142,2.142
2.144,2.194
2.187,2.191
2.186,2.187
2.185,2.19
2.183,2.207
2.202,2.23
2.228,2.233
2.216,2.221
2.215,2.217
2.21,2.224
2.214,2.215
2.19,2.202
2.202,2.225
2.222,2.225
2.216,2.216
2.206,2.209
2.213,2.213
2.202,2.206
2.187,2.2
2.191,2.206
2.201,2.202
2.191,2.193
2.192,2.193
2.197,2.203
2.2,2.2
2.203,2.203
2.203,2.206
2.202,2.202
2.197,2.202
2.198,2.202
2.194,2.194
2.184,2.192
2.192,2.192
2.186,2.186
2.186,2.187
2.169,2.169
2.164,2.166
2.169,2.174
2.174,2.19
2.16,2.175
2.165,2.167
2.164,2.171
2.169,2.169
2.168,2.168
2.174,2.179
2.181,2.2
2.18,2.18
2.168,2.168
2.179,2.181
2.17,2.17
2.172,2.172
2.169,2.17
2.167,2.167
2.16,2.16
2.151,2.151
2.155,2.156
2.135,2.144
2.138,2.138
2.137,2.137
2.138,2.139
2.139,2.139
2.139,2.139
2.137,2.138
2.139,2.139
2.139,2.139
2.138,2.138
2.139,2.14
2.138,2.14
2.139,2.139
2.138,2.138
2.14,2.14
2.136,2.139
2.139,2.152
2.146,2.146
2.147,2.147
2.143,2.144
2.139,2.147
2.142,2.142
2.137,2.148
2.146,2.15
2.141,2.141
2.146,2.146
2.137,2.14
2.14,2.14
2.14,2.14
2.14,2.14
2.14,2.14
2.14,2.14
2.139,2.14
2.137,2.145
2.155,2.18
2.171,2.191
2.186,2.241
2.215,2.216
2.166,2.171
2.166,2.166
2.157,2.157
2.142,2.155
2.15,2.15
2.146,2.146
2.141,2.142
2.138,2.14
2.139,2.139
2.139,2.139
2.139,2.139
2.136,2.139
2.138,2.138
2.135,2.137
2.137,2.153
2.136,2.138
2.135,2.148
2.138,2.145
2.136,2.18
2.176,2.181
2.142,2.15
2.148,2.178
2.161,2.202
2.198,2.198
2.175,2.188
2.15,2.166
2.16,2.167
2.172,2.173
2.151,2.154
2.137,2.138
2.137,2.138
2.136,2.138
2.135,2.138
2.136,2.137
2.137,2.138
2.138,2.138
2.138,2.15
2.136,2.139
2.138,2.139
2.137,2.138
2.138,2.139
2.139,2.14
2.137,2.146
2.141,2.163
2.151,2.198
2.194,2.199
2.173,2.173
2.153,2.173
2.166,2.172
2.166,2.166
2.164,2.17
2.167,2.167
