prices,highs
21.456,24.38
20.724,20.748
20.39,20.468
20.264,20.684
20.398,21.5
20.433,20.879
20.192,20.367
20.111,20.243
19.866,19.976
19.416,19.5
19.265,19.372
19.252,19.445
18.93,19.007
18.902,20.4
19.767,20.406
19.657,20.02
19.775,19.937
19.582,20.074
19.666,19.812
19.608,19.725
19.723,19.724
19.634,20.4
19.692,19.999
19.546,20.031
19.892,19.892
19.812,19.812
19.641,19.797
19.797,19.966
19.962,20.128
19.773,19.858
19.372,19.57
19.386,19.576
19.381,19.536
19.497,19.576
19.515,19.576
19.271,19.5
19.395,19.468
19.397,19.559
19.454,19.557
19.549,19.575
19.461,19.493
19.339,19.45
19.354,19.455
19.359,19.453
19.296,19.444
19.357,19.36
19.234,19.5
19.242,19.4
19.187,19.187
18.944,19.574
19.034,19.086
19.034,19.122
19.122,19.228
18.308,18.779
18.196,18.247
18.07,18.35
17.973,18.1
17.796,18.074
18.002,18.939
18.686,18.686
18.5,18.561
18.417,18.518
18.545,18.55
18.54,18.543
18.368,18.476
18.337,18.368
18.366,18.366
18.23,18.337
18.197,18.329
18.224,18.365
18.227,18.227
18.125,18.207
18.013,18.07
18.032,18.196
18.065,18.189
18.16,18.366
18.344,18.344
18.342,18.342
18.033,18.162
17.8,18.311
17.828,18.689
18.2,18.35
18.18,18.734
17.756,18.2
17.727,17.788
17.763,17.912
17.61,17.871
17.601,17.819
17.815,18.057
17.527,18.123
17.616,17.616
17.503,17.679
17.46,17.535
17.544,17.591
17.379,17.582
17.468,18.135
17.699,17.803
17.553,17.643
17.827,17.833
17.648,17.982
17.641,17.864
17.501,17.836
17.43,17.552
17.421,17.452
17.401,17.486
17.236,17.327
17.241,17.28
17.03,17.283
17.266,17.391
17.118,17.179
17.18,17.539
17.198,17.518
17.206,17.263
17.141,17.141
17.1,17.203
17.137,17.204
17.045,17.104
17.089,17.481
17.059,17.152
17.091,17.164
17.043,17.144
16.984,17.048
16.98,17.364
17.083,17.083
16.874,17.001
16.801,16.95
16.72,16.846
16.575,16.913
16.582,16.701
16.7,17.043
16.959,17.499
17.165,17.423
17.254,17.255
17.038,17.125
16.727,16.924
16.918,17.124
17.12,17.121
16.955,17.278
17.04,17.04
16.828,16.925
16.953,16.953
16.902,16.942
16.888,17.067
16.936,16.936
16.89,16.891
16.886,16.95
16.795,16.859
16.674,16.924
16.693,16.826
16.765,16.946
16.663,16.945
16.757,16.934
16.695,16.724
16.7,16.93
16.709,16.71
16.622,16.703
16.293,16.515
16.514,16.514
16.332,16.432
16.426,16.426
16.404,16.5
16.499,16.499
16.271,16.271
16.238,16.5
16.238,16.5
16.177,16.25
16.2,16.265
16.201,16.497
16.127,16.196
16.02,16.118
15.842,15.845
15.848,15.848
15.84,16.929
15.897,15.999
15.581,15.91
15.871,17.454
15.899,15.999
15.801,15.801
15.729,15.823
15.68,15.68
15.519,15.748
15.793,15.793
15.583,15.583
15.537,15.588
15.52,15.561
13.923,14.044
13.652,13.855
13.796,13.857
13.782,13.99
13.777,13.989
13.464,13.885
13.876,14.003
13.924,14.021
13.984,14.088
13.88,13.986
13.863,14.152
14.077,14.165
13.968,14.08
14.035,14.209
13.998,14.157
13.983,14.126
13.948,14.09
14.008,14.085
13.982,14.497
14.236,14.594
14.378,14.378
14.206,14.234
14.001,14.149
14.126,14.371
14.224,14.697
14.388,14.521
14.299,14.304
14.224,14.282
14.278,14.306
14.242,14.293
14.242,14.282
14.224,14.28
14.265,14.611
14.412,14.599
14.387,14.387
14.265,14.449
14.327,14.442
14.337,14.348
13.955,14.923
14.278,14.575
14.289,14.769
14.426,14.641
14.453,14.518
14.363,14.364
14.141,14.406
14.332,14.419
14.409,14.409
14.239,14.425
14.168,14.279
14.119,14.318
14.227,14.5
14.462,14.736
14.547,14.77
14.072,14.236
14.14,14.261
14.102,14.157
13.943,14.136
14.099,14.14
14.05,14.235
14.154,14.251
14.142,14.159
14.149,14.261
14.082,14.164
14.083,14.137
14.06,14.12
14.066,14.17
14.143,14.179
14.002,14.084
13.899,14.013
13.861,14.023
13.905,13.981
13.945,13.945
13.835,13.908
13.855,14.027
14.002,14.594
14.002,14.093
13.912,14.01
13.927,14.07
13.99,14.768
14.069,14.157
13.945,14.084
14.0,14.094
14.006,14.089
13.914,14.235
14.076,14.298
14.092,14.236
13.951,15.777
15.036,16.0
15.439,16.098
15.844,17.387
16.168,17.448
16.919,17.147
16.872,18.89
17.434,17.506
17.297,18.926
17.47,17.772
17.615,18.299
17.884,18.06
17.864,18.194
18.174,18.628
17.955,17.996
17.744,18.497
17.848,18.385
18.101,18.56
18.272,18.303
18.134,18.37
18.128,18.34
17.968,18.122
17.945,18.0
17.484,17.697
17.492,17.75
17.647,17.718
17.561,18.287
18.021,18.153
18.122,18.158
18.069,18.33
18.246,18.246
18.044,18.12
18.016,18.259
18.255,18.444
18.255,18.271
18.127,18.281
18.243,18.286
18.17,18.26
18.069,18.349
18.146,18.428
18.283,18.471
18.406,18.798
18.588,18.787
18.758,19.289
18.992,19.036
18.814,18.929
18.925,18.925
18.711,20.0
19.41,19.557
19.004,20.275
19.945,20.415
19.71,20.55
20.48,20.75
19.853,20.229
20.162,20.32
20.221,20.266
20.175,20.499
20.406,21.0
20.471,20.511
20.158,20.377
20.153,21.21
20.691,21.244
21.099,21.242
21.019,22.7
21.96,22.895
22.193,22.95
22.341,22.534
21.786,22.263
22.038,22.258
22.224,22.494
22.006,22.482
22.18,22.186
21.794,21.797
21.549,21.608
21.471,21.624
21.618,21.624
21.307,21.491
21.369,21.421
21.262,21.587
21.313,21.313
21.198,21.624
21.348,21.348
21.175,21.28
20.939,21.1
20.945,22.061
21.248,21.248
20.911,20.914
20.864,20.864
20.771,20.771
20.549,20.628
20.383,20.523
20.367,20.459
20.375,20.413
20.318,20.336
20.301,20.342
20.23,20.256
20.203,20.219
20.184,20.184
20.178,20.341
20.25,20.299
20.181,20.324
20.25,20.334
20.216,20.509
20.449,20.51
20.412,20.488
20.351,20.499
20.495,20.546
20.404,20.533
20.133,20.437
20.262,20.359
20.215,20.349
20.264,20.304
20.22,20.46
20.445,20.546
20.256,20.456
20.417,20.431
20.086,20.56
20.558,20.56
20.505,20.591
20.451,20.573
20.475,20.63
20.618,20.63
20.613,20.689
20.662,20.74
20.688,20.74
20.629,20.632
20.467,20.612
20.4,20.543
20.431,20.506
20.316,20.6
20.594,20.78
20.773,22.59
21.174,22.223
21.177,21.674
21.607,21.855
21.665,21.799
21.62,21.625
21.544,21.847
21.847,22.014
21.896,21.918
21.773,22.365
21.955,22.019
21.887,21.919
21.794,23.644
22.955,23.991
23.018,23.464
23.18,23.897
23.372,23.801
23.351,23.888
23.697,24.029
23.003,25.745
23.118,24.095
23.764,25.092
24.085,24.357
23.6,24.196
23.522,24.39
23.955,24.055
23.518,24.687
23.907,24.131
24.025,24.664
24.44,24.756
24.715,25.998
24.658,25.4
25.058,25.155
24.95,25.031
24.433,24.514
23.983,24.235
23.699,23.731
23.477,23.563
23.308,23.654
23.029,23.029
22.685,22.685
22.392,22.458
22.294,22.294
22.2,22.285
22.228,22.288
22.109,22.279
22.038,22.449
22.394,22.458
22.458,22.619
22.575,22.689
22.689,22.694
22.561,22.771
22.66,22.799
22.792,22.803
22.513,22.586
22.408,22.5
22.455,23.264
22.847,24.998
24.375,25.0
23.783,24.456
23.62,24.418
23.666,24.288
23.854,25.4
24.238,25.399
24.853,26.1
24.828,25.712
25.316,25.95
25.524,27.011
27.008,27.9
26.272,27.02
26.469,26.529
26.051,26.898
26.255,27.007
27.007,28.694
27.632,32.987
31.426,33.649
31.295,31.635
31.097,32.7
29.788,30.741
29.449,31.178
31.023,32.598
30.87,34.0
31.837,32.914
32.386,32.91
31.028,31.876
31.008,31.19
30.6,31.542
31.078,31.2
30.173,30.707
30.102,30.182
29.871,30.23
29.96,30.5
29.8,30.0
29.964,31.3
30.893,31.247
30.918,31.091
30.44,31.2
30.821,31.3
30.741,31.0
30.517,30.83
30.549,31.279
30.899,31.8
31.647,32.278
31.329,31.987
31.35,31.497
31.287,31.36
31.053,34.395
31.836,43.899
40.451,41.518
38.39,40.545
39.011,39.197
38.292,39.16
38.21,42.887
38.711,39.797
38.621,39.499
39.108,39.32
38.61,39.448
39.154,39.8
39.722,40.0
39.487,39.549
39.241,39.603
39.358,41.0
38.464,38.744
38.451,38.583
38.406,38.985
38.402,39.5
37.986,38.906
36.998,37.16
36.184,36.455
36.159,36.88
35.861,36.2
35.722,35.871
35.431,36.464
35.421,35.892
35.349,37.082
36.858,37.635
37.3,37.485
37.07,37.716
37.407,37.483
36.664,37.48
36.85,37.3
36.778,37.1
36.739,36.74
36.145,36.9
36.617,36.617
35.639,36.253
35.311,35.5
35.17,35.349
35.2,35.3
35.132,35.3
35.146,36.12
35.602,35.783
35.238,35.243
35.101,35.489
35.147,35.392
35.172,35.366
34.985,35.567
35.456,36.0
35.82,35.907
35.014,35.169
35.03,35.112
35.001,35.142
35.032,35.119
35.025,35.392
35.101,35.154
35.05,35.051
35.001,35.283
35.008,35.044
35.0,35.001
33.424,33.496
32.917,33.421
33.194,33.691
32.798,32.887
32.75,32.948
32.723,32.841
32.65,32.954
32.9,33.768
33.551,33.972
32.92,33.349
32.986,33.779
32.805,33.223
32.799,32.807
32.62,33.3
33.202,33.984
32.943,33.227
32.871,33.168
32.463,32.588
32.511,33.168
32.802,32.909
32.815,34.571
32.742,33.02
32.571,32.843
32.831,33.751
33.297,35.082
34.275,34.292
34.179,34.882
34.636,37.6
36.393,36.5
34.561,35.1
34.445,34.718
34.348,35.667
35.14,35.255
34.996,35.46
35.424,38.4
38.064,42.499
39.376,39.878
37.956,39.2
38.332,39.01
38.505,38.67
37.93,38.49
38.455,38.752
37.771,37.886
37.71,38.064
37.843,39.0
37.7,37.784
37.418,37.508
37.052,38.14
37.69,37.788
37.283,37.542
37.239,37.826
37.171,37.59
37.327,37.403
36.573,37.269
36.575,37.799
36.827,36.827
36.208,36.511
36.029,36.357
36.199,36.284
35.881,36.297
36.067,36.287
35.407,35.745
35.1,35.389
34.85,34.967
34.14,35.55
34.789,35.042
34.068,34.867
34.398,35.4
34.432,34.701
34.584,36.71
35.081,35.23
34.988,35.145
34.539,35.214
34.945,37.064
35.256,35.751
35.11,35.111
34.652,34.819
34.25,34.521
33.493,33.616
32.982,33.237
33.0,33.263
32.947,33.754
33.32,33.419
33.25,33.273
32.901,33.413
33.151,33.328
33.11,33.841
33.68,33.77
33.558,36.277
34.138,34.221
33.783,35.608
34.26,34.868
34.506,35.847
35.196,35.4
35.152,35.92
35.743,37.113
36.238,36.567
35.211,38.14
37.631,39.0
37.369,37.863
37.863,38.991
38.488,38.498
38.041,38.998
38.818,38.952
38.109,38.315
37.993,38.9
38.604,39.675
38.087,38.409
37.537,38.166
37.735,39.649
38.949,39.226
38.121,38.464
37.679,38.002
37.813,38.0
37.761,38.0
37.667,38.896
38.292,38.548
37.533,37.829
37.461,37.711
37.466,38.041
37.406,38.2
38.1,38.418
37.899,37.986
37.777,38.007
37.418,38.061
37.888,40.44
39.551,39.886
39.797,40.5
40.103,40.769
40.681,42.0
40.463,40.95
40.822,40.999
40.659,40.9
39.943,40.302
38.74,39.061
37.568,37.957
37.688,38.32
37.645,38.68
38.269,38.995
38.691,38.691
38.1,38.182
37.808,39.25
38.088,38.302
37.798,37.893
37.741,38.062
37.728,37.728
36.798,37.181
36.9,37.274
36.755,36.755
36.539,36.841
36.746,36.746
36.104,36.339
35.98,37.319
35.873,35.991
35.745,35.847
35.48,35.61
35.247,35.299
35.299,36.057
35.821,36.109
36.035,36.729
36.352,37.319
37.033,37.136
36.88,36.894
36.354,36.424
36.209,36.95
36.637,36.716
35.739,35.959
35.653,35.808
35.702,36.759
36.211,36.322
36.051,36.051
35.702,36.095
35.847,36.055
36.011,36.271
36.201,36.3
35.681,35.76
35.503,35.707
35.274,35.517
34.913,35.708
35.219,35.276
35.051,35.118
35.118,35.4
35.366,39.3
35.746,35.869
35.361,36.17
35.714,36.0
35.239,35.34
34.588,34.726
34.734,35.068
34.895,35.352
35.218,35.591
35.55,36.256
35.842,35.846
35.246,35.72
35.378,35.567
35.25,35.587
35.477,35.682
35.148,35.148
34.709,35.2
34.968,35.035
34.971,35.318
35.134,35.241
34.742,35.021
34.302,34.709
34.089,36.001
35.23,35.491
34.808,35.167
34.991,35.167
35.006,35.243
34.728,35.194
35.089,35.398
34.947,35.055
34.893,35.846
35.496,35.636
35.248,35.45
35.449,35.959
35.962,36.509
36.48,37.131
36.909,37.595
37.4,37.948
37.937,38.64
38.415,39.956
39.826,40.441
39.357,40.075
39.177,40.235
39.3,42.517
40.482,42.8
42.07,45.9
41.464,41.776
41.453,42.458
41.734,41.734
41.186,41.324
41.097,41.445
41.144,42.687
41.65,41.7
41.128,41.6
41.289,41.6
38.041,38.382
37.28,37.497
37.044,37.394
37.19,37.261
36.769,37.103
36.626,36.746
36.135,36.409
36.145,37.177
36.536,36.969
36.488,37.25
36.831,36.905
36.385,36.711
36.672,37.575
37.398,38.184
37.745,37.817
37.375,37.543
37.1,37.126
36.705,37.562
37.012,37.486
37.145,37.671
37.669,37.956
37.391,38.698
37.853,38.172
37.666,38.01
37.752,38.0
37.58,38.699
38.518,39.579
38.512,38.977
38.106,38.328
38.3,39.333
39.072,39.783
39.424,39.685
39.118,39.382
39.305,39.571
38.772,39.012
38.729,39.209
38.697,38.76
38.428,38.856
38.643,38.763
38.133,38.42
38.19,38.293
38.25,38.326
38.236,38.326
38.083,38.177
37.946,38.171
38.01,38.801
38.801,38.801
38.565,38.616
37.872,38.15
37.462,37.73
37.429,37.464
37.026,37.241
37.188,37.188
37.118,37.606
37.232,37.292
36.995,37.093
36.865,37.07
36.983,37.292
37.073,37.073
36.91,36.989
36.854,36.933
36.773,37.077
36.736,36.89
36.795,36.885
36.761,36.997
36.935,36.935
36.859,36.898
36.706,37.02
36.682,36.79
36.791,38.0
37.231,37.231
36.794,36.817
36.479,36.591
36.532,36.842
36.303,36.494
36.323,36.434
36.262,36.379
36.226,36.419
36.423,36.463
36.437,37.139
36.979,37.356
36.822,37.741
36.463,36.587
36.202,36.343
36.324,36.324
36.287,36.452
36.275,36.765
36.54,37.123
36.961,36.983
36.52,37.007
36.597,36.973
36.78,37.035
37.035,37.167
37.096,37.295
37.002,37.237
37.067,37.067
36.325,36.363
36.252,36.287
36.289,36.378
36.163,36.284
36.041,36.275
36.102,36.65
36.262,36.416
36.011,36.074
35.605,35.605
35.11,35.213
35.038,35.143
34.998,35.037
34.881,35.053
34.823,35.053
35.009,35.009
34.508,34.56
34.561,34.681
34.295,34.515
34.395,34.645
34.149,34.191
32.254,32.374
31.718,32.142
31.716,32.265
32.071,32.287
31.907,32.406
32.329,34.331
32.851,33.372
32.943,32.995
32.601,33.8
32.992,34.172
32.829,33.019
32.749,32.753
32.049,32.146
31.971,32.162
32.091,32.629
32.082,32.188
31.8,32.104
31.744,31.781
31.516,31.731
31.591,31.775
31.71,31.71
30.986,31.084
30.0,30.05
29.877,30.282
30.253,30.941
30.869,31.874
31.232,31.232
30.903,31.093
31.044,31.409
31.395,32.495
31.313,31.323
30.641,30.769
30.478,30.558
30.19,30.201
29.7,29.733
29.491,29.491
29.144,29.291
