prices,highs
3.6,4.41
3.747,3.789
3.766,3.79
3.748,3.818
3.795,3.796
3.703,3.714
3.649,3.667
3.597,3.631
3.603,3.622
3.604,3.63
3.619,3.63
3.632,3.696
3.679,3.7
3.687,3.713
3.717,3.784
3.73,3.791
3.764,3.795
3.781,3.781
3.713,3.732
3.711,3.777
3.69,3.714
3.677,3.705
3.698,3.775
3.689,3.693
3.668,3.674
3.624,3.658
3.65,3.668
3.649,3.651
3.642,3.659
3.653,3.653
3.626,3.647
3.636,3.637
3.567,3.599
3.598,3.598
3.571,3.593
3.587,3.594
3.58,3.596
3.588,3.623
3.602,3.615
3.568,3.573
3.553,3.619
3.536,3.576
3.532,3.535
3.531,3.531
3.51,3.525
3.504,3.516
3.51,3.511
3.479,3.479
3.44,3.464
3.445,3.445
3.436,3.454
3.438,3.628
3.54,3.59
3.581,3.683
3.629,3.635
3.588,3.593
3.569,3.604
3.597,3.599
3.583,3.598
3.591,3.616
3.615,3.629
3.567,3.582
3.583,3.632
3.615,3.701
3.652,3.88
3.734,3.778
3.699,3.699
3.67,3.68
3.57,3.616
3.576,3.609
3.553,3.57
3.567,3.638
3.607,3.629
3.559,3.559
3.523,3.524
3.516,3.521
3.514,3.516
3.501,3.504
3.477,3.498
3.482,3.483
3.459,3.459
3.417,3.436
3.401,3.437
3.424,3.431
3.394,3.406
3.409,3.435
3.41,3.42
3.402,3.411
3.404,3.552
3.456,3.46
3.454,3.454
3.436,3.437
3.437,3.453
3.443,3.443
3.436,3.518
3.471,3.511
3.437,3.455
3.368,3.442
3.388,3.436
3.399,3.427
3.411,3.45
3.474,3.509
3.464,3.475
3.428,3.448
3.444,3.484
3.454,3.456
3.43,3.441
3.401,3.404
3.389,3.391
3.373,3.382
3.367,3.39
3.383,3.44
3.422,3.422
3.342,3.362
3.366,3.374
3.358,3.391
3.381,3.387
3.394,3.409
3.378,3.385
3.376,3.38
3.372,3.383
3.366,3.371
3.361,3.378
3.366,3.374
3.348,3.375
3.36,3.375
3.372,3.4
3.388,3.404
3.378,3.385
3.38,3.38
3.389,3.408
3.377,3.379
3.257,3.308
3.318,3.338
3.317,3.332
3.322,3.351
3.351,3.416
3.374,3.393
3.336,3.366
3.368,3.368
3.359,3.375
3.351,3.386
3.38,3.413
3.381,3.405
3.366,3.388
3.388,3.435
3.417,3.45
3.424,3.456
3.448,3.452
3.399,3.399
3.366,3.407
3.415,3.472
3.463,3.465
3.449,3.464
3.443,3.444
3.42,3.44
3.43,3.451
3.438,3.449
3.441,3.456
3.467,3.487
3.484,3.491
3.442,3.478
3.461,3.503
3.461,3.464
3.456,3.461
3.441,3.472
3.496,3.55
3.551,3.599
3.576,3.663
3.611,3.765
3.595,3.613
3.581,3.605
3.592,3.592
3.592,3.605
3.533,3.534
3.496,3.51
3.485,3.485
3.443,3.444
3.43,3.508
3.499,3.5
3.457,3.468
3.446,3.523
3.512,3.524
3.489,3.489
3.43,3.439
3.421,3.45
3.441,3.445
3.443,3.443
3.421,3.421
3.397,3.401
3.385,3.403
3.389,3.395
3.363,3.421
3.395,3.406
3.383,3.395
3.383,3.393
3.363,3.39
3.387,3.399
3.362,3.395
