prices,highs
40.91,67.0
55.11,56.49
51.87,51.99
48.9,51.4
51.06,51.2
47.52,49.83
49.23,51.44
49.53,53.0
49.93,50.5
48.51,49.0
48.45,49.79
48.94,49.44
48.98,50.92
49.87,51.4
50.92,51.81
51.71,52.38
50.92,52.16
50.2,51.5
51.38,51.39
48.81,48.84
48.3,48.42
47.28,47.86
46.66,47.12
46.48,47.06
46.95,47.28
46.71,47.63
47.48,47.82
46.08,46.6
45.82,45.93
44.44,45.08
44.5,45.36
44.85,45.72
45.27,45.75
43.96,44.75
44.07,44.34
44.01,44.9
43.98,44.02
43.96,44.5
44.23,44.85
44.0,44.8
44.35,45.17
44.52,45.7
45.3,45.41
44.53,45.09
44.17,44.24
43.97,45.37
45.29,45.4
44.82,44.84
44.36,44.43
44.18,44.43
44.34,44.43
43.22,43.5
42.73,43.57
43.34,43.47
43.01,43.75
42.6,42.83
42.71,43.42
42.59,42.83
42.73,43.0
43.0,43.35
42.77,43.07
42.82,43.42
43.09,43.67
43.1,43.18
42.81,43.36
43.11,43.21
42.84,42.84
42.47,43.15
42.86,43.15
42.78,44.8
44.21,44.68
44.35,44.35
43.95,44.91
44.6,45.23
45.07,48.0
45.44,47.98
46.6,46.97
46.51,46.72
45.88,46.85
45.8,45.89
44.95,45.42
44.84,44.96
44.5,45.43
44.87,45.24
44.1,44.24
44.14,44.55
44.45,45.73
45.43,45.45
44.28,45.26
44.49,45.35
45.11,46.46
46.08,48.2
47.18,47.88
47.51,49.0
46.97,47.6
47.2,48.0
46.9,47.66
47.17,47.31
45.95,46.3
46.15,47.2
47.0,47.23
46.58,46.58
46.2,46.34
45.87,46.01
45.77,46.09
45.71,45.85
45.21,45.55
44.99,46.34
45.96,46.03
45.41,45.58
45.18,45.79
45.59,46.31
46.16,46.48
45.83,46.06
45.6,45.61
45.12,45.14
44.11,44.71
44.4,44.5
44.02,44.13
42.98,43.48
43.34,43.71
43.22,43.69
43.02,43.58
43.52,43.52
43.02,43.21
42.98,43.24
43.2,43.25
42.58,42.66
42.59,42.96
42.67,42.78
42.5,42.62
42.57,42.73
42.38,42.56
41.38,41.66
41.45,41.46
39.73,40.11
39.7,39.7
39.34,39.37
38.36,38.52
37.78,38.5
38.29,38.41
38.11,38.19
37.98,39.28
39.16,40.48
39.84,39.85
39.53,39.58
38.6,39.5
39.2,39.42
38.89,39.9
38.7,39.9
39.74,39.95
39.63,39.65
39.36,39.36
39.1,39.1
38.46,38.75
38.59,38.7
38.35,38.58
38.44,38.54
38.32,39.43
39.25,39.43
38.79,38.96
38.94,39.39
39.2,39.85
39.7,39.71
39.28,39.54
39.33,39.39
39.22,39.4
39.31,40.12
39.88,40.5
39.77,40.0
39.75,40.23
39.51,39.99
39.42,39.53
39.06,39.32
39.07,39.18
38.68,38.69
38.29,38.96
38.82,38.9
38.75,38.75
38.55,38.68
38.62,38.85
38.74,38.74
38.66,38.75
38.51,38.6
37.89,37.99
37.27,37.34
37.06,37.25
37.1,37.15
36.48,36.99
36.57,37.9
36.39,36.67
36.38,36.78
36.5,36.61
35.56,36.11
36.05,37.0
35.5,36.43
36.23,36.36
35.85,37.46
37.26,38.02
37.49,38.22
38.06,38.62
38.61,38.65
38.24,38.39
38.18,38.59
38.36,38.49
38.21,38.66
38.55,39.27
39.03,39.79
39.78,39.82
39.4,39.84
39.35,39.41
39.25,39.28
38.79,39.81
38.96,39.02
38.5,39.34
39.18,39.99
39.78,39.84
39.34,39.93
39.25,39.9
39.83,40.58
40.46,42.1
38.99,39.09
38.54,38.6
38.19,38.44
38.2,38.41
37.65,37.82
37.66,37.74
37.59,37.94
37.65,37.89
37.49,38.03
38.03,38.13
37.97,38.24
37.93,38.59
38.45,38.58
38.2,38.23
38.08,38.16
37.94,37.99
37.73,37.89
37.76,37.8
37.11,37.17
36.8,37.13
37.13,37.26
36.91,36.99
36.94,37.29
37.17,37.7
37.35,37.4
37.29,37.3
36.85,36.94
36.82,36.92
36.77,36.87
36.56,36.65
36.66,36.78
36.54,36.8
36.58,36.59
36.38,36.78
36.78,36.88
36.87,36.94
36.8,36.94
36.95,37.19
36.89,37.03
36.81,36.81
36.63,36.69
36.68,37.4
37.31,37.63
37.38,37.81
37.18,37.3
37.22,37.24
36.93,37.25
37.25,37.77
37.21,37.63
37.21,37.21
36.93,37.59
37.32,37.45
37.2,37.8
37.43,38.48
37.91,37.93
37.26,37.8
37.77,38.09
38.01,38.9
38.73,39.5
39.13,39.43
38.61,38.96
38.68,38.76
38.31,38.96
38.95,39.19
38.85,38.98
38.71,38.71
38.33,38.44
38.08,38.66
38.64,39.32
38.43,38.74
38.56,38.84
38.84,38.84
38.27,38.38
37.97,38.05
37.73,37.74
37.47,37.5
37.35,37.44
37.27,37.79
37.59,37.7
37.68,38.94
38.22,38.7
38.43,38.47
38.31,38.79
38.27,38.31
38.13,38.38
38.32,38.66
38.62,38.63
37.96,38.46
38.37,38.49
38.25,38.33
37.78,37.9
37.52,37.82
37.7,37.91
37.67,37.9
37.72,38.03
37.45,37.88
37.14,37.2
37.18,37.56
37.27,37.47
37.19,37.25
36.34,36.52
36.51,37.18
36.93,37.11
36.51,37.3
36.97,37.25
37.17,37.17
36.23,36.48
36.29,36.3
35.76,36.15
35.74,35.87
35.37,35.56
35.35,35.5
35.35,35.74
35.55,35.72
35.54,36.0
35.63,35.92
35.7,35.77
35.64,35.87
35.51,35.74
35.19,35.79
35.4,36.0
35.68,35.79
35.36,35.49
35.21,35.64
35.52,35.75
35.52,35.61
35.5,35.78
35.58,35.59
35.23,35.36
34.99,35.24
34.55,34.63
34.64,34.72
34.65,34.88
34.68,35.16
35.11,35.5
35.09,35.18
35.11,35.2
35.14,35.28
35.0,35.0
34.99,35.1
35.09,35.19
35.19,35.46
35.03,35.17
35.0,35.0
34.98,35.0
34.65,34.66
34.49,34.49
34.04,34.2
34.06,34.16
33.7,33.7
33.43,33.81
33.75,33.75
33.23,33.47
33.25,33.36
32.71,33.16
33.12,33.79
33.67,33.9
33.72,33.95
33.71,33.83
33.55,33.94
33.89,34.08
34.0,34.9
33.87,33.94
33.74,33.78
33.63,33.8
33.64,33.71
33.44,33.95
33.95,34.98
34.68,34.99
34.64,35.0
34.9,38.0
36.26,37.0
35.55,35.57
35.39,35.62
35.23,35.77
35.71,36.64
35.39,35.63
35.23,35.93
35.57,35.69
35.33,35.73
35.58,35.7
35.49,35.58
35.02,35.06
34.79,34.93
34.55,35.13
34.7,34.79
34.69,34.77
34.43,34.45
34.28,34.52
34.36,36.5
34.55,34.6
34.31,34.63
34.62,34.78
34.6,34.76
34.68,34.85
34.86,34.94
34.8,35.0
34.86,34.89
34.84,34.85
34.83,34.85
34.7,34.86
34.83,34.96
34.97,35.16
34.56,35.41
35.13,35.45
35.26,35.38
35.18,35.46
35.18,35.34
34.92,35.17
34.83,34.88
34.76,35.04
35.03,35.12
34.94,35.06
34.98,35.14
34.91,35.33
35.27,35.36
35.12,35.22
35.16,35.27
35.07,35.46
35.46,36.35
35.74,36.06
36.06,36.23
36.14,36.35
36.25,36.9
36.77,37.38
37.14,37.26
36.61,36.66
36.28,36.71
36.41,36.41
36.21,36.22
36.09,36.18
35.99,36.75
36.29,36.75
36.39,36.6
36.34,36.55
36.42,36.98
36.83,37.02
36.89,37.05
36.65,36.65
36.06,36.06
35.76,36.09
35.87,36.0
35.77,35.78
35.55,36.03
36.07,36.23
36.12,36.26
36.25,36.35
36.06,36.14
36.19,36.34
35.88,36.08
36.0,36.05
35.84,36.56
36.21,36.43
36.16,36.83
36.15,36.18
36.18,36.24
36.01,36.5
