prices,highs
6.032,13.88
10.5,11.45
10.897,11.079
10.216,10.5
10.087,10.35
10.095,11.33
10.737,11.56
11.373,11.57
10.24,10.55
10.339,10.55
10.519,10.688
10.524,10.568
10.256,10.533
10.275,10.957
10.888,11.165
11.027,11.495
10.959,11.9
11.693,11.98
11.286,11.368
11.163,11.25
11.217,11.699
11.619,11.62
11.058,11.174
10.728,10.75
10.36,10.62
10.455,10.72
10.659,10.75
10.74,10.79
10.582,10.735
10.686,10.769
10.565,10.632
10.498,10.557
10.448,10.448
10.368,10.375
10.231,10.384
10.319,10.495
10.455,10.49
10.34,10.44
10.365,10.549
10.534,10.6
10.6,10.7
10.454,10.545
10.41,10.435
10.278,10.396
10.296,10.349
10.064,10.25
10.167,10.253
9.882,9.956
9.609,9.717
9.288,9.469
9.298,9.39
9.211,9.45
9.298,9.9
9.65,9.842
9.333,9.45
9.39,9.52
9.398,9.398
9.311,9.326
9.154,9.161
9.05,9.101
9.041,9.052
8.996,9.052
8.9,9.237
9.185,9.349
9.281,9.414
9.285,9.47
9.393,9.6
9.407,9.578
9.277,9.372
9.234,9.247
9.09,9.296
9.134,9.198
9.036,9.137
8.999,9.055
8.94,9.186
9.079,9.18
9.01,9.035
8.854,8.939
8.744,8.98
8.794,9.022
8.9,9.0
8.858,8.881
8.818,8.9
8.853,9.053
8.999,9.4
9.291,9.4
9.221,10.114
9.619,9.749
9.409,9.491
9.388,9.446
9.001,9.069
8.921,9.052
9.008,9.08
8.997,8.999
8.76,8.931
8.814,8.992
8.73,8.878
8.615,8.78
8.757,8.811
8.696,8.827
8.781,8.797
8.775,8.864
8.799,8.95
8.855,9.373
9.22,9.22
9.102,9.126
9.016,9.208
8.995,9.299
9.023,9.046
8.9,8.999
8.844,8.95
8.739,8.879
8.845,8.932
8.846,8.868
8.651,8.73
8.469,8.6
8.368,8.445
8.393,8.395
8.17,8.329
8.269,8.362
8.278,8.35
8.344,8.371
8.361,8.56
8.464,8.489
8.373,8.398
8.17,8.196
8.065,8.25
8.174,8.312
8.233,8.382
8.31,8.445
8.247,8.62
8.36,8.498
8.476,8.611
8.551,8.62
8.62,8.681
8.644,8.847
8.75,8.799
8.669,8.751
8.6,8.687
8.562,8.621
8.582,8.684
8.572,8.9
8.792,8.833
8.599,8.9
8.624,8.77
8.41,8.8
8.74,9.224
8.927,9.217
9.15,9.5
9.252,9.466
9.052,9.166
8.94,9.05
8.953,9.299
9.1,9.135
9.025,9.055
8.974,9.026
8.963,9.21
9.196,9.682
9.34,9.46
9.41,9.447
9.029,9.197
9.1,9.378
9.285,9.308
9.269,9.283
9.001,9.068
8.961,9.1
9.089,9.103
8.852,8.942
8.775,8.871
8.79,8.905
8.801,8.875
8.669,8.891
8.771,8.772
8.543,8.546
8.415,8.415
8.326,8.529
8.423,8.504
8.499,8.589
8.483,8.493
8.377,8.455
8.309,8.443
8.333,8.43
8.39,8.475
8.351,8.419
8.31,8.32
8.228,8.353
8.201,8.302
8.155,8.278
8.25,8.313
8.263,8.326
8.297,8.314
8.211,8.278
8.138,8.195
8.153,8.215
8.141,8.269
8.228,8.248
8.147,8.189
8.159,8.248
8.155,8.212
8.173,8.19
8.098,8.138
8.096,8.096
7.934,7.95
7.942,8.222
8.13,8.25
8.224,8.224
8.157,8.239
8.192,8.307
8.303,8.417
8.404,8.469
8.439,8.469
8.413,8.43
8.379,8.454
8.34,8.36
8.29,8.407
8.35,8.499
8.494,8.516
8.431,8.475
8.429,8.429
8.368,8.397
8.321,8.449
8.386,8.475
8.312,8.348
8.331,8.476
8.472,8.48
8.444,8.579
8.522,8.525
8.51,8.519
8.488,8.748
8.63,8.699
8.57,8.642
8.595,8.637
8.607,8.729
8.559,8.581
8.449,8.456
8.398,8.412
8.334,8.395
8.339,8.347
8.289,8.35
8.33,8.36
8.33,8.349
8.331,8.405
8.33,8.498
8.495,8.571
8.486,8.544
8.421,8.67
8.45,8.467
8.404,8.406
8.283,8.339
8.302,8.317
8.291,8.39
8.327,8.367
8.309,8.418
8.307,8.361
8.246,8.361
8.339,8.426
8.368,8.423
8.416,8.425
8.325,8.553
8.395,8.547
8.467,8.531
8.36,8.444
8.424,8.427
8.282,8.337
8.291,8.332
8.257,8.427
8.308,8.372
8.281,8.371
8.279,8.371
8.256,8.292
8.183,8.215
8.196,8.23
8.191,8.293
8.141,8.151
8.117,8.138
8.001,8.079
7.936,8.116
7.857,7.995
7.806,7.999
7.953,8.007
7.966,8.09
8.073,8.199
8.151,8.205
8.089,8.2
8.197,8.247
8.166,8.245
8.23,8.336
8.206,8.225
8.098,8.126
8.104,8.126
8.029,8.039
7.999,8.1
8.053,8.075
8.011,8.039
7.984,8.021
7.982,8.009
7.938,7.968
7.872,7.96
7.936,8.134
8.005,8.015
8.01,8.035
7.915,8.019
8.0,8.01
7.926,7.955
7.914,7.933
7.898,7.935
7.834,7.93
7.88,7.898
7.836,7.859
7.778,7.778
7.743,7.763
7.686,7.695
7.584,7.584
7.54,7.57
7.531,7.531
7.453,7.453
7.359,7.381
7.316,7.506
7.286,7.313
7.265,7.287
7.193,7.287
7.221,7.34
7.3,7.308
7.251,7.39
7.368,7.45
7.405,7.432
7.243,7.259
6.927,7.487
7.275,7.564
7.516,7.595
7.467,7.5
7.451,7.451
7.355,7.477
7.45,7.489
7.432,7.471
7.393,7.434
7.37,7.399
7.32,7.395
7.278,7.336
7.306,7.39
7.35,7.383
7.301,7.312
7.239,7.35
7.308,7.328
7.217,7.298
7.224,7.311
7.223,7.29
7.229,7.343
7.307,7.398
7.344,7.384
7.372,7.548
7.275,7.319
7.298,7.3
7.222,7.224
7.15,7.179
7.079,7.185
7.098,7.176
7.124,7.187
7.151,7.188
7.182,7.244
7.181,7.181
7.114,7.145
7.075,7.184
7.146,7.247
7.181,7.184
7.118,7.197
7.129,7.16
7.083,7.114
7.094,7.113
7.062,7.063
7.006,7.028
6.925,7.046
6.829,6.935
6.915,6.969
6.952,7.18
7.145,7.256
7.122,7.179
7.166,7.266
7.266,7.298
7.263,7.267
7.239,7.26
7.249,7.328
7.21,7.372
7.343,7.437
7.352,7.489
7.358,7.4
7.287,7.404
7.256,7.26
7.218,7.249
7.21,7.236
7.22,7.26
7.224,7.251
7.223,7.239
7.218,7.256
7.229,7.25
7.178,7.178
7.126,7.18
7.118,7.15
7.144,7.249
7.08,7.136
7.051,7.282
7.138,7.15
7.124,7.129
7.084,7.24
7.096,7.188
7.177,7.208
7.199,7.33
7.32,7.437
7.369,7.369
7.24,7.333
7.304,7.468
7.45,7.599
7.563,7.614
7.588,8.05
8.016,8.155
7.821,7.935
7.85,7.92
7.793,7.793
7.7,7.822
7.76,7.947
7.755,7.91
7.78,8.332
8.258,8.414
8.154,8.227
8.226,8.336
8.267,8.287
8.13,8.175
8.106,8.109
8.015,8.015
7.922,7.953
7.897,8.022
7.71,7.767
7.674,7.738
7.63,7.66
7.641,7.762
7.606,7.612
7.483,7.7
7.651,7.66
7.565,7.724
7.672,7.685
7.522,7.569
7.456,7.79
7.635,7.635
7.563,7.621
7.573,7.89
7.719,7.873
7.845,7.95
7.868,7.868
7.768,7.814
7.711,7.808
7.705,7.706
7.556,7.578
7.526,7.526
7.398,7.541
7.509,7.549
7.491,7.568
7.537,7.545
7.475,7.536
7.377,7.383
7.19,7.263
7.138,7.342
7.301,7.37
7.271,7.271
7.171,7.213
7.105,7.148
7.131,7.159
7.125,7.183
7.118,7.21
7.012,7.069
6.949,7.07
7.023,7.131
7.127,7.16
7.16,7.185
7.09,7.11
7.06,7.082
7.077,7.088
7.061,7.11
6.967,7.035
6.978,6.99
6.986,7.022
6.94,7.0
6.95,7.009
6.919,7.108
7.063,7.21
7.178,7.178
7.132,7.144
7.081,7.112
7.025,7.061
6.929,6.947
6.789,6.817
6.561,6.638
6.598,6.685
6.66,6.676
6.606,6.611
6.436,6.553
6.545,6.559
6.475,6.493
6.404,6.465
6.254,6.356
6.337,6.355
6.213,6.31
6.279,6.291
6.167,6.177
5.882,6.044
5.928,6.129
6.11,6.471
6.342,6.496
6.443,6.444
6.248,6.465
6.44,6.67
6.487,6.496
6.432,6.484
6.429,6.49
6.478,6.511
6.436,6.459
6.454,6.56
6.516,6.555
6.451,6.509
6.474,6.65
6.616,6.628
6.589,6.589
6.288,6.333
5.966,6.076
6.023,6.059
5.891,6.0
5.316,5.7
5.603,5.76
5.663,5.674
5.562,5.564
5.505,5.759
5.714,5.838
5.691,5.795
5.614,5.699
5.512,5.629
5.556,5.65
5.611,5.767
5.72,5.802
5.793,6.1
6.037,6.08
5.951,6.1
6.04,6.109
6.102,6.127
6.057,6.1
5.892,6.075
6.049,6.135
6.09,6.115
6.113,6.143
6.106,6.128
6.096,6.231
6.094,6.111
6.064,6.102
6.082,6.129
6.115,6.186
6.089,6.091
5.97,6.053
5.93,5.948
5.902,5.908
5.761,5.906
5.798,6.2
6.143,6.384
6.232,6.323
6.212,6.36
6.307,6.48
6.458,6.552
6.43,6.8
6.759,6.845
6.815,6.88
6.753,6.754
6.605,6.646
6.632,6.71
6.694,6.698
6.647,6.71
6.66,6.68
6.606,6.612
6.444,6.472
6.337,6.43
6.421,6.447
6.362,6.391
6.39,6.542
6.488,6.91
6.883,7.105
6.85,7.001
6.845,6.899
6.897,7.0
6.98,6.995
6.915,7.044
7.01,7.076
7.049,7.2
7.114,7.117
6.999,7.056
6.95,7.061
7.004,7.026
6.909,6.991
6.99,7.159
7.13,7.247
7.129,7.178
7.078,7.109
6.946,7.028
6.968,6.968
6.904,7.078
7.064,7.071
7.039,7.49
7.438,7.547
7.21,7.623
7.535,7.899
7.703,7.704
7.673,7.802
7.482,7.511
7.397,7.437
7.295,7.392
7.238,7.254
7.169,7.317
7.296,7.363
7.342,7.375
7.351,7.6
7.51,7.869
7.738,7.792
7.674,8.097
7.978,8.123
7.923,7.947
7.852,8.059
8.048,8.05
7.883,7.957
7.736,7.844
7.675,7.677
7.607,7.668
7.568,7.806
7.634,7.691
7.494,7.519
7.17,7.229
6.987,7.171
7.151,7.223
7.22,7.321
7.177,7.25
7.243,7.274
7.24,7.523
7.489,7.812
7.625,8.4
8.054,8.071
7.732,8.646
8.644,9.088
8.644,8.96
8.684,8.684
8.493,9.0
8.6,8.744
8.62,8.639
8.615,9.02
8.894,9.333
9.05,9.138
8.92,9.03
8.939,9.31
9.025,9.032
8.829,8.892
8.804,9.05
8.942,9.588
9.279,9.444
9.039,9.191
9.007,9.099
8.829,8.957
8.876,8.987
8.957,9.25
8.929,9.011
8.737,8.87
8.813,9.169
9.003,9.2
9.121,9.17
8.885,8.961
8.852,8.92
8.917,9.18
9.102,9.104
9.054,9.32
9.205,9.45
9.35,9.381
9.1,9.124
8.996,9.092
8.948,9.01
8.619,8.797
8.784,8.808
8.682,8.78
8.719,8.855
8.816,8.899
8.848,8.957
8.84,9.146
8.974,9.186
9.162,9.225
9.084,9.25
9.14,9.35
8.951,9.165
9.07,9.135
9.111,9.331
9.16,9.276
9.229,9.488
9.461,9.697
9.591,9.597
9.28,9.423
9.391,9.534
9.453,9.453
9.371,9.561
9.538,9.571
9.427,9.903
9.907,9.943
9.463,9.594
9.506,9.594
9.434,9.443
9.422,9.48
9.415,9.449
9.408,9.429
9.301,9.314
9.13,9.193
8.975,9.23
9.155,9.38
9.26,9.3
9.16,9.241
9.149,9.165
9.01,9.054
8.918,8.934
8.843,8.855
8.718,8.958
8.8,8.867
8.818,8.872
8.812,8.871
8.871,9.1
8.875,8.911
8.826,8.944
8.926,9.0
8.927,9.143
9.079,9.443
9.154,9.445
9.281,9.362
9.201,9.258
9.108,9.189
9.08,9.166
9.096,9.183
8.892,8.894
8.753,8.787
8.682,8.75
8.543,8.55
8.376,8.474
8.426,8.441
8.27,8.411
8.347,8.716
8.559,8.57
8.447,8.449
8.226,8.5
8.3,8.367
8.232,8.232
8.032,8.156
8.12,8.437
8.284,8.3
8.123,8.172
7.96,8.098
8.062,8.35
8.264,8.309
8.063,8.152
8.098,8.196
8.172,8.192
8.161,8.176
7.916,8.218
8.194,8.341
8.299,8.361
8.336,8.35
8.335,8.441
8.346,8.355
8.219,8.302
8.249,8.272
8.042,8.086
7.876,7.992
7.918,8.154
8.034,8.174
8.174,8.563
8.494,8.647
8.575,8.588
8.383,8.545
8.457,8.657
8.623,8.624
8.379,8.389
8.266,8.341
8.296,8.35
8.078,8.182
8.159,8.226
8.208,8.298
8.225,8.263
8.042,8.198
8.167,8.194
8.13,8.258
8.258,8.258
8.114,8.213
8.157,8.188
8.17,8.211
7.954,8.02
7.887,7.968
7.917,8.124
8.12,8.255
8.092,8.227
8.088,8.1
7.955,8.024
8.023,8.124
7.96,8.029
7.995,8.002
7.877,8.113
7.943,7.958
7.582,7.764
7.719,7.873
7.736,7.779
7.715,7.814
7.719,7.855
7.775,7.898
7.771,8.001
7.953,7.967
7.87,7.968
7.89,7.979
7.923,7.968
7.891,7.914
7.855,7.935
7.849,7.912
7.858,7.974
7.957,7.997
7.902,8.028
7.895,8.042
7.95,8.149
8.143,8.37
8.325,8.349
8.212,8.283
8.221,8.228
8.071,8.175
8.156,8.203
8.114,8.17
8.17,8.205
8.149,8.332
8.239,8.307
