prices,highs
0.025,2.5
0.44145,0.49382
0.46351,0.47258
0.42394,0.42888
0.4255,0.43898
0.42073,0.431
0.39317,0.416
0.4,0.411
0.39051,0.423
0.41082,0.44912
0.44387,0.45277
0.43201,0.44351
0.40667,0.42427
0.4132,0.43317
0.42856,0.442
0.42492,0.43935
0.43911,0.46
0.45668,0.4915
0.47338,0.54
0.53749,0.57698
0.53954,0.55821
0.52479,0.54542
0.49377,0.51861
0.50013,0.506
0.48705,0.4886
0.46787,0.477
0.4562,0.491
0.47844,0.52267
0.50457,0.516
0.49023,0.512
0.50397,0.525
0.5,0.51995
0.50948,0.525
0.513,0.5172
0.4967,0.515
0.50713,0.52968
0.52892,0.5649
0.56086,0.5925
0.583,0.5965
0.5686,0.56882
0.545,0.54718
0.52401,0.53731
0.518,0.542
0.532,0.547
0.54168,0.542
0.53151,0.536
0.52883,0.566
0.5518,0.565
0.55188,0.55188
0.55185,0.582
0.56806,0.57841
0.57108,0.58661
0.56135,0.56639
0.53295,0.53298
0.5277,0.5455
0.54131,0.54749
0.50072,0.52
0.51793,0.523
0.51149,0.532
0.52986,0.5325
0.51753,0.52096
0.48698,0.50338
0.49776,0.50349
0.49078,0.4965
0.49333,0.504
0.47942,0.48575
0.48268,0.48776
0.48,0.48
0.47285,0.483
0.48163,0.485
0.48152,0.483
0.47471,0.47471
0.46574,0.478
0.476,0.489
0.47611,0.4893
0.48359,0.48986
0.48967,0.49799
0.48501,0.489
0.48054,0.4808
0.467,0.48
0.4712,0.47831
0.47204,0.48474
0.47581,0.48099
0.47448,0.483
0.4761,0.47634
0.46892,0.473
0.47111,0.47521
0.47096,0.47098
0.45046,0.45294
0.44566,0.4475
0.44081,0.45092
0.44679,0.4683
0.46699,0.476
0.47249,0.4798
0.47598,0.4847
0.47595,0.4866
0.48244,0.50797
0.50401,0.5245
0.49374,0.50342
0.49013,0.49698
0.48386,0.49509
0.49509,0.49509
0.48767,0.49694
0.49171,0.49888
0.48464,0.493
0.49127,0.49747
0.49685,0.49864
0.48767,0.5149
0.50732,0.51
0.4955,0.50154
0.49173,0.496
0.49533,0.49936
0.4953,0.50362
0.48639,0.48916
0.48531,0.48583
0.47551,0.48365
0.48002,0.4835
0.48306,0.48438
0.48077,0.486
0.47757,0.48147
0.46887,0.47839
0.4728,0.47701
0.45717,0.46183
0.46,0.4685
0.45738,0.46
0.4535,0.45844
0.45446,0.4566
0.44912,0.45105
0.44026,0.444
0.44397,0.44791
0.44536,0.45618
0.45342,0.45658
0.44586,0.45531
0.45173,0.4533
0.44569,0.44834
0.44101,0.44945
0.44873,0.4505
0.45027,0.45829
0.45394,0.458
0.44872,0.451
0.44708,0.44848
0.4422,0.44515
0.43678,0.446
0.44426,0.44966
0.44009,0.44113
0.43832,0.448
0.44501,0.45393
0.44986,0.45027
0.44526,0.44983
0.44429,0.4569
0.45629,0.46333
0.46099,0.46688
0.4601,0.463
0.45496,0.46001
0.45888,0.46886
0.46418,0.47498
0.46657,0.47359
0.46352,0.46865
0.46376,0.46722
0.46532,0.473
0.47285,0.47745
0.47026,0.4855
0.48029,0.48766
0.48486,0.49057
0.4885,0.49
0.48195,0.48595
0.47915,0.48286
0.47683,0.483
0.47221,0.47565
0.4717,0.47203
0.4608,0.4645
0.46355,0.465
0.45247,0.45936
0.45819,0.46199
0.45986,0.46328
0.46153,0.46569
0.46044,0.464
0.46,0.46274
0.4626,0.47265
0.46596,0.46771
0.4547,0.4635
0.46018,0.47527
0.46858,0.47252
0.45639,0.46163
0.45777,0.45817
0.45441,0.46754
0.4608,0.46084
0.45379,0.475
0.46754,0.49318
0.48448,0.48546
0.47524,0.48888
0.48691,0.5099
0.49535,0.49569
0.4838,0.4858
0.47904,0.48184
0.47245,0.47323
0.46381,0.46691
0.46373,0.47302
0.46838,0.475
0.47284,0.47897
0.47848,0.48
0.47977,0.48565
0.47908,0.48412
0.48131,0.49018
0.47926,0.4889
0.48578,0.48692
0.47652,0.4875
0.48215,0.49
0.48757,0.49335
0.48109,0.48137
0.47174,0.47294
0.467,0.4706
0.46863,0.4703
0.46226,0.468
0.46633,0.4672
0.46546,0.47285
0.46901,0.47993
0.47079,0.48067
0.4757,0.47991
0.47389,0.48866
0.48464,0.48948
0.48,0.48299
0.47925,0.48175
0.48036,0.48464
0.47849,0.48129
0.47968,0.48326
0.48288,0.48625
0.47961,0.49539
0.48504,0.4935
0.49333,0.49447
0.48637,0.488
0.48343,0.48729
0.48568,0.48685
0.48159,0.48546
0.48028,0.48414
0.48307,0.48531
0.4795,0.4842
0.48246,0.5045
0.50189,0.507
0.49766,0.50974
0.5079,0.52298
0.51691,0.51691
0.50613,0.50728
0.49797,0.49841
0.48296,0.49261
0.48939,0.49007
0.48614,0.49
0.48438,0.49248
0.48813,0.49356
0.48644,0.4925
0.49032,0.49196
0.48658,0.49657
0.48502,0.4906
0.48184,0.48364
0.48251,0.48848
0.48833,0.48863
0.48354,0.49408
0.49262,0.4996
0.49584,0.497
0.49234,0.49989
0.48686,0.49337
0.4924,0.4975
0.4885,0.49042
0.48782,0.48987
0.48417,0.48488
0.47711,0.48225
0.46853,0.46988
0.46462,0.46678
0.46552,0.4712
0.46575,0.46701
0.46042,0.46042
0.45514,0.46314
0.4595,0.46193
0.4594,0.4639
0.4634,0.46884
0.46685,0.46685
0.46583,0.4673
0.4537,0.45923
0.45899,0.45988
0.45832,0.45938
0.45622,0.45803
0.45408,0.46122
0.46005,0.4668
0.46315,0.46974
0.46823,0.475
0.47122,0.47338
0.46764,0.46926
0.46629,0.4688
0.46565,0.46719
0.46296,0.464
0.45851,0.46156
0.45798,0.46149
0.45334,0.45976
0.45354,0.46137
0.45944,0.46175
0.45686,0.45775
0.43861,0.44209
0.44034,0.44608
0.44349,0.44567
0.44498,0.4466
0.44082,0.4455
0.44319,0.44749
0.44471,0.44933
0.44665,0.45041
0.44355,0.45111
0.44785,0.4525
0.45117,0.45376
0.45198,0.4545
0.45403,0.46717
0.46456,0.46456
0.46163,0.4662
0.46233,0.46487
0.46032,0.46351
0.4567,0.4615
0.45735,0.4616
0.46096,0.46644
0.46091,0.46296
0.46107,0.46209
0.4596,0.46187
0.46149,0.4649
0.4618,0.46262
0.46075,0.46242
0.46176,0.46239
0.4605,0.46903
0.4685,0.475
0.47264,0.47496
0.46934,0.47239
0.47188,0.47343
0.46722,0.47159
0.47078,0.4855
0.4833,0.4833
0.47896,0.47928
0.47483,0.47816
0.47653,0.47827
0.4725,0.47275
0.47041,0.47222
0.4666,0.46915
0.46475,0.46517
0.45929,0.4612
0.45945,0.46079
0.45764,0.4607
0.45837,0.46072
0.4592,0.46379
0.46075,0.4625
0.45922,0.46096
0.45934,0.46364
0.4618,0.46353
0.46255,0.46277
0.4553,0.45866
0.45791,0.45927
0.45408,0.45799
0.45773,0.45846
0.45533,0.45685
0.4531,0.45497
0.45382,0.45454
0.44611,0.45278
0.44959,0.45216
0.44828,0.44892
0.44751,0.463
0.4599,0.4599
0.44968,0.458
0.45075,0.45296
0.45195,0.45764
0.45402,0.45622
0.45234,0.45467
0.45066,0.45341
0.4483,0.4526
0.45041,0.454
0.4473,0.45106
0.44995,0.45003
0.44992,0.4515
0.451,0.45474
0.45474,0.458
0.45501,0.4592
0.45778,0.46239
0.45931,0.46348
0.46266,0.46272
0.45517,0.45542
0.45333,0.45421
0.44876,0.455
0.45013,0.451
0.45098,0.4535
0.45194,0.45299
0.44709,0.45166
0.45092,0.45093
0.45056,0.45347
0.45136,0.45455
0.4544,0.45615
0.45101,0.45143
0.44915,0.44959
0.44725,0.44999
0.44923,0.44959
0.44736,0.44929
0.44865,0.45252
0.45169,0.45342
0.45262,0.45287
0.44697,0.44806
0.4453,0.44925
0.44926,0.45134
0.44995,0.45147
0.45026,0.45487
0.45431,0.456
0.45383,0.4547
0.453,0.46
0.4527,0.4615
0.459,0.46133
0.45743,0.45747
0.45624,0.45625
0.45182,0.4526
0.44814,0.45129
0.45012,0.4505
0.44912,0.44983
0.44901,0.44973
0.44713,0.44879
0.4442,0.445
0.44318,0.44567
0.44258,0.44549
0.44443,0.44503
0.43861,0.43986
0.43835,0.4437
0.44078,0.444
0.44212,0.44421
0.4408,0.4415
0.43824,0.44233
0.43905,0.44186
0.43845,0.43846
0.43641,0.43668
0.43535,0.43558
0.43449,0.43633
0.43544,0.4355
0.43467,0.44009
0.43835,0.4411
0.43862,0.43944
0.43711,0.4381
0.43367,0.43562
0.43453,0.43754
0.43722,0.43737
0.43498,0.44065
0.43938,0.44473
0.44099,0.44244
0.44167,0.4481
0.44554,0.45
0.44704,0.44745
0.44556,0.4576
0.44927,0.44957
0.44625,0.44905
0.44736,0.4525
0.45043,0.45647
0.45118,0.45406
0.45105,0.45219
0.44716,0.45034
0.4488,0.4509
0.45014,0.45592
0.4546,0.456
0.45488,0.46205
0.45781,0.4657
0.4574,0.4574
0.44934,0.45278
0.45032,0.4538
0.45051,0.459
0.45745,0.462
0.45901,0.46181
0.46122,0.46518
0.46249,0.46452
0.45852,0.46242
0.46078,0.46512
0.46241,0.47215
0.47,0.47599
0.47456,0.47469
0.4719,0.4754
0.47319,0.47389
0.47253,0.47875
0.47343,0.483
0.47114,0.4775
0.47468,0.47671
0.47453,0.47649
0.46978,0.47068
0.46705,0.4692
0.46857,0.46865
0.46475,0.468
0.46561,0.468
0.46705,0.47159
0.46403,0.46634
0.46471,0.4654
0.45958,0.4602
0.45837,0.46101
0.45982,0.46298
0.4574,0.45806
0.45472,0.45747
0.45671,0.458
0.45629,0.45692
0.45669,0.45949
0.4532,0.45367
0.45033,0.45034
0.44476,0.44476
0.44417,0.44567
0.44485,0.44572
0.44163,0.44571
0.445,0.44877
0.4461,0.44845
0.4441,0.44758
0.44715,0.4475
0.44642,0.44685
0.44624,0.45772
0.45038,0.4555
0.44877,0.45743
0.45252,0.45447
0.45407,0.45564
0.45249,0.45772
0.4535,0.45529
0.44757,0.44848
0.44767,0.45004
0.44883,0.45277
0.45141,0.45252
0.45022,0.455
0.45345,0.46616
0.46543,0.47475
0.46774,0.4684
0.46615,0.46955
0.46733,0.47002
0.46548,0.46601
0.46579,0.47212
0.46769,0.472
0.47117,0.4793
0.47385,0.51815
0.51558,0.532
0.52591,0.52885
0.51466,0.52221
0.51964,0.525
0.521,0.54241
0.534,0.54597
0.53477,0.54286
0.54132,0.54977
0.54437,0.58
0.57559,0.58
0.56415,0.57366
0.562,0.57989
0.5676,0.57459
0.57342,0.57621
0.57431,0.685
0.6517,0.755
0.70508,0.73298
0.69222,0.72999
0.71006,0.72575
0.71681,0.73782
0.72057,0.738
0.71265,0.71354
0.67068,0.68283
0.68235,0.68252
0.67061,0.712
0.68833,0.70882
0.70696,0.72284
0.67685,0.69947
0.696,0.70818
0.69356,0.7766
0.75839,0.777
0.71444,0.74986
0.74493,0.807
0.79328,0.8398
0.8346,0.84
0.81051,0.81954
0.80926,0.82639
0.81153,0.81627
0.80162,0.83
0.76034,0.77886
0.77257,0.81
0.79436,0.8258
0.8038,0.81381
0.80929,0.86
0.82122,0.82122
0.77673,0.80493
0.79788,0.80914
0.78703,0.817
0.80648,0.81716
0.79946,0.8221
0.81741,0.83
0.81797,0.82696
0.82001,0.842
0.82732,0.8485
0.82845,0.841
0.81579,0.82
0.79069,0.80199
0.79712,0.80017
0.79021,0.8
0.79032,0.8145
0.80492,0.8339
0.8269,0.84772
0.82895,0.84772
0.81789,0.82465
0.81993,0.82732
0.81954,0.95546
0.92456,0.98
0.9571,0.98
0.95474,0.97304
0.97001,0.97032
0.94422,0.94449
0.91026,0.91026
0.89226,0.89233
0.88151,0.8941
0.87717,0.88389
0.88262,0.8924
0.88665,0.88666
0.88076,0.9089
0.89543,0.92468
0.91524,0.9175
0.8932,0.91288
0.91076,0.91871
0.90992,0.91859
0.90908,0.938
0.93555,0.94
0.92936,0.94435
0.92933,0.93177
0.88065,0.9026
0.87886,0.898
0.89593,0.901
0.87737,0.88341
0.83848,0.85093
0.85023,0.85652
0.84122,0.84902
0.83128,0.84594
0.8377,0.84977
0.83551,0.84724
0.84484,0.84621
0.84187,0.87402
0.86513,0.86528
0.85239,0.8633
0.86256,0.864
0.83893,0.872
0.86102,0.871
0.86777,1.0
0.98053,1.05
1.01662,1.03425
1.00587,1.00992
0.97635,0.97733
0.96225,0.9736
0.9352,0.956
0.9491,0.94912
0.93743,0.95157
0.94666,0.96999
0.96131,0.96144
0.93921,0.976
0.96193,0.98
0.97227,1.00808
0.93384,0.93385
0.89085,0.90852
0.90598,0.91187
0.89998,0.91828
0.91601,0.91601
0.89477,0.91
0.90559,0.92679
0.91981,0.949
0.92752,0.94699
0.93393,0.9409
0.90894,0.92484
0.90938,0.91376
0.90533,0.92148
0.92058,0.92363
0.90911,0.9132
0.91132,0.91239
0.90248,0.92298
0.89447,0.9129
0.8884,0.9
0.89331,0.91
0.89732,0.919
0.91292,0.935
0.91254,0.91254
0.89239,0.913
0.89197,0.89197
0.80301,0.81697
0.8057,0.8242
0.81921,0.82554
0.81417,0.82166
0.81211,0.81892
0.81395,0.82909
0.8223,0.8254
0.80914,0.81368
0.81122,0.81275
0.79823,0.80639
0.80035,0.8064
0.80219,0.8065
0.79971,0.80147
0.79435,0.79897
0.77752,0.7853
0.78015,0.79634
0.789,0.80375
0.79614,0.79878
0.79025,0.80999
0.79277,0.80887
0.79694,0.8104
0.80752,0.81729
0.7965,0.79837
0.79562,0.81149
0.80652,0.81189
0.80184,0.81377
0.79437,0.79501
0.78482,0.80737
0.80299,0.80371
0.79501,0.79748
0.77344,0.77344
0.74462,0.75266
0.73658,0.74617
0.72867,0.74263
0.73567,0.75571
0.74706,0.75255
0.74096,0.74755
0.7445,0.75285
0.73979,0.74399
0.73567,0.76286
0.74749,0.75078
0.739,0.74158
0.73695,0.74373
0.7403,0.7464
0.73081,0.734
0.72475,0.7329
0.72629,0.77299
0.76589,0.76589
0.75517,0.76454
0.76319,0.76711
0.75506,0.77166
0.76065,0.7777
0.76349,0.7754
0.76256,0.78698
0.78355,0.79951
0.77476,0.77477
0.75798,0.765
0.75979,0.76394
0.75112,0.75405
0.74436,0.76179
0.74511,0.75473
0.70711,0.75057
0.74075,0.751
0.74209,0.74636
0.73181,0.7324
0.71985,0.7278
0.7198,0.73479
0.72939,0.73982
0.73938,0.74053
0.73115,0.73618
0.73617,0.73763
0.72554,0.72554
0.71852,0.7245
0.71853,0.72691
0.71858,0.73884
0.73426,0.73924
0.72849,0.7285
0.72217,0.738
0.73795,0.75266
0.73863,0.74908
0.7342,0.73801
0.73471,0.73471
0.73225,0.74298
0.73916,0.743
0.73242,0.73486
0.73429,0.75167
0.75103,0.75823
0.75139,0.75141
0.7348,0.73609
0.72626,0.7274
0.72028,0.72579
0.72109,0.72748
0.72488,0.72756
0.7255,0.7255
0.71634,0.72695
0.72589,0.72637
0.71692,0.71741
0.7138,0.71383
0.69377,0.69685
0.6914,0.69801
0.68728,0.69297
0.69171,0.69262
0.68827,0.69146
0.68229,0.6926
0.682,0.68482
0.67543,0.6806
0.66594,0.66916
0.66693,0.67563
0.67018,0.675
0.67355,0.67942
0.67673,0.68188
0.6784,0.6859
0.68478,0.68966
0.67504,0.68722
0.68328,0.68438
0.68284,0.68887
0.67357,0.67814
0.66626,0.67122
0.66258,0.66523
0.6635,0.67742
0.67445,0.68516
0.67981,0.68724
0.68304,0.70495
0.70108,0.70999
0.68828,0.715
0.70587,0.71291
0.69265,0.69297
0.68822,0.68823
0.67382,0.69984
0.69403,0.6966
0.69292,0.6977
0.69362,0.698
0.69325,0.69899
0.69444,0.69913
0.69445,0.7029
0.69924,0.70646
0.69056,0.69568
0.6871,0.69328
0.68637,0.68681
0.67542,0.68192
0.67871,0.67883
0.67053,0.6783
0.67003,0.67579
0.66594,0.66983
0.6685,0.67378
0.66461,0.6654
0.65928,0.66526
0.66068,0.66098
0.64836,0.65325
0.64613,0.64875
0.6442,0.64924
0.6414,0.64897
0.64614,0.65209
0.65101,0.65317
0.64076,0.64222
0.64056,0.672
0.66485,0.70144
0.69596,0.70199
0.68128,0.69049
0.68586,0.69615
0.68204,0.695
0.6869,0.698
0.69158,0.69988
0.69193,0.70981
0.70384,0.71386
0.71325,0.72
0.7086,0.70912
0.6997,0.72898
0.72227,0.72813
0.71987,0.746
0.74566,0.74882
0.7375,0.75999
0.75039,0.755
0.752,0.752
0.75061,0.773
0.74995,0.76
0.75038,0.75199
0.74077,0.74961
0.74149,0.7435
0.68298,0.69359
0.69301,0.69399
0.69102,0.69381
0.67649,0.68931
0.68044,0.71928
0.71342,0.71855
0.69818,0.71424
0.71391,0.7158
0.70779,0.72645
0.72338,0.73
0.72039,0.72795
0.71961,0.72099
0.71179,0.71487
0.70982,0.715
0.7089,0.766
0.74896,0.76712
0.74228,0.757
0.74617,0.7617
0.74653,0.7722
0.75853,0.77754
0.75657,0.76273
0.7534,0.76347
0.76105,0.775
0.7628,0.76373
0.75665,0.76271
0.748,0.755
0.74649,0.74885
0.73843,0.74977
0.744,0.74402
0.73968,0.74241
0.73077,0.73313
0.72876,0.73351
0.72916,0.73811
0.7362,0.73641
0.73108,0.73215
0.73186,0.74596
0.73964,0.74155
0.73334,0.7365
0.72821,0.73436
0.72972,0.72972
0.71648,0.72001
0.69899,0.70918
0.6954,0.70212
0.68389,0.68707
0.68223,0.68769
0.68168,0.6912
0.68133,0.6869
0.68614,0.68945
0.68361,0.688
0.68571,0.6903
0.68716,0.68997
0.68355,0.68666
0.68341,0.68407
0.67809,0.6846
0.67872,0.68659
0.6863,0.68768
0.68439,0.68804
0.6821,0.68233
0.67604,0.67842
0.67196,0.68403
0.68262,0.68262
0.67211,0.67326
0.6663,0.67344
0.67005,0.67241
0.67011,0.67289
0.66902,0.6788
0.67381,0.67823
0.67555,0.67555
0.66822,0.66915
0.66605,0.67386
0.66981,0.67027
0.66146,0.66669
0.66338,0.66797
0.66639,0.66874
0.66633,0.67039
0.66634,0.66976
0.6635,0.6686
0.6614,0.6617
0.65296,0.65662
0.65561,0.65622
0.65442,0.65747
0.65551,0.66239
0.66212,0.6622
0.65804,0.65838
0.65263,0.65799
0.65505,0.65712
0.65427,0.65894
0.65337,0.6594
0.65927,0.65927
0.65235,0.65528
0.65378,0.65986
0.65858,0.681
0.67016,0.67348
0.66285,0.66425
0.65346,0.6537
0.64988,0.65061
0.6402,0.6404
0.63899,0.64291
0.6372,0.6425
0.63979,0.6442
0.636,0.64057
0.6182,0.6239
0.61217,0.61528
0.61321,0.61563
0.61515,0.6175
0.61277,0.61507
0.61068,0.61346
0.61044,0.61254
0.61022,0.61084
0.6071,0.61039
0.60926,0.6108
0.60597,0.60803
0.60633,0.6182
0.61218,0.61852
0.6091,0.639
0.62772,0.62772
0.61478,0.624
0.61934,0.6263
0.62075,0.62219
0.61554,0.62233
0.61375,0.61725
0.60977,0.6222
0.62214,0.6289
0.62348,0.62658
0.62271,0.62492
0.61862,0.62104
0.61616,0.61748
0.61567,0.61845
0.61587,0.61951
0.61932,0.63212
0.63024,0.63732
0.63129,0.6366
0.62786,0.63029
0.62547,0.62605
