prices,highs
0.15,4.94
2.1374,2.1876
2.0113,2.034
1.8238,1.8899
1.7747,2.06
2.0051,2.28
2.23,2.746
2.4423,2.57
2.3935,2.7
2.6999,3.1198
3.1045,3.2736
3.0311,3.0641
2.8334,3.15
3.0467,3.23
3.0894,3.095
2.8895,3.03
2.872,2.905
2.8035,2.9607
2.8949,3.1349
3.0576,3.1103
2.8749,2.977
2.8529,2.9759
2.9192,3.39
3.3738,3.7146
3.49,3.77
3.6178,3.62
3.4427,3.5599
3.4623,3.51
3.2307,3.4085
3.24,3.4476
3.4056,3.4869
3.4103,3.58
3.5794,3.6584
3.4696,3.5324
3.5246,3.55
3.3895,3.4392
3.3683,3.4399
3.3615,3.5
3.4899,3.5843
3.5053,3.6688
3.5588,3.73
3.58,3.9671
3.6939,3.85
3.7727,3.96
3.8753,4.2266
4.1314,4.3777
4.3342,4.37
4.1975,4.31
4.255,4.444
4.4424,4.45
3.9508,4.1083
3.9793,4.1372
4.0504,4.089
3.8453,3.8511
3.7131,3.7855
3.5312,3.65
3.3499,3.6479
3.6101,3.74
3.6531,3.679
3.553,3.6
3.541,3.65
3.6124,3.6899
3.5671,3.5979
3.4735,3.5309
3.4374,3.466
3.32,3.4309
3.1964,3.33
3.2799,3.34
3.2718,3.4184
3.3856,3.4039
3.3899,3.4743
3.4507,3.489
3.3899,3.436
3.3337,3.3719
3.3357,3.398
3.3595,3.39
3.3551,3.45
3.4214,3.57
3.4653,3.5448
3.4801,3.5
3.4553,3.47
3.3458,3.3733
3.3299,3.3313
3.05,3.2473
3.0863,3.1306
3.1153,3.1696
3.1103,3.1232
3.0386,3.0808
2.9989,3.0236
2.975,3.07
3.0446,3.0924
3.0628,3.1284
3.1192,3.1422
2.9939,3.0117
2.9368,2.974
2.8983,2.9574
2.9381,3.02
3.0056,3.0174
2.8981,2.9342
2.8769,2.927
2.9169,2.9591
2.9472,3.059
3.0222,3.0464
3.0092,3.0142
3.0032,3.0999
3.0432,3.1888
3.1618,3.3555
3.2527,3.285
3.2737,3.31
3.1494,3.2636
3.22,3.2354
3.131,3.2219
3.1993,3.2514
3.2396,3.28
3.166,3.1804
3.15,3.1865
3.015,3.0331
2.9948,3.005
2.9593,2.9689
2.8914,2.9198
2.854,2.8853
2.8477,2.876
2.8176,2.9304
2.9081,2.9214
2.9085,2.9295
2.8975,2.9199
2.8338,2.923
2.9086,2.962
2.9606,2.9627
2.9332,2.985
2.808,2.85
2.7741,2.7792
2.6369,2.7234
2.716,2.7194
2.682,2.7172
2.6188,2.7093
2.6788,2.7339
2.73,2.734
2.7098,2.7112
2.6866,2.7096
2.64,2.6934
2.677,2.7353
2.6894,2.7
2.6466,2.741
2.7168,2.7522
2.6432,2.6677
2.6548,2.6789
2.6623,2.906
2.7843,2.91
2.8736,2.9392
2.8835,2.939
2.8464,2.88
2.8349,2.8858
2.8571,2.9567
2.8924,3.0907
2.9837,3.0478
3.0225,3.1
2.9815,3.0918
3.0582,3.1807
3.1708,3.1791
3.1232,3.1361
3.0072,3.0614
3.0353,3.099
3.078,3.0789
3.0412,3.0412
3.0044,3.0125
2.919,2.9766
2.9369,2.955
2.9,3.0425
2.9924,3.0467
2.9567,2.9876
2.9687,3.0381
3.0201,3.0499
2.9997,3.164
3.1359,3.32
3.2795,3.46
3.4576,3.4895
3.2998,3.5714
3.5508,3.6277
3.495,3.5
3.3989,3.4075
3.3418,3.3603
3.186,3.3249
3.3021,3.3655
3.264,3.35
3.3334,3.4812
3.4421,3.4675
3.376,3.42
3.3431,3.3523
3.1342,3.2
3.1166,3.1629
3.0649,3.1085
3.0812,3.12
2.9976,3.0738
2.9948,3.07
3.0548,3.1555
3.1335,3.2449
3.166,3.1696
3.0458,3.0594
2.9242,2.9424
2.8386,2.8941
2.8754,2.9495
2.9065,2.9435
2.9422,2.99
2.925,2.9303
2.9044,2.9287
2.8899,2.9212
2.9108,2.9168
2.9055,2.9631
2.9546,2.9796
2.9394,2.97
2.9359,2.9561
2.9507,2.9823
2.9727,3.029
2.9707,2.975
2.9628,2.9867
2.981,3.1068
3.105,3.2
3.1344,3.1367
3.007,3.0239
2.9354,2.9665
2.9562,2.9681
2.9287,2.9524
2.9451,2.9539
2.9241,2.953
2.9302,2.9665
2.8838,2.9177
2.8872,2.8926
2.8665,2.8877
2.866,2.878
2.7767,2.8113
2.7997,2.8202
2.757,2.7926
2.7921,2.8285
2.8271,2.8365
2.8061,2.818
2.7923,2.8053
2.7609,2.7708
2.7094,2.8299
2.7891,2.8222
2.8075,2.846
2.813,2.8708
2.8022,2.8103
2.7987,2.8068
2.774,2.8091
2.8053,2.8077
2.7666,2.7721
2.7427,2.7449
2.7049,2.739
2.7206,2.7426
2.6466,2.6708
2.6245,2.67
2.6548,2.6835
2.6787,2.6843
2.5806,2.629
2.6057,2.6083
2.4622,2.4858
2.4699,2.475
2.4045,2.4226
2.355,2.3837
2.359,2.3699
2.3498,2.4583
2.3971,2.4391
2.4113,2.4129
2.3744,2.3899
2.387,2.3925
2.3512,2.3778
2.3774,2.3983
2.3676,2.4268
2.4202,2.4954
2.493,2.495
2.46,2.516
2.5062,2.5318
2.52,2.6549
2.6357,2.6551
2.5977,2.615
2.5439,2.579
2.542,2.5916
2.5887,2.5922
2.5242,2.5758
2.5397,2.5928
2.5728,2.5781
2.5116,2.5259
2.5121,2.5454
2.4814,2.4987
2.4398,2.4563
2.4129,2.4302
2.3778,2.436
2.4282,2.4412
2.4051,2.4107
2.3677,2.415
2.4086,2.428
2.4074,2.4088
2.3683,2.3997
2.3992,2.4008
2.3687,2.3852
2.3742,2.4254
2.4083,2.4339
2.3713,2.392
2.3728,2.3983
2.3949,2.446
2.4343,2.4448
2.4387,2.5264
2.4589,2.4924
2.4703,2.4845
2.4502,2.5283
2.5088,2.6391
2.6197,2.6547
2.5976,2.7281
2.7128,2.7298
2.6807,2.6863
2.5803,2.7403
2.7098,2.7142
2.6367,2.7598
2.7464,2.8262
2.7167,2.7525
2.6714,2.69
2.6323,2.6707
2.6201,2.6698
2.6589,2.672
2.6557,2.6911
2.6607,2.67
2.6106,2.7749
2.7622,2.7648
2.7132,2.7733
2.7178,2.8188
2.7703,2.8756
2.8393,2.8912
2.8425,2.8951
2.8052,2.8074
2.7822,2.8013
2.7777,2.812
2.7769,2.804
2.7198,2.7655
2.7594,2.7691
2.6394,2.6912
2.686,2.7082
2.7023,2.7671
2.7099,2.7419
2.6888,2.7033
2.67,2.7172
2.7166,2.734
2.7089,2.7899
2.7561,2.8533
2.8221,2.8555
2.8034,2.942
2.9289,2.94
2.8123,2.8237
2.8106,2.814
2.8033,2.8848
2.8361,2.84
2.6924,2.7132
2.6294,2.6618
2.6016,2.6117
2.5362,2.5839
2.5698,2.6447
2.5965,2.5992
2.5824,2.6528
2.6337,2.681
2.6182,2.6362
2.6312,2.6316
2.5862,2.6032
2.5793,2.6121
2.5913,2.5915
2.5776,2.598
2.5912,2.5969
2.5798,2.6
2.5886,2.6241
2.6008,2.6384
2.5683,2.6019
2.5172,2.5481
2.5265,2.5525
2.5021,2.5221
2.5174,2.5593
2.5544,2.5647
2.5556,2.5599
2.5504,2.5823
2.5731,2.5771
2.5498,2.5624
2.5338,2.5411
2.5324,2.5494
2.5483,2.5553
2.5372,2.5675
2.5619,2.57
2.553,2.5774
2.5559,2.556
2.5341,2.5828
2.5752,2.6203
2.5923,2.6138
2.5747,2.5766
2.5532,2.655
2.644,2.6612
2.6297,2.659
2.6404,2.6981
2.6547,2.7026
2.6362,2.7215
2.68,2.723
2.6502,2.651
2.5896,2.5978
2.5832,2.6139
2.5933,2.6493
2.634,2.6432
2.6057,2.615
2.5784,2.6038
2.5813,2.6
2.5936,2.61
2.5797,2.5921
