prices,highs
0.03,0.872
0.6911,0.7199
0.6842,0.695
0.6771,0.6784
0.6395,0.6498
0.6296,0.6461
0.6426,0.6915
0.6756,0.699
0.6617,0.6843
0.6712,0.675
0.6467,0.6632
0.6575,0.6585
0.6289,0.6329
0.5861,0.5978
0.5777,0.6086
0.5869,0.6032
0.5777,0.5925
0.5855,0.59
0.5614,0.6049
0.5983,0.6292
0.6033,0.622
0.5955,0.6084
0.5945,0.6248
0.6122,0.6189
0.5927,0.596
0.5943,0.6061
0.5867,0.591
0.5767,0.5843
0.5798,0.5844
0.5824,0.5989
0.598,0.598
0.5938,0.6054
0.6024,0.6173
0.598,0.612
0.6011,0.6044
0.5934,0.5981
0.5888,0.5917
0.5857,0.5935
0.5931,0.5954
0.5882,0.607
0.6067,0.6179
0.6178,0.64
0.6235,0.6337
0.6292,0.6312
0.6209,0.6225
0.6224,0.626
0.6073,0.628
0.6214,0.638
0.6332,0.65
0.6272,0.6284
0.6162,0.6176
0.6138,0.6155
0.6128,0.6181
0.6094,0.6204
0.6151,0.6199
0.6192,0.6239
0.6174,0.621
0.6076,0.6126
0.6097,0.6102
0.5777,0.5833
0.5806,0.61
0.5925,0.5959
0.5844,0.589
0.5862,0.5883
0.5803,0.5844
0.5759,0.5854
0.5844,0.5858
0.5791,0.5803
0.5757,0.5799
0.5735,0.5766
0.5757,0.5778
0.5692,0.575
0.5733,0.5799
0.5748,0.5829
0.578,0.5797
0.5726,0.5738
0.5717,0.5719
0.5676,0.5726
0.5699,0.5761
0.5736,0.576
0.5649,0.5683
0.5677,0.5719
0.5695,0.5711
0.5677,0.5731
0.5695,0.5705
0.5575,0.5617
0.5576,0.5622
0.549,0.5505
0.5437,0.5467
0.5383,0.55
0.5469,0.5492
0.5455,0.5579
0.5537,0.5605
0.5544,0.568
0.5662,0.5682
0.5598,0.564
0.5594,0.5632
0.5604,0.5611
0.5557,0.558
0.5487,0.5495
0.5415,0.5462
0.5428,0.5465
0.5367,0.5391
0.5292,0.5348
0.5303,0.5363
0.5266,0.5283
0.5271,0.5279
0.5255,0.5359
0.5347,0.5419
0.541,0.5422
0.5379,0.542
0.541,0.5568
0.5517,0.5572
0.5461,0.5564
0.5546,0.568
0.562,0.5665
0.565,0.5713
0.5657,0.5657
0.5571,0.5596
0.5483,0.5484
0.5394,0.5473
0.5452,0.5484
0.5445,0.5461
0.5406,0.5439
0.5387,0.5391
0.5354,0.5365
0.5274,0.5344
0.5293,0.544
0.541,0.5435
0.5364,0.5364
0.5277,0.5362
0.5336,0.537
0.5313,0.5332
0.5283,0.53
0.5294,0.5309
0.5296,0.5336
0.5321,0.5381
0.5375,0.5381
0.533,0.5334
0.5181,0.5192
0.5187,0.5225
0.5113,0.5189
0.5163,0.5211
0.5163,0.5237
0.5215,0.5277
0.5163,0.5173
0.5154,0.5196
0.5181,0.5321
0.5293,0.532
0.5258,0.5276
0.5228,0.54
0.5344,0.5414
0.5318,0.54
0.5331,0.5428
0.5404,0.5409
0.5323,0.5339
0.528,0.5295
0.5166,0.5227
0.5205,0.5213
0.5189,0.521
0.5159,0.5226
0.5209,0.5278
0.5255,0.5268
0.5238,0.5554
0.5534,0.5609
0.5565,0.5632
0.5554,0.581
0.5686,0.6045
0.5865,0.595
0.5881,0.5915
0.5712,0.58
0.5785,0.5821
0.5748,0.5789
0.5588,0.5619
0.5543,0.5594
0.5541,0.559
0.5542,0.5628
0.5605,0.5612
0.5586,0.5588
0.5556,0.5574
0.5527,0.5586
0.552,0.5528
0.5491,0.5508
0.5384,0.5479
0.5451,0.5519
0.5491,0.5545
0.5519,0.555
0.549,0.551
0.5419,0.5455
0.5371,0.5408
0.5351,0.544
0.5373,0.5437
0.5432,0.5435
0.5271,0.5342
0.5313,0.5346
0.5292,0.5308
0.5273,0.5306
0.5246,0.5287
0.5243,0.5245
0.5202,0.5219
0.5099,0.5117
0.506,0.506
0.4995,0.5094
0.5088,0.51
0.5021,0.5059
0.5019,0.5059
0.5056,0.5072
0.5026,0.5085
0.5032,0.5046
0.5002,0.5029
0.4981,0.5006
0.4987,0.5067
0.5066,0.5118
0.5078,0.5188
0.5106,0.5173
0.5017,0.506
0.5012,0.5034
0.5009,0.5067
0.5035,0.5065
0.5018,0.5046
0.5029,0.5107
0.5098,0.5277
0.5253,0.5258
0.5144,0.5164
0.5096,0.5169
0.5122,0.5223
0.519,0.525
0.519,0.527
0.5264,0.527
0.517,0.52
0.5192,0.5206
0.5145,0.5179
0.5138,0.5182
0.5083,0.5115
0.5044,0.5057
0.4989,0.5064
0.5056,0.507
0.5034,0.5091
0.5081,0.5165
0.5111,0.5127
0.5078,0.513
0.5105,0.5118
0.508,0.5113
0.5106,0.5153
0.5113,0.5144
0.5123,0.5139
0.5092,0.5092
0.5035,0.5066
0.5045,0.5056
0.5047,0.5069
0.5068,0.5088
0.5071,0.511
0.5089,0.5123
0.5103,0.5125
0.5121,0.5145
0.5135,0.516
0.5116,0.5165
0.5155,0.5196
0.5164,0.523
0.5101,0.5186
0.5169,0.5235
0.5151,0.518
0.5133,0.514
0.5135,0.5146
0.5113,0.5125
0.5087,0.5158
0.5137,0.5144
0.5113,0.5153
0.5144,0.518
0.5109,0.5127
0.5099,0.511
0.5089,0.5095
0.5067,0.5134
0.5127,0.513
0.5093,0.5111
0.4964,0.5016
0.5001,0.5003
0.497,0.5014
0.497,0.4995
0.4973,0.5013
0.4997,0.5029
0.4997,0.5002
0.4786,0.4853
0.4797,0.4805
0.4761,0.4791
0.4745,0.4768
0.4741,0.4878
0.4865,0.4931
0.4893,0.496
0.4932,0.5042
0.5014,0.5084
0.5076,0.5086
0.4999,0.5086
0.5075,0.5081
0.5015,0.5087
0.5085,0.5095
0.5063,0.5173
0.5091,0.5119
0.5081,0.5091
0.5014,0.5057
0.495,0.5004
0.4996,0.5053
0.5047,0.5074
0.5045,0.5067
0.5054,0.512
0.5105,0.5145
0.5087,0.5092
0.5007,0.5022
0.5004,0.5017
0.4974,0.4983
0.4901,0.4918
0.4799,0.4858
0.4822,0.4839
0.4747,0.4794
0.4731,0.4807
0.4798,0.4945
0.4801,0.4852
0.4842,0.4879
0.4829,0.4835
0.481,0.4812
0.4794,0.4795
0.4749,0.4778
0.4738,0.4792
0.4768,0.4835
0.4831,0.4835
0.4828,0.493
0.4905,0.4935
0.4915,0.4945
0.4926,0.5
0.4982,0.4985
0.4954,0.4964
0.4947,0.5057
0.503,0.5052
0.5036,0.5174
0.517,0.5189
0.5115,0.5165
0.5092,0.5105
0.5042,0.5069
0.5035,0.511
0.5087,0.5159
0.5151,0.532
0.5261,0.5297
0.5268,0.5355
0.5339,0.5354
0.5291,0.5366
0.5319,0.5323
0.5231,0.5355
0.5278,0.5409
0.5344,0.535
0.5312,0.5365
0.5232,0.5339
0.5281,0.5395
0.5374,0.5506
0.5441,0.558
0.5537,0.5648
0.5523,0.5624
0.5455,0.5498
