prices,highs
0.02,1.88
1.13513,1.22
1.19906,1.255
1.208,1.25
1.22197,1.27956
1.18182,1.198
1.16874,1.17611
1.12735,1.141
1.08503,1.13
1.09899,1.145
1.12684,1.17599
1.10643,1.13222
1.118,1.16349
1.15723,1.1577
1.15351,1.15362
1.105,1.125
1.10672,1.12447
1.09442,1.09603
0.9996,1.02442
1.01846,1.019
0.99783,1.0027
0.92858,0.99859
0.99099,0.99222
0.96429,0.97098
0.95225,0.96679
0.96485,0.98857
0.97147,0.97327
0.92576,0.9538
0.93557,0.93923
0.89903,0.92318
0.91194,0.96
0.92113,0.93609
0.91275,0.95
0.94,0.9468
0.93575,0.95371
0.94682,0.94733
0.92183,0.93338
0.923,0.92301
0.9124,0.95111
0.92977,0.998
0.95279,0.9528
0.93778,0.94082
0.92455,0.92837
0.92101,0.93
0.912,0.9822
0.96124,1.06846
1.03806,1.0868
1.07201,1.11936
1.09997,1.102
1.06508,1.09
1.05286,1.0879
1.0527,1.077
1.066,1.066
1.00635,1.01399
0.98346,1.01
0.98369,1.01785
0.99179,1.00931
1.00299,1.015
0.99898,0.99998
0.98598,1.00518
0.98179,1.01027
1.00835,1.02208
1.002,1.033
0.99637,1.00434
0.99508,0.99676
0.96911,0.9762
0.97288,0.98372
0.96161,0.97869
0.97729,0.99573
0.99,1.0268
1.00549,1.01188
0.98099,0.98537
0.97487,1.0051
1.00435,1.02243
1.01998,1.042
1.02238,1.055
1.01504,1.057
1.05427,1.08155
1.03166,1.04203
1.01058,1.01954
1.01783,1.01806
1.00153,1.02298
1.0195,1.0195
1.01223,1.02024
1.01167,1.0145
0.98757,0.99167
0.98956,1.06602
1.0545,1.1
1.05779,1.09
1.08206,1.1449
1.08747,1.09291
1.0435,1.04599
1.03573,1.04559
1.01939,1.03619
1.02162,1.0317
0.99584,1.014
1.0032,1.0121
1.0,1.0064
0.99887,1.00463
0.96905,0.9924
0.98577,0.99199
0.96912,0.97996
0.9793,0.98884
0.97811,0.98798
0.96517,0.9686
0.94797,0.963
0.95809,0.95836
0.92611,0.94484
0.93422,0.94997
0.89982,0.92109
0.90494,0.915
0.86851,0.9
0.87608,0.87904
0.85952,0.86
0.83794,0.86213
0.85647,0.87262
0.85219,0.86079
0.85243,0.85244
0.83769,0.84141
0.82857,0.83794
0.80605,0.821
0.80941,0.82221
0.81688,0.825
0.80284,0.8123
0.80269,0.80764
0.79159,0.8
0.79061,0.8299
0.78943,0.8112
0.80236,0.8205
0.81334,0.82444
0.81896,0.82358
0.81459,0.8221
0.82158,0.82296
0.81566,0.8265
0.81626,0.82
0.81752,0.83947
0.8248,0.85555
0.83696,0.87178
0.86858,0.878
0.85677,0.8835
0.88092,0.8918
