prices,highs
13.88,31.415
10.855,12.479
10.996,11.039
9.89,10.198
8.725,9.267
8.706,8.829
7.056,7.752
7.488,7.665
6.433,7.384
7.005,7.03
6.665,7.453
6.934,7.701
7.618,8.305
8.119,9.328
9.327,10.0
9.806,9.925
9.698,9.849
8.858,9.396
8.922,8.927
8.442,8.705
7.948,7.949
7.599,7.777
7.554,8.255
8.069,8.342
7.967,7.97
6.808,7.374
7.3,7.349
7.013,7.499
7.091,7.521
7.418,7.554
7.423,7.455
7.209,7.211
6.974,7.156
6.934,6.991
6.85,6.933
6.77,6.999
6.776,7.023
6.924,6.967
6.768,6.819
6.721,6.82
6.633,6.71
6.635,6.638
6.276,6.398
6.091,6.278
6.204,6.316
5.899,6.203
6.189,6.241
5.942,6.091
6.091,6.4
5.871,5.9
5.644,5.717
5.58,5.66
5.401,5.49
5.329,5.416
5.178,5.499
5.283,5.401
5.155,6.97
6.102,6.488
5.892,6.166
5.71,5.817
5.501,5.871
5.564,5.7
5.495,5.618
5.561,6.666
6.033,6.21
6.081,6.551
6.293,6.5
6.254,6.254
5.942,6.181
6.001,6.001
5.449,5.703
5.634,6.7
6.176,6.389
6.209,6.4
6.201,6.717
6.474,6.824
6.654,6.712
6.57,6.999
6.829,6.829
6.398,6.531
6.4,6.435
5.98,6.225
6.013,6.05
5.757,5.87
5.68,5.716
5.646,5.646
5.52,5.787
5.45,5.618
5.591,5.762
5.62,5.689
5.619,5.91
5.781,5.858
5.516,5.731
5.575,5.639
5.492,5.529
5.45,5.529
5.336,5.48
5.432,5.505
5.35,5.364
5.264,5.307
5.229,5.307
5.255,5.3
5.254,5.376
5.22,5.247
5.153,5.247
5.218,5.36
5.142,5.258
5.155,5.22
5.199,5.324
5.168,5.198
5.124,5.247
5.138,5.2
5.01,5.01
4.7,4.766
4.7,4.816
4.7,4.9
4.851,5.22
4.9,4.95
4.892,5.083
4.775,4.84
4.679,4.749
4.6,4.8
4.529,4.65
4.437,4.464
4.217,4.38
4.272,4.3
4.133,4.438
4.413,4.44
4.359,4.359
4.335,4.346
4.303,4.359
4.343,4.345
4.234,4.325
4.324,4.74
4.539,4.7
4.441,4.502
4.42,4.54
4.54,4.563
4.45,4.576
4.44,4.529
4.494,4.63
4.629,4.669
4.305,4.393
4.3,4.449
4.231,4.325
4.291,4.311
4.25,4.38
4.335,4.493
4.421,4.65
4.507,4.578
4.459,4.6
4.4,4.5
4.312,4.4
4.39,4.427
4.368,4.482
4.4,4.449
4.31,4.38
4.34,4.394
4.391,4.461
4.379,4.458
4.449,4.482
4.233,4.291
4.001,4.066
3.997,4.001
3.93,4.05
3.926,4.15
4.038,4.329
3.934,4.051
4.059,4.08
3.97,4.099
3.988,4.015
3.967,4.13
4.041,4.09
4.012,4.049
3.986,4.002
3.959,4.1
3.933,3.986
3.92,4.0
3.976,3.997
3.922,3.97
3.939,3.979
3.928,3.972
3.934,3.99
3.965,4.035
3.977,3.977
3.904,4.003
3.931,3.932
3.909,4.085
3.945,4.066
3.932,4.048
4.0,4.057
3.921,3.981
3.915,3.983
3.941,3.969
3.901,3.97
3.901,3.95
3.91,3.95
3.901,3.933
3.88,3.925
3.871,3.9
3.7,3.735
3.674,3.736
3.719,3.734
3.65,3.84
3.784,3.786
3.739,3.786
3.66,3.715
3.663,3.786
3.66,3.759
3.677,3.7
3.62,3.7
3.6,3.622
3.602,3.621
3.51,3.556
3.558,3.582
3.521,3.571
3.479,3.623
3.56,4.312
3.988,4.059
3.729,3.889
3.53,3.66
3.579,3.739
3.632,3.74
3.561,3.6
3.565,3.651
3.637,3.801
3.6,3.801
3.671,3.71
3.642,3.689
3.615,3.693
3.629,3.689
3.574,3.599
3.556,3.575
3.569,3.599
3.563,3.599
3.508,3.539
3.449,3.507
3.455,3.506
3.489,3.519
3.519,3.532
3.434,3.479
3.45,3.489
3.46,3.507
3.464,3.599
3.549,3.569
3.488,3.535
3.471,3.496
3.462,3.501
3.433,3.465
3.449,3.48
3.473,3.478
3.474,3.5
3.492,3.54
3.54,3.558
3.557,3.57
3.57,3.6
3.537,3.541
3.473,3.496
3.454,3.598
3.549,3.663
3.533,3.612
3.561,3.598
3.51,3.593
3.5,3.593
3.52,3.609
3.573,3.61
3.548,3.599
3.533,3.589
3.508,3.554
3.497,3.518
3.415,3.44
3.439,3.48
3.434,3.448
3.424,3.48
3.441,3.478
3.442,3.475
3.352,3.408
3.353,3.45
3.369,3.37
3.199,3.41
3.3,3.365
3.306,3.416
3.4,3.4
2.81,3.095
2.937,3.0
2.913,2.95
2.803,2.854
2.795,2.924
2.701,2.752
2.506,2.98
2.926,2.926
2.86,2.92
2.812,2.935
2.791,2.806
2.741,2.89
2.787,2.888
2.716,2.724
2.717,2.747
2.558,2.687
2.6,2.66
2.616,2.65
2.583,2.583
2.563,2.669
2.665,2.929
2.768,2.889
2.748,2.889
2.791,2.877
2.746,2.885
2.766,2.9
2.8,2.929
2.889,2.906
2.852,2.929
2.92,2.939
2.89,2.89
2.8,2.82
2.744,2.769
2.761,2.786
2.7,2.77
2.67,2.751
2.72,2.725
2.585,2.706
2.55,2.627
2.639,2.813
2.699,2.782
2.717,2.758
2.689,2.748
2.691,2.747
2.643,2.7
2.698,2.718
2.619,2.619
2.591,2.628
2.544,2.58
2.564,2.608
2.55,2.641
2.624,2.644
2.549,2.595
2.5,2.68
2.581,2.651
2.58,2.65
2.557,3.118
2.824,2.99
2.861,3.002
2.81,2.865
2.762,2.943
2.788,2.929
2.75,2.905
2.86,2.908
2.874,2.9
2.868,2.99
2.9,2.988
2.928,3.778
3.522,7.14
5.641,6.1
5.279,5.944
5.34,5.476
5.156,5.167
4.879,4.969
4.72,5.999
5.2,6.0
5.712,5.77
5.472,5.95
5.577,5.844
5.668,5.72
5.452,5.555
5.387,5.497
5.349,5.5
5.159,5.413
5.24,5.431
5.33,5.4
5.082,5.216
5.094,5.125
4.85,4.947
4.87,4.939
4.8,4.823
4.678,5.53
4.888,5.137
4.734,4.802
4.766,4.766
4.555,4.9
4.842,4.879
4.802,5.101
5.091,5.097
4.965,5.0
4.778,4.855
4.734,4.8
4.617,4.625
4.559,4.78
4.716,4.769
4.604,4.7
4.67,4.671
4.614,4.66
4.549,4.63
4.548,4.56
4.501,4.546
4.343,4.383
4.23,4.242
4.17,4.4
4.173,4.299
4.226,4.226
4.187,4.688
4.472,4.479
4.395,4.402
4.328,4.37
4.321,4.332
4.269,4.28
4.159,4.3
4.269,4.586
4.467,4.6
4.48,4.56
4.498,4.605
4.6,4.849
4.755,5.1
4.822,4.95
4.4,4.435
4.428,4.56
4.423,4.477
4.429,4.437
4.426,4.46
4.463,4.6
4.42,4.642
4.598,4.599
4.541,4.55
4.48,4.483
4.443,4.496
4.415,4.449
4.415,4.42
4.401,4.402
4.361,4.395
4.323,4.332
4.332,4.412
4.302,4.343
4.264,4.3
4.274,4.28
4.261,4.29
4.208,4.208
4.081,4.147
4.113,4.144
4.111,4.259
4.235,4.247
4.167,4.228
4.172,4.177
4.097,4.149
4.138,4.186
4.141,4.156
4.13,4.184
4.115,4.2
4.165,4.179
4.16,4.3
4.242,4.275
4.258,4.282
4.211,4.258
4.26,4.282
4.282,4.291
4.24,4.254
4.106,4.199
4.132,4.144
4.117,4.147
4.133,4.19
4.167,4.274
4.244,4.271
4.27,4.29
4.24,4.247
4.188,4.4
4.3,4.39
4.311,4.33
4.254,4.291
4.263,4.266
4.22,4.236
4.17,4.22
4.209,4.215
4.164,4.19
4.094,4.145
4.092,4.199
4.129,4.142
4.113,4.14
4.11,4.14
4.121,4.134
4.085,4.105
4.062,4.1
4.031,4.105
4.08,4.101
4.05,4.073
3.972,4.081
4.058,4.066
4.027,4.027
3.959,4.055
4.05,4.055
3.982,4.036
4.006,4.062
4.025,4.056
4.055,4.135
4.107,4.169
4.12,4.131
4.024,4.099
4.075,4.085
4.079,4.15
4.124,4.159
4.126,4.145
4.077,4.081
4.06,4.198
4.072,4.123
4.08,4.088
3.942,3.942
3.935,3.966
3.92,4.05
4.049,4.122
4.038,4.1
4.071,4.141
4.091,4.2
4.2,4.99
4.824,4.824
4.491,4.5
4.304,4.586
