prices,highs
25.66,42.9
36.94,37.25
34.45,35.5
34.82,36.85
35.75,35.79
34.47,34.9
34.13,35.0
34.8,35.69
32.36,32.6
30.89,32.9
31.76,32.3
30.97,30.97
30.57,32.99
31.95,33.09
31.76,31.99
30.93,31.87
31.44,31.57
31.52,33.3
32.48,33.86
33.8,34.45
32.99,34.48
33.04,33.65
33.43,34.36
34.26,34.4
33.36,33.36
32.28,32.5
32.13,32.23
31.87,31.94
31.57,32.02
31.39,32.7
31.85,32.32
32.03,32.4
31.94,32.55
31.99,32.4
31.45,31.68
31.51,32.29
32.04,32.6
32.04,32.17
31.85,32.55
32.37,32.49
32.49,33.44
33.17,34.0
33.86,34.02
33.82,35.5
35.02,35.68
34.1,35.31
34.38,34.45
34.0,34.63
34.63,35.36
35.14,35.16
34.16,34.24
34.08,34.7
34.25,35.25
34.87,35.56
35.28,36.97
36.68,36.9
35.55,36.85
36.33,36.78
36.21,37.73
37.02,37.14
36.54,38.0
37.44,38.0
36.96,37.99
37.69,38.0
37.61,38.2
37.21,37.89
37.53,37.62
36.98,37.29
36.9,37.18
37.06,37.07
36.34,36.45
36.28,36.63
36.31,37.14
36.64,37.5
37.39,38.1
37.0,37.0
36.67,37.17
36.63,36.69
36.47,36.57
35.96,36.57
36.27,36.5
36.37,36.64
36.49,36.81
36.61,36.75
36.72,36.75
36.52,36.64
36.55,36.83
36.14,36.45
35.05,36.15
35.94,36.04
34.85,35.13
34.85,34.96
34.76,35.07
34.99,35.85
35.78,35.9
35.57,36.1
35.91,36.41
36.32,36.43
36.03,36.22
36.0,36.11
35.55,35.93
35.59,35.8
35.8,35.8
35.38,35.7
35.24,35.38
35.15,36.32
36.33,36.36
35.31,35.59
35.24,35.24
34.15,35.35
34.97,34.97
34.25,34.42
34.32,34.66
34.5,35.2
35.13,35.75
35.42,35.8
34.89,34.93
34.76,35.2
35.0,35.1
35.02,35.16
34.96,36.1
35.46,36.02
35.28,36.17
35.48,35.8
35.41,36.11
35.99,36.47
35.17,35.8
35.51,37.43
36.48,37.01
36.17,36.96
35.98,36.43
36.34,36.5
35.73,36.5
36.21,37.0
36.9,37.29
36.61,37.35
36.71,37.35
36.86,38.24
37.64,40.49
38.83,39.88
39.8,42.4
40.59,41.94
39.98,41.48
39.94,40.32
40.07,40.32
39.77,39.78
39.6,40.0
39.41,39.49
38.63,39.2
