prices,highs
0.4633,0.475
0.4479,0.4493
0.4472,0.4679
0.4541,0.455
0.4491,0.4565
0.4492,0.4511
0.4478,0.4511
0.4454,0.4484
0.4469,0.4495
0.446,0.4549
0.4522,0.454
0.4532,0.462
0.4597,0.4613
0.4584,0.4628
0.4573,0.4625
0.4608,0.4623
0.4582,0.4733
0.4686,0.469
0.4605,0.4648
0.4574,0.4617
0.4562,0.46
0.453,0.4577
0.4542,0.458
0.4519,0.4534
0.4518,0.4576
0.4518,0.4544
0.4538,0.4567
0.4558,0.4622
0.4508,0.4548
0.4512,0.4562
0.4534,0.4595
0.4559,0.4585
0.4465,0.4465
0.4434,0.446
0.4418,0.448
0.4448,0.4448
0.4419,0.4483
0.4455,0.4466
0.4425,0.4468
0.4404,0.4426
0.4356,0.4406
0.4396,0.4459
0.4451,0.4644
0.4575,0.475
0.467,0.4815
0.463,0.4724
0.4631,0.4687
0.4545,0.47
0.4585,0.4759
0.4629,0.4663
0.4619,0.4729
0.4701,0.4726
0.4632,0.4699
0.4602,0.4651
0.4601,0.4629
0.4629,0.4722
0.4616,0.4625
0.4587,0.4617
0.4581,0.4621
0.4601,0.463
0.4618,0.4622
0.4565,0.4607
0.4589,0.4614
0.461,0.4615
0.4584,0.47
0.4635,0.4712
0.4631,0.4682
0.46,0.46
0.4446,0.4482
0.4402,0.4449
0.4409,0.4621
0.4511,0.459
0.4522,0.4588
0.4554,0.4585
0.454,0.464
0.4535,0.464
0.4521,0.4571
0.4564,0.4564
0.4418,0.4488
0.4475,0.4475
0.4411,0.4426
0.44,0.44
0.4371,0.4435
0.4403,0.4454
0.4334,0.4406
0.434,0.4383
0.4368,0.437
0.4356,0.4397
0.4305,0.4364
0.4334,0.4334
0.4296,0.4296
0.4267,0.4267
0.4254,0.4282
0.4278,0.4292
0.4224,0.4227
0.4203,0.4216
0.4153,0.4153
0.4128,0.4214
0.4199,0.4253
0.4226,0.4227
0.4219,0.4312
0.4301,0.4408
0.4379,0.4564
0.4341,0.4374
0.4337,0.4377
0.4374,0.4376
0.4303,0.4316
0.4276,0.4318
0.4291,0.4319
0.4299,0.4317
0.4281,0.4287
0.4257,0.427
0.427,0.43
0.427,0.428
0.4255,0.4273
0.4232,0.428
0.4249,0.4264
0.4235,0.4266
0.4244,0.4323
0.4253,0.4263
0.424,0.4241
0.4205,0.4236
0.4201,0.4214
0.4193,0.4205
