prices,highs
0.1031,0.1374
0.1213,0.12407
0.1197,0.12148
0.11926,0.122
0.12001,0.12199
0.11865,0.12166
0.11806,0.12
0.11789,0.121
0.11251,0.11586
0.11426,0.11465
0.11402,0.12244
0.11383,0.11894
0.11618,0.118
0.11569,0.11708
0.11448,0.11503
0.11439,0.11721
0.11675,0.1193
0.11467,0.11753
0.11731,0.11731
0.11294,0.11677
0.11192,0.1123
0.11113,0.11373
0.11193,0.11369
0.11179,0.11207
0.11129,0.115
0.11185,0.11272
0.11107,0.11175
0.10997,0.11099
0.10959,0.11002
0.10917,0.11271
0.11215,0.11279
0.11012,0.113
0.11179,0.11276
0.1114,0.1117
0.11081,0.11085
0.11,0.11
0.10703,0.108
0.10738,0.10844
0.1083,0.11047
0.11037,0.11083
0.11076,0.12048
0.11208,0.11285
0.11135,0.11254
0.11086,0.11261
0.11228,0.11334
0.11307,0.11506
0.11205,0.11292
0.1121,0.113
0.1137,0.11582
0.11252,0.11472
0.1134,0.11372
0.11297,0.117
0.11255,0.11255
0.11044,0.11136
0.11069,0.11154
0.11075,0.1129
0.11264,0.11311
0.1108,0.11111
0.11101,0.11312
0.11287,0.11348
0.11304,0.11354
0.11268,0.11339
0.11293,0.11293
0.11185,0.11322
0.11325,0.11499
0.11369,0.11371
0.11239,0.11469
0.11426,0.11674
0.1157,0.1157
0.1133,0.1133
0.11152,0.11323
0.11212,0.117
0.11301,0.1151
0.11331,0.11601
0.11253,0.11258
0.11148,0.11225
0.11216,0.11355
0.11228,0.11401
0.11362,0.11415
0.11307,0.11364
0.1111,0.117
0.11127,0.112
0.11045,0.11069
0.10934,0.10942
0.1083,0.1083
0.10793,0.10963
0.10853,0.10889
0.10858,0.1099
0.10923,0.1095
0.1071,0.10803
0.10638,0.10744
0.10676,0.10947
0.10865,0.11
0.10858,0.10858
0.10751,0.10831
0.10757,0.10804
0.10562,0.10685
0.1065,0.109
0.10709,0.10786
0.10722,0.10741
0.1061,0.10867
0.10514,0.10574
0.10484,0.10568
0.10497,0.10597
0.10597,0.10784
0.1051,0.1055
0.10515,0.10594
0.1059,0.10616
0.10483,0.10582
0.10545,0.10573
0.10316,0.10439
0.10365,0.10492
0.10361,0.10363
0.10332,0.10352
0.10358,0.10433
0.10415,0.1075
0.10546,0.1075
0.1073,0.10784
0.1058,0.11193
0.10759,0.10899
0.10702,0.1092
0.10875,0.10897
0.10791,0.10791
0.10604,0.10652
0.10551,0.10799
0.10545,0.10575
0.1044,0.10557
0.10397,0.10491
0.10435,0.1051
0.1046,0.106
0.10503,0.10525
0.10396,0.1065
0.10399,0.10585
0.10509,0.10608
0.10536,0.10799
0.1061,0.10789
0.10784,0.10999
0.1074,0.1074
0.10622,0.10622
0.10364,0.1045
0.10396,0.10586
0.10378,0.10437
0.10443,0.10453
0.10344,0.107
0.10413,0.1045
0.10361,0.10599
0.10435,0.10584
0.10387,0.10391
0.1039,0.10398
0.10335,0.10335
0.1028,0.10544
0.10113,0.10178
0.10056,0.10257
0.10075,0.10236
0.10097,0.10774
0.103,0.10347
0.10282,0.10339
0.10289,0.10307
0.10275,0.10292
0.10237,0.10314
0.10289,0.10314
0.10176,0.10176
0.09137,0.09654
0.09331,0.09547
0.0949,0.09491
0.09491,0.09556
0.09476,0.09856
0.0955,0.09644
0.09553,0.09627
0.09616,0.09639
0.09597,0.097
0.09659,0.097
0.0959,0.09699
0.09575,0.09588
0.09487,0.09571
0.09541,0.09552
0.09439,0.09725
0.09649,0.09771
0.09546,0.09578
0.09448,0.09498
0.09479,0.09482
0.09351,0.09421
0.09355,0.09418
0.09408,0.09554
0.09508,0.0961
0.09594,0.09599
0.09545,0.09546
0.09456,0.09553
0.09578,0.09662
0.09638,0.09651
0.09535,0.09535
0.09434,0.09533
0.09424,0.09462
0.09407,0.096
0.09536,0.09615
0.0954,0.0954
0.0938,0.09486
0.09418,0.09483
0.0942,0.09451
0.09371,0.09462
0.09391,0.095
0.09373,0.103
0.10066,0.103
0.09699,0.09891
0.09553,0.103
0.10219,0.113
0.10956,0.10956
0.10424,0.10478
0.10367,0.10383
0.10216,0.1049
0.10497,0.10522
0.10049,0.10194
0.1016,0.10259
0.10086,0.10087
0.09922,0.09989
0.09817,0.10221
0.09978,0.10399
