prices,highs
1.1892,1.848
1.4248,1.4525
1.3344,1.435
1.3577,1.385
1.3798,1.3798
1.2656,1.2999
1.137,1.392
1.3479,1.74
1.725,1.764
1.6486,1.6575
1.5469,1.6
1.4758,1.6362
1.5988,1.61
1.4403,1.5785
1.5698,1.8646
1.8423,1.9696
1.9552,2.0
1.9485,2.2498
2.1317,2.1781
2.0342,2.1286
2.0128,2.15
2.07,2.1578
2.1252,2.2
1.9926,2.168
2.1235,2.29
2.0468,2.0879
2.0424,2.1068
2.0647,2.073
2.0547,2.0669
1.851,1.9158
1.8694,1.9378
1.876,1.9071
1.8593,1.8938
1.8366,1.9718
1.846,1.8651
1.8069,1.8227
1.8183,1.8788
1.784,1.8137
1.7335,1.8017
1.7648,1.7777
1.6742,1.7059
1.7001,1.7498
1.699,1.9
1.7637,1.8043
1.7832,1.793
1.7572,1.83
1.788,1.8152
1.7578,1.7705
1.758,1.88
1.854,1.87
1.8459,1.893
1.7562,1.7749
1.7446,1.753
1.7443,1.84
1.8133,1.8184
1.7752,1.7871
1.7419,1.755
1.7237,1.7418
1.7066,1.7444
1.7402,1.83
1.8133,2.0354
2.0287,2.1062
2.0359,2.0725
1.9699,2.083
2.0663,2.181
2.0764,2.0816
2.0055,2.1093
2.1072,2.2272
2.1581,2.2676
2.244,2.279
2.2403,2.2734
2.1931,2.3796
2.3182,2.3733
2.2292,2.2506
2.0997,2.31
2.2823,2.3636
2.3582,2.37
2.3433,2.36
2.2498,2.2958
2.2761,2.3269
2.2078,2.2329
2.1856,2.1891
2.1574,2.237
2.21,2.2455
2.1767,2.2016
2.1018,2.1682
2.1269,2.1511
2.1166,2.1171
2.0909,2.15
2.135,2.1542
2.1001,2.1331
2.0712,2.1528
2.1255,2.1279
2.0899,2.1
2.0663,2.0723
2.0637,2.1453
2.1322,2.1714
2.152,2.152
2.1096,2.1615
2.0834,2.0999
2.0721,2.1458
2.1333,2.1667
2.1577,2.206
2.1707,2.1986
2.1899,2.19
2.1417,2.185
2.1685,2.2044
2.1098,2.186
2.17,2.195
2.1159,2.1276
2.11,2.192
2.1675,2.1925
2.161,2.3171
2.3091,2.3409
2.2714,2.3261
2.3047,2.356
2.3058,2.4491
2.44,2.4956
2.3959,2.3988
2.3178,2.3229
2.2825,2.2829
2.2148,2.2174
2.1533,2.2492
2.1979,2.205
2.1568,2.2228
2.2013,2.2479
2.2121,2.2207
2.1939,2.1998
2.1509,2.1509
2.0542,2.1385
2.1359,2.1447
2.1331,2.1331
2.0465,2.0704
2.0512,2.1149
2.0903,2.1163
2.0841,2.1137
2.0756,2.1219
2.1216,2.2686
2.2281,2.28
2.17,2.253
2.2388,2.2424
2.1904,2.2201
2.1552,2.17
2.1607,2.1678
2.0904,2.118
2.1086,2.1147
2.0714,2.0859
2.0683,2.1073
2.0883,2.1029
2.0773,2.0963
2.074,2.1135
2.1028,2.12
2.1118,2.1118
