prices,highs
0.02,1.2
0.7593,0.778
0.7377,0.74
0.6704,0.712
0.6882,0.6948
0.6256,0.6472
0.628,0.636
0.6058,0.6077
0.5601,0.5762
0.545,0.58
0.5792,0.5957
0.5576,0.58
0.5531,0.6096
0.6082,0.6172
0.6009,0.6383
0.6236,0.6246
0.5574,0.5707
0.5635,0.5874
0.5814,0.597
0.5783,0.594
0.5682,0.5788
0.566,0.5722
0.545,0.545
0.5277,0.5487
0.5435,0.5459
0.5313,0.5389
0.5345,0.5398
0.5002,0.5146
0.4996,0.512
0.4983,0.5044
0.4709,0.4736
0.4671,0.4818
0.4677,0.4979
0.4871,0.495
0.4894,0.5076
0.5019,0.5399
0.5345,0.565
0.5513,0.6729
0.648,0.6516
0.6284,0.6676
0.6229,0.6497
0.6373,0.6525
0.6392,0.6634
0.6337,0.7332
0.714,0.7264
0.6809,0.6985
0.6765,0.6773
0.6389,0.6698
0.662,0.6904
0.688,0.6886
0.6582,0.6741
0.6683,0.6828
0.655,0.669
0.6473,0.6479
0.6085,0.668
0.6437,0.6651
0.6372,0.6468
0.6306,0.6365
0.6354,0.6628
0.6361,0.675
0.6577,0.6859
0.6539,0.662
0.6356,0.6384
0.6181,0.62
0.614,0.6184
0.6161,0.6165
0.5993,0.6065
0.5859,0.5999
0.5969,0.6041
0.5955,0.6002
0.5946,0.595
0.5737,0.5877
0.5836,0.5863
0.5853,0.599
0.5832,0.5921
0.5824,0.592
0.5901,0.5982
0.5875,0.5883
0.5759,0.5882
0.5787,0.5869
0.5712,0.5767
0.5674,0.5745
0.5695,0.5844
0.5781,0.581
0.5642,0.5642
0.5619,0.5822
0.5816,0.5817
0.554,0.5585
0.5573,0.5734
0.5654,0.573
0.5571,0.5688
0.5674,0.5694
0.5633,0.5634
0.5564,0.562
0.5519,0.5672
0.5667,0.5893
0.5737,0.5745
0.559,0.562
0.5574,0.5683
0.5652,0.5835
0.5744,0.5986
0.5872,0.6294
0.6102,0.62
0.6046,0.625
0.6048,0.6058
0.6031,0.6333
0.6203,0.6205
0.6186,0.6357
0.6305,0.6402
0.6344,0.6576
0.6412,0.6527
0.62,0.6348
0.6288,0.6316
0.6104,0.615
0.6051,0.6173
0.6168,0.6289
0.6187,0.6673
0.6615,0.663
0.6417,0.6685
0.666,0.7255
0.7121,0.7512
0.7348,0.7584
0.7379,0.7999
0.783,0.8349
0.8231,0.846
0.8368,0.8779
0.8589,0.8708
0.837,0.8667
0.8537,0.875
0.8523,0.8546
0.8341,0.876
0.8556,0.94
0.9172,0.95
0.9081,0.9247
0.8788,0.936
0.9076,0.9387
0.8965,0.93
0.9052,0.9183
0.8564,0.88
0.8488,0.8981
0.8901,0.955
0.934,0.9469
0.8946,0.9237
0.8877,0.908
0.891,0.9094
0.8784,0.92
0.9167,0.93
0.9033,0.9777
0.9498,0.965
0.9407,1.0738
1.0397,1.1416
1.1147,1.129
1.1164,1.123
1.0923,1.16
1.1377,1.188
1.1296,1.155
1.1466,1.1557
1.1435,1.1561
1.1321,1.2362
1.0903,1.1136
1.0877,1.1402
1.1054,1.1145
1.085,1.0996
1.0918,1.118
1.0794,1.1421
1.1269,1.139
1.1278,1.1333
1.1227,1.1333
1.1072,1.1172
1.0915,1.0955
1.0063,1.0381
1.0295,1.058
1.0149,1.0437
1.0388,1.0394
0.9976,1.0225
0.9893,1.0287
1.0224,1.03
1.0024,1.0248
1.0143,1.0786
1.0343,1.0472
1.0304,1.0321
1.019,1.0245
1.0192,1.045
1.0329,1.0658
1.037,1.0469
1.0271,1.0544
1.0422,1.0531
1.0152,1.0177
0.9949,1.023
1.0164,1.0268
1.0164,1.035
1.0305,1.033
1.0023,1.0099
0.998,1.0198
1.018,1.035
0.997,1.006
0.9979,1.011
0.9927,1.007
0.9653,1.0284
1.0276,1.052
1.0295,1.102
1.0941,1.199
1.1943,1.2329
1.1638,1.1814
1.1476,1.1619
1.1251,1.1295
1.1124,1.1428
1.1378,1.1511
1.1028,1.1075
1.0702,1.0857
1.0309,1.056
1.0264,1.0527
1.0199,1.0426
1.0209,1.041
1.035,1.0442
1.023,1.0335
1.0033,1.0209
1.0099,1.0274
1.0166,1.0239
1.0011,1.075
1.0498,1.0648
1.0361,1.0374
1.0061,1.0134
1.003,1.016
1.0,1.0447
1.0226,1.0374
1.0175,1.0517
1.0267,1.0577
1.044,1.0549
1.0443,1.0493
1.0214,1.0331
1.0035,1.0067
0.9722,0.9817
0.9024,0.9102
0.8927,0.9074
0.9059,0.909
0.8772,0.8908
0.8859,0.8932
0.8711,0.8811
0.8741,0.89
0.876,0.9097
0.8998,0.9388
0.9231,0.935
0.921,0.931
0.9279,0.9299
0.8978,0.9027
0.8915,0.903
0.8292,0.8699
0.8698,0.8907
0.8811,0.882
0.8664,0.8871
0.8595,0.8688
0.8624,0.8652
0.8549,0.8572
0.85,0.8538
0.8355,0.8701
0.8572,0.8724
0.8589,0.8774
0.8683,0.8698
0.8565,0.8569
0.8497,0.8718
0.8594,0.8649
0.8476,0.8555
0.8201,0.8287
0.7963,0.8208
0.7908,0.8
0.7915,0.8047
0.8033,0.8059
0.7969,0.7978
0.7916,0.7993
0.7904,0.8255
0.8105,0.8169
0.8031,0.8138
0.8071,0.8215
0.8112,0.8193
0.8084,0.8149
0.7964,0.8019
0.799,0.7999
0.793,0.796
0.7857,0.8042
0.7932,0.816
0.8132,0.826
0.8145,0.8275
0.8154,0.8338
0.8235,0.8241
0.8058,0.856
0.8444,0.849
0.8266,0.8495
0.8486,0.865
0.8523,0.8547
0.8387,0.8569
0.8417,0.8469
0.8359,0.8428
0.8272,0.8341
0.8191,0.8293
0.8218,0.832
0.8265,0.83
0.8296,0.8335
0.8312,0.8333
0.8195,0.8201
0.8187,0.8189
0.8087,0.812
0.8067,0.8275
0.8257,0.84
0.8018,0.8095
0.7942,0.8007
0.7934,0.7968
0.7815,0.7886
0.7838,0.7869
0.7661,0.7706
0.7609,0.7683
0.7652,0.7696
0.7591,0.7765
0.7709,0.7766
0.7717,0.7851
0.7825,0.7996
0.7834,0.7906
0.779,0.7804
0.7775,0.7853
0.7613,0.7699
0.7576,0.7685
0.7627,0.7713
0.7524,0.7819
0.7727,0.7785
0.7739,0.7778
0.7642,0.7665
0.7497,0.755
0.7331,0.7343
0.7308,0.7534
0.751,0.7623
0.7559,0.7739
0.763,0.7676
0.757,0.7589
0.7448,0.7461
0.7345,0.7416
0.7129,0.7179
0.694,0.7076
0.6843,0.693
0.6916,0.7015
0.6973,0.6975
0.6757,0.6882
0.6865,0.6948
0.6884,0.6983
0.6946,0.7178
0.6965,0.7139
0.6939,0.7045
0.6946,0.7074
0.698,0.7038
0.6982,0.7283
0.7231,0.7335
0.7326,0.7487
0.7366,0.7372
0.7187,0.7312
0.7251,0.7267
0.7174,0.722
0.7132,0.739
0.7291,0.7315
0.7275,0.7498
0.7389,0.7493
0.7439,0.7498
0.74,0.775
0.7629,0.7638
0.7552,0.772
0.7521,0.7575
0.7466,0.7614
0.7466,0.76
0.7591,0.7827
0.7816,0.7827
0.7636,0.7666
0.747,0.7528
0.7476,0.7596
0.741,0.751
0.7465,0.7612
0.7573,0.7785
0.7713,0.7766
0.7662,0.7739
0.7532,0.7599
0.7485,0.7559
0.7518,0.7531
0.7404,0.7406
0.7361,0.7433
0.7391,0.7418
0.7395,0.7433
0.7288,0.7307
0.711,0.7143
0.7073,0.7153
0.7045,0.7102
0.6994,0.7111
0.7059,0.711
0.7052,0.7082
0.7012,0.7067
0.6942,0.7066
0.7052,0.7163
0.7038,0.7118
0.7099,0.714
0.7111,0.715
0.7108,0.716
0.7139,0.7153
0.7079,0.7079
0.7019,0.7096
0.7082,0.7222
0.7219,0.735
0.7302,0.7399
0.7323,0.735
0.7299,0.7348
0.7237,0.7338
0.727,0.7397
0.7364,0.7611
0.7406,0.7585
0.7544,0.7621
0.7592,0.7777
0.7538,0.7668
0.7574,0.8147
0.8054,0.8367
0.8307,0.8394
0.8252,0.8262
0.8191,0.841
0.8288,0.8318
0.826,0.8348
0.8211,0.8293
0.8239,0.8317
0.8281,0.8415
0.8381,0.8485
0.8373,0.8421
0.83,0.87
0.8575,0.8649
0.849,0.8576
0.8511,0.8713
0.8485,0.8499
0.8326,0.841
0.8393,0.8393
0.8219,0.8609
0.849,0.8641
0.8413,0.86
0.8547,0.8868
0.8763,0.8957
0.8794,0.9162
0.9046,0.923
0.9067,0.9194
0.901,0.9146
0.9063,0.9135
0.9067,0.9274
0.9134,0.9155
0.9047,0.9159
0.9057,0.9061
0.8894,0.8922
0.8838,0.8927
0.8928,0.9134
0.9017,0.9076
0.8937,0.9129
0.908,0.9087
0.899,0.9043
0.8834,0.8834
0.8623,0.8729
0.8624,0.8686
0.8638,0.8764
0.8728,0.8763
0.8658,0.8679
0.8452,0.8488
0.8418,0.8541
0.8482,0.8605
0.8547,0.857
0.8415,0.8517
0.8467,0.8538
0.851,0.8522
0.8412,0.8476
