prices,highs
0.5,1.5
0.923,0.9285
0.90199,0.91027
0.90128,0.9213
0.91596,0.9245
0.90101,0.90985
0.89791,0.90489
0.90112,0.90279
0.8837,0.898
0.89499,0.8999
0.88698,0.89
0.89069,0.893
0.89199,0.898
0.89618,0.90699
0.9,0.90195
0.897,0.89726
0.8898,0.905
0.89643,0.90545
0.90545,0.907
0.90094,0.90299
0.9016,0.90985
0.90596,0.90714
0.90442,0.90771
0.90299,0.90619
0.90291,0.90618
0.90297,0.905
0.90374,0.90985
0.90794,0.90799
0.90244,0.90896
0.90474,0.92336
0.905,0.9156
0.9145,0.935
0.93209,0.93209
0.91982,0.92342
0.91501,0.92
0.91206,0.9132
0.908,0.91105
0.901,0.90489
0.904,0.911
0.90608,0.9085
0.9028,0.909
0.90704,0.91151
0.91,0.918
0.90796,0.91349
0.91234,0.91611
0.90285,0.905
0.88446,0.88489
0.87365,0.88
0.87966,0.8814
0.866,0.87066
0.86666,0.87689
0.86716,0.87
0.85576,0.86001
0.85801,0.86979
0.8624,0.86995
0.8658,0.8715
0.8575,0.8712
0.86711,0.87095
0.86712,0.86899
0.86155,0.86537
0.85672,0.86
0.85354,0.85666
0.8538,0.86822
0.862,0.86728
0.86482,0.86886
0.84402,0.84774
0.82598,0.8269
0.82101,0.827
0.823,0.82643
0.819,0.82338
0.82,0.82499
0.82315,0.82315
0.81076,0.83349
0.82703,0.836
0.811,0.8246
0.81637,0.8222
0.8187,0.82556
0.82092,0.82258
0.81305,0.8169
0.81126,0.82
0.81969,0.8248
0.82,0.828
0.82413,0.8311
0.8258,0.83806
0.83324,0.83948
0.8387,0.8422
0.835,0.835
0.822,0.82826
0.8249,0.83577
0.83323,0.84505
0.83957,0.84802
0.84316,0.8457
0.84261,0.84261
0.84,0.84
0.83032,0.83699
0.8285,0.836
0.82962,0.8326
0.83245,0.8325
0.8172,0.823
0.81515,0.81518
0.80284,0.80557
0.80381,0.8095
0.79969,0.81198
0.80502,0.80977
0.80803,0.80985
0.79998,0.8042
0.80196,0.81298
0.80805,0.815
0.81306,0.8158
0.8052,0.81254
0.80549,0.812
0.80634,0.81195
0.80667,0.80813
0.79681,0.80434
0.80084,0.80208
0.78411,0.78731
0.774,0.774
0.77113,0.77113
0.76946,0.7768
0.77598,0.77598
0.7666,0.778
0.7744,0.78482
0.782,0.7971
0.79504,0.80263
0.79683,0.80692
0.8011,0.8035
0.79413,0.7985
0.7982,0.80464
0.79999,0.81242
0.8105,0.81894
