prices,highs
5010.59,7199.0
6562.0,6888.58
6220.02,6550.0
6132.95,6132.95
5770.52,6000.0
5979.0,6099.69
6036.25,6169.0
6087.31,6087.31
5871.71,5973.46
5904.44,6615.0
6615.0,6799.0
6385.04,6552.59
6229.16,6460.0
6375.54,6440.0
6305.08,6410.29
6410.29,6576.55
6323.0,6323.91
6186.08,6310.0
5972.52,6099.97
6028.62,6037.6
5845.45,5950.0
5947.75,6047.18
5810.04,5898.0
5898.0,6783.43
6241.49,6444.0
6058.67,6196.14
5901.0,5997.0
5842.8,5966.08
5760.0,6113.0
5913.71,6300.0
6180.0,6400.0
6040.16,6133.87
6091.86,6091.86
5799.2,5899.0
5810.0,6100.0
5966.09,6101.04
6041.0,6117.51
5842.87,5940.37
5688.79,5738.93
5415.37,5544.16
5450.36,5750.32
5702.0,5935.27
5635.75,5811.96
5588.11,5789.29
5636.26,5690.0
5649.68,5996.0
5927.19,5950.0
5809.99,5947.0
5692.16,5700.79
5592.79,5780.0
5688.65,5840.0
5782.97,5950.0
5781.15,5842.79
5688.68,5730.97
5714.84,5730.0
5625.0,5676.96
5575.68,5985.0
5985.0,6091.0
5947.78,5947.78
5900.06,5989.4
5749.62,5814.34
5453.17,5700.0
5626.07,5673.94
5534.44,5648.88
5590.61,5643.78
5450.21,5649.0
5515.75,5561.86
5448.06,5567.24
5309.22,5309.22
4934.0,5218.06
5022.09,5385.98
5220.0,5516.0
5356.98,5379.96
5231.75,5287.29
5127.91,5127.91
4979.59,5000.0
4869.68,5284.97
5071.94,5166.69
5011.49,5133.82
5072.23,5300.0
5257.17,5600.0
5262.33,5418.91
5347.77,5448.78
5215.97,5448.77
5346.92,5346.92
5111.63,5166.69
5094.0,5094.0
4913.01,4948.63
4788.82,5028.95
4904.87,4974.33
4857.5,4926.59
4885.01,4974.4
4901.1,5074.22
5050.0,5101.98
5020.39,5199.99
5142.86,5167.78
5040.0,5081.83
4928.2,5045.54
4997.48,5045.54
4979.61,5000.0
4957.04,5000.0
4958.09,4990.0
4956.01,5062.77
5024.03,5093.37
5064.61,5095.0
5056.49,5056.49
5021.0,5162.08
5094.23,5099.83
5016.26,5071.67
5000.0,5051.64
5004.35,5050.0
4980.91,4980.91
4947.0,5020.0
4973.17,5030.0
4910.56,4945.0
4669.86,4736.35
4686.12,4690.71
4508.79,4693.87
4529.75,4538.36
4202.04,4433.07
4249.99,4436.32
4311.04,4567.0
4426.67,4679.0
4619.15,4748.22
4675.0,4690.25
4463.99,4585.48
4442.47,4451.18
4398.57,4588.0
4546.39,4750.0
4665.72,4700.0
4649.99,4951.97
4920.0,5450.0
5416.21,5896.21
5894.98,6027.73
5677.85,5935.0
5698.6,5948.0
5876.27,6335.95
5963.8,5990.0
5857.51,6300.0
5978.98,6450.0
6399.99,6649.0
6213.52,6320.88
6115.35,6311.89
6237.84,6238.01
5976.0,6130.0
5913.51,6299.21
6181.13,6181.13
6035.69,6450.0
6329.25,6743.99
6457.73,6711.0
6504.18,6537.47
6084.21,6108.65
6000.0,6349.0
6290.0,6335.77
6305.01,6750.0
6551.72,6700.0
6676.25,6780.0
6520.9,7249.0
6892.0,7180.04
6807.25,7249.0
7194.99,7495.0
7247.7,7313.1
7106.42,7106.5
6842.57,6969.98
6812.36,7075.68
6820.21,7050.0
7000.0,7150.0
6990.03,7300.0
7090.01,7265.0
7264.89,7400.0
7370.17,9103.93
7902.15,8300.0
7837.98,8043.0
7871.38,7950.0
7915.0,8250.0
8195.93,8440.0
8415.18,8415.18
8323.79,9000.0
8565.42,8774.99
8730.08,9098.0
8900.1,9290.0
8995.08,9190.0
8730.45,8938.77
8876.95,9189.0
9188.0,9190.0
8906.4,8968.87
8820.05,9067.0
9066.27,9788.0
9788.0,12821.0
10164.12,10499.0
10077.0,10685.0
10680.0,11899.0
11000.02,11088.0
10701.03,10800.0
9949.82,10507.19
10129.99,10180.0
9845.0,9845.0
9580.18,10145.0
10145.0,10488.0
9950.0,10387.75
9850.0,10153.84
10002.8,10570.0
10243.69,10499.99
10182.01,10182.01
9655.0,10488.0
10485.0,10750.0
10323.75,10888.0
10888.0,11288.0
10724.48,10995.95
10400.01,11326.53
11300.01,11500.0
10808.0,11150.0
10987.69,11188.0
10950.0,11188.0
10900.2,11110.79
10411.29,10575.07
10223.79,10263.77
9978.66,10271.42
10228.72,10899.1
10352.0,10867.34
10736.77,10777.1
10628.63,10714.0
10294.06,10712.98
10465.51,10567.34
10351.0,10720.0
10650.0,10788.99
10628.45,11608.0
11388.54,12777.0
12576.36,12841.46
12520.57,12598.0
12175.44,13444.0
13257.58,13346.94
12872.97,13188.0
12897.98,12897.98
11666.0,12520.4
12520.4,12851.33
12851.32,13105.55
13100.01,13104.96
12884.26,12888.0
12745.0,13750.0
13500.0,14439.4
14351.03,15000.0
14933.33,16668.99
15899.86,16300.0
15840.0,15900.3
14861.0,15895.0
15005.91,15614.15
14849.93,15249.0
14604.54,15680.41
15336.36,15500.0
15399.99,15788.0
15573.39,15985.0
15321.68,15330.0
14254.8,15224.12
14563.43,14588.29
12681.48,14299.99
14270.0,15600.0
13869.21,15100.0
14813.75,15428.57
15078.95,15078.95
14725.02,14745.0
14721.02,15428.57
14998.94,15410.0
15220.52,15277.77
14224.48,14800.0
14750.04,14800.0
14122.43,14224.48
13392.99,13750.78
13000.94,13600.0
13426.11,13894.9
13530.0,13558.66
13184.0,13184.0
12598.71,12917.0
12322.91,12637.35
11911.99,12500.0
12400.0,12469.53
12296.33,12296.33
11679.99,12888.0
12858.11,13542.37
12662.2,13450.07
13380.0,13380.0
12711.0,13190.21
12978.68,13464.28
13370.57,13399.85
13058.17,13450.0
13370.69,13500.0
13444.87,14426.46
13931.94,14175.98
13795.0,14312.0
14020.95,14099.99
13713.34,13800.0
13799.99,14100.0
14040.81,14100.0
14034.48,14100.0
13649.99,13770.83
13758.37,13758.37
13527.02,13542.37
13097.63,13458.33
13454.59,14020.16
13938.82,14200.0
14024.29,14100.0
13578.94,13578.94
13328.0,13464.07
13464.07,13950.0
13567.55,13600.5
13343.29,13581.63
13581.62,13650.0
13500.0,13522.51
13442.85,13549.78
13320.22,13562.5
13562.5,13920.0
13661.01,13736.82
13521.05,13658.22
13462.04,13501.64
13387.0,13450.0
13289.44,13390.0
12850.0,12898.96
12590.0,12729.16
12550.01,12550.01
12121.25,12600.0
12575.55,12576.0
12339.25,12398.42
12391.99,12650.0
12649.99,12650.0
12571.36,12571.36
12533.01,12533.01
12379.97,12715.44
12701.7,13250.0
13199.95,13220.88
13175.5,13219.99
13180.0,13466.1
13465.0,13886.0
13750.01,13849.99
13714.21,13749.62
13428.0,13517.19
13135.13,13250.0
13148.66,13350.0
13100.0,13540.0
13290.01,13349.99
13001.01,13079.88
13066.79,13077.51
13000.0,13337.41
13274.81,13551.8
13539.78,13562.5
13330.0,13562.5
13360.01,13750.0
13695.48,14000.0
13999.0,14500.0
14490.0,14500.0
14020.0,14239.63
14200.06,14550.0
14272.11,14395.83
14131.33,14289.0
14084.0,14500.0
14490.0,14773.72
14344.82,14395.83
13946.27,14132.65
13964.06,13964.06
13770.83,14206.89
14095.56,14098.14
13761.32,13821.14
13400.0,13610.0
13493.92,13493.92
13261.84,13552.0
13502.99,14100.0
13641.34,13654.13
13080.0,13340.0
13340.0,13875.0
13408.32,13726.0
13710.0,13789.79
13789.79,14000.0
13840.22,13898.3
13489.79,13511.1
13511.12,13593.87
13345.04,13750.0
13633.72,13699.0
13699.0,13850.0
13690.75,13950.79
13843.79,13880.02
13659.04,13723.81
13630.0,13685.58
13570.21,13613.38
13541.98,13702.92
13690.27,13979.16
13700.0,13724.91
13542.15,13685.93
13685.94,13776.5
13739.98,13986.82
13945.9,14000.0
13800.01,14250.0
14250.0,15600.0
15110.58,16000.0
15071.42,16364.43
16099.0,16100.0
15510.34,15800.0
15344.03,15715.28
15677.91,15899.99
15553.0,15565.26
14925.01,15467.64
15341.24,15417.69
15263.15,15450.0
15254.22,15331.67
14917.29,15253.59
15054.7,15179.65
15100.68,15136.78
14900.02,14917.29
14666.66,14803.51
14468.01,14591.83
14405.05,14900.0
14850.1,15200.0
14923.04,14969.97
14461.99,14532.77
14401.38,14429.98
14199.84,14286.3
14200.0,14367.95
