prices,highs
0.3571,14.8
12.6926,13.0664
12.6604,14.63
14.4656,15.8
15.3402,16.36
14.5341,15.39
14.431,14.8435
13.4719,14.8
13.66,14.8958
13.9331,14.44
13.976,15.1406
15.1233,15.8414
15.5346,16.3799
16.0086,16.1634
15.9389,15.948
15.25,15.3
14.3853,14.5712
14.4781,14.5988
14.4429,14.9777
14.7283,14.97
14.3272,14.67
14.4062,14.49
14.3196,14.5697
14.2458,14.3599
14.3364,14.3722
13.2085,13.3044
12.5112,13.441
13.1674,13.178
12.7314,13.1923
12.9938,13.9
13.7599,13.8
13.3116,13.37
12.9815,13.6152
13.4304,13.6
13.3363,14.6
14.1406,14.4413
13.8882,14.4804
13.9012,14.6
14.4859,15.0797
14.2425,14.3633
14.1067,14.3
14.1296,14.639
14.4742,14.6715
14.63,14.6426
14.3756,14.845
14.6304,14.6909
14.2751,14.4
14.3124,14.3272
13.9059,13.9449
13.7698,14.064
13.7216,13.7817
13.2093,13.7592
13.5101,13.7872
13.7189,13.8846
13.7996,13.8081
13.5639,13.6189
13.4901,13.5715
13.192,13.2851
13.2011,13.2651
13.044,13.1256
12.9458,13.35
13.2489,13.3596
13.2636,13.7187
13.1823,13.3273
12.9959,13.0814
12.6391,12.9
12.7012,13.0427
13.0324,13.244
12.9892,13.2082
12.7314,12.8693
12.7497,12.7988
12.7282,12.9867
12.8935,13.1499
13.1041,13.3
13.1773,13.2792
13.1458,13.3512
13.1679,13.2928
13.1259,13.5446
13.4433,13.4616
13.2835,13.6327
13.5202,13.6047
13.3613,13.52
13.4893,13.783
13.29,13.4854
13.2941,13.572
13.38,13.4468
13.0654,13.1552
12.8798,12.947
12.6884,12.8228
12.577,12.8078
12.7152,12.8722
12.7416,12.806
12.7824,13.0
12.8363,13.2097
13.1325,13.19
12.9598,13.03
12.9235,12.9307
12.812,12.9383
12.8858,12.8966
12.4416,12.8
12.6987,12.7646
12.6767,12.6799
12.4914,12.75
12.6646,12.77
12.5679,12.6854
12.525,12.6564
12.583,12.72
12.5806,12.6257
12.5337,12.5337
12.2371,12.414
12.164,12.4372
12.3967,12.7441
12.7202,12.95
12.7578,12.785
12.5164,12.7165
12.6234,12.7656
12.7029,12.7394
12.4914,12.5999
12.3845,12.4511
12.437,12.5267
12.4371,12.6237
12.5376,13.05
12.8931,12.9167
12.8397,13.4431
13.428,13.7
13.2152,13.3448
13.0963,13.4321
13.3241,13.55
13.1418,13.45
13.4451,13.6808
13.4579,13.7669
13.5096,13.6
13.3733,13.6039
13.4747,13.5588
13.1982,13.2429
13.1441,13.2677
12.9956,13.0985
12.8241,13.0
12.9061,13.0499
12.9342,13.2501
13.17,14.248
14.2183,14.4949
13.9848,14.2363
14.1,16.6416
16.3283,16.6536
16.1681,16.7
16.0956,16.5289
16.4838,16.8342
16.2265,16.5114
16.3658,16.54
16.5355,16.816
16.3579,17.25
17.0854,17.1888
16.1905,16.4365
16.3456,16.448
16.0807,16.2106
16.0259,16.2801
16.1488,16.36
16.2894,16.3775
15.663,15.8201
15.5555,15.657
