prices,highs
0.006,0.3288
0.31621,0.3288
0.3123,0.32244
0.30344,0.30937
0.29308,0.30563
0.29759,0.309
0.28905,0.2988
0.28959,0.298
0.2914,0.3185
0.31454,0.34736
0.34429,0.34999
0.325,0.346
0.34367,0.34888
0.33741,0.3395
0.3284,0.3328
0.32362,0.334
0.32992,0.33456
0.33192,0.33263
0.32671,0.328
0.31477,0.3241
0.32299,0.32558
0.31727,0.31891
0.31097,0.31571
0.30885,0.313
0.30966,0.31158
0.3112,0.32462
0.32085,0.333
0.32852,0.32861
0.32279,0.3305
0.3174,0.31962
0.31406,0.31932
0.31254,0.32207
0.32022,0.325
0.31895,0.323
0.31409,0.3198
0.31474,0.31589
0.31169,0.31454
0.311,0.3193
0.3193,0.32345
0.31394,0.32011
0.31798,0.326
0.32167,0.324
0.31831,0.3243
0.32143,0.3333
0.32735,0.33522
0.33484,0.343
0.33976,0.34888
0.33729,0.3422
0.33294,0.33651
0.33419,0.339
0.33775,0.342
0.3362,0.33852
0.33672,0.342
0.33788,0.33899
0.33284,0.33289
0.32629,0.33
0.32274,0.32999
0.32663,0.3281
0.3173,0.3245
0.31556,0.31939
0.31797,0.32142
0.32083,0.32647
0.32526,0.33618
0.33221,0.3375
0.33073,0.33316
0.33217,0.345
0.34312,0.3755
0.3669,0.3715
0.36197,0.36611
0.35652,0.3575
0.35399,0.3615
0.35997,0.3605
0.35551,0.35587
0.35,0.35384
0.3523,0.353
0.34988,0.3631
0.36198,0.374
0.37131,0.37475
0.36402,0.36621
0.36169,0.3672
0.35519,0.35893
0.35509,0.3629
0.36118,0.3615
0.35896,0.36752
0.36625,0.36899
0.36275,0.36477
0.35673,0.36477
0.36158,0.3647
0.35888,0.35888
0.35471,0.35509
0.34622,0.353
0.34801,0.35284
0.3512,0.35479
0.35007,0.35705
0.35476,0.36596
0.3655,0.368
0.36584,0.37269
0.37168,0.3765
0.36508,0.37278
0.37019,0.37084
0.36612,0.37333
0.37144,0.38819
0.38326,0.38785
0.38306,0.38318
0.37555,0.383
0.38114,0.38527
0.37771,0.3845
0.38392,0.3885
0.38144,0.39239
0.39035,0.39519
0.39406,0.39658
0.39235,0.4055
0.40222,0.4184
0.41391,0.44
0.43458,0.445
0.42436,0.43579
0.42942,0.43405
0.42214,0.42756
0.42567,0.427
0.42018,0.42417
0.41782,0.41789
0.41177,0.41606
0.41438,0.41455
0.40244,0.4081
0.40425,0.42536
0.41993,0.431
0.42539,0.43408
0.43302,0.44869
0.43926,0.4416
0.42856,0.43415
0.4218,0.43397
0.43212,0.43658
0.43489,0.446
0.43978,0.44995
0.445,0.454
0.436,0.44216
0.44029,0.44052
0.43025,0.43298
0.42856,0.439
0.43617,0.44086
0.42972,0.439
0.43727,0.44495
0.43974,0.443
0.43503,0.442
0.4408,0.4475
0.44709,0.45183
0.43811,0.444
0.43182,0.433
0.42321,0.42649
0.41408,0.423
0.41936,0.425
0.42213,0.4278
0.42475,0.42877
0.41596,0.41884
0.41423,0.4199
0.41619,0.421
0.41864,0.42611
0.42296,0.4247
0.41924,0.4208
0.4126,0.4187
0.4171,0.4187
0.40686,0.412
0.40816,0.41131
0.40504,0.408
0.40416,0.40745
0.40733,0.4162
0.41238,0.41536
0.40927,0.41076
0.40706,0.40727
0.39874,0.40324
0.39741,0.39774
0.39216,0.39876
0.3955,0.4032
0.40095,0.40096
0.39222,0.412
0.40609,0.4181
0.40627,0.41986
0.41677,0.418
0.40959,0.41491
0.41452,0.41693
0.41058,0.41342
0.40927,0.41143
0.41046,0.4199
0.41296,0.41429
0.41277,0.41828
0.4152,0.43141
0.42462,0.42975
0.4222,0.42819
0.42655,0.42785
0.42397,0.4315
0.42639,0.42639
0.42286,0.42554
0.42448,0.42475
0.41999,0.4255
0.42418,0.435
0.43051,0.4343
0.42652,0.43045
0.42558,0.42992
0.42287,0.424
0.41864,0.42037
0.41905,0.42419
0.41937,0.42053
0.41533,0.42999
0.42733,0.43115
0.4311,0.43459
0.42851,0.43299
0.432,0.437
0.43544,0.444
0.44198,0.44444
0.44055,0.442
0.43595,0.44043
0.43523,0.43812
0.43719,0.43783
0.43589,0.4444
0.44333,0.46366
0.45836,0.463
0.45244,0.45292
0.44976,0.45223
0.44985,0.45016
0.4476,0.45236
0.44711,0.456
0.45266,0.45721
0.45051,0.45698
0.45403,0.4554
0.45092,0.45374
0.44375,0.44553
0.43726,0.44019
0.43192,0.435
0.4349,0.4397
0.43184,0.43496
0.43181,0.43888
0.43472,0.4375
0.43227,0.43584
0.43318,0.43348
0.42773,0.434
0.42931,0.433
0.43229,0.43348
0.42555,0.4261
0.4206,0.42368
0.4236,0.4295
0.425,0.42994
0.42862,0.4295
0.42796,0.42942
0.42137,0.42507
0.42322,0.4269
0.41511,0.41844
0.41122,0.425
0.42066,0.433
0.43,0.44
0.43587,0.43773
0.43214,0.441
0.44041,0.44121
0.43813,0.4415
0.43961,0.4406
0.43485,0.43893
0.43473,0.43728
0.43215,0.43553
0.43379,0.43702
0.42626,0.42758
0.42564,0.43259
0.4289,0.43047
0.42474,0.42848
0.42128,0.42288
0.41867,0.42614
0.42327,0.42354
0.41968,0.41979
0.41567,0.42094
0.413,0.419
0.41672,0.42469
0.42313,0.425
0.423,0.43
0.42201,0.4295
0.4252,0.42664
0.42094,0.42355
0.42291,0.42529
0.41546,0.41872
0.41595,0.41886
0.41539,0.419
0.41876,0.42156
0.41836,0.42842
0.42623,0.4289
0.4248,0.42635
0.42257,0.42361
0.41499,0.41569
0.40972,0.41411
0.40239,0.40278
0.39414,0.395
0.38833,0.39292
0.38758,0.391
0.38981,0.39285
0.38222,0.38547
0.38319,0.38486
0.38339,0.38749
0.38721,0.3906
0.38209,0.385
0.38381,0.38853
0.38459,0.385
0.37603,0.38265
0.3715,0.37369
0.35775,0.375
0.37009,0.37739
0.37072,0.37097
0.366,0.3684
0.3655,0.37986
0.37535,0.38498
0.38127,0.382
0.37777,0.38153
0.36855,0.37413
0.37094,0.371
0.36809,0.36817
0.36246,0.36509
0.3565,0.36149
0.35995,0.35997
0.35689,0.36094
0.35968,0.35983
0.35782,0.35928
0.35657,0.3595
0.35434,0.35574
0.35345,0.35365
0.34145,0.34631
0.34129,0.34738
0.34681,0.35175
0.34978,0.35258
0.34392,0.34433
0.33305,0.33692
0.33563,0.34275
0.34145,0.34224
0.33291,0.33767
0.33676,0.33676
0.33454,0.34721
0.34508,0.34762
0.34545,0.349
0.34393,0.34749
0.34657,0.35188
0.34496,0.3471
0.34467,0.34552
0.34226,0.3467
0.34555,0.346
0.34094,0.34815
0.34591,0.3502
0.3422,0.34737
0.34714,0.348
0.34284,0.3456
0.34529,0.34932
0.34545,0.34997
0.34826,0.35426
0.35416,0.35669
0.35524,0.356
0.34794,0.35244
0.34495,0.34575
0.3431,0.35222
0.35179,0.35451
0.35061,0.35111
0.34913,0.35214
0.34696,0.3512
0.34901,0.35431
0.35282,0.35396
0.35032,0.35145
0.34973,0.35366
0.35168,0.35177
0.34833,0.3488
0.34438,0.34556
0.34383,0.34543
0.3444,0.34684
0.34497,0.34847
0.34545,0.34729
0.347,0.36254
0.3608,0.36791
0.36616,0.376
0.36589,0.3678
0.36421,0.37477
0.37297,0.37489
0.37043,0.37504
0.37069,0.3717
0.36629,0.36777
0.36162,0.36837
0.3654,0.37254
0.37075,0.37204
0.36947,0.37172
0.36802,0.371
0.36531,0.36789
0.35651,0.35753
0.35444,0.35999
0.35454,0.35647
0.35352,0.35575
0.35535,0.35892
0.35819,0.35853
0.3555,0.3566
0.35414,0.3584
0.35647,0.36143
0.35531,0.35658
0.3564,0.3564
0.34584,0.3474
0.34647,0.34893
0.34467,0.35
0.34848,0.35262
0.35201,0.35858
0.34954,0.35031
0.34846,0.35112
0.35078,0.35159
0.34609,0.34861
0.34679,0.34843
0.3467,0.34942
0.34543,0.34923
0.34798,0.35051
0.3496,0.35074
0.34772,0.3505
0.35049,0.35189
0.34774,0.3535
0.35269,0.35505
0.35442,0.35524
0.35012,0.35146
0.34865,0.35198
0.35105,0.35288
0.34523,0.34998
0.349,0.34919
0.34565,0.34679
0.34334,0.34463
0.34216,0.34362
0.34075,0.34414
0.34079,0.34519
0.34379,0.34644
0.34527,0.34678
0.34453,0.34654
0.34635,0.3465
0.33646,0.33689
0.33472,0.33475
0.32753,0.32949
0.32706,0.32897
0.32763,0.32932
0.32652,0.33146
0.32991,0.33387
0.33315,0.33676
0.332,0.3345
0.33256,0.33407
0.33303,0.33426
0.32584,0.33096
0.32982,0.33063
0.32909,0.33135
0.32929,0.331
0.33086,0.332
0.32978,0.33189
0.32905,0.3293
0.32729,0.32912
0.32673,0.33196
0.32964,0.33082
0.32958,0.33066
0.32901,0.33405
0.33281,0.33404
0.33143,0.33143
0.32963,0.33026
0.32958,0.33245
0.33243,0.33247
0.32742,0.32942
0.32714,0.32845
0.32509,0.32614
0.32522,0.32704
0.32511,0.32556
0.32544,0.3285
0.32452,0.32505
0.32475,0.32475
0.31818,0.32039
0.32031,0.32043
0.31843,0.32266
0.32262,0.3235
0.32207,0.32248
0.32088,0.32488
0.32433,0.32745
0.32301,0.32332
0.31285,0.31591
0.3118,0.31277
0.30247,0.30485
0.30347,0.30516
0.29949,0.30423
0.3032,0.30477
0.30131,0.30204
0.30067,0.30187
0.29995,0.30117
0.29861,0.30378
0.30282,0.30393
0.30275,0.30372
0.30169,0.30315
0.30312,0.30846
0.30797,0.3113
0.30784,0.31137
0.31028,0.31375
0.30766,0.31164
0.31085,0.31258
0.31074,0.315
0.31443,0.31484
0.30968,0.31074
0.30845,0.31198
0.31035,0.3121
0.30958,0.3129
0.31181,0.31262
0.31,0.31275
0.31023,0.31219
0.31052,0.31232
0.30939,0.31069
0.30719,0.3101
0.30837,0.3097
0.3086,0.31357
0.31346,0.31466
0.31072,0.31128
0.30834,0.30872
0.30515,0.30583
0.30239,0.30411
0.30176,0.30705
0.30244,0.30546
0.30472,0.30475
0.30014,0.30095
0.29607,0.29898
0.2968,0.2987
0.29437,0.29779
0.29727,0.30274
0.30226,0.30687
0.30567,0.30894
0.30706,0.30899
0.30883,0.31049
0.30728,0.314
0.31078,0.31718
0.3129,0.3155
0.31492,0.3158
0.31544,0.32126
