prices,highs
1.0,100.0
9.7626,9.777
8.5077,8.5895
7.5054,7.7
7.4817,7.6
6.9817,7.1087
6.8038,7.4557
7.1835,7.53
7.1806,8.25
8.2346,8.2379
7.9038,7.9102
7.7332,7.8694
7.7518,7.8
7.5336,7.5614
7.5213,7.544
7.5167,8.2397
8.0515,8.3535
8.1605,8.456
8.0781,8.335
8.2757,8.2885
8.1514,8.2274
7.8371,7.9382
7.8506,7.9194
7.6603,7.7146
7.6331,7.7557
7.6855,7.8688
7.6747,7.7541
7.7136,7.8604
7.7751,7.9205
7.7503,7.8659
7.8262,7.8521
7.7071,7.75
7.7301,7.7617
7.6844,7.6988
7.4535,7.5156
7.3929,7.4499
7.4365,7.437
7.0592,7.0919
7.0415,7.07
6.8194,7.3116
7.2694,7.2925
7.0562,7.1651
7.0076,7.39
7.252,7.2561
7.19,7.3
7.2442,7.3423
7.3219,7.3751
7.201,7.2673
7.0431,7.1705
7.1265,7.1738
7.0914,7.3341
7.2617,7.3573
7.3357,7.61
7.5614,7.573
7.5161,7.73
7.6952,7.748
7.604,7.649
7.5598,7.5737
7.5,7.5365
7.4254,7.5567
7.5441,7.6184
7.5559,7.5752
7.5046,7.67
7.6101,7.635
7.5404,7.6308
7.4989,7.5325
7.4455,7.4655
7.4138,7.5241
7.4666,7.5014
7.4571,7.4902
7.489,7.5033
7.4268,7.44
7.2374,7.2848
7.2632,7.35
7.3023,7.4292
7.3598,7.3901
7.3065,7.3446
7.2924,7.31
7.2726,7.2726
7.1165,7.1708
7.155,7.16
7.1295,7.1665
7.0714,7.1111
7.0788,7.193
7.1809,7.2671
7.1831,7.27
7.2668,7.4099
7.3583,7.3587
7.2884,7.41
7.3715,7.446
7.3902,7.4209
7.33,7.45
7.3844,7.4369
7.3435,7.4091
7.3691,7.3691
7.2692,7.3
7.285,7.3028
7.2835,7.6899
7.633,7.6899
7.6207,7.7
7.5847,7.6967
7.61,7.6299
7.5751,7.6443
7.5783,7.6181
7.5137,7.57
7.5219,7.6326
7.604,7.62
7.5503,7.5547
7.467,7.5131
7.5038,7.5038
7.4278,7.4772
7.4603,7.4603
7.1978,7.238
7.2072,7.26
7.2351,7.2521
7.2291,7.2426
7.2039,7.204
7.1298,7.14
7.075,7.1871
7.1472,7.2069
7.1813,7.2999
7.2509,7.33
7.3039,7.3999
7.2775,7.3316
7.2668,7.3768
7.3558,7.5099
7.4893,7.526
7.43,7.4478
7.3758,7.4294
7.3986,7.4474
7.4187,7.47
7.4163,7.4397
7.3441,7.377
7.3559,7.5821
7.4885,7.5146
7.4352,7.4838
7.4425,7.4585
7.4182,7.4378
7.417,7.4293
7.4188,7.4867
7.473,7.5358
7.5014,7.5302
7.498,7.6809
7.65,7.7
7.5851,7.6197
7.5507,7.579
7.5103,7.5151
7.4744,7.4744
7.4085,7.4437
7.4359,7.5
7.4784,7.4941
7.4294,7.4482
7.4191,7.476
7.3977,7.4264
7.377,7.4104
7.41,7.4393
7.4226,7.4613
7.4061,7.4905
7.4852,7.5485
7.5202,7.5277
7.5073,7.5269
7.5042,7.5393
7.4774,7.5142
7.51,7.586
7.5857,7.69
7.6023,8.55
8.2348,8.4
8.1387,8.1785
8.1103,8.2077
8.1674,8.2297
8.1402,8.2549
8.2311,8.8869
8.6955,8.9
8.7295,8.8
8.7194,9.3
9.0712,9.2334
9.2,9.3152
9.0398,9.0866
8.8028,8.95
8.9059,8.965
8.6958,8.75
8.6715,8.804
8.7714,9.0324
8.9482,8.96
8.8057,8.9963
8.956,9.2
9.0826,9.2363
9.0127,9.033
8.9265,9.0156
8.8521,8.9576
8.9571,9.121
9.0917,9.233
9.103,9.2
9.0307,9.568
9.4321,9.5088
9.4945,9.6
9.4438,9.4459
9.3244,9.4722
9.4418,9.4508
9.4025,9.8502
9.784,9.9227
9.794,9.99
9.9263,10.086
9.748,9.8093
9.7083,9.8
9.7404,10.1888
10.0811,10.09
10.0001,10.33
10.0916,10.2678
10.2103,10.2999
9.7949,9.8349
9.7933,9.95
9.807,9.8343
9.5874,9.7129
9.652,9.6937
9.4409,9.5262
9.4681,9.5654
9.4399,9.5858
9.5708,9.75
9.6871,9.6886
9.4456,9.57
9.5053,9.6319
9.592,9.5986
9.2059,9.2627
9.1134,9.1813
9.1647,9.2811
9.1938,9.2925
9.2745,9.4969
9.4246,9.498
9.4328,9.7099
9.6685,9.8524
9.6329,9.6411
9.6098,9.6249
9.5762,9.7809
9.6754,9.7225
9.58,9.8871
9.7707,9.8576
9.7302,9.86
9.7808,9.9152
9.7917,9.7943
9.6382,9.7038
9.5639,9.6377
9.5973,9.6495
9.3993,9.4269
9.3946,9.5087
9.492,9.5
9.4639,9.4783
9.4541,9.5
9.3949,9.4299
9.3358,9.4222
9.359,9.4501
9.3853,9.4281
9.371,9.4784
9.442,9.6566
9.5852,9.6699
9.5514,9.6085
9.5751,9.6299
9.5446,9.705
9.667,9.718
9.5952,9.611
9.6063,9.6063
9.4687,9.524
9.5,9.72
9.6043,9.908
9.8498,9.86
9.7564,9.8769
9.8748,9.968
9.5947,9.7032
9.6981,9.7251
9.6899,9.7696
9.692,9.728
9.62,9.6222
9.5338,9.6038
9.5743,9.674
9.656,9.7032
9.6847,9.7356
9.7152,9.7538
9.6012,9.6533
9.639,9.6461
9.4713,9.4713
9.4199,9.5297
9.5004,9.6533
9.6042,9.6409
9.5645,9.6329
9.5951,9.6412
9.5916,9.6111
9.5298,9.568
9.3816,9.4001
9.3634,9.3867
9.1982,9.2745
