prices,highs
0.5,1.6
1.4367,1.4614
1.3251,1.356
1.247,1.3041
1.304,1.3307
1.3141,1.3313
1.289,1.3147
1.3105,1.346
1.3274,1.4066
1.4012,1.43
1.43,1.4918
1.4484,1.4651
1.4187,1.453
1.4349,1.4748
1.4672,1.47
1.3824,1.4034
1.3795,1.398
1.3773,1.3774
1.3218,1.3988
1.3812,1.4008
1.3792,1.42
1.3858,1.433
1.4198,1.4232
1.423,1.43
1.3978,1.4154
1.3842,1.407
1.4,1.4008
1.3599,1.38
1.3654,1.3771
1.376,1.394
1.3927,1.427
1.414,1.4284
1.4178,1.473
1.4572,1.4937
1.4839,1.5453
1.5327,1.5675
1.5243,1.5491
1.5193,1.53
1.4794,1.4953
1.4798,1.5078
1.5054,1.51
1.4906,1.4906
1.4906,1.4906
1.4906,1.4906
1.4906,1.4906
1.4298,1.44
1.3719,1.3861
1.3704,1.3845
1.3778,1.3782
1.3718,1.372
1.3256,1.3344
1.276,1.2878
1.2729,1.3041
1.2889,1.3031
1.2943,1.3113
1.3109,1.3207
1.3047,1.3047
1.229,1.2484
1.24,1.2585
1.2257,1.2441
1.2344,1.25
1.2497,1.2529
1.2443,1.2859
1.2783,1.2864
1.2726,1.2732
1.2538,1.2985
1.2938,1.3079
1.2805,1.295
1.2888,1.315
1.3088,1.3088
1.2784,1.281
1.2691,1.2736
1.2596,1.2649
1.2623,1.2689
1.2466,1.2661
1.2499,1.2517
1.2178,1.226
1.2145,1.2368
1.2333,1.245
1.242,1.2543
1.234,1.2368
1.2168,1.219
1.2103,1.219
1.2067,1.2301
1.2215,1.2324
1.2098,1.25
1.2387,1.2561
1.2498,1.2679
1.2409,1.2453
1.2353,1.256
1.2533,1.2635
1.2623,1.2763
1.2634,1.271
1.2528,1.2562
1.239,1.2475
1.2455,1.2703
1.2544,1.2622
1.2622,1.2834
1.2673,1.2733
1.2369,1.2462
1.2355,1.2467
1.2422,1.2465
1.2284,1.2289
1.2031,1.2154
1.1891,1.2094
1.2078,1.208
1.1991,1.215
1.2083,1.2133
1.2011,1.2203
1.2184,1.222
1.2194,1.2197
1.2164,1.2312
1.2179,1.2243
1.2051,1.2369
1.2221,1.2297
1.2233,1.2345
1.2344,1.2363
1.2274,1.2337
1.229,1.2318
1.2197,1.2245
1.2223,1.2273
1.2186,1.2198
1.215,1.2166
1.2099,1.2307
1.2247,1.2291
1.2259,1.251
1.2506,1.27
1.2695,1.2734
1.2631,1.2869
1.2784,1.316
1.3055,1.3114
1.2989,1.2989
1.2962,1.2997
1.2857,1.2988
1.2892,1.3047
1.2793,1.2952
1.293,1.3033
1.2808,1.3012
1.2918,1.3085
1.3057,1.344
1.3415,1.3499
1.3252,1.3281
1.3056,1.3183
1.3156,1.3178
1.3028,1.309
1.2969,1.3024
1.2793,1.289
1.2849,1.2934
1.2928,1.2969
1.2809,1.2889
1.285,1.2899
1.2806,1.2882
1.285,1.2938
1.2882,1.2883
1.2698,1.27
1.261,1.2624
1.2616,1.2824
1.2751,1.28
1.2786,1.293
1.2842,1.2923
1.2818,1.3188
1.3147,1.3194
1.3161,1.3259
1.3021,1.3021
1.2899,1.2937
1.2831,1.2833
1.2773,1.2895
1.2857,1.2913
1.2878,1.295
1.2908,1.2909
1.2829,1.2849
1.2676,1.2722
1.2541,1.261
1.2606,1.2659
1.2644,1.2672
1.257,1.263
1.2579,1.2635
1.2618,1.267
1.2643,1.2729
1.2692,1.2772
1.273,1.2754
1.2611,1.2717
1.2668,1.2754
1.2728,1.2734
1.2605,1.2654
1.2484,1.2528
1.2424,1.25
1.2417,1.2518
1.2374,1.2448
1.2231,1.2297
1.2036,1.2068
1.2055,1.2099
1.2054,1.2279
1.2133,1.2164
1.2,1.2042
1.1866,1.1943
1.1783,1.1947
1.1883,1.1981
1.1899,1.1964
1.195,1.1951
1.1521,1.1678
1.1466,1.154
1.1425,1.1557
1.1454,1.1531
1.14,1.1493
1.1488,1.1526
1.1506,1.1635
1.1625,1.1669
1.1658,1.1658
1.149,1.1493
1.1366,1.1398
1.1376,1.1481
1.1385,1.145
1.136,1.1431
1.1419,1.1424
1.1317,1.1352
1.1285,1.1381
1.1342,1.1343
1.1341,1.1468
1.138,1.1468
1.1467,1.158
1.1499,1.1543
1.152,1.158
1.1498,1.1549
1.1416,1.1459
1.1426,1.1505
1.149,1.152
1.1474,1.1486
1.1316,1.1369
1.1307,1.1325
1.1285,1.1419
1.1371,1.1556
1.1512,1.1665
1.1455,1.1567
1.1527,1.1561
1.1387,1.1541
1.1447,1.1785
1.1721,1.173
1.1603,1.1688
1.162,1.1749
1.1727,1.1844
1.1632,1.165
1.1584,1.1631
1.154,1.1558
1.1515,1.1558
1.1525,1.1815
1.1797,1.1868
1.1847,1.2144
1.2083,1.2155
1.2037,1.2043
1.1987,1.2029
1.1944,1.196
1.1876,1.1933
1.1917,1.1943
1.1931,1.224
1.2203,1.224
1.2202,1.2276
1.2175,1.2418
1.2338,1.2468
1.2295,1.2341
1.227,1.2339
1.2301,1.2323
1.2255,1.2308
1.225,1.2305
1.2286,1.2412
1.2395,1.2493
1.2393,1.25
1.2435,1.2451
1.2348,1.25
1.2499,1.2638
1.2536,1.255
1.2511,1.2614
1.2583,1.2738
1.2691,1.2767
1.2645,1.2688
1.2589,1.2623
1.2533,1.2592
1.2556,1.2597
1.2468,1.2498
1.2426,1.2447
1.2425,1.2472
1.2302,1.2409
1.2384,1.2419
1.2317,1.2394
1.2378,1.2469
1.2287,1.2314
1.2039,1.2152
1.2143,1.2176
1.2158,1.2181
1.2151,1.2166
1.1978,1.215
1.2133,1.2144
1.2076,1.2177
1.2154,1.2247
1.2203,1.224
1.2182,1.2287
1.2267,1.2278
1.2231,1.2257
1.2146,1.22
1.22,1.2243
1.22,1.2209
1.2193,1.2272
1.2243,1.2337
1.2336,1.2336
1.2257,1.2475
1.2456,1.26
1.2373,1.3
1.2951,1.3136
1.3043,1.345
1.3236,1.333
1.3062,1.3116
1.2811,1.2974
1.292,1.2999
1.2927,1.3067
1.3001,1.3046
1.2877,1.3
1.2977,1.37
1.3388,1.3652
1.3515,1.3696
1.3598,1.375
1.3688,1.43
1.4136,1.4195
1.3803,1.385
1.376,1.4
1.3892,1.3949
1.3741,1.3789
1.3692,1.3925
1.3901,1.398
1.3819,1.3963
1.3725,1.3921
1.3792,1.3798
1.3579,1.3658
1.351,1.3566
1.3518,1.36
1.3503,1.3599
1.3306,1.3389
1.333,1.34
1.3308,1.3439
1.3318,1.3341
1.3182,1.3295
1.323,1.3377
1.3374,1.3427
1.3356,1.3555
1.351,1.3514
1.3449,1.3673
1.3671,1.3945
1.379,1.3903
1.3801,1.39
1.3866,1.39
1.3721,1.377
1.357,1.371
1.367,1.3899
1.3795,1.3804
1.3736,1.3845
1.3803,1.4211
1.4125,1.4156
1.4078,1.4161
1.4026,1.41
1.3991,1.4352
1.4228,1.445
1.4243,1.4245
1.4143,1.4249
1.4203,1.433
1.4264,1.4304
1.3992,1.4035
1.3899,1.3902
1.382,1.3869
1.3664,1.3687
1.3568,1.3644
1.3466,1.3596
1.3518,1.371
1.3578,1.3582
1.3489,1.362
1.3601,1.3635
1.3478,1.355
1.3512,1.3616
1.357,1.3624
1.3557,1.3822
1.3729,1.394
1.3879,1.4125
1.3874,1.3999
1.3872,1.3996
1.3833,1.3874
1.3672,1.3737
1.3701,1.3723
1.3634,1.3752
1.3751,1.3825
1.3805,1.3834
1.382,1.3825
1.3788,1.3821
1.3801,1.3853
1.3848,1.3898
1.3833,1.3887
1.3788,1.389
1.3746,1.3917
1.3903,1.4078
1.3954,1.401
1.395,1.4067
1.4015,1.408
1.3977,1.401
1.3897,1.4028
1.3882,1.3956
1.3777,1.3807
1.3721,1.3838
1.3806,1.391
1.3771,1.3793
1.3703,1.3748
1.366,1.3733
1.3574,1.3681
1.3589,1.366
1.3587,1.3603
1.3454,1.3496
1.341,1.3423
1.3354,1.3431
1.3397,1.3406
1.3373,1.3434
1.335,1.335
1.3306,1.3372
1.3283,1.3363
1.3327,1.3398
1.3315,1.3337
1.3306,1.3462
1.341,1.3444
1.3353,1.34
1.334,1.3425
1.3409,1.3448
1.344,1.344
1.3371,1.3389
1.3344,1.3359
1.3227,1.3228
1.3123,1.3198
1.319,1.322
1.2915,1.2942
1.2881,1.2897
1.2689,1.2766
1.274,1.2759
1.2752,1.2816
1.2786,1.2821
1.2781,1.2838
1.2755,1.2768
1.2685,1.289
1.2887,1.2986
1.2858,1.2956
1.2951,1.2984
1.296,1.2965
1.294,1.3026
1.2937,1.2971
1.2965,1.2987
1.293,1.2985
1.2894,1.2916
1.2725,1.2785
1.277,1.2793
1.2705,1.2769
1.2736,1.2776
1.2689,1.2769
1.2761,1.2763
1.2746,1.2749
1.2532,1.2576
1.2426,1.2513
1.2512,1.2528
1.2515,1.256
1.2557,1.2704
1.2693,1.2697
1.2598,1.266
1.2645,1.2647
1.2643,1.2782
1.2701,1.2831
1.279,1.2903
1.2813,1.2832
1.2774,1.2847
1.275,1.278
1.273,1.2814
1.2801,1.2801
1.2649,1.2686
1.2619,1.2623
1.2418,1.2484
1.2169,1.2236
1.2144,1.2213
1.1714,1.1838
1.1798,1.1883
1.1848,1.196
1.1804,1.212
1.1914,1.2092
1.1942,1.2001
1.1881,1.189
1.1775,1.1847
1.1769,1.1817
1.1742,1.176
1.1512,1.1624
1.1577,1.1649
1.1633,1.1638
1.1567,1.157
1.151,1.1757
1.1722,1.1985
1.1879,1.2024
1.2004,1.2042
1.2017,1.202
1.1852,1.2019
1.194,1.2079
1.1845,1.1912
1.1714,1.1939
1.1895,1.2077
1.2015,1.2079
1.1957,1.2046
1.1971,1.1981
1.1913,1.1923
1.1867,1.188
1.1844,1.1856
1.1814,1.1858
1.1843,1.1999
1.1962,1.2195
1.211,1.2189
1.217,1.2279
1.2207,1.2221
1.2104,1.2157
1.2111,1.2214
1.2182,1.2202
1.2202,1.2239
1.2046,1.2092
1.2044,1.2078
1.1986,1.2019
1.1859,1.193
1.1892,1.1939
1.191,1.2024
1.1844,1.1886
1.1857,1.1868
1.1724,1.1857
1.181,1.1859
1.1763,1.1819
1.1707,1.1722
1.1577,1.1641
1.1585,1.175
1.1654,1.1699
1.1673,1.1948
1.1836,1.1939
1.1826,1.1865
1.1702,1.1728
1.1405,1.1417
1.1229,1.1437
1.1334,1.1494
1.1418,1.1716
1.1588,1.1613
1.1538,1.1629
1.1576,1.1606
1.1527,1.1691
1.1617,1.1784
1.1649,1.1699
1.1684,1.1697
1.161,1.1656
1.1636,1.1681
1.159,1.1624
1.1619,1.165
1.1525,1.1576
1.157,1.1574
1.1524,1.1688
1.1641,1.1726
1.1705,1.1824
1.1715,1.1899
1.18,1.1909
1.1754,1.176
1.1739,1.1753
1.1743,1.185
1.1817,1.183
1.1711,1.1908
1.1898,1.199
1.1884,1.1939
1.1863,1.2188
1.2101,1.2151
1.2072,1.2122
1.206,1.2173
1.2173,1.223
1.2112,1.2144
1.1993,1.2144
1.2132,1.2216
1.2184,1.2308
1.2211,1.2415
1.2324,1.25
1.2492,1.2666
1.248,1.2687
1.2629,1.2661
1.2455,1.2455
1.2353,1.2437
1.2364,1.2431
1.2374,1.2408
1.2375,1.2411
1.2383,1.2533
1.2516,1.253
1.2505,1.2608
1.2608,1.2608
1.2464,1.2488
1.2409,1.2441
1.233,1.2376
1.2345,1.249
1.2428,1.2695
1.2614,1.2658
1.2584,1.267
1.2527,1.2778
1.2744,1.2905
1.277,1.2834
1.2741,1.2838
1.2747,1.2794
1.2688,1.2735
1.2667,1.2777
1.276,1.28
1.2692,1.2732
1.2706,1.2713
1.2644,1.2644
1.2541,1.27
1.268,1.269
1.2645,1.2671
1.2641,1.2868
1.2844,1.2878
1.2777,1.2791
1.2705,1.2771
1.2766,1.2771
1.2722,1.2763
1.2711,1.28
1.2644,1.2736
1.2705,1.2763
1.2567,1.2588
1.2546,1.2574
1.2401,1.2452
1.2313,1.2326
1.2251,1.2377
1.2293,1.2349
1.2215,1.2264
1.2185,1.2269
