prices,highs
20.18,29.88
13.721,13.802
12.926,14.031
13.095,13.174
12.475,12.8
12.086,12.64
11.944,12.0
10.45,11.55
10.576,11.101
10.737,11.3
10.799,10.816
8.526,10.081
8.895,9.3
9.033,9.099
8.348,8.45
8.135,8.346
8.011,9.485
8.864,9.489
8.848,9.2
8.384,8.724
8.389,9.084
8.98,9.0
9.0,9.256
9.135,9.5
9.422,9.848
9.755,9.787
9.548,9.682
9.642,10.491
10.084,10.899
10.47,10.75
10.524,10.879
10.748,11.24
11.106,11.3
10.701,10.892
10.284,10.284
9.851,9.871
9.599,10.322
9.328,9.947
9.588,9.588
8.881,9.5
9.05,9.05
8.521,8.836
8.802,8.808
8.788,8.788
8.716,8.84
8.839,9.199
9.04,9.04
8.601,8.7
8.701,8.8
8.559,8.56
7.842,8.2
8.128,8.513
8.301,8.576
8.436,8.496
8.373,8.492
8.286,8.3
8.121,8.276
8.145,8.607
8.337,8.595
8.35,8.392
8.298,8.4
7.944,8.262
8.143,8.238
7.994,8.1
7.851,8.05
7.98,7.985
7.915,7.915
7.782,7.989
7.932,7.987
7.654,7.798
7.775,7.899
7.808,8.08
7.81,8.0
7.937,7.948
7.803,7.873
7.807,7.848
7.61,7.738
7.724,7.789
7.633,7.648
7.45,7.461
7.302,7.44
7.402,7.405
7.099,7.215
7.09,7.098
6.927,7.34
7.147,7.17
7.108,7.503
7.167,7.172
6.988,7.471
7.077,7.081
6.771,6.826
6.747,6.92
6.9,7.239
6.911,6.911
6.701,6.75
6.724,6.797
6.69,6.9
6.65,6.9
6.9,6.9
6.6,6.71
6.641,6.702
6.635,6.637
6.495,6.58
6.444,6.57
6.351,6.351
5.918,6.213
6.067,6.12
6.015,6.105
6.089,6.107
6.053,6.213
5.999,6.129
5.789,5.881
5.774,5.9
5.652,6.999
6.578,7.25
6.817,6.92
6.549,6.832
6.739,6.739
6.421,6.483
6.4,6.42
6.16,6.3
6.181,6.306
6.25,6.336
6.25,6.35
6.169,6.25
6.249,6.249
6.152,6.818
6.667,7.4
6.675,6.8
6.605,6.605
6.562,7.1
6.63,7.29
7.111,7.34
7.243,7.298
6.919,6.973
6.825,6.825
6.679,6.9
6.874,7.09
6.8,6.898
6.741,6.751
6.716,6.717
6.473,6.745
6.625,7.3
7.133,7.405
7.105,7.241
7.188,7.365
7.057,7.336
7.154,7.4
7.25,7.34
7.257,7.3
7.169,7.5
7.445,7.958
7.698,7.725
7.425,7.449
7.362,7.779
7.699,7.704
7.62,7.691
7.372,7.373
6.987,6.999
6.761,7.05
6.785,7.005
6.999,6.999
6.899,6.9
6.599,6.769
6.555,6.555
6.252,6.4
6.34,6.482
6.475,6.501
6.405,6.5
6.222,6.305
6.082,6.235
5.998,6.304
5.941,6.198
6.197,6.32
5.909,6.17
6.162,6.162
6.08,6.151
6.052,6.25
6.164,6.164
6.1,6.1
5.858,6.268
6.12,6.192
6.1,6.1
6.002,6.27
5.998,6.167
5.995,5.995
5.909,6.1
5.933,6.071
5.914,6.073
5.762,5.961
5.863,5.956
5.829,5.952
5.926,5.926
5.713,5.801
5.734,5.965
5.875,5.891
5.71,5.859
5.658,5.792
5.673,5.775
5.749,5.793
5.701,5.92
5.805,5.897
5.79,5.889
5.733,5.915
5.871,5.9
5.853,5.853
5.824,5.839
5.777,5.861
5.716,5.763
5.64,5.699
5.62,5.69
5.531,5.601
5.397,5.399
5.254,5.498
5.29,5.446
5.336,5.449
5.425,5.425
5.278,5.449
5.388,5.42
5.39,5.39
5.289,5.375
5.3,5.371
5.319,5.365
5.291,5.388
5.331,5.359
5.3,5.3
5.016,5.104
5.09,5.103
5.088,5.119
5.029,5.113
5.018,5.018
4.852,5.015
5.004,5.046
5.022,5.19
5.122,5.204
5.077,5.199
5.101,5.101
4.886,4.989
4.937,5.132
4.906,4.961
4.768,4.884
4.703,4.885
4.761,4.899
4.89,4.89
4.771,4.822
4.721,4.752
4.691,4.853
4.711,4.712
4.594,5.199
4.43,4.498
4.45,4.5
4.406,4.6
4.6,4.695
4.667,4.781
4.701,4.796
4.702,4.79
4.647,4.7
4.587,4.681
4.668,4.686
4.66,4.684
4.584,4.67
4.569,4.67
4.67,4.67
4.534,4.657
4.578,4.664
4.541,4.583
4.52,4.583
4.574,4.969
4.901,4.985
4.846,4.903
4.743,4.847
4.697,4.697
4.688,4.707
4.649,4.738
4.738,4.793
4.7,4.932
4.84,4.85
4.708,4.749
4.71,4.79
4.656,4.742
4.649,4.889
4.694,4.79
4.696,4.79
4.638,4.747
4.609,4.667
4.54,4.643
4.52,4.651
4.478,4.481
4.352,4.501
4.47,4.65
4.425,4.468
4.4,4.587
4.498,4.598
4.449,4.595
4.512,4.6
4.6,4.65
4.53,4.601
4.565,4.689
4.671,4.749
4.687,4.75
4.632,4.739
4.704,4.75
4.689,4.691
4.645,4.787
4.617,4.698
4.524,4.7
4.576,4.576
4.504,4.532
4.506,4.55
4.493,4.696
4.57,4.641
4.54,4.54
4.511,4.601
4.53,4.648
4.646,4.648
4.53,4.646
4.54,4.646
4.512,4.558
4.52,4.55
4.544,4.544
4.444,4.498
4.37,4.375
4.375,4.479
4.203,4.363
4.363,4.398
4.329,4.402
4.29,4.418
4.263,4.263
4.213,4.398
4.31,4.37
4.273,4.359
4.272,4.333
4.327,4.368
4.326,4.366
4.366,4.37
4.246,4.622
4.621,4.622
4.393,4.5
4.44,4.59
4.439,4.501
4.431,4.511
4.47,4.47
4.42,4.449
4.364,4.444
4.4,4.461
4.461,4.535
4.514,4.535
4.501,4.528
4.431,4.462
4.383,4.422
4.314,4.382
4.297,4.385
4.336,4.336
4.219,4.303
4.211,4.338
4.334,4.334
4.225,4.277
4.248,4.255
4.25,4.29
4.221,4.32
4.297,4.298
4.199,4.288
4.282,4.32
4.247,4.357
4.201,4.24
4.235,4.239
4.185,4.247
4.235,4.25
4.224,4.245
4.24,4.245
4.169,4.199
4.148,4.242
4.151,4.224
4.194,4.26
4.241,4.266
4.195,4.216
4.185,4.22
4.176,4.24
4.155,4.22
4.209,4.219
4.199,4.199
4.167,4.197
4.178,4.245
4.168,4.245
4.15,4.201
4.15,4.237
4.17,4.285
4.258,4.33
4.295,4.3
4.177,4.219
4.173,4.233
4.185,4.195
4.189,4.221
4.195,4.2
4.2,4.283
4.185,4.205
4.171,4.29
4.232,4.295
4.157,4.195
4.016,4.049
4.009,4.044
3.99,4.016
3.957,3.974
3.946,3.961
3.953,3.986
3.947,3.994
3.976,3.977
3.874,4.12
4.036,4.047
3.931,4.001
3.935,3.956
3.918,3.951
3.882,3.929
3.868,4.0
3.951,4.12
3.974,4.097
3.989,4.05
4.049,4.049
3.964,3.994
3.901,3.911
3.845,3.9
3.829,3.894
3.865,3.924
3.867,4.09
3.897,3.899
3.819,3.85
3.8,3.849
3.753,3.798
3.785,3.841
3.787,3.801
3.764,3.82
3.783,3.783
3.754,3.942
3.753,4.0
3.922,4.396
4.328,4.6
4.28,4.4
4.23,4.23
4.099,4.135
4.014,4.169
4.016,4.201
4.032,4.155
4.043,4.1
3.97,4.192
4.069,4.119
4.074,4.074
3.952,3.978
3.988,4.099
4.077,4.2
4.04,4.257
4.101,4.138
4.014,4.031
3.958,4.134
3.961,4.2
4.086,4.122
3.997,4.02
3.979,4.007
3.952,4.036
3.975,4.066
4.065,4.123
3.952,4.118
3.977,4.08
4.069,4.072
3.967,3.998
3.959,3.999
3.989,4.033
4.032,4.05
3.951,3.955
4.049,4.049
3.946,3.987
3.936,3.936
3.766,3.837
3.713,3.784
3.768,3.8
3.736,3.801
3.775,3.835
3.795,3.818
3.783,3.818
3.752,3.833
3.749,3.83
3.665,3.716
3.699,3.811
3.765,3.765
3.759,3.829
3.785,3.82
3.802,3.811
3.765,3.91
3.89,3.89
3.81,3.818
3.8,3.81
3.795,3.862
3.863,3.87
3.761,3.817
3.802,3.89
3.832,3.854
3.847,3.855
3.784,3.87
3.76,3.824
3.792,3.818
3.785,3.839
3.815,3.816
3.785,3.79
3.788,3.839
3.818,3.885
3.885,3.9
3.852,3.872
3.813,3.85
3.832,3.833
3.826,3.85
3.779,3.82
3.793,3.815
3.803,3.803
3.8,3.8
3.8,3.802
3.796,3.816
3.799,3.849
3.751,3.8
3.8,3.8
3.793,3.827
3.81,3.826
3.817,3.817
3.795,3.85
3.849,3.85
3.761,3.761
3.746,3.748
3.715,3.727
3.716,3.729
3.681,3.706
3.7,3.731
3.73,3.764
3.764,3.779
3.731,3.773
3.714,3.739
3.651,3.77
3.677,3.772
3.747,3.761
3.703,3.74
3.643,3.699
3.665,3.77
3.639,3.71
3.63,3.67
3.639,3.671
3.658,3.678
3.669,3.68
3.633,3.722
3.722,3.722
3.655,3.665
3.613,3.683
3.627,3.65
3.617,3.69
3.649,3.657
