prices,highs
1.2071,2.77
2.164,2.2447
2.2447,2.2447
2.1709,2.1947
2.1197,2.129
2.0473,2.08
1.9899,2.033
1.9905,2.001
2.0,2.0795
2.0147,2.06
2.0318,2.0376
1.9806,2.0049
1.9903,1.9908
1.9713,1.9977
1.9815,1.99
1.9801,1.9961
1.97,1.97
1.9479,1.9542
1.937,1.9378
1.9235,1.9249
1.8824,1.9112
1.9093,1.931
1.9091,1.9491
1.9408,2.0
1.9631,1.9777
1.9722,1.9757
1.9377,1.939
1.923,1.9235
1.9143,1.926
1.9215,1.9396
1.9186,1.9244
1.9063,1.9137
1.8995,1.9165
1.905,1.9053
1.8941,1.9063
1.8943,1.9017
1.8683,1.8692
1.856,1.8639
1.8562,1.8735
1.8691,1.9314
1.9177,1.9577
1.9298,1.9569
1.9453,1.9837
1.9513,1.9701
1.9204,1.9489
1.9471,1.9471
1.9428,1.9567
1.949,2.0241
2.0222,2.0307
2.0086,2.0502
2.0473,2.0548
2.0254,2.0299
1.9991,2.0184
1.9957,1.996
1.942,1.9606
1.9591,1.96
1.9395,1.9425
1.9273,1.934
1.9339,1.9438
1.9323,1.9461
1.939,1.9556
1.9432,1.9565
1.9472,1.9566
1.9549,1.9648
1.9539,1.9708
1.9701,1.9735
1.9569,1.9673
1.9662,1.9685
1.9501,1.955
1.952,1.9534
1.9538,1.9578
1.9507,1.9587
1.9536,1.97
1.9612,1.965
1.9632,1.972
1.9546,1.9591
1.9431,1.9492
1.9459,1.9469
1.9357,1.954
1.9423,1.972
1.9693,2.05
2.0394,2.1284
2.0721,2.0845
2.0293,2.0565
2.0353,2.0748
2.0739,2.2085
2.2071,2.4
2.3962,2.6937
2.4308,2.5289
2.5097,2.6072
2.4959,2.5088
2.439,2.4442
2.33,2.3733
2.3708,2.3708
2.3032,2.3314
2.289,2.3717
2.335,2.3624
2.326,2.3478
2.307,2.4019
2.3817,2.4481
2.3782,2.3823
2.3481,2.3592
2.3395,2.3655
2.3111,2.4498
2.4134,2.5545
2.4751,2.534
2.4673,2.4702
2.4285,2.4481
2.4345,2.484
2.4817,2.505
2.5001,2.6244
2.5415,2.596
2.5273,2.5548
2.51,2.51
2.4542,2.4555
2.4092,2.4345
2.4335,2.4499
2.422,2.431
2.3805,2.41
2.3988,2.3989
2.3692,2.3889
2.3671,2.4269
2.4079,2.4743
2.4743,2.4852
2.3963,2.3974
2.3612,2.3613
2.3398,2.3798
2.3737,2.43
2.4222,2.43
2.4102,2.4451
2.4245,2.4461
2.413,2.4999
2.4404,2.523
2.4713,2.4713
2.43,2.4752
2.4349,2.4354
2.4076,2.4202
2.369,2.3738
2.3345,2.3452
2.337,2.35
2.3439,2.3491
2.3398,2.3409
2.309,2.3171
2.3059,2.3173
2.3038,2.3164
2.3154,2.3212
2.2998,2.3061
2.3049,2.3099
2.2829,2.294
2.2547,2.2671
2.2641,2.3212
2.2781,2.2849
2.2507,2.2569
2.253,2.2533
2.2134,2.2268
2.1996,2.2
2.1544,2.155
2.128,2.1856
2.1657,2.2136
2.2152,2.2178
2.2172,2.24
2.2331,2.2445
2.2427,2.2599
2.2487,2.28
2.2757,2.2803
2.2526,2.2629
2.227,2.2391
2.2297,2.2343
2.1986,2.2048
2.1917,2.1949
2.1675,2.1817
2.1688,2.1773
2.1697,2.1851
2.146,2.1513
2.1259,2.1307
2.1298,2.1562
2.1529,2.1859
2.1719,2.2639
2.2356,2.258
2.1979,2.2363
2.2338,2.2696
2.265,2.2659
2.2486,2.2508
2.222,2.2267
2.1863,2.2
2.1878,2.2884
2.2333,2.2498
2.2333,2.2476
2.2475,2.2499
2.2361,2.2515
2.251,2.2567
2.2554,2.2595
2.2425,2.2445
2.2238,2.2415
2.2368,2.25
2.2448,2.2836
2.2632,2.2657
2.2352,2.2352
2.1961,2.2232
2.2,2.2147
2.1704,2.1822
2.161,2.1648
2.1224,2.1411
2.1408,2.156
2.1407,2.1622
2.1569,2.1569
2.1268,2.1405
2.1225,2.129
2.0948,2.0949
1.9382,1.9868
1.963,1.9775
1.946,2.0489
2.0456,2.0642
2.0634,2.0673
2.0447,2.0619
2.052,2.0666
2.0476,2.0818
2.0724,2.0888
2.076,2.0909
2.0534,2.0634
2.0555,2.0604
2.0408,2.0599
2.0352,2.0546
2.0321,2.0432
2.0389,2.0641
2.0633,2.0689
2.0595,2.0912
2.0906,2.1423
2.1381,2.1473
2.1256,2.13
2.1218,2.13
2.1293,2.1368
2.1353,2.1664
2.1568,2.1568
2.1376,2.1443
2.1344,2.139
2.1148,2.1168
2.0944,2.1117
2.1039,2.118
2.1012,2.1057
2.1045,2.1048
2.0842,2.0916
2.0731,2.0792
2.0454,2.0533
2.0417,2.068
2.0604,2.0789
2.056,2.0713
2.0439,2.0534
2.0517,2.0661
2.066,2.0949
2.0932,2.0951
2.0937,2.0959
2.0752,2.0866
2.0842,2.092
2.0875,2.0916
2.0914,2.0979
2.0936,2.1809
2.1265,2.1314
2.0802,2.1
2.094,2.1067
2.1003,2.1155
2.115,2.145
2.1444,2.1585
2.1475,2.1999
2.1999,2.2048
2.1979,2.2241
2.2027,2.25
2.1812,2.1916
2.1782,2.1847
2.1832,2.1847
2.1469,2.1509
2.1433,2.1463
2.1241,2.1245
2.1245,2.1535
2.151,2.187
2.1862,2.19
2.1549,2.1549
2.1131,2.1367
2.1368,2.1427
2.1318,2.15
2.145,2.1526
2.1419,2.1677
2.1512,2.193
2.192,2.1945
2.1648,2.1828
2.1624,2.173
2.1533,2.1704
2.1687,2.23
2.2044,2.2047
2.2022,2.2071
2.182,2.2015
2.1882,2.25
2.2318,2.2371
2.2185,2.2422
2.2353,2.25
2.2326,2.25
2.2316,2.2597
2.2496,2.2576
2.2261,2.2271
2.2227,2.2231
2.2098,2.2289
2.2159,2.2281
2.222,2.2272
2.2245,2.2382
2.215,2.2332
2.2292,2.237
2.2351,2.2386
2.2364,2.2425
2.228,2.2338
2.2269,2.2433
2.2345,2.2398
2.2184,2.237
2.2206,2.2363
2.2172,2.2492
2.2414,2.2581
2.2532,2.2721
2.2501,2.257
2.2312,2.2442
2.2295,2.2401
2.2164,2.2249
2.2066,2.2305
2.228,2.2434
2.2357,2.2455
2.2457,2.2483
2.2182,2.22
2.2143,2.2162
2.2102,2.233
2.2194,2.232
2.2212,2.2279
2.22,2.2277
2.1961,2.1981
2.1892,2.1893
2.1798,2.191
2.1845,2.1919
2.18,2.1963
2.1896,2.1945
2.1795,2.1867
2.167,2.167
2.1592,2.1623
2.1608,2.1614
2.1402,2.151
2.1343,2.1408
2.128,2.1449
2.1391,2.1434
2.1279,2.1338
2.1084,2.1173
2.0918,2.122
2.1197,2.1281
2.1239,2.1427
2.122,2.15
2.118,2.1203
2.1099,2.1197
2.1111,2.1285
2.1283,2.135
2.1182,2.1254
2.1209,2.1312
2.1252,2.1275
2.1105,2.1261
2.126,2.1261
2.1237,2.1365
2.1301,2.1317
2.1294,2.1398
2.1272,2.1374
2.1304,2.131
2.1184,2.1293
2.1248,2.1447
2.1425,2.1542
2.1536,2.162
2.1614,2.1787
2.1772,2.192
2.1837,2.196
2.1958,2.196
2.1899,2.19
2.1709,2.1846
2.173,2.1799
2.1769,2.195
2.1884,2.2052
2.2016,2.2293
2.2284,2.26
2.2156,2.225
2.2078,2.2162
2.1813,2.1856
2.1689,2.2112
2.1997,2.2441
2.2374,2.2458
2.2441,2.2688
2.2644,2.2699
2.2665,2.289
2.2661,2.29
2.2644,2.265
2.2365,2.2556
2.2462,2.2606
2.2469,2.2507
2.2342,2.2608
2.2212,2.2296
2.2018,2.2212
2.199,2.2073
2.1847,2.1947
2.192,2.1999
2.1999,2.2089
2.2034,2.2052
2.1921,2.2085
2.2064,2.215
2.2144,2.2144
2.2011,2.2174
2.2077,2.2139
2.2129,2.2224
2.2172,2.2224
2.2193,2.2897
2.2733,2.2859
2.2528,2.2607
2.2405,2.2473
2.2125,2.232
2.2151,2.2315
2.2246,2.2422
2.2357,2.27
2.2696,2.2938
2.2809,2.2912
2.2909,2.3359
2.3067,2.3197
2.2752,2.2752
2.2338,2.2412
2.2235,2.2473
2.2338,2.2461
2.2438,2.2605
2.2596,2.2623
2.245,2.2595
2.2518,2.2568
2.1826,2.205
2.18,2.2029
2.1973,2.2077
2.2076,2.2128
2.1989,2.2115
2.2087,2.2089
2.1898,2.19
2.1805,2.1994
2.181,2.229
2.1714,2.1834
2.1702,2.1716
2.1598,2.1797
2.1757,2.1781
2.1656,2.1843
2.1797,2.186
2.1717,2.1925
2.1871,2.1933
2.1823,2.19
2.1795,2.1795
2.1695,2.1714
2.1704,2.2003
2.1848,2.2011
2.1905,2.2033
2.2023,2.2047
2.1756,2.1944
2.1915,2.1932
