prices,highs
1.5,1.799
1.3,1.65
1.5735,1.6479
1.5457,1.546
1.5525,1.5525
1.5458,1.6399
1.6399,1.681
1.6809,1.6809
1.6,1.625
1.6011,1.6379
1.637,1.6378
1.602,1.6025
1.6025,1.6366
1.601,1.6477
1.6478,1.6479
1.6479,1.6759
1.637,1.676
1.6288,1.6288
1.6124,1.6124
1.6,1.6
1.5805,1.6
1.5805,1.5805
1.57,1.61
1.6098,1.6108
1.6068,1.6148
1.6148,1.631
1.627,1.627
1.6108,1.627
1.6,1.6028
1.5868,1.5868
1.5671,1.6028
1.6028,1.6028
1.5868,1.5868
1.5948,1.5948
1.5948,1.598
1.5711,1.5711
1.571,1.5868
1.5789,1.5868
1.5868,1.5868
1.5553,1.57
1.5631,1.577
1.571,1.5948
1.571,1.571
1.5789,1.5789
1.5631,1.571
1.5389,1.5389
1.5389,1.5389
1.58,1.58
1.58,1.6188
1.6184,1.6188
1.555,1.6176
1.5705,1.571
1.571,1.602
1.59,1.59
1.59,1.59
1.5705,1.5705
1.5705,1.5705
1.59,1.59
1.595,1.595
1.588,1.588
1.5864,1.5864
1.5864,1.5864
1.565,1.5864
1.5864,1.595
1.6024,1.6184
1.6183,1.6266
1.6266,1.6266
1.6103,1.6103
1.5803,1.5942
1.6023,1.651
1.6593,1.7
1.689,1.7885
1.7183,1.7704
1.7191,1.7191
1.6843,1.7099
1.7099,1.7616
1.7528,1.799
1.7616,1.7704
1.7528,1.799
1.799,1.799
1.799,1.799
1.79,1.7989
1.7634,1.7634
1.7634,1.7634
1.737,1.737
1.7196,1.737
1.737,1.737
1.737,1.7989
1.7634,1.8
1.7901,1.8611
1.8609,1.9
1.8719,1.946
1.9133,1.94
1.8025,1.8999
1.8125,1.8982
1.8,1.81
1.81,1.82
1.8891,1.99
1.9892,1.9892
1.882,1.9498
1.85,1.8789
1.8789,1.89
1.8235,1.9486
1.8616,1.988
1.9599,1.96
1.9448,1.9448
1.9437,1.9438
1.8763,1.94
1.937,1.937
1.935,1.935
1.9,1.9
1.8998,1.8999
1.8995,1.8998
1.87,1.8998
1.85,1.8971
1.8211,1.8799
1.835,1.8369
1.8369,1.8999
1.8999,1.929
1.899,1.899
1.869,1.93
1.9249,1.9249
1.9234,1.9235
1.93,1.9498
1.945,1.95
1.94,1.99
1.9599,1.9599
1.895,1.97
1.968,1.9734
1.91,1.99
1.9502,1.9899
1.9779,1.9897
1.951,1.951
1.9,1.9888
1.985,1.9888
1.9001,1.9794
1.875,1.9899
1.9781,1.9899
1.9765,1.9899
1.9255,1.976
1.9755,1.9999
1.998,1.999
1.97,1.998
1.9889,1.989
1.9555,2.05
1.96,2.0295
2.0295,2.0295
2.0294,2.0295
1.98,2.0287
2.0,2.0
2.0198,2.02
2.0197,2.02
2.0188,2.0188
2.0182,2.0497
2.04,2.04
2.03,2.0346
2.0346,2.035
2.02,2.02
2.0102,2.0299
2.0299,2.03
2.0001,2.07
2.0599,2.0599
2.0599,2.0599
2.0271,2.1
2.0402,2.0877
2.0661,2.0999
2.0999,2.15
2.145,2.1997
2.12,2.12
2.11,2.1279
2.12,2.1289
2.0912,2.11
2.11,2.11
2.1289,2.1302
2.0934,2.1298
2.0937,2.1297
2.1294,2.1294
2.1279,2.1279
2.0712,2.0713
2.06,2.1275
2.12,2.12
2.0201,2.026
2.0,2.0002
1.9601,1.99
1.9101,1.99
1.99,2.02
2.0198,2.02
2.0189,2.0189
1.9904,2.0
1.9976,1.998
1.9301,2.02
1.9101,1.97
1.9116,1.969
1.94,1.94
1.949,1.9497
1.92,1.92
1.92,1.93
1.9,1.93
1.8927,1.9488
1.9487,1.9488
1.9399,1.9487
1.9459,1.946
1.9456,1.97
1.9301,2.0101
2.0,2.0
1.8335,1.92
1.895,1.898
1.8556,1.894
1.83,1.8336
1.7998,1.825
1.79,1.7929
1.7,1.7695
1.7595,1.799
1.7705,1.775
1.7728,1.7728
1.7301,1.7697
1.769,1.7723
1.744,1.85
1.85,1.89
1.83,1.83
1.7352,1.828
1.797,1.797
1.71,1.74
1.65,1.73
1.71,1.7289
1.67,1.67
1.64,1.64
1.6022,1.7106
1.7106,1.7912
1.751,1.85
1.828,1.8799
1.801,1.801
1.712,1.74
1.79,1.8
1.82,1.88
1.88,1.89
