prices,highs
4261.48,4280.56
4280.0,4313.62
4308.83,4328.69
4320.0,4320.0
4330.29,4330.29
4328.65,4345.45
4316.62,4316.62
4291.39,4349.99
4333.32,4377.85
4360.7,4360.7
4360.0,4360.0
4360.0,4445.78
4441.1,4443.0
4400.0,4470.0
4460.0,4485.39
4485.39,4485.39
4436.06,4449.56
4417.0,4431.13
4411.0,4445.88
4435.12,4459.0
4459.0,4469.46
4467.81,4485.39
4470.82,4470.82
4432.2,4444.9
4352.33,4354.35
4290.17,4354.18
4354.18,4354.84
4335.28,4354.84
4289.24,4302.45
4287.69,4302.45
4241.91,4302.44
4287.61,4335.3
4307.56,4325.23
4258.56,4354.84
4346.74,4369.69
4349.33,4369.69
4333.55,4349.63
4326.28,4359.13
4313.39,4337.38
4327.89,4332.26
4285.08,4309.92
4292.11,4340.62
4269.36,4269.36
4214.97,4269.36
4251.95,4298.64
4278.05,4278.05
4244.77,4308.7
4244.77,4296.6
4292.39,4292.39
4245.0,4292.39
4287.92,4319.93
4317.21,4340.62
4313.56,4316.98
4289.09,4304.66
4279.46,4304.66
4286.05,4304.67
4285.0,4307.41
4306.41,4320.71
4265.33,4327.25
4317.6,4317.6
4304.15,4349.0
4330.26,4371.52
4356.31,4357.37
4330.0,4343.23
4320.52,4340.31
4340.3,4340.3
4302.97,4318.16
4278.0,4293.65
4293.09,4293.09
4229.42,4259.4
4259.4,4259.4
4200.0,4249.51
4234.54,4275.63
4273.78,4283.79
4250.34,4250.34
4176.64,4197.73
4171.17,4297.75
4172.99,4177.41
4086.28,4131.0
4066.21,4136.48
4135.0,4135.0
4043.92,4061.0
4015.4,4015.4
3982.87,3982.87
3996.92,4094.0
4062.21,4131.83
4106.35,4136.48
4119.42,4120.42
4108.37,4135.47
4125.44,4178.31
4163.49,4178.31
4156.99,4184.69
4148.53,4168.07
4168.07,4184.0
4180.0,4180.0
4121.0,4156.0
4138.5,4156.0
4130.0,4140.0
4123.95,4123.95
4047.71,4082.27
4077.0,4082.0
4064.85,4064.85
3969.12,3999.15
3999.15,4033.47
4033.47,4064.84
4013.89,4035.08
3999.0,4036.08
4049.74,4082.25
4054.0,4082.0
4033.0,4033.0
4016.0,4033.0
3981.81,4002.87
3945.12,4033.0
3999.96,4095.0
4095.0,4100.0
4059.92,4099.78
4066.0,4068.31
4045.0,4045.19
4036.59,4063.44
3995.63,3995.63
4036.19,4049.69
4049.69,4049.69
3985.0,4000.98
4000.98,4048.99
4013.69,4079.0
4079.0,4096.0
4073.47,4103.92
4088.71,4088.71
4088.71,4103.92
4062.39,4099.0
4075.98,4149.98
4149.99,4149.99
4090.0,4141.0
4139.98,4139.98
4120.78,4139.98
4139.98,4139.98
4120.98,4139.98
4095.33,4095.33
4086.09,4086.09
4069.98,4082.53
4096.33,4112.03
4082.62,4124.69
4111.26,4111.26
4111.26,4111.26
4094.62,4094.62
4094.62,4094.62
4087.0,4142.16
4142.16,4142.16
4117.41,4117.41
4093.57,4117.41
4081.4,4117.41
4108.33,4156.56
4155.87,4184.68
4169.89,4211.08
4155.0,4158.61
4155.0,4155.0
4155.0,4155.0
4140.0,4142.41
4104.68,4125.44
4080.01,4108.37
4106.53,4125.43
4080.0,4125.43
4125.0,4125.0
4114.4,4114.4
4096.32,4096.32
4096.32,4096.32
4100.0,4114.4
4101.13,4125.0
4125.0,4128.11
4111.51,4150.0
4131.46,4138.07
4132.47,4135.0
4129.32,4132.47
4132.0,4158.61
4154.56,4185.94
4166.0,4185.14
4161.59,4171.62
4137.18,4140.93
4140.93,4156.56
4146.53,4152.37
4162.59,4169.98
4156.56,4169.98
4151.14,4171.62
4130.85,4156.2
4069.13,4106.36
4099.26,4119.62
4108.28,4114.86
4114.86,4114.86
4094.6,4109.26
4039.01,4079.94
4079.94,4088.8
4083.77,4104.68
4079.26,4084.8
4079.25,4104.68
4104.68,4104.68
4066.21,4066.21
4011.04,4032.01
3991.05,4031.46
3982.96,4044.32
4033.22,4055.92
4043.63,4055.92
4035.0,4039.0
4036.3,4077.07
4046.9,4075.0
4066.0,4088.12
4082.93,4088.1
4063.0,4063.0
4010.78,4023.11
4023.11,4023.11
4023.0,4023.0
4000.0,4023.11
3951.5,4007.19
3914.59,4011.98
3999.8,4023.11
3967.5,4020.0
4014.99,4022.0
4005.99,4026.04
4026.02,4029.05
4019.99,4019.99
4014.99,4029.06
3997.57,4029.06
3986.16,4027.0
3918.8,4042.11
4027.51,4027.51
4027.05,4042.11
4021.03,4027.05
4025.04,4027.05
4015.76,4070.49
4039.1,4041.23
4039.09,4041.1
4025.0,4031.87
4016.0,4016.0
4016.0,4016.0
3974.05,3983.19
3790.0,3890.51
3728.91,3844.98
3700.0,3844.95
3796.0,3849.98
3822.5,3849.98
3823.0,3862.39
3863.0,3868.57
3683.03,3695.59
3500.8,3695.62
3680.0,3680.0
3619.95,3827.22
3813.12,3854.46
3803.0,3803.0
3777.05,3803.0
3798.08,3805.76
3790.0,3805.76
3794.12,3875.44
3869.42,3920.31
3904.56,3904.56
3893.92,3904.51
3844.07,3893.52
3853.53,3905.56
3866.48,3920.31
3934.49,3990.12
3949.01,3964.75
3889.38,3925.99
3874.38,3920.99
3786.81,3849.0
3829.5,3921.63
3899.99,3919.97
3858.23,3919.99
3919.99,3952.89
3905.84,3998.99
3998.78,3998.78
3944.0,4067.0
4063.69,4104.82
4071.22,4085.0
4019.97,4101.24
3984.5,4061.54
3953.13,4058.83
3960.29,4038.96
3948.6,3999.99
3999.96,4046.11
3978.77,4031.99
4009.1,4017.49
3977.39,4045.0
4040.0,4075.9
4064.2,4077.18
4048.1,4084.99
4077.58,4100.0
4101.53,4127.99
4099.0,4126.66
4083.72,4126.99
4092.93,4124.42
4084.54,4115.87
4100.0,4114.99
4084.0,4110.0
4071.0,4093.31
