prices,highs
0.023,16.79999
4.45341,4.55
3.46,3.46
2.8661,3.26
3.13778,3.265
3.09606,3.16
2.87013,3.1
3.09984,3.2299
3.13635,3.16013
3.14993,3.65999
3.54781,3.58999
3.04414,3.2
3.09333,3.10128
3.0367,3.08627
2.90215,2.9577
2.70848,2.7521
2.61896,2.73
2.52714,3.0468
2.97546,3.15
2.99368,3.48724
3.29793,3.5
3.18666,3.84467
3.66761,3.96
3.73298,3.83
3.5999,3.60403
3.38693,3.5279
3.32715,3.45
3.12591,3.3
3.26271,3.548
3.46312,3.527
3.26707,3.43
3.37448,3.37667
3.30427,3.42565
3.3281,3.333
3.00262,3.05899
2.90552,3.19999
3.19912,3.2
3.0297,3.09004
2.99197,3.02769
2.858,2.96398
2.92034,3.1
3.0,3.02073
2.8943,2.9572
2.91814,3.07839
3.002,3.03
2.97206,3.067
2.99865,3.06
2.98348,3.04
2.96719,2.98818
2.83799,2.86
2.75492,2.82308
2.7863,2.80277
2.73877,2.74546
2.65785,2.66727
2.61685,2.69888
2.69662,2.69832
2.58194,2.64593
2.592,2.63053
2.61793,2.8
2.75451,2.79
2.73127,2.73902
2.64798,2.65082
2.59384,2.6
2.55399,2.71284
2.69132,3.07173
3.00446,3.04812
2.72946,2.75995
2.6805,2.77497
2.65792,2.71
2.69498,2.70698
2.67938,2.789
2.69734,2.72385
2.6348,2.683
2.61706,2.64974
2.57618,2.65
2.62844,2.67
2.65137,2.68727
2.63518,2.65571
2.60869,2.62895
2.62874,2.64575
2.59824,2.61993
2.594,2.62476
2.59261,2.59439
2.55744,2.56731
2.55,2.59766
2.57858,2.63
2.54693,2.55076
2.54239,2.55555
2.5413,2.55927
2.55611,2.56778
2.54255,2.64
2.57624,2.59498
2.56381,2.63623
2.61903,2.62188
2.59801,2.60001
2.56156,2.59636
2.57098,2.57473
2.56417,2.75
2.58787,2.64631
2.63368,2.64404
2.60011,2.63674
2.63151,2.83468
2.76368,2.76825
2.75042,2.755
2.61,2.62198
2.58606,2.59823
2.55231,2.62721
2.5693,2.6
2.56647,2.5762
2.55911,2.5899
2.556,2.6
2.582,2.62903
2.57207,2.6
2.57864,2.58998
2.53982,2.54157
2.43001,2.45688
2.4525,2.45659
2.37521,2.40998
2.2813,2.2813
2.26896,2.29741
2.28179,2.33368
2.32905,2.33019
2.2628,2.27279
2.2718,2.3
2.20521,2.235
2.18369,2.22969
2.20802,2.24
2.21565,2.21673
2.2,2.24606
2.21794,2.27344
2.26884,2.28
2.27746,2.3005
2.29234,2.35876
2.29983,2.29983
2.25232,2.32296
2.32091,2.3645
2.32965,2.32965
2.29342,2.34443
2.31838,2.32
2.29993,2.32959
2.29937,2.32787
2.29,2.30215
2.29952,2.31151
2.29276,2.29333
2.24864,2.25843
2.24865,2.26151
2.23613,2.23665
2.20471,2.22772
2.22096,2.26
2.23101,2.2424
2.22365,2.27409
2.26945,2.27241
2.25068,2.25421
2.23264,2.2545
2.23731,2.25338
2.24071,2.24449
2.22298,2.25037
2.23489,2.241
2.23032,2.25
2.24871,2.24871
2.23026,2.25331
2.24613,2.2575
2.25749,2.29882
2.25228,2.28
2.27995,2.28
2.18794,2.19988
2.19203,2.19204
2.127,2.12783
2.09808,2.11141
2.06695,2.09898
2.09342,2.09918
2.0853,2.0961
2.09585,2.09846
2.07453,2.07625
2.05237,2.12448
2.10404,2.10404
2.07578,2.07633
2.03015,2.03484
2.02907,2.06099
2.03941,2.04136
2.01,2.01418
1.97941,1.97941
1.95527,2.02
1.99005,1.99195
1.96456,1.987
1.98521,1.98682
1.94674,1.96167
1.94931,1.96771
1.95871,1.95872
1.925,1.93222
1.90271,1.90422
1.8816,1.88161
1.875,1.93
1.90844,1.91
1.88389,1.91662
1.91662,1.95597
1.91771,1.95586
1.92,1.97668
1.972,1.972
1.96609,1.9681
1.84464,1.8758
1.83908,1.87404
1.85933,1.87969
1.87232,1.8758
1.85873,1.86754
1.85262,1.88
1.87899,1.87964
1.86945,1.88372
1.85786,1.86099
1.835,1.84753
1.84299,1.86811
1.86804,1.87312
1.86562,1.95519
1.90708,1.964
1.94729,1.94739
1.92992,1.94534
1.90468,1.9388
1.93544,1.93677
1.90606,1.92413
1.90801,1.9126
1.89343,1.9072
1.895,1.94536
1.93915,1.97668
1.94223,1.94445
1.92116,1.9397
1.92743,2.01061
1.98015,2.02
1.99994,2.10402
2.06445,2.0667
2.01468,2.02677
2.00223,2.07
2.02542,2.04739
1.99489,1.99847
1.96837,1.97285
1.93966,1.96
1.92199,1.92783
1.89819,1.91553
1.8869,1.88966
1.88822,1.8952
1.8952,1.93
1.91071,1.94238
1.92496,1.9251
1.91873,1.93661
1.92629,1.92799
1.89673,1.90547
1.89719,1.89903
1.8694,1.8942
1.85025,1.98853
1.87477,1.8977
1.87204,1.90891
1.89395,1.96
1.916,1.916
1.88375,1.89308
1.89172,1.95
1.91017,1.92127
1.91666,1.9245
1.89859,1.92043
1.90077,1.9251
1.91002,1.93
1.90809,1.90924
1.89183,1.89496
1.88706,1.889
1.88149,1.89054
1.89005,1.8989
1.89401,1.89633
1.86894,1.89311
1.86424,1.87441
1.8615,1.87931
1.86935,1.86935
1.85652,1.885
1.86347,1.87996
1.87726,1.87726
1.85301,1.88666
1.885,1.88587
1.87059,1.875
1.85395,1.8888
1.8711,1.87166
1.86302,1.87
1.86579,1.88819
1.87996,1.88927
1.86796,1.91188
1.8977,1.92
1.91489,1.96504
1.95287,1.98853
1.97162,1.97607
1.9525,2.03254
1.9636,1.97959
1.93756,1.94797
1.92382,1.93158
1.92863,1.96965
1.93737,1.96965
1.94652,2.04148
2.03846,2.03847
1.96924,2.03989
2.01,2.19
2.14959,2.262
2.20351,2.20494
2.11717,2.1824
2.1024,2.13119
2.04321,2.0888
2.01978,2.04444
2.00287,2.04431
1.98179,2.015
2.0074,2.11562
2.10452,2.10713
2.03418,2.04718
2.03717,2.03717
1.99643,2.0162
1.99331,2.01688
2.0158,2.06654
2.01226,2.059
2.02325,2.0272
1.96103,1.96305
1.94165,1.95
1.90916,1.91166
1.86329,1.88464
1.85443,1.91878
1.89183,1.957
1.94619,1.99622
1.91872,1.96848
1.96688,1.96999
1.89827,1.89919
1.89179,1.92805
1.91078,1.955
1.95152,1.9662
1.94935,1.94935
1.93227,1.93398
1.91611,1.91615
1.90833,1.92105
1.91763,1.92372
1.89891,1.95
1.9241,1.93637
1.92952,1.93166
1.91619,1.91619
1.905,1.90505
1.89001,1.89717
1.88699,1.895
1.87262,1.894
1.89017,1.8954
1.88218,1.92774
1.90114,1.90449
1.90438,1.90947
1.89651,1.89651
1.888,1.91916
1.91921,1.94487
1.91006,1.91221
1.91002,1.91709
1.89627,1.90524
1.88509,2.02999
1.92435,1.93479
1.93386,1.94881
1.93,1.93
1.90921,1.91217
1.89682,1.91331
1.91199,1.91322
1.89752,1.90443
1.88821,1.89169
1.88022,1.8974
1.89554,1.9
1.87291,1.88957
1.88001,1.885
1.88687,1.8955
1.8853,1.88817
1.87719,1.89034
1.88937,1.8999
1.89601,1.91135
1.89382,1.90176
1.8879,1.89127
1.88187,1.89098
1.872,1.87526
1.83652,1.83973
1.77122,1.83474
1.80897,1.82092
1.78001,1.83473
1.79639,1.80724
1.76319,1.7883
1.78478,1.80831
1.80639,1.82121
1.81517,1.82327
1.8045,1.81025
1.78504,1.79884
1.79699,1.7975
1.76378,1.774
1.73998,1.74235
1.73985,1.74865
1.74488,1.76168
1.75899,1.76189
1.72882,1.72999
1.70503,1.7583
1.71532,1.72968
1.70608,1.72539
1.72508,1.72717
1.69891,1.77504
1.75547,1.85847
1.78831,1.79056
1.76969,1.77752
1.76558,1.77329
1.77157,1.77223
1.75254,1.76013
1.74154,1.74683
1.73737,1.73834
1.71965,1.72969
1.71728,1.72887
1.72738,1.73168
1.72665,1.7664
1.7609,1.76491
1.74848,1.751
1.73635,1.73641
1.72979,1.74195
1.74191,1.77736
