prices,highs
0.2,6.0
4.906,5.067
4.855,4.922
4.627,4.696
4.66,4.897
4.868,5.821
5.812,6.321
5.823,5.95
5.678,6.089
5.842,5.879
5.365,5.542
5.371,5.431
5.275,5.366
5.113,5.121
4.92,5.335
5.2,5.23
5.12,5.355
5.19,5.35
5.2,5.222
5.053,5.198
4.884,5.059
4.925,4.964
4.945,5.212
5.019,5.099
5.027,5.25
5.052,5.23
5.118,5.31
5.28,5.299
5.272,5.276
5.175,5.196
5.105,5.149
5.084,5.09
5.047,5.057
4.984,5.25
5.192,5.253
5.228,5.684
5.622,5.8
5.795,5.973
5.863,5.889
5.739,5.814
5.672,5.747
5.661,5.667
5.611,5.833
5.755,6.15
6.047,6.199
5.987,6.23
6.21,6.4
6.267,6.284
6.108,6.213
6.144,6.199
6.032,6.079
6.04,6.099
6.088,6.137
5.94,5.942
5.878,6.028
5.992,6.053
5.877,5.894
5.727,5.8
5.754,5.799
5.772,5.82
5.585,5.7
5.63,5.77
5.722,5.94
5.76,5.95
5.932,6.05
5.962,6.15
6.084,6.084
5.92,5.962
5.882,5.97
5.917,5.935
5.894,6.0
5.988,6.051
6.012,6.134
6.01,6.045
6.017,6.16
6.154,6.201
6.134,6.344
6.315,6.5
6.42,6.666
6.551,6.553
6.425,6.557
6.514,6.65
6.634,6.843
6.813,6.97
6.882,6.986
6.861,6.878
6.802,6.978
6.889,7.25
7.165,7.241
7.01,7.12
6.954,7.125
7.124,7.149
7.067,7.204
7.125,7.355
7.295,7.639
7.622,8.082
7.727,8.1
8.002,8.361
7.686,7.932
7.9,7.947
7.807,7.9
7.843,8.06
7.738,7.94
7.806,7.86
7.6,7.64
7.549,7.734
7.65,7.715
7.417,7.48
7.419,7.55
7.424,7.472
7.266,7.67
7.587,7.65
7.547,7.85
7.799,7.95
7.614,7.777
7.701,7.768
7.699,7.845
7.529,7.679
7.607,7.896
7.868,7.999
7.848,7.957
7.848,7.868
7.768,7.877
7.855,7.968
7.943,8.224
8.165,8.285
7.914,7.97
7.875,7.885
7.722,7.828
7.688,7.932
7.864,7.893
7.823,7.828
7.714,7.774
7.45,7.61
7.575,7.791
7.69,7.734
7.504,7.746
7.706,7.713
7.644,7.73
7.684,7.875
7.7,7.75
7.497,7.5
7.161,7.247
6.949,7.097
7.051,7.2
7.168,7.178
7.09,7.223
7.141,7.165
7.053,7.185
7.005,7.064
7.007,7.139
7.089,7.103
7.01,7.036
6.978,7.1
7.045,7.358
7.303,7.4
7.259,7.304
7.243,7.33
7.319,7.346
7.214,7.273
7.175,7.237
7.124,7.24
7.218,7.42
7.319,7.5
7.422,7.731
7.628,7.713
7.699,7.707
7.576,7.666
7.499,7.644
7.615,7.667
7.622,7.713
7.696,7.704
7.512,7.61
7.593,7.66
7.61,7.665
7.558,7.583
7.423,7.567
7.537,7.548
7.481,7.536
7.389,7.409
7.343,7.423
7.398,7.441
7.39,7.41
7.341,7.369
7.335,7.356
7.341,7.356
7.352,7.5
7.472,7.489
7.412,7.555
7.498,7.569
