prices,highs
0.05,1.18
1.09322,1.24999
1.23163,1.37426
1.36717,1.49
1.32713,1.35618
1.23921,1.29
1.28002,1.32895
1.25986,1.2969
1.27616,1.31884
1.30566,1.31222
1.27768,1.299
1.28127,1.34603
1.30676,1.325
1.30009,1.345
1.33645,1.39585
1.3178,1.337
1.26925,1.30505
1.29937,1.32
1.305,1.34
1.30464,1.32592
1.316,1.365
1.35645,1.425
1.34151,1.39
1.38026,1.43
1.37232,1.42222
1.38166,1.4737
1.46,1.51
1.46258,1.48752
1.46084,1.46216
1.40465,1.432
1.41178,1.41198
1.39196,1.41916
1.40967,1.45
1.41649,1.45302
1.44921,1.48298
1.47895,1.58099
1.52025,1.59122
1.58818,1.64342
1.57892,1.6471
1.63456,1.69493
1.69492,1.695
1.55153,1.55813
1.52299,1.55213
1.47948,1.50135
1.49231,1.52171
1.47615,1.53981
1.51289,1.593
1.57472,1.585
1.53687,1.55348
1.42301,1.44022
1.40604,1.41877
1.40493,1.40574
1.38999,1.428
1.41839,1.41839
1.3717,1.39569
1.3939,1.39513
1.36482,1.39
1.37083,1.39999
1.38944,1.41
1.3918,1.3918
1.36708,1.38526
1.38151,1.38167
1.35205,1.3555
1.34598,1.35921
1.32611,1.35
1.34999,1.408
1.40518,1.418
1.37479,1.391
1.38502,1.39
1.3727,1.41
1.40653,1.438
1.41,1.42716
1.40742,1.4189
1.39273,1.3959
1.38157,1.41716
1.41383,1.42304
1.39728,1.44648
1.44183,1.5
1.47965,1.50292
1.46125,1.469
1.45006,1.45007
1.405,1.42722
1.41177,1.42
1.40347,1.41658
1.40723,1.445
1.41009,1.42536
1.41077,1.42566
1.40725,1.40817
1.3844,1.3971
1.38304,1.39121
1.388,1.41748
1.41619,1.428
1.39037,1.40974
1.39347,1.4
1.39897,1.42551
1.40414,1.42
1.41855,1.47768
1.43815,1.488
1.46995,1.488
1.46597,1.477
1.45741,1.46128
1.44149,1.48499
1.48078,1.51
1.49916,1.51832
1.46839,1.48347
1.44861,1.46578
1.45528,1.4655
1.43836,1.45555
1.44683,1.468
1.46013,1.48
1.45336,1.46596
1.45853,1.4764
1.47156,1.47209
1.458,1.46302
1.43218,1.43317
1.41101,1.42152
1.40818,1.41494
1.41478,1.42633
1.39584,1.42
1.39925,1.4
1.36081,1.37624
1.24113,1.26519
1.239,1.2495
1.22069,1.23398
1.20119,1.25
1.24528,1.254
1.24409,1.25463
1.25069,1.25083
1.23266,1.25
1.23899,1.24
1.2396,1.24387
1.22561,1.23314
1.2171,1.23092
1.22345,1.22393
1.21829,1.21829
1.20663,1.217
1.21609,1.22087
1.20603,1.20927
1.20511,1.20656
1.20508,1.24666
1.23297,1.23318
1.213,1.21388
1.20499,1.213
1.21173,1.223
1.21995,1.2232
1.21736,1.24201
1.23044,1.23887
1.23142,1.238
1.22664,1.23856
1.22653,1.22901
1.223,1.223
1.2006,1.226
1.21386,1.22
1.19163,1.21598
1.2141,1.2399
1.22231,1.23
1.2221,1.2272
1.22248,1.22552
1.21291,1.22707
1.22298,1.23
1.22041,1.232
1.21821,1.222
1.21039,1.2302
1.2302,1.237
1.23142,1.289
1.2567,1.2699
1.26178,1.273
1.25194,1.25922
1.24922,1.2648
1.25494,1.2717
1.26,1.26021
1.24699,1.247
1.22701,1.23545
1.22805,1.25394
1.24268,1.2468
1.22842,1.24092
1.23741,1.23741
1.22675,1.23
1.22728,1.23
1.22252,1.25
1.24616,1.26999
1.25594,1.263
1.26048,1.30898
1.29126,1.2984
1.29801,1.31754
1.29038,1.31
1.28277,1.29231
1.28027,1.28675
1.27676,1.28503
1.25669,1.26902
1.25683,1.26838
1.2633,1.26479
1.24681,1.26
1.24638,1.26389
1.25552,1.26173
1.2552,1.2552
1.2362,1.25942
1.25751,1.26258
1.24641,1.25111
1.23992,1.25344
1.24747,1.253
1.24253,1.2426
1.23754,1.23889
1.22669,1.24
1.23492,1.24499
1.23899,1.25
1.24499,1.25084
1.24551,1.2585
1.24559,1.24999
1.24079,1.25269
1.24231,1.24803
1.24036,1.251
1.24348,1.25351
1.25039,1.255
1.25223,1.25857
1.25069,1.25378
1.24248,1.25277
1.23371,1.23405
1.21638,1.221
1.21712,1.22855
1.22098,1.22099
1.2135,1.22408
1.21887,1.2189
1.21496,1.21589
1.21165,1.21165
1.19648,1.20162
1.1986,1.20604
1.199,1.20507
1.19935,1.19935
1.19695,1.2
1.18881,1.19324
1.19174,1.19348
1.18401,1.19907
1.19701,1.20927
1.20599,1.20929
1.20799,1.20994
1.2024,1.21527
1.20672,1.21299
1.20299,1.20714
