prices,highs
301.13,301.13
299.39,302.57
301.61,303.28
302.21,303.28
302.4,303.71
303.11,304.44
302.68,304.97
304.61,307.96
307.95,309.77
309.77,309.97
308.62,311.46
309.89,312.0
310.0,310.62
309.22,310.97
308.3,310.4
310.4,310.68
308.95,310.51
308.62,308.62
308.62,309.72
309.52,309.52
307.77,308.45
307.59,308.71
306.5,308.76
306.4,307.06
307.74,309.4
308.76,312.18
308.0,308.33
308.33,308.33
308.33,310.64
311.53,311.53
309.1,309.84
308.71,309.41
301.6,309.4
301.88,304.79
304.79,307.02
307.02,309.4
308.57,310.26
305.62,310.74
306.74,310.85
303.02,306.2
302.0,306.2
304.88,305.34
300.08,302.02
296.19,305.55
298.73,304.7
299.61,303.19
300.05,306.47
301.21,302.95
301.4,301.47
298.94,302.95
301.8,303.99
305.08,305.92
304.7,305.96
303.21,307.0
307.0,309.49
306.13,309.49
306.24,310.85
310.8,310.8
304.23,305.91
305.91,307.72
304.73,307.16
306.78,311.06
308.88,311.71
308.5,311.79
307.78,310.29
310.29,310.29
307.17,309.66
306.0,308.3
303.22,303.22
299.01,300.07
298.52,300.07
299.45,300.99
298.8,300.99
300.99,301.11
297.5,299.21
295.01,297.2
295.53,298.25
295.46,297.0
289.75,292.18
292.08,295.6
295.46,295.46
291.7,294.19
291.87,291.87
289.1,290.25
288.01,292.91
290.58,294.19
293.74,294.18
293.96,293.96
293.31,293.98
293.87,297.15
297.15,298.2
297.19,297.19
297.19,299.84
298.8,299.84
298.64,298.64
296.26,296.26
294.69,297.19
295.1,295.1
297.17,299.9
291.87,293.23
293.69,295.56
292.6,292.6
289.02,292.17
289.83,290.16
290.16,290.16
287.55,288.99
287.66,290.04
288.87,293.17
291.36,292.24
288.15,288.15
285.97,287.15
283.87,285.56
281.39,284.64
283.18,290.85
290.16,290.16
288.04,288.38
285.5,287.06
288.64,288.64
283.88,286.56
284.24,288.64
288.64,290.16
288.09,288.09
286.19,288.66
287.31,293.15
294.33,295.0
295.0,295.0
292.64,293.38
293.31,293.31
290.6,290.6
290.41,291.85
289.9,292.34
291.57,293.25
293.25,294.9
293.5,293.5
290.91,290.91
290.91,290.91
289.41,292.42
287.0,287.0
287.4,288.85
288.84,290.87
289.94,289.94
287.66,292.42
292.42,292.42
289.47,292.41
287.97,288.31
288.31,288.31
285.39,291.59
291.59,293.15
292.17,293.15
290.15,293.14
293.1,293.15
293.15,295.56
293.02,295.56
289.19,295.98
292.59,295.96
