prices,highs
1.94,2.218
2.172,2.183
2.171,2.187
2.171,2.172
2.171,2.172
2.169,2.172
2.17,2.172
2.146,2.147
2.139,2.141
2.142,2.142
2.141,2.152
2.152,2.152
2.148,2.149
2.148,2.148
2.149,2.149
2.149,2.149
2.147,2.147
2.144,2.144
2.142,2.142
2.144,2.153
2.144,2.146
2.151,2.151
2.142,2.145
2.142,2.146
2.146,2.151
2.139,2.141
2.142,2.142
2.139,2.142
2.14,2.143
2.141,2.148
2.153,2.155
2.144,2.157
2.154,2.157
2.157,2.157
2.161,2.162
2.16,2.16
2.163,2.163
2.156,2.156
2.154,2.154
2.15,2.159
2.154,2.155
2.151,2.155
2.153,2.154
2.148,2.151
2.148,2.149
2.147,2.147
2.146,2.15
2.15,2.15
2.147,2.147
2.145,2.145
2.147,2.15
2.148,2.148
2.141,2.143
2.146,2.146
2.144,2.144
2.142,2.142
2.138,2.138
2.137,2.139
2.139,2.139
2.138,2.138
2.138,2.138
2.137,2.139
2.14,2.14
2.138,2.138
2.14,2.14
2.14,2.14
2.138,2.138
2.14,2.14
2.14,2.14
2.137,2.139
2.14,2.141
2.14,2.14
2.14,2.14
2.138,2.139
2.14,2.14
2.14,2.14
2.14,2.14
2.14,2.15
2.15,2.15
2.151,2.151
2.151,2.151
2.148,2.148
2.149,2.149
2.149,2.149
2.151,2.157
2.155,2.155
2.147,2.149
2.149,2.149
2.149,2.149
2.149,2.149
2.146,2.146
2.145,2.148
2.149,2.149
2.149,2.149
2.149,2.149
2.149,2.149
2.147,2.148
2.148,2.148
2.148,2.148
2.148,2.148
2.141,2.141
2.141,2.141
2.14,2.141
2.14,2.142
2.14,2.141
2.141,2.15
2.152,2.154
2.145,2.145
2.143,2.144
2.144,2.145
2.145,2.148
2.145,2.145
2.146,2.148
2.145,2.151
2.142,2.155
2.155,2.158
2.159,2.159
2.162,2.162
2.156,2.159
2.156,2.173
2.167,2.17
2.168,2.177
2.175,2.195
2.184,2.187
2.189,2.216
2.207,2.23
2.201,2.208
2.204,2.236
2.229,2.246
2.234,2.234
2.228,2.247
2.24,2.241
2.236,2.236
2.232,2.238
2.233,2.233
2.225,2.235
2.237,2.261
2.251,2.275
2.277,2.303
2.292,2.292
2.257,2.266
2.266,2.282
2.276,2.282
2.264,2.266
2.263,2.272
2.27,2.272
2.271,2.271
2.265,2.265
2.26,2.26
2.263,2.264
2.259,2.259
2.244,2.246
2.232,2.24
2.244,2.246
2.244,2.245
2.25,2.255
2.245,2.245
2.248,2.248
2.249,2.256
2.248,2.25
2.249,2.256
2.253,2.259
2.259,2.259
2.258,2.26
2.258,2.267
2.269,2.269
2.249,2.252
2.256,2.265
2.263,2.266
2.264,2.271
2.265,2.299
2.274,2.274
2.25,2.256
2.226,2.226
2.209,2.227
2.222,2.227
2.209,2.216
2.215,2.22
2.216,2.216
2.216,2.216
2.204,2.204
2.187,2.188
2.18,2.187
2.183,2.183
2.184,2.189
2.193,2.194
2.187,2.187
2.183,2.183
2.189,2.189
2.18,2.182
2.186,2.188
2.186,2.186
2.186,2.186
2.186,2.186
2.188,2.191
2.189,2.189
2.187,2.187
2.187,2.189
2.191,2.193
2.191,2.191
2.185,2.185
2.177,2.177
2.154,2.165
2.16,2.195
2.19,2.199
2.19,2.19
2.191,2.199
2.191,2.201
2.2,2.2
2.186,2.193
2.184,2.184
2.182,2.182
2.178,2.181
2.176,2.176
2.167,2.169
2.172,2.175
2.15,2.15
2.139,2.141
2.139,2.141
2.139,2.141
2.141,2.141
2.139,2.142
2.139,2.142
2.139,2.139
2.141,2.142
2.141,2.142
2.141,2.141
2.141,2.142
2.139,2.139
2.141,2.141
2.141,2.15
2.152,2.152
2.158,2.158
2.153,2.161
2.159,2.162
2.159,2.161
2.158,2.158
2.159,2.159
2.163,2.165
2.16,2.16
2.156,2.158
2.158,2.158
2.157,2.157
2.155,2.156
2.156,2.156
2.154,2.157
2.152,2.154
2.154,2.154
2.143,2.143
2.141,2.153
2.154,2.155
2.155,2.155
2.155,2.155
2.148,2.148
2.144,2.144
2.142,2.142
2.142,2.142
2.141,2.141
2.139,2.139
2.138,2.14
2.138,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.138,2.138
2.138,2.138
2.141,2.141
2.138,2.141
2.142,2.142
2.141,2.141
2.14,2.14
2.139,2.139
2.139,2.139
2.139,2.139
2.14,2.14
2.139,2.139
2.139,2.139
2.139,2.139
2.139,2.139
2.139,2.139
2.139,2.139
2.141,2.141
2.14,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.141,2.141
2.139,2.139
2.139,2.139
2.139,2.139
2.142,2.143
2.143,2.143
2.143,2.143
2.143,2.143
2.141,2.141
2.139,2.139
2.139,2.142
2.149,2.151
2.151,2.151
2.152,2.152
2.148,2.148
2.147,2.147
2.145,2.145
2.145,2.145
2.147,2.147
2.141,2.141
2.142,2.142
2.142,2.142
2.142,2.154
2.152,2.152
2.157,2.174
2.176,2.181
2.177,2.177
2.179,2.181
2.172,2.172
2.178,2.184
2.192,2.194
2.162,2.164
2.147,2.15
2.139,2.142
2.139,2.142
2.142,2.142
2.142,2.142
2.14,2.14
2.141,2.141
2.141,2.142
2.14,2.142
2.142,2.142
2.142,2.142
2.142,2.142
2.143,2.143
2.143,2.144
2.145,2.145
2.145,2.145
2.145,2.145
2.144,2.144
2.143,2.143
2.143,2.143
2.143,2.143
2.143,2.143
2.145,2.151
2.149,2.152
2.152,2.154
2.15,2.153
2.147,2.149
2.145,2.151
2.15,2.152
2.148,2.148
2.145,2.146
2.143,2.146
2.143,2.156
2.16,2.172
2.149,2.149
2.148,2.152
2.151,2.151
2.148,2.149
2.149,2.155
2.155,2.163
2.159,2.159
2.147,2.147
2.142,2.143
2.145,2.148
2.146,2.146
2.146,2.146
2.142,2.145
2.146,2.148
2.148,2.148
2.148,2.148
2.149,2.15
2.16,2.16
2.149,2.152
2.148,2.15
2.148,2.149
2.15,2.154
2.153,2.161
