prices,highs
21.456,24.38
20.947,20.947
20.724,20.748
20.48,20.687
20.39,20.468
20.297,20.39
20.264,20.684
20.443,20.59
20.398,20.503
20.484,21.5
20.433,20.879
20.301,20.359
20.192,20.367
20.272,20.272
20.111,20.243
19.988,20.013
19.866,19.976
19.352,19.55
19.416,19.5
19.42,19.494
19.265,19.372
19.318,19.353
19.252,19.445
18.935,19.0
18.93,19.0
18.998,19.007
18.902,20.4
20.021,20.177
19.767,19.895
19.896,20.406
19.657,20.018
20.02,20.02
19.775,19.776
19.551,19.937
19.582,20.074
19.543,19.888
19.666,19.812
19.605,19.725
19.608,19.725
19.612,19.724
19.723,19.724
19.635,19.723
19.634,19.795
19.653,20.4
19.692,19.999
19.662,19.884
19.546,19.773
19.67,20.031
19.892,19.892
19.688,19.816
19.812,19.812
19.75,19.797
19.641,19.791
19.789,19.797
19.797,19.8
19.798,19.966
19.962,19.964
19.843,20.128
19.773,19.858
19.671,19.713
19.372,19.57
19.338,19.478
19.386,19.576
19.57,19.57
19.381,19.536
19.381,19.496
19.497,19.57
19.479,19.576
19.515,19.576
19.556,19.556
19.271,19.5
19.46,19.493
19.395,19.468
19.458,19.462
19.397,19.528
19.41,19.559
19.454,19.557
19.507,19.551
19.549,19.552
19.575,19.575
19.461,19.493
19.372,19.432
19.339,19.45
19.349,19.45
19.353,19.353
19.354,19.455
19.359,19.359
19.453,19.453
19.296,19.444
19.299,19.349
19.357,19.36
19.223,19.309
19.234,19.5
19.303,19.314
19.242,19.242
19.159,19.4
19.187,19.187
19.177,19.177
18.944,19.574
19.092,19.092
19.034,19.034
18.957,19.086
19.034,19.118
19.116,19.122
19.122,19.228
19.005,19.175
18.308,18.779
18.463,18.533
18.196,18.247
18.128,18.162
18.07,18.14
18.005,18.35
17.973,18.1
17.931,17.931
17.796,17.999
17.928,18.074
18.002,18.816
18.814,18.939
18.686,18.686
18.512,18.572
18.5,18.561
18.414,18.55
18.417,18.518
18.516,18.516
18.545,18.55
18.454,18.546
18.54,18.543
18.408,18.507
18.368,18.476
18.33,18.429
18.337,18.368
18.366,18.366
18.366,18.366
18.365,18.365
18.23,18.304
18.337,18.337
18.197,18.274
18.257,18.329
18.224,18.365
18.187,18.226
18.227,18.227
18.149,18.149
18.125,18.207
18.066,18.198
18.013,18.07
18.002,18.051
18.032,18.196
18.085,18.085
18.065,18.102
18.103,18.189
18.16,18.366
18.365,18.366
18.344,18.344
18.168,18.341
18.342,18.342
18.092,18.165
18.033,18.162
17.722,18.0
17.8,17.89
17.753,18.311
17.828,18.689
17.9,18.621
18.2,18.303
18.236,18.35
18.18,18.734
18.4,18.4
17.756,18.2
17.759,17.904
17.727,17.788
17.736,17.786
17.763,17.912
17.872,17.872
17.61,17.871
17.673,17.73
17.601,17.668
17.521,17.819
17.815,17.818
17.645,18.057
17.527,18.123
17.756,17.756
17.616,17.616
17.409,17.534
17.503,17.679
17.527,17.609
17.46,17.535
17.507,17.507
17.544,17.591
17.489,17.489
17.379,17.489
17.485,17.582
17.468,18.135
17.713,17.738
17.699,17.803
17.633,17.655
17.553,17.643
17.63,17.636
17.827,17.833
17.608,17.701
17.648,17.982
17.739,17.818
17.641,17.864
17.486,17.606
17.501,17.6
17.443,17.836
17.43,17.552
17.531,17.552
17.421,17.421
17.337,17.452
17.401,17.486
17.236,17.385
17.236,17.236
17.169,17.327
17.241,17.28
17.275,17.28
17.03,17.226
17.226,17.283
17.266,17.391
17.196,17.358
17.118,17.179
17.021,17.156
17.18,17.18
17.004,17.539
17.198,17.517
17.382,17.518
17.206,17.246
17.263,17.263
17.141,17.141
17.096,17.119
17.1,17.137
17.155,17.203
17.137,17.198
17.196,17.204
17.045,17.045
17.104,17.104
17.089,17.481
17.156,17.156
17.059,17.085
17.151,17.152
17.091,17.091
17.09,17.164
17.043,17.05
17.061,17.144
16.984,17.048
16.982,17.046
16.98,17.364
16.999,17.112
17.083,17.083
16.997,16.997
16.874,16.965
16.765,17.001
16.801,16.95
16.931,16.931
16.72,16.843
16.586,16.846
16.575,16.913
16.775,16.775
16.582,16.636
16.688,16.701
16.7,16.882
16.842,17.043
16.959,17.499
17.322,17.42
17.165,17.39
17.21,17.423
17.254,17.255
17.109,17.189
17.038,17.125
17.075,17.075
16.727,16.924
16.797,16.916
16.918,17.053
17.051,17.124
17.12,17.121
16.873,16.975
16.955,16.955
16.954,17.278
17.04,17.04
16.89,16.931
16.828,16.877
16.921,16.925
16.953,16.953
16.854,16.926
16.902,16.942
16.84,16.932
16.888,17.067
17.002,17.002
16.936,16.936
16.801,16.899
16.89,16.891
16.886,16.887
16.886,16.95
16.807,16.888
16.795,16.859
16.596,16.812
16.674,16.86
16.676,16.924
16.693,16.763
16.727,16.826
16.765,16.766
16.584,16.946
16.663,16.945
16.704,16.765
16.757,16.934
16.681,16.843
16.695,16.724
16.695,16.72
16.7,16.93
16.849,16.85
16.709,16.71
16.627,16.633
16.622,16.635
16.703,16.703
16.293,16.405
16.44,16.515
16.514,16.514
16.499,16.499
16.332,16.413
16.3,16.432
16.426,16.426
16.36,16.414
16.404,16.404
16.414,16.5
16.499,16.499
16.284,16.284
16.271,16.271
16.181,16.248
16.238,16.5
16.232,16.308
16.238,16.5
16.25,16.25
16.177,16.25
16.153,16.156
16.2,16.265
16.22,16.22
16.201,16.497
16.199,16.199
16.127,16.196
16.174,16.175
16.02,16.118
15.774,15.844
15.842,15.845
15.706,15.845
15.848,15.848
15.763,15.84
15.84,16.929
16.02,16.051
15.897,15.999
15.74,15.93
15.581,15.584
15.582,15.91
15.871,17.454
16.061,16.061
15.899,15.999
15.687,15.688
15.801,15.801
15.67,15.76
15.729,15.823
15.778,15.778
15.68,15.68
15.637,15.637
15.519,15.58
15.685,15.748
15.793,15.793
15.414,15.545
15.545,15.545
15.583,15.583
15.537,15.537
15.516,15.588
15.52,15.561
15.345,15.345
13.923,14.044
13.809,13.84
13.652,13.652
13.553,13.855
13.796,13.857
13.771,13.857
13.782,13.951
13.866,13.99
13.777,13.989
13.77,13.829
13.464,13.68
13.641,13.885
13.876,14.003
13.821,14.0
13.924,14.011
13.995,14.021
13.984,14.088
13.854,13.947
13.88,13.891
13.863,13.986
13.863,14.152
14.104,14.148
14.077,14.084
13.972,14.165
13.968,14.019
13.984,14.08
14.035,14.209
13.999,14.093
13.998,14.157
14.13,14.13
13.983,14.126
14.04,14.126
13.948,14.025
14.017,14.09
14.008,14.017
13.875,14.085
13.982,14.08
14.033,14.497
14.236,14.594
14.379,14.52
14.378,14.378
14.103,14.231
14.206,14.234
13.995,14.049
14.001,14.149
14.055,14.149
14.126,14.369
14.174,14.371
14.224,14.3
14.287,14.697
14.388,14.521
14.384,14.447
14.299,14.304
14.232,14.295
14.224,14.276
14.276,14.282
14.278,14.278
14.243,14.306
14.242,14.283
14.226,14.293
14.242,14.282
14.264,14.268
14.224,14.224
14.222,14.28
14.265,14.365
14.33,14.611
14.412,14.599
14.32,14.495
14.387,14.387
14.253,14.335
14.265,14.449
14.28,14.346
14.327,14.442
14.19,14.327
14.337,14.348
14.138,14.179
13.955,14.261
14.223,14.923
14.278,14.3
14.175,14.575
14.289,14.769
14.302,14.519
14.426,14.563
14.515,14.641
14.453,14.518
14.393,14.427
14.363,14.364
14.164,14.165
14.141,14.378
14.222,14.406
14.332,14.411
14.355,14.419
14.409,14.409
14.244,14.374
14.239,14.425
14.209,14.317
14.168,14.279
14.193,14.193
14.119,14.236
14.193,14.318
14.227,14.318
14.315,14.5
14.462,14.6
14.537,14.736
14.547,14.77
14.189,14.25
14.072,14.157
14.11,14.236
14.14,14.261
14.212,14.212
14.102,14.157
14.028,14.028
13.943,14.102
14.066,14.136
14.099,14.102
14.095,14.14
14.05,14.13
14.044,14.235
14.154,14.225
14.155,14.251
14.142,14.159
14.066,14.134
14.149,14.15
14.037,14.261
14.082,14.164
14.102,14.103
14.083,14.103
14.101,14.137
14.06,14.118
14.07,14.12
14.066,14.139
14.086,14.17
14.143,14.179
13.889,14.002
14.002,14.084
14.016,14.032
13.899,13.916
13.887,14.013
13.861,14.023
13.863,13.958
13.905,13.981
13.919,13.949
13.945,13.945
13.819,13.919
13.835,13.908
13.807,13.807
13.855,13.885
13.879,14.027
14.002,14.078
14.063,14.594
14.002,14.093
13.956,13.956
13.912,14.01
13.909,13.971
13.927,14.07
13.955,13.993
13.99,14.768
14.111,14.166
14.069,14.157
14.044,14.095
13.945,14.084
14.012,14.012
14.0,14.093
14.007,14.094
14.006,14.082
14.021,14.089
13.914,13.976
13.923,14.235
14.076,14.205
14.02,14.298
14.092,14.092
13.843,14.236
13.951,14.499
14.38,15.777
15.036,16.0
15.202,15.5
15.439,15.884
15.529,16.098
15.844,16.228
16.02,17.387
16.168,16.839
16.552,17.448
16.919,17.147
16.905,16.905
16.872,18.89
17.251,17.797
17.434,17.506
17.35,17.404
17.297,17.8
17.8,18.926
17.47,17.772
17.429,17.771
17.615,17.871
17.871,18.299
17.884,18.06
17.702,18.036
17.864,18.0
17.97,18.194
18.174,18.628
17.895,18.273
17.955,17.996
17.762,17.807
17.744,18.153
17.78,18.497
17.848,18.088
17.997,18.385
18.101,18.333
18.185,18.56
18.272,18.303
18.053,18.19
18.134,18.37
18.289,18.323
18.128,18.34
18.185,18.29
17.968,17.968
17.708,18.122
17.945,18.0
17.865,17.95
17.484,17.697
17.456,17.621
17.492,17.75
17.41,17.718
17.647,17.705
17.566,17.718
17.561,18.048
18.048,18.287
18.021,18.149
18.0,18.153
18.122,18.154
17.978,18.158
18.069,18.33
18.277,18.278
18.246,18.246
18.0,18.126
18.044,18.12
17.953,18.022
18.016,18.044
18.026,18.259
18.255,18.444
18.29,18.291
18.255,18.271
18.105,18.22
18.127,18.281
18.111,18.269
18.243,18.251
18.153,18.286
18.17,18.26
18.182,18.243
18.069,18.349
18.222,18.348
18.146,18.257
18.189,18.428
18.283,18.444
18.433,18.471
18.406,18.5
18.5,18.798
18.588,18.787
18.784,18.784
18.758,18.787
18.795,19.289
18.992,19.036
18.887,18.938
18.814,18.887
18.849,18.929
18.925,18.925
18.763,18.835
18.711,18.848
18.816,20.0
19.41,19.557
19.08,19.198
19.004,19.66
19.018,20.275
19.945,20.415
19.745,19.855
19.71,19.998
19.774,20.55
20.48,20.75
20.024,20.052
19.853,19.954
19.95,20.229
20.162,20.318
20.287,20.32
20.221,20.266
20.254,20.254
20.175,20.3
20.233,20.499
20.406,20.512
20.435,21.0
20.471,20.511
20.403,20.49
20.158,20.298
20.138,20.377
20.153,21.21
21.028,21.042
20.691,20.986
20.802,21.244
21.099,21.12
21.179,21.242
21.019,22.386
22.201,22.7
21.96,22.125
21.707,22.895
22.193,22.461
22.206,22.95
22.341,22.534
22.17,22.17
21.786,22.01
21.981,22.263
22.038,22.258
21.781,22.224
22.224,22.494
22.004,22.2
22.006,22.482
22.186,22.186
22.18,22.186
22.116,22.182
21.794,21.797
21.735,21.735
21.549,21.608
21.415,21.55
21.471,21.471
21.337,21.624
21.618,21.624
21.459,21.462
21.307,21.491
21.425,21.426
21.369,21.421
21.268,21.345
21.262,21.342
21.32,21.587
21.313,21.313
21.261,21.313
21.198,21.624
21.355,21.556
21.348,21.348
21.257,21.302
21.175,21.28
20.96,21.093
20.939,21.1
21.099,21.1
20.945,22.061
21.493,21.496
21.248,21.248
21.203,21.203
20.911,20.911
20.795,20.914
20.864,20.864
20.745,20.8
20.771,20.771
20.628,20.655
20.549,20.628
20.556,20.556
20.383,20.523
20.475,20.505
20.367,20.459
20.411,20.415
20.375,20.413
20.376,20.376
20.318,20.336
20.267,20.323
20.301,20.301
20.235,20.342
20.23,20.23
20.222,20.256
20.203,20.218
20.207,20.219
20.184,20.184
20.114,20.179
20.178,20.218
20.196,20.341
20.25,20.299
20.211,20.211
20.181,20.185
20.16,20.324
20.25,20.258
20.239,20.334
20.216,20.252
20.233,20.509
20.449,20.509
20.422,20.51
20.412,20.453
20.4,20.488
20.351,20.441
20.458,20.499
20.495,20.495
20.404,20.546
20.404,20.533
20.372,20.469
20.133,20.437
20.29,20.294
20.262,20.294
