prices,highs
3.6,4.41
3.77,3.8
3.747,3.771
3.738,3.789
3.766,3.79
3.76,3.776
3.748,3.775
3.771,3.818
3.795,3.796
3.659,3.712
3.703,3.714
3.687,3.699
3.649,3.667
3.626,3.643
3.597,3.631
3.582,3.601
3.603,3.622
3.615,3.621
3.604,3.621
3.622,3.63
3.619,3.621
3.625,3.63
3.632,3.696
3.681,3.69
3.679,3.694
3.678,3.7
3.687,3.699
3.683,3.713
3.717,3.781
3.774,3.784
3.73,3.778
3.758,3.791
3.764,3.764
3.643,3.795
3.781,3.781
3.749,3.766
3.713,3.732
3.717,3.72
3.711,3.717
3.702,3.777
3.69,3.711
3.694,3.714
3.677,3.68
3.673,3.705
3.698,3.775
3.684,3.701
3.689,3.693
3.671,3.681
3.668,3.674
3.626,3.641
3.624,3.639
3.616,3.658
3.65,3.665
3.637,3.668
3.649,3.651
3.637,3.646
3.642,3.649
3.609,3.659
3.653,3.653
3.621,3.63
3.626,3.639
3.635,3.647
3.636,3.637
3.591,3.591
3.567,3.578
3.557,3.599
3.598,3.598
3.577,3.583
3.571,3.593
3.583,3.587
3.587,3.588
3.593,3.594
3.58,3.584
3.587,3.596
3.588,3.623
3.605,3.609
3.602,3.615
3.59,3.59
3.568,3.573
3.557,3.557
3.553,3.619
3.553,3.572
3.536,3.562
3.546,3.576
3.532,3.535
3.529,3.534
3.531,3.531
3.509,3.518
3.51,3.525
3.491,3.515
3.504,3.507
3.505,3.516
3.51,3.511
3.495,3.504
3.479,3.479
3.45,3.45
3.44,3.461
3.462,3.464
3.445,3.445
3.427,3.441
3.436,3.445
3.444,3.454
3.438,3.596
3.6,3.628
3.54,3.551
3.538,3.59
3.581,3.601
3.601,3.683
3.629,3.635
3.59,3.598
3.588,3.59
3.587,3.593
3.569,3.57
3.57,3.604
3.597,3.599
3.583,3.598
3.583,3.595
3.575,3.598
3.591,3.597
3.594,3.616
3.615,3.629
3.591,3.604
3.567,3.582
3.573,3.574
3.583,3.63
3.617,3.632
3.615,3.656
3.663,3.701
3.652,3.88
3.721,3.782
3.734,3.77
3.721,3.778
3.699,3.699
3.681,3.681
3.67,3.68
3.625,3.638
3.57,3.616
3.592,3.598
3.576,3.609
3.583,3.584
3.553,3.553
3.556,3.57
3.567,3.597
3.593,3.638
3.607,3.629
3.597,3.597
3.559,3.559
3.49,3.517
3.523,3.524
3.511,3.518
3.516,3.519
3.503,3.521
3.514,3.514
3.513,3.516
3.501,3.504
3.476,3.491
3.477,3.498
3.478,3.488
3.482,3.483
3.466,3.476
3.459,3.459
3.445,3.449
3.417,3.436
3.422,3.435
3.401,3.407
3.425,3.437
3.424,3.431
3.4,3.418
3.394,3.406
3.406,3.406
3.409,3.435
3.418,3.422
3.41,3.42
3.42,3.42
3.402,3.411
3.403,3.405
3.404,3.552
3.455,3.493
3.456,3.457
3.46,3.46
3.454,3.454
3.433,3.444
3.436,3.436
3.436,3.437
3.437,3.453
3.453,3.453
3.443,3.443
3.436,3.436
3.436,3.468
3.446,3.518
3.471,3.511
3.439,3.44
3.437,3.455
