prices,highs
40.91,67.0
58.7,60.44
55.11,56.49
55.47,56.47
51.87,51.99
48.38,50.8
48.9,50.77
50.37,51.4
51.06,51.2
47.26,48.99
47.52,49.4
49.16,49.83
49.23,49.7
48.41,51.44
49.53,51.45
51.05,53.0
49.93,50.5
48.86,49.27
48.51,49.0
48.74,48.86
48.45,49.79
49.32,49.36
48.94,49.44
48.15,49.19
48.98,49.63
49.5,50.92
49.87,51.4
50.68,51.0
50.92,51.0
49.92,51.81
51.71,52.38
51.59,52.29
50.92,52.16
50.39,50.39
50.2,51.5
51.06,51.4
51.38,51.39
49.12,49.2
48.81,48.84
48.4,48.62
48.3,48.42
46.37,47.5
47.28,47.86
46.91,47.27
46.66,47.12
45.8,46.67
46.48,46.91
46.59,47.06
46.95,47.28
47.07,47.16
46.71,47.63
47.29,47.5
47.48,47.82
46.99,47.09
46.08,46.24
45.55,46.6
45.82,45.93
45.39,45.4
44.44,45.08
44.66,45.0
44.5,45.36
45.25,45.25
44.85,44.89
44.73,45.72
45.27,45.75
45.62,45.69
43.96,44.75
44.07,44.51
44.07,44.26
43.94,44.34
44.01,44.9
44.56,44.56
43.98,44.02
43.73,43.99
43.96,44.5
44.4,44.49
44.23,44.85
44.4,44.46
44.0,44.07
43.87,44.8
44.35,45.17
44.63,44.67
44.52,45.29
45.17,45.7
45.3,45.41
44.82,45.32
44.53,45.09
44.15,44.21
44.17,44.24
43.88,44.0
43.97,44.42
44.14,45.37
45.29,45.37
45.11,45.4
44.82,44.84
44.5,44.56
44.36,44.43
44.3,44.41
44.18,44.32
44.2,44.43
44.34,44.43
43.86,44.05
43.22,43.5
43.23,43.29
42.73,43.42
43.34,43.57
43.34,43.47
43.16,43.27
43.01,43.75
42.75,42.89
42.6,42.83
42.68,42.82
42.71,43.42
42.55,42.59
42.59,42.59
42.27,42.83
42.73,42.92
42.73,43.0
43.0,43.35
42.87,43.0
42.77,43.07
43.02,43.02
42.82,43.38
43.1,43.42
43.09,43.6
43.5,43.67
43.1,43.18
42.87,43.02
42.81,42.95
42.86,43.36
43.11,43.21
43.09,43.09
42.84,42.84
42.62,42.67
42.47,42.55
42.54,43.15
42.86,43.15
42.98,43.02
42.78,43.9
43.36,44.8
44.21,44.68
44.46,44.62
44.35,44.35
44.15,44.22
43.95,44.04
44.0,44.91
44.6,44.79
44.73,45.23
45.07,48.0
46.0,46.79
45.44,47.98
47.36,47.45
46.6,46.74
45.86,46.97
46.51,46.72
45.82,46.24
45.88,46.85
46.23,46.5
45.8,45.89
45.41,45.44
44.95,45.42
45.15,45.15
44.84,44.96
44.73,44.73
44.5,44.56
44.48,45.43
44.87,45.24
44.98,45.07
44.1,44.17
43.97,44.24
44.14,44.55
44.5,44.55
44.45,45.73
45.18,45.5
45.43,45.45
44.97,45.0
44.28,45.26
44.42,45.05
44.49,45.27
44.89,45.35
45.11,46.4
46.05,46.46
46.08,47.5
46.93,48.2
47.18,47.88
47.27,47.65
47.51,49.0
47.85,47.85
46.97,47.6
46.95,47.45
47.2,48.0
