prices,highs
6.032,13.88
10.5,11.29
10.767,11.45
10.897,11.079
10.778,10.799
10.216,10.449
10.177,10.5
10.087,10.33
10.059,10.35
10.095,10.99
10.816,11.33
10.737,11.07
10.728,11.56
11.373,11.57
10.924,11.024
10.24,10.539
10.493,10.55
10.339,10.55
10.514,10.55
10.519,10.66
10.6,10.688
10.524,10.568
10.299,10.446
10.256,10.3
10.233,10.533
10.275,10.5
10.144,10.957
10.888,11.165
10.653,11.05
11.027,11.495
10.909,11.2
10.959,11.4
11.167,11.9
11.693,11.98
11.24,11.411
11.286,11.368
11.092,11.3
11.163,11.167
10.921,11.25
11.217,11.398
11.236,11.699
11.619,11.62
11.25,11.33
11.058,11.174
10.992,11.005
10.728,10.75
10.514,10.688
10.36,10.56
10.517,10.62
10.455,10.527
10.501,10.72
10.659,10.71
10.473,10.75
10.74,10.79
10.558,10.696
10.582,10.59
10.53,10.735
10.686,10.769
10.548,10.726
10.565,10.632
10.594,10.62
10.498,10.557
10.409,10.463
10.448,10.448
10.366,10.415
10.368,10.375
10.223,10.375
10.231,10.35
10.35,10.384
10.319,10.463
10.42,10.495
10.455,10.49
10.303,10.383
10.34,10.432
10.317,10.44
10.365,10.411
10.254,10.549
10.534,10.577
10.435,10.6
10.6,10.7
10.511,10.539
10.454,10.545
10.466,10.517
10.41,10.435
10.387,10.387
10.278,10.348
10.334,10.396
10.296,10.349
10.211,10.261
10.064,10.25
10.151,10.182
10.167,10.233
10.168,10.253
9.882,9.956
9.532,9.762
9.609,9.717
9.593,9.6
9.288,9.469
9.428,9.449
9.298,9.39
9.276,9.282
9.211,9.45
9.43,9.431
9.298,9.555
9.498,9.9
9.65,9.842
9.6,9.619
9.333,9.45
9.4,9.45
9.39,9.415
9.399,9.52
9.398,9.398
9.374,9.391
9.311,9.326
9.203,9.252
9.154,9.161
9.011,9.107
9.05,9.101
8.853,9.052
9.041,9.052
8.899,9.052
8.996,9.052
8.9,8.984
8.9,8.986
8.92,9.237
9.185,9.34
9.267,9.349
9.281,9.414
9.326,9.38
9.285,9.414
9.413,9.47
9.393,9.6
9.536,9.57
9.407,9.578
9.343,9.362
9.277,9.293
9.271,9.372
9.234,9.247
9.105,9.142
9.09,9.14
9.003,9.296
9.134,9.198
9.121,9.143
9.036,9.137
9.013,9.054
8.999,9.055
8.907,9.013
8.94,9.186
8.966,9.127
9.079,9.18
9.09,9.1
9.01,9.035
8.964,9.003
8.854,8.939
8.79,8.82
8.744,8.746
8.729,8.98
8.794,8.904
8.873,9.022
8.9,8.901
8.81,9.0
8.858,8.881
8.846,8.88
8.818,8.87
8.826,8.9
8.853,9.044
8.931,9.053
8.999,9.29
9.25,9.4
9.291,9.317
9.16,9.4
9.221,10.114
9.956,9.98
9.619,9.749
9.646,9.66
9.409,9.446
9.244,9.491
9.388,9.446
9.178,9.421
9.001,9.069
9.028,9.057
8.921,8.99
8.796,9.052
9.008,9.035
9.02,9.08
8.997,8.999
8.964,8.964
8.76,8.931
8.825,8.861
8.814,8.992
8.782,8.828
8.73,8.878
8.799,8.844
8.615,8.757
8.664,8.78
8.757,8.811
8.661,8.729
8.696,8.78
8.637,8.827
8.781,8.797
8.68,8.79
8.775,8.864
8.725,8.81
8.799,8.95
8.885,8.909
8.855,9.209
8.998,9.373
9.22,9.22
9.018,9.198
9.102,9.126
9.028,9.12
9.016,9.068
8.848,9.208
8.995,9.299
9.087,9.169
9.023,9.046
8.853,8.957
8.9,8.999
8.938,8.96
8.844,8.95
8.901,8.906
8.739,8.879
8.81,8.85
8.845,8.932
8.84,8.88
8.846,8.868
8.73,8.749
8.651,8.73
8.598,8.63
8.469,8.6
8.539,8.549
8.368,8.445
8.408,8.444
8.393,8.395
8.255,8.278
8.17,8.262
8.26,8.329
8.269,8.3
8.201,8.362
8.278,8.321
8.248,8.35
8.344,8.356
8.353,8.371
8.361,8.361
8.339,8.56
8.464,8.489
8.34,8.424
8.373,8.398
8.16,8.227
8.17,8.196
8.161,8.167
8.065,8.141
8.124,8.25
8.174,8.312
8.272,8.311
8.233,8.364
8.353,8.382
8.31,8.445
8.289,8.289
8.247,8.62
8.304,8.362
8.36,8.498
8.441,8.49
8.476,8.611
8.531,8.575
8.551,8.572
8.533,8.62
8.62,8.64
8.619,8.681
8.644,8.72
8.685,8.847
8.75,8.799
8.65,8.775
8.669,8.738
8.601,8.751
8.6,8.687
8.539,8.627
8.562,8.621
8.603,8.603
8.582,8.684
8.63,8.647
8.572,8.656
8.64,8.9
8.792,8.833
8.816,8.818
8.599,8.635
8.624,8.9
8.624,8.77
8.531,8.531
8.41,8.55
8.497,8.8
8.74,9.224
8.935,9.0
8.927,9.2
9.146,9.217
9.15,9.42
9.299,9.5
9.252,9.466
9.159,9.248
9.052,9.166
9.013,9.1
8.94,8.98
8.946,9.05
8.953,9.17
9.164,9.299
9.1,9.135
9.072,9.097
9.025,9.055
9.017,9.055
8.974,9.008
8.98,9.026
8.963,9.091
9.034,9.21
9.196,9.682
9.376,9.387
9.34,9.46
9.385,9.458
9.41,9.447
9.27,9.298
9.029,9.197
9.113,9.177
9.1,9.196
9.113,9.378
9.285,9.308
9.249,9.287
9.269,9.283
9.22,9.238
9.001,9.068
