prices,highs
0.025,2.5
0.46917,0.47316
0.44145,0.47688
0.47,0.49382
0.46351,0.47258
0.46757,0.47
0.42394,0.42633
0.42522,0.42888
0.4255,0.4355
0.43131,0.43898
0.42073,0.431
0.4101,0.413
0.39317,0.416
0.41054,0.41579
0.4,0.40783
0.40399,0.411
0.39051,0.40999
0.40641,0.423
0.41082,0.423
0.4219,0.44912
0.44387,0.45277
0.43714,0.4399
0.43201,0.44351
0.4362,0.43625
0.40667,0.42427
0.4203,0.4205
0.4132,0.41785
0.41253,0.43317
0.42856,0.442
0.43293,0.4335
0.42492,0.429
0.42812,0.43935
0.43911,0.44307
0.43502,0.46
0.45668,0.4915
0.47598,0.486
0.47338,0.484
0.47908,0.54
0.53749,0.57698
0.55924,0.55924
0.53954,0.55821
0.52622,0.53825
0.52479,0.54542
0.52378,0.526
0.49377,0.50467
0.5029,0.51861
0.50013,0.506
0.48448,0.498
0.48705,0.4886
0.4624,0.47285
0.46787,0.477
0.45219,0.45792
0.4562,0.48134
0.46283,0.491
0.47844,0.48541
0.46085,0.52267
0.50457,0.516
0.49842,0.50448
0.49023,0.505
0.50012,0.512
0.50397,0.525
0.51851,0.51919
0.5,0.5075
0.49425,0.51995
0.50948,0.51579
0.51332,0.525
0.513,0.5172
0.51093,0.51119
0.4967,0.515
0.50559,0.51396
0.50713,0.51535
0.50167,0.52968
0.52892,0.54601
0.52646,0.5649
0.56086,0.586
0.56928,0.5925
0.583,0.5965
0.57686,0.584
0.5686,0.56882
0.55039,0.562
0.545,0.54718
0.52262,0.53093
0.52401,0.53731
0.53552,0.53552
0.518,0.537
0.533,0.542
0.532,0.542
0.525,0.547
0.54168,0.542
0.53192,0.54001
0.53151,0.536
0.52945,0.53439
0.52883,0.5465
0.54161,0.566
0.5518,0.565
0.55188,0.55188
0.55188,0.55188
0.55188,0.55188
0.55185,0.565
0.56125,0.582
0.56806,0.5753
0.57529,0.57841
0.57108,0.58661
0.57965,0.58087
0.56135,0.56639
0.55012,0.55936
0.53295,0.53298
0.5287,0.53
0.5277,0.53854
0.53479,0.5455
0.54131,0.54749
0.53955,0.54597
0.50072,0.50755
0.50459,0.52
0.51793,0.523
0.51005,0.51782
0.51149,0.528
0.52602,0.532
0.52986,0.5325
0.52681,0.532
0.51753,0.52096
0.49609,0.50042
0.48698,0.49555
0.49545,0.50338
0.49776,0.50349
0.49858,0.49858
0.49078,0.4965
0.49523,0.49564
0.49333,0.504
0.49468,0.4958
0.47942,0.48575
0.47218,0.48285
0.48268,0.48776
0.48553,0.48553
0.48,0.48
0.46699,0.47461
0.47285,0.479
0.47126,0.483
