prices,highs
0.15,4.94
2.1374,2.1876
1.929,2.1448
2.0113,2.034
1.898,1.915
1.8238,1.8899
1.8262,1.85
1.7747,1.92
1.8836,2.06
2.0051,2.035
2.0181,2.28
2.23,2.746
2.5786,2.5991
2.4423,2.57
2.49,2.4909
2.3935,2.6296
2.4787,2.7
2.6999,2.8331
2.81,3.1198
3.1045,3.2736
2.9521,3.1257
3.0311,3.0641
2.7069,3.0
2.8334,2.9714
2.8469,3.15
3.0467,3.23
3.0837,3.1
3.0894,3.095
3.0223,3.0376
2.8895,3.03
2.9285,2.9937
2.872,2.905
2.7043,2.82
2.8035,2.8669
2.781,2.9607
2.8949,3.1349
2.941,3.0759
3.0576,3.1103
2.9951,2.9951
2.8749,2.977
2.8563,2.932
2.8529,2.9759
2.9618,2.963
2.9192,3.03
2.9954,3.39
3.3738,3.68
3.6261,3.7146
3.49,3.77
3.7477,3.7532
3.6178,3.62
3.4298,3.48
3.4427,3.5599
3.5104,3.5517
3.4623,3.51
3.4329,3.433
3.2307,3.2987
3.2624,3.4085
3.24,3.355
3.2978,3.4476
3.4056,3.4776
3.4189,3.4869
3.4103,3.4483
3.3999,3.58
3.5794,3.6584
3.5487,3.5517
3.4696,3.48
3.4292,3.5324
3.5246,3.55
3.5099,3.5175
3.3895,3.4392
3.344,3.4184
3.3683,3.4399
3.3919,3.4187
3.3615,3.41
3.3729,3.5
3.4899,3.5843
3.4794,3.5122
3.5053,3.566
3.5131,3.6688
3.5588,3.585
3.583,3.73
3.58,3.9256
3.8707,3.9671
3.6939,3.8133
3.7822,3.85
3.7727,3.88
3.8065,3.96
3.8753,4.05
4.0193,4.2266
4.1314,4.3394
4.28,4.3777
4.3342,4.37
4.1988,4.23
4.1975,4.27
4.1446,4.31
4.255,4.31
4.2264,4.444
4.4424,4.45
4.1184,4.1883
3.9508,4.1083
4.0323,4.08
3.9793,4.1372
4.074,4.1194
4.0504,4.089
3.7614,3.863
3.8453,3.8511
3.7545,3.8266
3.7131,3.7855
3.7141,3.7417
3.5312,3.65
3.4137,3.4785
3.3499,3.553
3.4764,3.6479
3.6101,3.705
3.6944,3.74
3.6531,3.679
3.5908,3.6368
3.553,3.5871
3.5416,3.6
3.541,3.5664
3.5641,3.65
3.6124,3.6899
3.6037,3.6416
3.5671,3.5979
3.5227,3.5378
3.4735,3.5309
3.3972,3.4515
3.4374,3.466
3.3099,3.3465
3.32,3.4309
3.3915,3.4037
3.1964,3.33
3.3022,3.3196
3.2799,3.34
3.296,3.3089
3.2718,3.4021
3.3812,3.4184
3.3856,3.395
3.3211,3.4039
3.3899,3.43
3.3635,3.4743
3.4507,3.489
3.4478,3.475
3.3899,3.436
3.3779,3.41
3.3337,3.3719
3.2999,3.35
3.3357,3.3849
3.3799,3.398
3.3595,3.39
3.3484,3.37
3.3551,3.45
3.4432,3.445
3.4214,3.57
3.5239,3.5247
3.4653,3.52
3.5001,3.5448
3.4801,3.5
3.3969,3.4767
3.4553,3.47
3.3979,3.41
3.3458,3.3733
3.34,3.36
3.3299,3.3313
2.9723,3.1064
3.05,3.2473
3.2436,3.2446
3.0863,3.1238
3.0721,3.1306
3.1153,3.1696
3.0807,3.1199
3.1103,3.1232
3.0185,3.0592
3.0386,3.0808
3.044,3.0491
2.9989,3.0236
2.9618,2.9836
2.975,3.0462
2.9973,3.07
3.0446,3.089
3.071,3.0924
3.0628,3.12
3.0762,3.1284
3.1192,3.1422
3.0612,3.0741
2.9939,3.0117
2.9644,2.9796
2.9368,2.974
2.9113,2.9499
2.8983,2.95
2.9258,2.9574
2.9381,2.963
2.9453,3.02
3.0056,3.0174
2.96,2.96
2.8981,2.9342
2.7899,2.8863
2.8769,2.8883
2.8542,2.927
2.9169,2.9262
2.9016,2.9591
2.9472,3.059
3.0389,3.0389
3.0222,3.0464
3.0225,3.045
3.0092,3.0142
2.9776,3.0087
3.0032,3.0999
3.0682,3.07
3.0432,3.1343
3.1198,3.1888
3.1618,3.3555
3.3272,3.3396
3.2527,3.2762
3.2473,3.285
3.2737,3.31
3.2235,3.23
3.1494,3.2467
3.2416,3.2636
3.22,3.2354
3.0981,3.1512
3.131,3.17
3.1467,3.2219
3.1993,3.2
3.1515,3.2514
3.2396,3.28
3.2701,3.2773
3.166,3.1804
3.1476,3.164
3.15,3.1865
3.1173,3.1221
3.015,3.0331
2.9862,3.018
2.9948,3.005
2.9322,2.996
2.9593,2.9689
2.878,2.9096
2.8914,2.9198
2.8428,2.896
2.854,2.8853
2.8457,2.8705
2.8477,2.876
2.8238,2.845
2.8176,2.9163
2.908,2.9304
2.9081,2.915
2.8765,2.9214
2.9085,2.9295
2.8658,2.9085
2.8975,2.9199
2.8753,2.8859
2.8338,2.8743
2.8703,2.923
2.9086,2.9469
2.9278,2.962
2.9606,2.9627
2.92,2.936
2.9332,2.985
2.8256,2.8786
2.808,2.85
2.7557,2.7868
2.7741,2.7792
2.7127,2.7237
2.6369,2.7
2.6736,2.7234
2.716,2.7194
2.6841,2.7
2.682,2.7172
2.684,2.6926
2.6188,2.695
2.6835,2.7093
2.6788,2.7026
2.7009,2.7339
2.73,2.734
2.6952,2.722
2.7098,2.7112
2.6713,2.6867
2.6866,2.7096
2.6856,2.6925
2.64,2.6934
2.6831,2.6879
2.677,2.7337
2.7278,2.7353
2.6894,2.7
2.6437,2.6756
2.6466,2.741
2.6999,2.7357
2.7168,2.7522
2.6724,2.6728
2.6432,2.6677
2.657,2.6581
2.6548,2.6789
2.6347,2.67
2.6623,2.7374
2.7292,2.906
2.7843,2.8426
2.8338,2.91
2.8736,2.9392
2.8963,2.9282
2.8835,2.939
2.8763,2.8795
2.8464,2.88
2.841,2.85
2.8349,2.8858
2.8049,2.8656
2.8571,2.9389
2.9358,2.9567
2.8924,2.9101
2.9076,3.0907
2.9837,3.0478
2.9631,3.0305
3.0225,3.1
3.0409,3.042
2.9815,3.0482
3.0194,3.0918
3.0582,3.11
3.0946,3.1807
3.1708,3.1791
3.1162,3.1484
3.1232,3.1361
3.0475,3.0575
3.0072,3.039
3.0299,3.0614
3.0353,3.0768
3.0621,3.099
3.078,3.0789
2.9798,3.0438
3.0412,3.0412
3.0099,3.0356
3.0044,3.0125
2.8747,2.9371
2.919,2.9509
2.9386,2.9766
2.9369,2.955
2.9036,2.9188
2.9,2.9951
2.9738,3.0425
2.9924,3.0467
3.0196,3.02
2.9567,2.9829
2.9605,2.9876
2.9687,2.9918
2.9766,3.0381
3.0201,3.0451
3.0332,3.0499
2.9997,3.095
3.0859,3.164
3.1359,3.298
3.2626,3.32
3.2795,3.349
3.2451,3.46
3.4576,3.4895
3.442,3.4454
3.2998,3.5
3.4727,3.5714
3.5508,3.6277
3.5293,3.5314
3.495,3.5
3.4156,3.4211
3.3989,3.4075
3.3199,3.3581
3.3418,3.3603
3.2916,3.2969
3.186,3.3249
3.292,3.3127
3.3021,3.3655
3.3438,3.3484
3.264,3.29
3.2458,3.35
3.3334,3.43
3.3496,3.4812
3.4421,3.4675
3.4371,3.4428
3.376,3.4033
3.3736,3.42
3.3431,3.3523
3.2965,3.3243
3.1342,3.2
3.1508,3.1728
3.1166,3.1629
3.0813,3.094
3.0649,3.1085
3.0636,3.0844
3.0812,3.12
3.0868,3.0927
2.9976,3.0425
3.0173,3.0738
2.9948,3.0541
3.0424,3.07
3.0548,3.0905
3.0898,3.1555
3.1335,3.2449
3.2361,3.2432
3.166,3.1696
3.0957,3.1137
3.0458,3.0594
2.906,2.9944
2.9242,2.9424
2.8655,2.8737
2.8386,2.8941
2.8384,2.8849
2.8754,2.9254
2.9212,2.9495
2.9065,2.9435
2.9067,2.9424
2.9422,2.99
2.9221,2.9522
2.925,2.9303
2.9178,2.9295
2.9044,2.9287
2.9162,2.926
