prices,highs
0.03,0.872
0.6705,0.6936
0.6911,0.7199
0.6996,0.7025
0.6842,0.695
0.6778,0.6899
0.6771,0.6784
0.6508,0.6587
0.6395,0.6498
0.6442,0.6493
0.6296,0.6333
0.627,0.6461
0.6426,0.675
0.6698,0.6915
0.6756,0.699
0.6785,0.6794
0.6617,0.668
0.649,0.6843
0.6712,0.675
0.6534,0.6578
0.6467,0.6503
0.6449,0.6632
0.6575,0.6585
0.6296,0.643
0.6289,0.6329
0.5785,0.6017
0.5861,0.5978
0.5905,0.5951
0.5777,0.6086
0.6055,0.6063
0.5869,0.6032
0.5993,0.5997
0.5777,0.5925
0.5877,0.59
0.5855,0.59
0.5669,0.57
0.5614,0.5775
0.5742,0.6049
0.5983,0.6198
0.6153,0.6292
0.6033,0.6215
0.6164,0.622
0.5955,0.604
0.5989,0.6084
0.5945,0.606
0.6004,0.6248
0.6122,0.6189
0.6082,0.6101
0.5927,0.5928
0.5753,0.596
0.5943,0.6061
0.5941,0.5987
0.5867,0.591
0.5857,0.591
0.5767,0.5816
0.5716,0.5843
0.5798,0.584
0.5816,0.5844
0.5824,0.5934
0.5921,0.5989
0.598,0.598
0.5845,0.5966
0.5938,0.5987
0.5861,0.6054
0.6024,0.6173
0.6066,0.6072
0.598,0.612
0.603,0.6056
0.6011,0.6044
0.5907,0.5974
0.5934,0.5981
0.5877,0.5913
0.5888,0.5917
0.583,0.586
0.5857,0.5885
0.5831,0.5935
0.5931,0.5954
0.5907,0.5915
0.5882,0.602
0.6016,0.607
0.6067,0.6105
0.6012,0.6179
0.6178,0.6372
0.6307,0.64
0.6235,0.6318
0.6303,0.6337
0.6292,0.6312
0.6158,0.6248
0.6209,0.6218
0.615,0.6225
0.6224,0.626
0.6251,0.6259
0.6073,0.6218
0.6157,0.628
0.6214,0.6296
0.625,0.638
0.6332,0.65
0.6281,0.633
0.6272,0.6284
0.6172,0.619
0.6162,0.6176
0.6151,0.6156
0.6138,0.6155
0.6045,0.6148
0.6128,0.6181
0.6146,0.6159
0.6094,0.62
0.619,0.6204
0.6151,0.6199
0.6172,0.6197
0.6192,0.6239
0.6135,0.6184
0.6174,0.6204
0.6198,0.621
0.6076,0.6126
0.6103,0.6109
0.6097,0.6102
0.5874,0.5882
0.5777,0.5827
0.5762,0.5833
0.5806,0.5852
0.5816,0.61
0.5925,0.5959
0.5896,0.591
0.5844,0.5868
0.5858,0.589
0.5862,0.5883
0.5809,0.5849
0.5803,0.5844
0.5812,0.5822
0.5759,0.5837
0.5818,0.5854
0.5844,0.5858
0.5851,0.5851
0.5791,0.5803
0.5766,0.5774
0.5757,0.5799
0.5779,0.578
0.5735,0.5761
0.5708,0.5766
0.5757,0.5762
0.5742,0.5778
0.5692,0.5712
0.5702,0.575
0.5733,0.578
0.5753,0.5799
0.5748,0.5782
0.5732,0.5829
0.578,0.5797
0.5779,0.578
0.5726,0.5738
0.5712,0.5724
0.5717,0.5719
0.5668,0.5685
0.5676,0.5718
0.5704,0.5726
0.5699,0.5742
0.573,0.5761
0.5736,0.576
0.569,0.5692
0.5649,0.5682
0.5628,0.5683
0.5677,0.5699
0.5683,0.5719
0.5695,0.5711
0.5702,0.571
0.5677,0.5717
0.5707,0.5731
0.5695,0.5705
0.5607,0.5628
0.5575,0.5617
0.5585,0.5589
0.5576,0.5622
