prices,highs
0.02,1.88
1.16401,1.2518
1.13513,1.172
1.16908,1.22
1.19906,1.255
1.18999,1.2089
1.208,1.25
1.19481,1.23
1.22197,1.27956
1.18604,1.221
1.18182,1.198
1.18885,1.19383
1.16874,1.17611
1.15283,1.15744
1.12735,1.141
1.12039,1.1219
1.08503,1.13
1.10815,1.11359
1.09899,1.10002
1.08582,1.145
1.12684,1.17599
1.13959,1.14168
1.10643,1.13222
1.13065,1.13066
1.118,1.13399
1.11979,1.16349
1.15723,1.1577
1.14137,1.157
1.15351,1.15362
1.10916,1.11168
1.105,1.125
1.12275,1.12392
1.10672,1.12447
1.09484,1.1023
1.09442,1.09603
1.01809,1.03194
0.9996,1.02442
1.02256,1.02338
1.01846,1.019
0.98785,1.0103
0.99783,1.0027
0.97812,0.97896
0.92858,0.95805
0.94455,0.99859
0.99099,0.99222
0.96941,0.98391
0.96429,0.97098
0.95092,0.97096
0.95225,0.96368
0.94536,0.96679
0.96485,0.96837
0.96658,0.98857
0.97147,0.97327
0.94797,0.95321
0.92576,0.9538
0.9493,0.95236
0.93557,0.93923
0.91079,0.92273
0.89903,0.9177
0.90903,0.92318
0.91194,0.96
0.935,0.942
0.92113,0.93609
0.92641,0.9272
0.91275,0.95
0.94689,0.948
0.94,0.94012
0.93999,0.9468
0.93575,0.93685
0.93214,0.95371
0.94682,0.94733
0.92698,0.93282
0.92183,0.92796
0.9212,0.93338
0.923,0.92301
0.91922,0.921
0.9124,0.93089
0.9225,0.95111
0.92977,0.998
0.966,0.98669
0.95279,0.9528
0.93429,0.94556
0.93778,0.94082
0.93394,0.94
0.92455,0.92837
0.92301,0.92568
0.92101,0.93
0.90807,0.91383
0.912,0.93
0.92203,0.9822
0.96124,0.997
0.99523,1.06846
1.03806,1.075
1.03527,1.0868
1.07201,1.09807
1.05731,1.11936
1.09997,1.102
1.08807,1.09976
1.06508,1.09
1.05279,1.07652
1.05286,1.07
1.06132,1.0879
1.0527,1.077
1.0698,1.07
1.066,1.066
1.01085,1.031
1.00635,1.01399
1.00784,1.0116
0.98346,1.01
0.98794,1.01
0.98369,1.01785
0.99722,0.99859
0.99179,1.00931
0.99474,1.00385
1.00299,1.015
1.00391,1.01
0.99898,0.99998
0.98918,0.99
0.98598,1.00518
0.998,0.99943
0.98179,0.99434
0.98189,1.01027
1.00835,1.02208
1.0122,1.01648
1.002,1.033
1.0278,1.02942
0.99637,1.00434
0.99618,0.99728
0.99508,0.99676
0.98117,0.98117
0.96911,0.9762
0.95129,0.97495
0.97288,0.98372
0.97106,0.97312
0.96161,0.97171
0.97104,0.97869
0.97729,0.988
0.97757,0.99573
0.99,1.01142
1.00399,1.0268
1.00549,1.01188
0.97277,0.984
0.98099,0.98537
0.96915,0.976
0.97487,0.98937
0.98708,1.0051
1.00435,1.0175
1.00819,1.02243
1.01998,1.042
1.0113,1.02562
1.02238,1.055
1.02889,1.03
1.01504,1.01575
1.00257,1.057
1.05427,1.08155
1.04551,1.05077
1.03166,1.04203
1.02684,1.03297
1.01058,1.01954
1.01098,1.01886
1.01783,1.01806
1.00825,1.0087
1.00153,1.01186
1.01166,1.02298
1.0195,1.0195
1.01037,1.01656
1.01223,1.01742
1.01573,1.02024
1.01167,1.0145
0.99334,0.99533
0.98757,0.99167
0.99022,0.99167
0.98956,1.041
1.02726,1.06602
1.0545,1.1
1.0978,1.09798
1.05779,1.09
1.05157,1.088
1.08206,1.1449
1.10168,1.11111
1.08747,1.09291
1.08711,1.09291
1.0435,1.0442
1.031,1.04599
1.03573,1.04559
1.03784,1.03914
1.01939,1.02422
1.02002,1.03619
1.02162,1.0317
1.00976,1.0123
0.99584,1.01
1.00496,1.014
1.0032,1.0121
1.00648,1.00974
1.0,1.0064
1.00436,1.005
0.99887,1.00463
0.99599,0.999
0.96905,0.98306
0.97781,0.9924
0.98577,0.99199
0.99011,0.9904
0.96912,0.97974
0.977,0.97996
0.9793,0.9821
0.98071,0.98884
0.97811,0.98798
0.97983,0.98188
0.96517,0.9686
0.9633,0.96394
0.94797,0.95248
0.95,0.963
0.95809,0.95836
0.94511,0.94624
0.92611,0.94374
0.94093,0.94484
0.93422,0.94207
0.93299,0.94997
0.89982,0.92109
0.88484,0.90998
0.90494,0.915
0.87292,0.88257
0.86851,0.9
0.88887,0.89156
0.87608,0.87904
0.86448,0.87
0.85952,0.86
0.84832,0.85792
0.83794,0.85848
0.83744,0.86213
0.85647,0.87262
0.867,0.86766
0.85219,0.85777
0.85439,0.86079
0.85243,0.85244
0.83878,0.84673
0.83769,0.84141
0.82309,0.83001
0.82857,0.83794
0.81045,0.8195
0.80605,0.821
0.81898,0.82
0.80941,0.82221
0.81726,0.8211
0.81688,0.825
0.81488,0.81517
0.80284,0.80445
0.78625,0.8123
0.80269,0.80764
0.79879,0.8
0.79159,0.79481
0.79103,0.8
0.79061,0.8299
0.79293,0.80124
0.78943,0.8112
0.80567,0.80629
0.80236,0.8205
0.81352,0.81563
0.81334,0.816
0.81495,0.82444
0.81896,0.82358
0.81601,0.81888
0.81459,0.8175
0.81247,0.8221
0.82158,0.82296
0.80991,0.81652
0.81566,0.8227
0.82108,0.8265
0.81626,0.81979
0.79612,0.82
0.81752,0.83804
0.82619,0.83947
0.8248,0.85555
0.83142,0.84734
0.83696,0.84899
0.84789,0.87178
0.86858,0.875
0.87074,0.878
0.85677,0.86647
0.85977,0.8835
0.88092,0.8918
0.87501,0.8821
0.87209,0.87219
0.85278,0.8542
0.85047,0.85362
0.84972,0.852
0.84741,0.853
0.85202,0.85999
0.84649,0.851
0.82903,0.84127
0.83999,0.84813
0.8408,0.8431
0.83315,0.84399
0.84175,0.84816
0.84022,0.8555
0.83614,0.84136
0.83283,0.839
0.81129,0.81631
0.80974,0.81497
0.79872,0.80442
0.80055,0.80506
0.80409,0.814
0.805,0.818
