prices,highs
1.1892,1.848
1.4799,1.506
1.4248,1.4525
1.2928,1.4039
1.3344,1.3899
1.3664,1.435
1.3577,1.3578
1.26,1.385
1.3798,1.3798
1.2894,1.3112
1.2656,1.2959
1.2728,1.2999
1.137,1.392
1.362,1.3898
1.3479,1.5073
1.4945,1.74
1.725,1.764
1.5729,1.6595
1.6486,1.6575
1.5607,1.5645
1.5469,1.558
1.5483,1.6
1.4758,1.5619
1.5501,1.6362
1.5988,1.61
1.5118,1.535
1.4403,1.546
1.5341,1.5785
1.5698,1.73
1.6891,1.8646
1.8423,1.8754
1.7822,1.9696
1.9552,2.0
1.932,1.9603
1.9485,2.189
2.0968,2.2498
2.1317,2.1781
2.0598,2.0996
2.0342,2.1282
2.1244,2.1286
2.0128,2.15
2.0873,2.1155
2.07,2.1255
2.0824,2.1578
2.1252,2.2
2.0647,2.0901
1.9926,2.0855
2.0524,2.168
2.1235,2.29
2.1032,2.15
2.0468,2.0651
2.0262,2.0879
2.0424,2.1068
2.076,2.0788
2.0647,2.073
1.9819,2.055
2.0547,2.0669
1.956,1.9743
1.851,1.9158
1.89,1.9077
1.8694,1.9378
1.9078,1.9078
1.876,1.9071
1.8127,1.8778
1.8593,1.8938
1.8748,1.89
1.8366,1.9718
1.9469,1.9505
1.846,1.8651
1.7686,1.8289
1.8069,1.8197
1.7871,1.8227
1.8183,1.8788
1.82,1.8519
1.784,1.8137
1.7517,1.7641
1.7335,1.7793
1.7663,1.8017
1.7648,1.7777
1.7301,1.7303
1.6742,1.7017
1.6834,1.7059
1.7001,1.7113
1.6934,1.7498
1.699,1.9
1.8476,1.8476
1.7637,1.7967
1.7814,1.8043
1.7832,1.793
1.7666,1.7728
1.7572,1.7943
1.791,1.83
1.788,1.8152
1.8036,1.8097
1.7578,1.7601
1.7471,1.7705
1.758,1.85
1.8447,1.88
1.854,1.8544
1.7782,1.87
1.8459,1.893
1.7915,1.8075
1.7562,1.7749
1.7529,1.7646
1.7446,1.753
1.7375,1.753
1.7443,1.84
1.8025,1.8363
1.8133,1.8184
1.7845,1.805
1.7752,1.7871
1.7379,1.7548
1.7419,1.755
1.7506,1.7509
1.7237,1.7418
1.7167,1.7294
1.7066,1.7296
1.7286,1.7444
1.7402,1.7901
1.7746,1.83
1.8133,1.9334
1.9209,2.0354
2.0287,2.0877
2.0612,2.1062
2.0359,2.0725
2.0242,2.0263
1.9699,2.004
1.9975,2.083
2.0663,2.0716
2.0648,2.181
2.0764,2.0816
2.0452,2.0632
2.0055,2.038
2.0225,2.1093
2.1072,2.17
2.146,2.2272
2.1581,2.23
2.204,2.2676
2.244,2.279
2.2027,2.253
2.2403,2.2734
2.1877,2.2084
2.1931,2.2345
2.1915,2.3796
2.3182,2.3733
2.2775,2.312
2.2292,2.2506
2.0845,2.1892
2.0997,2.2035
2.1576,2.31
2.2823,2.3526
2.3105,2.3636
2.3582,2.37
2.3223,2.368
2.3433,2.36
2.3134,2.3199
2.2498,2.2958
2.2638,2.2889
2.2761,2.3269
2.2593,2.2613
2.2078,2.2329
2.2099,2.2133
2.1856,2.1891
2.1768,2.1768
2.1574,2.1871
2.152,2.237
2.21,2.2101
2.1847,2.2455
2.1767,2.2016
2.1131,2.115
2.1018,2.1682
2.1389,2.1416
2.1269,2.137
2.1358,2.1511
2.1166,2.1171
2.0851,2.099
2.0909,2.1189
2.1099,2.15
2.135,2.1542
2.1108,2.1187
2.1001,2.1331
2.1164,2.1192
2.0712,2.1528
2.1395,2.145
2.1255,2.1279
2.0948,2.1107
2.0899,2.0939
2.0874,2.1
2.0663,2.0723
2.0271,2.0653
2.0637,2.0986
2.0915,2.1453
2.1322,2.1661
2.1401,2.1714
2.152,2.152
2.1181,2.1272
2.1096,2.1615
2.08,2.113
2.0834,2.0992
2.0651,2.0999
2.0721,2.1078
2.09,2.1458
2.1333,2.1501
2.1374,2.1667
2.1577,2.206
2.191,2.1935
2.1707,2.18
2.1513,2.1986
2.1899,2.19
2.1583,2.171
2.1417,2.1595
2.1307,2.185
2.1685,2.2044
2.1496,2.1547
2.1098,2.1426
2.1123,2.186
2.17,2.195
2.1745,2.1885
2.1159,2.1267
2.1207,2.1276
2.11,2.17
2.1634,2.192
2.1675,2.1925
2.1751,2.1809
2.161,2.235
2.2151,2.3171
2.3091,2.3409
2.3206,2.339
2.2714,2.3261
2.3105,2.3261
2.3047,2.356
2.2259,2.3274
2.3058,2.4491
2.4212,2.4418
2.44,2.4956
2.4044,2.422
2.3959,2.3988
2.3368,2.3434
2.3178,2.3229
2.2768,2.3034
2.2825,2.2829
2.2154,2.228
2.2148,2.2174
2.1963,2.1966
2.1533,2.2227
2.2138,2.2492
2.1979,2.205
2.1851,2.1899
2.1568,2.1847
2.1658,2.2228
2.2013,2.2479
2.2209,2.2324
2.2121,2.2207
2.1967,2.2095
2.1939,2.1998
2.1518,2.1722
2.1509,2.1509
2.0851,2.0851
2.0542,2.0948
