prices,highs
5010.59,7199.0
6568.79,6590.0
6562.0,6888.58
6509.99,6693.0
6220.02,6550.0
6300.0,6300.0
6132.95,6132.95
5982.14,6090.0
5770.52,5963.8
5700.14,6000.0
5979.0,6000.0
5980.0,6099.69
6036.25,6169.0
6032.81,6098.74
6087.31,6087.31
6005.18,6020.0
5871.71,5973.46
5842.79,5900.0
5904.44,6150.0
6150.0,6615.0
6615.0,6799.0
6397.6,6448.0
6385.04,6552.59
6393.06,6515.88
6229.16,6229.16
6150.0,6460.0
6375.54,6440.0
6334.96,6334.96
6305.08,6398.59
6273.99,6410.29
6410.29,6576.55
6462.65,6462.65
6323.0,6323.91
6212.68,6274.31
6186.08,6310.0
6177.84,6212.66
5972.52,6099.97
6050.0,6058.56
6028.62,6037.6
5966.28,5966.28
5845.45,5857.15
5770.03,5950.0
5947.75,6047.18
5898.86,5986.95
5810.04,5875.0
5811.71,5898.0
5898.0,6783.43
6644.22,6780.0
6241.49,6444.0
6191.84,6212.5
6058.67,6196.14
5963.89,6000.01
5901.0,5962.53
5842.59,5997.0
5842.8,5966.08
5718.02,5871.75
5760.0,5899.0
5901.0,6113.0
5913.71,6006.32
6023.62,6300.0
6180.0,6400.0
6262.62,6322.53
6040.16,6133.87
5966.02,6133.87
6091.86,6091.86
5971.96,5971.96
5799.2,5899.0
5801.19,5863.52
5810.0,6010.0
6010.0,6100.0
5966.09,6101.04
6035.0,6089.37
6041.0,6117.51
5964.94,5966.15
5842.87,5940.37
5719.0,5856.39
5688.79,5738.93
5565.05,5576.82
5415.37,5436.53
5339.47,5544.16
5450.36,5673.94
5380.57,5750.32
5702.0,5914.32
5935.01,5935.27
5635.75,5811.96
5535.88,5710.0
5588.11,5700.0
5651.29,5789.29
5636.26,5690.0
5690.0,5690.0
5649.68,5842.8
5801.25,5996.0
5927.19,5950.0
5842.8,5950.0
5809.99,5947.0
5904.53,5904.58
5692.16,5700.79
5552.32,5674.52
5592.79,5592.79
5435.68,5780.0
5688.65,5840.0
5645.0,5796.08
5782.97,5950.0
5805.15,5805.15
5781.15,5825.0
5749.86,5842.79
5688.68,5700.0
5673.93,5730.97
5714.84,5730.0
5719.03,5719.13
5625.0,5676.96
5600.0,5644.57
5575.68,5750.32
5749.99,5985.0
5985.0,6091.0
5899.99,5966.09
5947.78,5947.78
5873.62,5927.59
5900.06,5989.4
5946.2,5989.25
5749.62,5781.15
5709.97,5814.34
5453.17,5700.0
5626.69,5657.86
5626.07,5673.94
5563.34,5613.66
5534.44,5554.95
5534.56,5648.88
5590.61,5643.78
5506.5,5565.38
5450.21,5649.0
5599.99,5619.99
5515.75,5561.86
5448.41,5500.0
5448.06,5567.24
5416.28,5473.98
5309.22,5309.22
5000.0,5103.96
4934.0,4934.01
4563.89,5218.06
5022.09,5320.58
5219.99,5385.98
5220.0,5463.41
5425.0,5516.0
5356.98,5379.96
5222.08,5331.98
5231.75,5231.75
5160.38,5287.29
5127.91,5127.91
4960.33,4999.91
4979.59,5000.0
4916.86,4988.54
4869.68,4952.93
4874.27,5284.97
5071.94,5166.69
5020.02,5042.37
5011.49,5072.23
5001.42,5133.82
5072.23,5164.69
5142.84,5300.0
5257.17,5591.83
5549.52,5600.0
5262.33,5346.93
5300.2,5418.91
5347.77,5349.63
5256.58,5448.78
5215.97,5415.2
5380.0,5448.77
5346.92,5346.92
5279.92,5279.92
5111.63,5134.88
5069.98,5166.69
5094.0,5094.0
4933.7,4959.92
4913.01,4948.63
4790.49,4848.39
4788.82,5028.95
4972.03,4974.4
4904.87,4974.33
4926.82,4974.3
4857.5,4926.59
4831.66,4895.8
4885.01,4963.0
4922.01,4974.4
4901.1,5021.76
5012.0,5074.22
5050.0,5101.98
5065.0,5072.23
5020.39,5124.0
5099.65,5199.99
5142.86,5167.78
5099.41,5102.03
5040.0,5081.83
4916.1,4986.29
4928.2,4983.0
4900.0,5045.54
4997.48,5011.51
4960.04,5045.54
4979.61,5000.0
4968.61,4990.0
4957.04,4984.0
4957.01,5000.0
4958.09,4989.99
4956.01,4990.0
4956.01,5043.63
5036.0,5062.77
5024.03,5093.37
5025.98,5078.25
5064.61,5080.0
5030.0,5095.0
5056.49,5056.49
5009.98,5050.0
5021.0,5087.6
5082.38,5162.08
5094.23,5099.83
5071.02,5096.43
5016.26,5061.22
5028.27,5071.67
5000.0,5014.01
4978.63,5051.64
5004.35,5050.0
5035.34,5039.93
4980.91,4980.91
4969.56,4979.96
4947.0,4977.79
4909.11,5020.0
4973.17,5030.0
4949.3,4962.0
4910.56,4945.0
4901.16,4944.63
4669.86,4736.35
4690.99,4700.0
4686.12,4690.71
4630.19,4648.58
4508.79,4693.87
4523.02,4691.14
4529.75,4538.36
4497.65,4497.65
4202.04,4400.0
4399.99,4433.07
4249.99,4436.32
4305.0,4365.7
4311.04,4444.0
4352.02,4567.0
4426.67,4486.0
4467.11,4679.0
4619.15,4695.2
4680.61,4748.22
4675.0,4690.25
4499.31,4509.19
4463.99,4529.48
4444.0,4585.48
4442.47,4442.48
4380.1,4451.18
4398.57,4588.0
4517.7,4551.29
4546.39,4691.42
4691.31,4750.0
4665.72,4665.82
4602.48,4700.0
4649.99,4823.0
4807.42,4951.97
4920.0,5039.98
5039.97,5450.0
5416.21,5673.93
5404.99,5896.21
5894.98,6027.73
5628.95,5742.19
5677.85,5889.0
5621.35,5935.0
5698.6,5785.04
5720.09,5948.0
5876.27,6335.95
6084.97,6084.97
5963.8,5990.0
5911.43,5956.42
5857.51,6300.0
6289.78,6289.78
5978.98,6275.0
6246.7,6450.0
6399.99,6649.0
6648.99,6649.0
6213.52,6320.88
6099.97,6115.35
6115.35,6170.0
6164.48,6311.89
6237.84,6238.01
6190.67,6190.67
5976.0,6130.0
6003.79,6041.98
5913.51,6299.21
5961.29,6181.2
6181.13,6181.13
6110.0,6118.64
6035.69,6399.41
6283.21,6450.0
6329.25,6700.0
6408.69,6743.99
6457.73,6674.53
6649.99,6711.0
6504.18,6537.47
6307.03,6324.99
6084.21,6108.65
6027.72,6070.0
6000.0,6132.63
6126.15,6349.0
6290.0,6330.0
6280.01,6335.77
6305.01,6650.0
6386.97,6750.0
6551.72,6684.83
6533.0,6700.0
6676.25,6780.0
6708.2,6708.2
6520.9,6990.0
6750.0,7249.0
6892.0,7180.04
6952.29,6952.29
6807.25,7150.0
7033.55,7249.0
7194.99,7495.0
7410.89,7448.68
7247.7,7313.1
7050.88,7186.0
7106.42,7106.5
7000.0,7034.64
6842.57,6921.55
6900.0,6969.98
6812.36,6822.6
6797.43,7075.68
6820.21,6904.29
6859.3,7050.0
7000.0,7150.0
6921.6,7099.97
6990.03,7298.88
7252.99,7300.0
7090.01,7106.46
7013.99,7265.0
7264.89,7300.0
7188.9,7400.0
7370.17,9103.93
8085.54,8438.07
7902.15,8300.0
8000.01,8100.0
7837.98,7950.0
7790.0,8043.0
7871.38,7941.9
7866.17,7950.0
7915.0,8250.0
8105.34,8199.0
8195.93,8440.0
8434.97,8435.0
8415.18,8415.18
8390.71,8390.71
8323.79,8489.79
8489.78,9000.0
8565.42,8741.1
8538.73,8774.99
8730.08,8889.94
8783.11,9098.0
8900.1,9290.0
9137.16,9200.0
8995.08,9099.0
9084.14,9190.0
8730.45,8935.0
8904.04,8938.77
8876.95,8930.0
8929.28,9189.0
9188.0,9190.0
9121.0,9140.8
8906.4,8968.87
8820.08,8900.0
8820.05,9050.0
9049.81,9067.0
9066.27,9438.59
9432.0,9788.0
9788.0,10689.0
10500.8,12821.0
10164.12,10426.57
10380.0,10499.0
10077.0,10649.99
10499.91,10685.0
10680.0,11000.0
10961.01,11899.0
11000.02,11088.0
10718.37,10962.0
10701.03,10800.0
10158.06,10300.0
9949.82,10444.0
10400.01,10507.19
10129.99,10180.0
9845.12,10071.38
9845.0,9845.0
9300.0,9743.58
9580.18,9660.0
9570.49,10145.0
10145.0,10488.0
10028.56,10114.54
9950.0,10387.75
10100.0,10150.52
9850.0,10000.0
9847.99,10153.84
10002.8,10500.0
10500.0,10570.0
10243.69,10499.99
10350.0,10377.03
10182.01,10182.01
9841.0,9842.04
9655.0,10019.46
10019.46,10488.0
10485.0,10680.38
10669.99,10750.0
10323.75,10559.99
10460.59,10888.0
10888.0,11088.0
10925.02,11288.0
10724.48,10995.95
10040.82,10736.84
10400.01,10700.0
10642.0,11326.53
11300.01,11338.84
11281.0,11500.0
10808.0,11150.0
11030.35,11149.99
10987.69,11188.0
10982.04,11149.96
10950.0,11188.0
11027.0,11079.0
10900.2,11102.47
11100.0,11110.79
10411.29,10575.07
10324.99,10357.14
10223.79,10263.77
10000.0,10132.65
9978.66,10040.81
9950.01,10271.42
10228.72,10775.51
10699.98,10899.1
10352.0,10428.56
10382.7,10867.34
10736.77,10777.1
10608.33,10716.5
10628.63,10714.0
10511.0,10591.83
10294.06,10428.55
10424.48,10712.98
10465.51,10567.34
10499.99,10567.34
10351.0,10600.0
10460.0,10720.0
10650.0,10788.99
10608.16,10628.45
10628.45,11188.99
11180.0,11608.0
11388.54,12250.0
11895.0,12777.0
12576.36,12777.0
12561.22,12841.46
12520.57,12598.0
12336.74,12500.0
12175.44,13000.0
12998.99,13444.0
13257.58,13346.94
12820.41,12979.59
12872.97,13188.0
12721.01,12979.59
12897.98,12897.98
12200.03,12200.03
11666.0,11874.6
11849.75,12520.4
12520.4,12549.91
12244.56,12851.33
12851.32,12862.06
12743.24,13105.55
13100.01,13104.96
12955.0,12958.33
12884.26,12888.0
12766.11,12790.46
12745.0,13150.0
13149.97,13750.0
13500.0,13685.0
13601.0,14439.4
14351.03,15000.0
14493.78,15000.0
14933.33,16668.99
15743.03,16400.0
15899.86,16300.0
16152.39,16152.39
15840.0,15900.3
15429.0,15500.0
14861.0,15398.0
15387.55,15895.0
15005.91,15614.15
14742.82,15300.0
14849.93,15249.0
15090.0,15096.55
14604.54,14847.45
14748.33,15680.41
15336.36,15500.0
15414.28,15450.0
15399.99,15788.0
15699.99,15728.84
15573.39,15985.0
15815.43,15815.43
15321.68,15330.0
14435.93,14683.67
14254.8,15224.12
14642.85,14714.28
14563.43,14588.29
14233.5,14233.5
12681.48,14093.77
13096.25,14299.99
14270.0,15600.0
14250.13,14449.99
13869.21,14640.71
14205.59,15100.0
14813.75,15428.57
15201.4,15275.04
15078.95,15078.95
14772.01,14814.27
14725.02,14745.0
14625.0,14728.08
14721.02,15150.0
15099.0,15428.57
14998.94,15410.0
15172.96,15355.74
15220.52,15277.77
15159.89,15246.97
14224.48,14444.44
13956.93,14800.0
14750.04,14800.0
14270.0,14326.41
14122.43,14224.48
13650.99,13666.66
13392.99,13750.78
13248.99,13500.0
13000.94,13416.0
13039.03,13600.0
13426.11,13894.9
13843.89,13844.01
13530.0,13558.66
13243.55,13320.19
13184.0,13184.0
12701.01,12701.01
12598.71,12917.0
12599.75,12600.0
12322.91,12637.35
12474.57,12549.99
11911.99,12171.71
11950.0,12500.0
12400.0,12469.53
12253.62,12382.12
12296.33,12296.33
11347.27,11684.21
11679.99,11814.25
11599.0,12888.0
12858.11,13542.37
12697.63,13117.64
12662.2,13057.89
13057.88,13450.07
13380.0,13380.0
12989.98,13200.0
12711.0,13190.21
12868.42,12993.56
12978.68,13420.68
13420.68,13464.28
13370.57,13399.85
13117.99,13186.44
13058.17,13450.0
13450.0,13450.0
13370.69,13399.99
13398.99,13500.0
13444.87,13898.3
13885.31,14426.46
13931.94,14175.98
14095.0,14095.01
13795.0,14300.0
14254.24,14312.0
14020.95,14099.99
13800.03,13855.2
13713.34,13778.77
13612.12,13800.0
13799.99,14100.0
14050.03,14099.0
14040.81,14042.85
13855.17,14100.0
14034.48,14100.0
13650.38,13957.14
13649.99,13770.83
13661.2,13756.06
13758.37,13758.37
13661.0,13750.0
13527.02,13542.37
12999.97,13095.65
13097.63,13335.0
13148.0,13458.33
13454.59,13499.0
13458.35,14020.16
13938.82,14200.0
13911.2,14083.33
14024.29,14100.0
13510.13,13661.01
13578.94,13578.94
13400.01,13458.33
13328.0,13458.24
13214.28,13464.07
13464.07,13850.0
13848.99,13950.0
13567.55,13600.5
13356.74,13563.67
13343.29,13463.45
13400.01,13581.63
13581.62,13650.0
13490.0,13590.0
13500.0,13522.51
13354.13,13426.53
13442.85,13549.78
13408.96,13449.44
13320.22,13450.0
13396.98,13562.5
13562.5,13920.0
13842.09,13842.1
13661.01,13736.82
13660.01,13732.67
13521.05,13658.22
13618.26,13646.72
13462.04,13501.64
13350.31,13480.0
13387.0,13450.0
13345.0,13448.55
13289.44,13390.0
12928.57,13145.83
12850.0,12898.96
12593.22,12607.14
12590.0,12729.16
